"""Semana epidem. 1§ Sintomas(s)"";""Em Branco/ign"";""<1975"";""1975"";""1976"";""1977"";""1978"";""1979"";""1980"";""1981"";""1982"";""1983"";""1984"";""1985"";""1986"";""1987"";""1988"";""1989"";""1990"";""1991"";""1992"";""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"";""2019"";""2020"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
"""Semana 22"";4;14;3;-;1;2;4;3;1;1;3;2;1;1;2;3;2;3;-;1;2;2;4;3;3;1;1;4;4;3;2;1;1;2;2;1;6;11;3;2;2;8;2;25;4;22;68142;17021;14451;40292;38652;127480;33124;-;339334"
"""Semana 23"";1;18;-;1;1;3;2;3;2;1;1;1;2;3;-;2;-;-;3;1;1;1;4;4;1;4;2;1;2;2;3;2;1;-;2;-;-;2;2;3;4;5;9;24;3;15;53075;14670;13328;32338;29928;87924;25490;-;256895"
"""Semana 24"";3;23;-;1;-;3;1;2;1;-;2;5;2;2;-;-;1;2;2;1;4;2;3;1;1;2;3;1;4;2;1;1;1;3;1;1;2;1;3;1;1;6;2;6;3;18;40450;12871;10978;25191;26336;79647;18440;-;214038"
"""Semana 25"";2;18;2;2;1;1;1;2;2;2;3;1;3;1;1;1;1;1;6;1;1;2;2;1;3;1;1;-;1;5;1;1;1;1;1;-;3;3;2;1;2;8;2;17;6;15;30019;12421;9296;22187;19252;64108;12927;-;170343"
"""Semana 26"";1;17;2;1;2;-;1;3;1;2;2;1;1;3;1;4;1;3;-;3;2;1;2;1;1;2;-;3;-;2;2;2;4;-;1;2;2;6;2;1;2;3;1;3;7;11;25878;9795;8510;18268;15154;44686;11081;-;133484"
"""Semana 27"";1;25;-;1;1;1;1;-;4;3;3;1;3;1;2;-;-;1;1;2;-;3;6;1;2;2;1;-;1;2;1;2;-;2;5;2;4;-;1;-;-;2;5;2;5;6;20212;9226;7696;15289;12747;31733;9550;-;106559"
"""Semana 28"";1;26;1;2;2;-;1;1;3;-;1;3;-;1;-;1;-;1;3;2;3;1;3;1;1;2;-;4;2;1;1;3;1;1;-;3;3;5;3;3;-;2;5;3;13;10;15595;7867;6855;13474;10950;21885;8094;-;84843"
"""Semana 29"";1;18;1;4;2;2;1;2;1;-;2;6;3;3;3;3;1;2;-;1;2;3;-;3;3;-;4;1;-;3;3;-;1;3;1;2;3;4;2;2;3;1;-;1;5;6;12304;6648;5946;11535;8865;17696;7224;-;70330"
"""Semana 30"";-;27;1;2;-;1;4;1;5;1;1;4;1;1;2;1;3;1;2;3;4;2;-;-;1;2;1;2;1;2;3;2;2;-;2;2;1;1;1;-;4;1;2;4;3;5;10502;5580;5044;10292;7470;15348;6892;-;61237"
"""Semana 31"";-;28;-;1;3;2;-;-;1;1;4;1;1;5;4;-;1;2;1;1;2;3;1;3;1;4;2;2;3;-;2;2;2;-;2;-;1;2;3;1;1;1;5;2;1;20;9217;4656;4984;9778;7596;13598;6310;-;56261"
