"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""350920 CAJAMAR"";321420;1818065;2842;3109;2145436"
"""350925 CAJATI"";117153;329101;-;36802;483056"
"""350930 CAJOBI"";44231;35498;-;110;79839"
"""350940 CAJURU"";189256;233947;909;1110;425222"
"""350945 CAMPINA DO MONTE ALEGRE"";4;41968;-;28;42000"
"""350950 CAMPINAS"";1305942;16373931;44097278;238872;62016023"
"""350960 CAMPO LIMPO PAULISTA"";1226039;1525196;34189;2029;2787453"
"""350970 CAMPOS DO JORDAO"";531368;359273;1035;5878;897554"
"""350980 CAMPOS NOVOS PAULISTA"";173563;18485;-;19873;211921"
"""350990 CANANEIA"";867561;-;-;68;867629"
"""350995 CANAS"";6240;5585;-;21389;33214"
"""351000 CANDIDO MOTA"";144411;631527;109;1555;777602"
"""351010 CANDIDO RODRIGUES"";194;-;-;68;262"
"""351015 CANITAR"";42108;54514;-;1346;97968"
"""351020 CAPAO BONITO"";278372;464227;1250;936;744785"
"""351030 CAPELA DO ALTO"";127746;343027;-;14455;485228"
"""351040 CAPIVARI"";286771;592500;3777;3683;886731"
"""351050 CARAGUATATUBA"";200113;3596453;78616;10196;3885378"
"""351060 CARAPICUIBA"";625117;3321432;32871;17957;3997377"
"""351070 CARDOSO"";195;168893;1502;1291;171881"
"""351080 CASA BRANCA"";10832;630857;814;2047;644550"
"""351090 CASSIA DOS COQUEIROS"";17608;920;-;-;18528"
"""351100 CASTILHO"";326390;205268;-;16275;547933"
"""351110 CATANDUVA"";185174;2374023;60994;129709;2749900"
"""351120 CATIGUA"";-;6613;-;262;6875"
"""351130 CEDRAL"";184017;48153;-;968;233138"
"""351140 CERQUEIRA CESAR"";46507;245121;1;230;291859"
"""351150 CERQUILHO"";91250;421961;655;12130;525996"
"""351160 CESARIO LANGE"";2;228418;478;263;229161"
"""351170 CHARQUEADA"";223467;168557;79;26084;418187"
"""351190 CLEMENTINA"";13465;47907;-;458;61830"
"""351200 COLINA"";284015;259833;733;11382;555963"
"""351210 COLOMBIA"";62977;33423;-;392;96792"
"""351220 CONCHAL"";58603;540944;2516;33258;635321"
"""351230 CONCHAS"";104952;336963;-;257;442172"
"""351240 CORDEIROPOLIS"";90187;346466;-;659;437312"
"""351250 COROADOS"";133466;5965;-;360;139791"
"""351260 CORONEL MACEDO"";-;16928;-;222;17150"
"""351270 CORUMBATAI"";57429;38072;193;17524;113218"
"""351280 COSMOPOLIS"";47240;601807;1403;65157;715607"
"""351290 COSMORAMA"";1572;37261;-;1388;40221"
"""351300 COTIA"";1429564;3067312;7135;2125;4506136"
"""351310 CRAVINHOS"";135158;364925;-;2425;502508"
