Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2025, NOV/2025, OUT/2025, SET/2025, AGO/2025, JUL/2025, JUN/2025, MAI/2025, ABR/2025, MAR/2025, FEV/2025, JAN/2025."
Tipo de Produção: Visita Domiciliar.


Uf;Ibge;Municipio;DEZ/2025;NOV/2025;OUT/2025;SET/2025;AGO/2025;JUL/2025;JUN/2025;MAI/2025;ABR/2025;MAR/2025;FEV/2025;JAN/2025;
PA;150178;BREU BRANCO;20.610;28.701;27.810;28.135;23.824;14.547;18.949;19.927;20.156;22.318;22.350;12.604;
PI;220540;JOAQUIM PIRES;5.792;6.898;6.674;8.221;7.338;8.713;7.149;6.926;7.830;7.403;7.636;7.557;
PB;251040;OLHO D'ÁGUA;4.916;5.305;5.955;6.796;6.589;7.158;4.827;5.792;4.773;4.801;5.364;4.887;
PR;410500;CATANDUVAS;1.793;1.567;2.292;1.248;3.586;3.034;2.594;2.005;3.007;3.359;3.516;1.915;
TO;171488;NOVA OLINDA;10.899;11.022;11.980;10.630;11.484;11.863;10.618;13.771;12.347;13.459;13.851;11.905;
MT;510558;MARCELÂNDIA;1.051;3.289;3.845;3.696;3.336;3.972;3.221;3.632;4.052;5.213;5.674;3.868;
GO;521970;SANTA TEREZINHA DE GOIÁS;4.074;4.761;4.822;4.357;4.156;2.947;4.872;5.498;5.477;4.987;4.518;5.949;
MG;313507;JAMPRUCA;2.417;2.396;3.167;3.267;3.371;2.889;2.546;2.650;2.549;3.119;2.595;1.622;
SC;421935;VITOR MEIRELES;1.897;3.067;3.122;3.053;2.449;2.282;1.673;1.604;1.927;1.155;2.172;1.607;
CE;230540;ICÓ;33.148;34.510;41.526;42.598;39.551;34.474;32.635;36.728;32.470;24.482;27.616;25.217;
PB;250070;SÃO JOÃO DO RIO DO PEIXE;11.690;16.032;11.750;7.757;18.255;22.555;13.072;19.298;19.637;18.190;17.743;18.312;
MG;312247;DOM BOSCO;1.823;1.804;2.258;2.196;1.880;1.581;2.581;2.143;1.624;1.282;1.201;1.472;
SC;420665;GUATAMBÚ;1.097;2.399;2.073;1.003;232;1.122;3.983;3.916;2.878;2.071;3.205;4.582;
MG;313940;MANHUAÇU;47.870;48.711;62.990;68.459;2.105;56.506;27.012;30.732;60.601;66.614;69.632;66.127;
MT;510180;BARRA DO GARÇAS;29.283;34.610;31.238;35.887;32.247;31.117;32.992;36.678;34.877;31.831;31.481;23.639;
RN;240980;PEDRO VELHO;4.426;5.677;5.254;6.023;6.243;5.969;4.964;5.413;5.162;4.007;4.923;3.833;
AM;130406;TABATINGA;65.464;74.099;89.567;77.784;84.580;95.617;81.438;68.387;75.794;60.496;38.785;38.372;
PE;261550;TRACUNHAÉM;8.804;8.089;9.146;9.156;7.598;7.940;5.296;6.667;5.991;5.128;7.134;6.171;
PI;220790;PEDRO II;28.339;30.490;31.988;33.141;29.197;35.746;28.894;33.848;34.326;30.137;30.018;30.407;
SC;420410;CAXAMBU DO SUL;3.568;3.655;3.806;3.436;3.242;3.623;2.612;3.207;3.058;3.453;2.925;3.333;
SP;350535;BARRA DO CHAPÉU;3.663;4.287;4.021;5.145;5.984;5.106;4.861;5.467;5.907;4.792;5.284;5.988;
CE;230130;ARARIPE;18.196;19.328;19.249;21.253;21.002;17.432;19.901;19.434;20.819;21.659;19.906;18.481;
MG;311700;COMERCINHO;8.819;7.225;7.985;7.123;5.921;4.790;5.286;5.833;5.619;5.538;5.898;4.945;
BA;291535;ITAGUAÇU DA BAHIA;12.078;11.680;12.916;13.946;13.632;15.054;12.048;14.749;13.652;12.741;11.958;11.449;
MG;314760;PASSA QUATRO;4.625;4.845;4.432;3.361;5.884;5.302;7.208;7.243;6.684;5.712;4.444;5.538;
MA;210870;PIO XII;21.104;25.129;27.622;28.849;26.790;25.356;24.912;24.401;25.433;23.620;23.805;29.040;
AC;120080;PORTO ACRE;7.329;8.046;8.381;8.184;7.918;8.291;9.355;9.571;7.591;6.650;6.938;8.571;
BA;290225;ARATACA;3.994;5.243;6.545;6.806;6.051;6.197;4.102;5.613;6.393;5.450;6.718;6.346;
BA;290030;ACAJUTIBA;10.879;12.165;16.882;14.567;14.736;13.240;8.603;13.601;13.159;13.329;11.683;11.008;
SC;421875;TUNÁPOLIS;4.677;5.469;5.435;5.130;5.090;4.434;3.696;5.145;4.570;5.344;4.841;2.655;
MG;313750;LAGOA FORMOSA;13.103;18.044;19.116;15.131;7.427;7.156;20.579;19.855;19.528;17.499;15.719;10.513;
PB;250330;CACHOEIRA DOS ÍNDIOS;7.058;9.429;9.967;10.208;10.217;11.956;9.438;9.845;10.433;10.140;12.667;11.710;
RJ;330080;CACHOEIRAS DE MACACU;15.505;20.295;20.950;19.695;20.856;21.448;20.879;19.759;18.810;18.744;17.064;15.582;
GO;521525;NOVO PLANALTO;2.322;2.578;2.321;1.781;2.434;1.547;1.042;1.176;1.383;1.107;1.425;1.132;
PI;220410;FRANCISCO AYRES;3.031;5.329;4.764;4.721;5.245;4.770;5.347;4.700;4.785;4.644;3.976;5.595;
SP;350330;ARARAS;2.158;3.072;3.407;4.058;3.354;2.347;2.332;2.018;1.633;2.337;2.453;1.422;
RS;430642;DOIS IRMÃOS DAS MISSÕES;757;1.390;1.559;1.412;1.365;646;668;1.045;1.140;912;662;224;
