"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""350010 ADAMANTINA"";276793;675723;19580;133217;1105313"
"""350020 ADOLFO"";222615;1905;-;23274;247794"
"""350030 AGUAI"";385693;486897;-;866;873456"
"""350040 AGUAS DA PRATA"";72152;58785;-;39;130976"
"""350050 AGUAS DE LINDOIA"";457;76390;-;697;77544"
"""350055 AGUAS DE SANTA BARBARA"";62190;53281;-;1;115472"
"""350060 AGUAS DE SAO PEDRO"";71192;204642;-;1350;277184"
"""350070 AGUDOS"";457927;390904;-;1597;850428"
"""350075 ALAMBARI"";150329;38518;-;6425;195272"
"""350080 ALFREDO MARCONDES"";32;21184;-;3216;24432"
"""350090 ALTAIR"";93265;11471;11;76;104823"
"""350100 ALTINOPOLIS"";275583;325355;-;24291;625229"
"""350110 ALTO ALEGRE"";3715;26054;-;1229;30998"
"""350115 ALUMINIO"";58301;196587;32;1368;256288"
"""350120 ALVARES FLORENCE"";533;17085;-;5187;22805"
"""350130 ALVARES MACHADO"";38417;369965;-;1365;409747"
"""350140 ALVARO DE CARVALHO"";111009;11533;-;885;123427"
"""350150 ALVINLANDIA"";22647;-;-;249;22896"
"""350160 AMERICANA"";560122;2752234;37810;9175;3359341"
"""350170 AMERICO BRASILIENSE"";170255;429892;10824;1733;612704"
"""350180 AMERICO DE CAMPOS"";4280;39279;-;5146;48705"
"""350190 AMPARO"";129674;1045780;34639;9777;1219870"
"""350200 ANALANDIA"";88609;15188;-;400;104197"
"""350210 ANDRADINA"";509200;663270;8319;66385;1247174"
"""350220 ANGATUBA"";7929;405161;-;481;413571"
"""350230 ANHEMBI"";138210;63641;-;387;202238"
"""350240 ANHUMAS"";53231;45919;-;4745;103895"
"""350250 APARECIDA"";99141;1000854;8999;-;1108994"
"""350260 APARECIDA D'OESTE"";39786;29734;-;2552;72072"
"""350270 APIAI"";18420;197319;-;2612;218351"
"""350275 ARACARIGUAMA"";210802;584818;-;714;796334"
"""350280 ARACATUBA"";456182;2769623;15900391;224365;19350561"
"""350290 ARACOIABA DA SERRA"";103875;604430;-;1077;709382"
