Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2025, NOV/2025, OUT/2025, SET/2025, AGO/2025, JUL/2025, JUN/2025, MAI/2025, ABR/2025, MAR/2025, FEV/2025, JAN/2025."
Tipo de Produção: Procedimento.


Uf;Ibge;Municipio;DEZ/2025;NOV/2025;OUT/2025;SET/2025;AGO/2025;JUL/2025;JUN/2025;MAI/2025;ABR/2025;MAR/2025;FEV/2025;JAN/2025;
BA;291290;IBIRATAIA;5.369;5.752;7.437;6.684;7.076;7.939;5.060;6.371;6.843;5.603;6.094;5.906;
PR;412760;TIJUCAS DO SUL;1.632;5.836;7.724;7.091;6.516;6.293;4.663;7.007;7.327;6.243;6.030;3.323;
SP;350780;BRODOWSKI;4.662;5.136;6.072;3.435;5.977;5.644;5.721;6.411;4.353;4.804;5.304;1.370;
AL;270160;CANAPI;5.917;6.859;6.883;7.153;14.920;18.316;12.253;10.830;12.044;12.217;10.629;10.652;
SP;350850;CAÇAPAVA;18.414;22.189;23.442;24.741;22.180;23.041;24.788;33.624;36.350;36.663;37.989;38.910;
MG;311690;COMENDADOR GOMES;1.250;1.518;1.525;1.646;1.333;1.405;1.287;1.180;1.232;1.256;1.204;1.188;
MG;313010;IGARAPÉ;14.332;14.302;18.739;18.835;17.210;19.600;16.929;16.168;13.565;14.708;15.747;16.189;
AM;130370;SANTO ANTÔNIO DO IÇÁ;15.402;17.636;17.293;17.151;19.069;18.013;18.699;19.970;17.072;14.331;14.400;16.441;
SP;353270;NIPOÃ;5.172;5.872;6.962;6.880;7.415;5.662;6.360;8.063;8.459;6.451;6.555;6.103;
SP;350400;ASSIS;23.171;27.233;31.704;35.534;32.766;32.141;28.727;31.527;33.008;29.908;30.283;27.253;
CE;230070;ALTO SANTO;7.652;7.899;9.726;10.275;8.463;6.223;7.033;4.917;5.794;5.324;5.918;4.732;
BA;291465;ITABELA;4.513;8.217;8.830;5.687;9.245;8.207;7.404;7.893;9.129;8.092;9.104;6.583;
PB;250230;BOM SUCESSO;644;886;1.308;1.246;1.160;1.226;653;927;918;693;947;592;
MG;313150;IPUIÚNA;3.750;4.271;5.387;5.505;5.288;5.167;5.088;4.435;4.937;4.925;4.543;3.553;
PI;221140;VÁRZEA GRANDE;1.368;1.639;1.539;1.803;2.356;2.045;1.122;1.206;1.237;1.119;1.511;1.256;
RS;432237;UNISTALDA;763;662;1.314;639;798;928;800;923;707;691;893;559;
RN;241170;SÃO BENTO DO TRAIRÍ;1.296;1.314;1.207;1.073;1.276;1.045;884;1.072;1.052;1.085;1.068;1.026;
RJ;330023;ARMAÇÃO DOS BÚZIOS;6.750;6.588;8.974;9.082;8.273;7.297;7.221;6.194;6.530;5.736;6.807;6.823;
PE;260875;LAGOA GRANDE;3.850;4.140;4.328;7.015;7.612;6.802;5.732;6.403;5.248;4.865;6.706;5.667;
PE;260740;ITACURUBA;1.742;2.189;2.349;2.164;1.866;2.202;798;649;691;1.181;1.357;460;
MG;314120;MATUTINA;1.771;1.667;1.397;808;1.048;1.591;1.379;1.726;1.546;1.624;1.786;1.110;
SP;355460;TIMBURI;3.629;3.572;4.165;3.778;4.058;3.643;3.192;3.848;3.630;4.219;3.513;2.993;
GO;522140;TRINDADE;20.797;24.396;29.886;30.116;25.299;10.222;21.428;23.731;21.864;19.859;21.980;18.129;
MG;313835;LEME DO PRADO;2.529;3.373;3.618;3.494;3.652;2.848;3.133;3.304;3.160;2.878;3.594;2.913;
PE;260795;JAQUEIRA;1.847;2.326;2.401;2.235;2.892;2.579;1.824;2.217;2.168;2.028;1.536;1.548;
MS;500630;PARANAÍBA;9.201;11.007;13.766;13.206;12.128;13.142;11.954;13.836;13.606;13.066;13.845;10.633;
PE;260020;AFRÂNIO;5.265;6.884;7.458;8.366;7.271;8.380;5.317;6.778;3.129;5.818;6.795;6.217;
RO;110175;VALE DO ANARI;1.325;1.763;1.743;2.068;2.285;2.177;1.928;2.130;1.950;1.788;2.303;1.881;
PA;150420;MARABÁ;43.143;46.965;53.009;52.174;45.853;48.076;45.320;44.286;46.037;43.854;47.749;47.926;
GO;521839;PROFESSOR JAMIL;4.064;4.417;4.965;5.057;4.389;4.572;4.044;3.973;3.325;3.795;3.557;3.430;
RS;432330;VILA FLORES;3.116;3.177;3.433;3.314;3.401;3.655;3.089;3.686;3.407;2.989;2.743;2.449;
AL;270860;SÃO MIGUEL DOS CAMPOS;18.559;26.000;26.709;24.676;31.660;35.402;17.591;17.659;17.585;17.169;18.298;15.271;
MG;315970;SANTA ROSA DA SERRA;1.276;2.136;2.554;1.840;2.320;2.362;2.159;2.539;2.505;2.251;2.297;2.096;
MA;210880;PIRAPEMAS;1.466;3.802;4.394;3.177;2.619;1.855;1.750;1.839;2.644;1.946;1.843;824;
SC;420845;ITAPOÁ;21.526;30.419;32.066;20.517;31.282;25.235;18.873;32.341;34.069;24.346;27.064;22.828;
MG;313170;ITABIRA;25.502;29.478;30.420;32.972;28.172;31.658;29.650;32.419;30.263;29.625;30.386;30.080;
SP;351460;DUMONT;10.259;10.725;10.419;9.636;10.299;9.529;8.926;11.257;10.495;10.202;9.408;8.739;
SP;352050;INDAIATUBA;30.194;39.828;47.604;49.593;45.482;45.240;44.800;51.691;66.636;58.120;46.518;39.129;
