"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;1242250,43;-;1242250,43"
"""110002 ARIQUEMES"";223655,04;6178704,30;-;8014440,68;-;14416800,02"
"""110003 CABIXI"";-;-;-;204369,02;-;204369,02"
"""110004 CACOAL"";103136,76;4815529,40;-;15170512,41;-;20089178,57"
"""110005 CEREJEIRAS"";-;-;-;757881,16;-;757881,16"
"""110006 COLORADO DO OESTE"";-;-;-;913374,44;-;913374,44"
"""110007 CORUMBIARA"";-;-;-;129476,69;-;129476,69"
"""110008 COSTA MARQUES"";-;-;-;390410,97;-;390410,97"
"""110009 ESPIGAO D'OESTE"";-;-;-;1594525,57;-;1594525,57"
"""110010 GUAJARA-MIRIM"";-;-;-;664346,01;-;664346,01"
"""110011 JARU"";-;694,08;-;6176048,50;-;6176742,58"
"""110012 JI-PARANA"";230004,18;5410626,87;-;29784058,23;-;35424689,28"
"""110013 MACHADINHO D'OESTE"";-;-;-;1997768,92;-;1997768,92"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;242781,02;-;242781,02"
"""110015 OURO PRETO DO OESTE"";-;-;-;1616986,66;-;1616986,66"
"""110018 PIMENTA BUENO"";-;-;-;2096672,00;-;2096672,00"
"""110020 PORTO VELHO"";716620,39;18144457,57;-;121237150,63;-;140098228,59"
"""110025 PRESIDENTE MEDICI"";-;-;-;421297,11;-;421297,11"
"""110026 RIO CRESPO"";-;-;-;70768,02;-;70768,02"
"""110028 ROLIM DE MOURA"";-;-;-;4528711,35;-;4528711,35"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;162613,05;-;162613,05"
"""110030 VILHENA"";-;3869657,95;-;5659466,96;-;9529124,91"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;-;700600,67;-;700600,67"
"""110033 NOVA MAMORE"";-;-;-;722764,69;-;722764,69"
"""110034 ALVORADA D'OESTE"";-;-;-;318520,38;-;318520,38"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;137063,02;-;137063,02"
"""110040 ALTO PARAISO"";-;-;-;331146,09;-;331146,09"
"""110045 BURITIS"";-;-;-;1719098,43;-;1719098,43"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;946789,64;-;946789,64"
"""110060 CACAULANDIA"";-;-;-;350504,36;-;350504,36"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;203373,48;-;203373,48"
"""110080 CANDEIAS DO JAMARI"";-;-;-;625878,24;-;625878,24"
"""110090 CASTANHEIRAS"";-;-;-;34859,98;-;34859,98"
"""110092 CHUPINGUAIA"";-;-;-;119817,36;-;119817,36"
"""110094 CUJUBIM"";-;-;-;1665078,04;-;1665078,04"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;37545,87;-;37545,87"
"""110110 ITAPUA DO OESTE"";-;-;-;350872,19;-;350872,19"
"""110120 MINISTRO ANDREAZZA"";-;-;-;123245,75;-;123245,75"
"""110130 MIRANTE DA SERRA"";-;-;-;649632,94;-;649632,94"
"""110140 MONTE NEGRO"";-;-;-;491137,97;-;491137,97"
"""110143 NOVA UNIAO"";-;-;-;422122,82;-;422122,82"
"""110145 PARECIS"";-;-;-;169978,87;-;169978,87"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;86552,40;-;86552,40"
"""110147 PRIMAVERA DE RONDONIA"";-;-;-;2677,17;-;2677,17"
"""110148 SAO FELIPE D'OESTE"";-;-;-;144727,21;-;144727,21"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;-;909502,58;-;909502,58"
"""110150 SERINGUEIRAS"";-;-;-;482330,38;-;482330,38"
"""110155 TEIXEIROPOLIS"";-;-;-;110907,29;-;110907,29"
"""110160 THEOBROMA"";-;-;-;267768,37;-;267768,37"
"""110170 URUPA"";-;-;-;488550,52;-;488550,52"
"""110175 VALE DO ANARI"";-;-;-;273239,76;-;273239,76"
"""110180 VALE DO PARAISO"";-;-;-;233967,68;-;233967,68"
"""120001 ACRELANDIA"";-;-;-;25868,78;-;25868,78"
"""120005 ASSIS BRASIL"";-;-;-;401463,10;-;401463,10"
"""120010 BRASILEIA"";-;-;-;1846153,56;-;1846153,56"
"""120017 CAPIXABA"";-;-;-;6299,71;-;6299,71"
"""120020 CRUZEIRO DO SUL"";26556,50;1770413,00;-;5260525,13;-;7057494,63"
"""120025 EPITACIOLANDIA"";-;-;-;288,15;-;288,15"
"""120030 FEIJO"";-;-;-;579184,33;-;579184,33"
"""120032 JORDAO"";-;-;-;32606,89;-;32606,89"
"""120033 MANCIO LIMA"";-;-;-;726482,79;-;726482,79"
"""120034 MANOEL URBANO"";-;-;-;300651,44;-;300651,44"
"""120035 MARECHAL THAUMATURGO"";-;-;-;224305,62;-;224305,62"
"""120038 PLACIDO DE CASTRO"";-;-;-;477777,20;-;477777,20"
"""120039 PORTO WALTER"";-;-;-;81121,86;-;81121,86"
"""120040 RIO BRANCO"";192745,41;12320988,58;-;58590033,63;-;71103767,62"
"""120042 RODRIGUES ALVES"";-;-;-;286120,70;-;286120,70"
"""120043 SANTA ROSA DO PURUS"";-;-;-;55660,46;-;55660,46"
"""120045 SENADOR GUIOMARD"";-;-;-;1729497,07;-;1729497,07"
"""120050 SENA MADUREIRA"";-;-;-;1208186,94;-;1208186,94"
"""120060 TARAUACA"";-;-;-;497592,12;-;497592,12"
"""120070 XAPURI"";-;-;-;514857,70;-;514857,70"
"""130002 ALVARAES"";-;-;-;27410,43;-;27410,43"
"""130006 AMATURA"";-;-;-;508286,82;-;508286,82"
"""130008 ANAMA"";-;-;-;135120,15;-;135120,15"
"""130010 ANORI"";-;-;-;339670,54;-;339670,54"
"""130014 APUI"";-;-;-;562159,67;-;562159,67"
"""130020 ATALAIA DO NORTE"";-;-;-;428250,25;-;428250,25"
"""130030 AUTAZES"";-;-;-;798292,86;1544,00;799836,86"
"""130040 BARCELOS"";-;-;-;300668,68;-;300668,68"
"""130050 BARREIRINHA"";-;-;-;413245,71;-;413245,71"
"""130060 BENJAMIN CONSTANT"";-;-;-;337517,61;-;337517,61"
"""130063 BERURI"";-;-;-;63711,67;-;63711,67"
"""130068 BOA VISTA DO RAMOS"";-;-;-;343876,87;-;343876,87"
"""130070 BOCA DO ACRE"";-;-;-;1561327,01;-;1561327,01"
"""130080 BORBA"";-;-;-;205906,59;-;205906,59"
"""130083 CAAPIRANGA"";-;-;-;274810,64;-;274810,64"
"""130090 CANUTAMA"";-;-;-;354735,95;-;354735,95"
"""130100 CARAUARI"";-;-;-;875376,57;7600,00;882976,57"
"""130110 CAREIRO"";-;-;16,00;940911,76;1050,00;941977,76"
"""130115 CAREIRO DA VARZEA"";-;-;-;314465,32;-;314465,32"
"""130120 COARI"";-;-;-;6701664,18;-;6701664,18"
"""130130 CODAJAS"";-;-;-;308963,22;-;308963,22"
"""130140 EIRUNEPE"";-;-;-;117529,34;-;117529,34"
"""130150 ENVIRA"";-;-;-;341952,85;1117,00;343069,85"
"""130160 FONTE BOA"";-;-;-;3184230,48;-;3184230,48"
"""130165 GUAJARA"";-;-;-;309119,99;-;309119,99"
"""130170 HUMAITA"";-;-;-;4339302,94;-;4339302,94"
"""130180 IPIXUNA"";-;-;-;187103,64;-;187103,64"
"""130185 IRANDUBA"";-;-;-;592476,35;-;592476,35"
"""130190 ITACOATIARA"";-;-;-;9233244,02;-;9233244,02"
"""130195 ITAMARATI"";-;-;-;142906,63;-;142906,63"
"""130200 ITAPIRANGA"";-;-;-;363313,86;-;363313,86"
"""130210 JAPURA"";-;-;-;287058,04;-;287058,04"
"""130230 JUTAI"";-;-;-;69014,58;-;69014,58"
"""130240 LABREA"";-;-;-;1330760,07;-;1330760,07"
"""130250 MANACAPURU"";-;-;-;7344833,57;-;7344833,57"
"""130255 MANAQUIRI"";-;-;-;282823,86;-;282823,86"
"""130260 MANAUS"";1894809,95;39493455,63;-;250703037,51;-;292091303,09"
"""130270 MANICORE"";-;-;-;1466363,31;-;1466363,31"
"""130280 MARAA"";-;-;-;88772,39;-;88772,39"
"""130290 MAUES"";-;-;-;2576200,92;-;2576200,92"
"""130300 NHAMUNDA"";-;-;-;117726,24;-;117726,24"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;2550228,81;-;2550228,81"
"""130320 NOVO AIRAO"";-;-;-;725569,83;-;725569,83"
"""130330 NOVO ARIPUANA"";-;-;-;1034139,30;-;1034139,30"
"""130340 PARINTINS"";-;70987,20;-;8660604,09;-;8731591,29"
"""130350 PAUINI"";-;-;-;388806,53;-;388806,53"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;1173095,10;-;1173095,10"
"""130356 RIO PRETO DA EVA"";-;-;-;1076063,52;-;1076063,52"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;57984,75;-;57984,75"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;734381,23;-;734381,23"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;-;-;482508,67;-;482508,67"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;728001,04;-;728001,04"
"""130395 SAO SEBASTIAO DO UATUMA"";-;-;-;533416,46;-;533416,46"
"""130400 SILVES"";-;-;-;537652,46;-;537652,46"
"""130406 TABATINGA"";-;-;-;1960471,72;-;1960471,72"
"""130410 TAPAUA"";-;-;-;404274,33;-;404274,33"
"""130420 TEFE"";-;-;-;13348178,73;-;13348178,73"
"""130423 TONANTINS"";-;-;-;376155,49;-;376155,49"
"""130426 UARINI"";-;-;-;347980,93;-;347980,93"
"""130430 URUCARA"";-;-;-;390455,54;-;390455,54"
"""130440 URUCURITUBA"";-;-;-;167356,17;-;167356,17"
"""140005 ALTO ALEGRE"";-;-;-;292057,58;-;292057,58"
"""140010 BOA VISTA"";425371,06;10330977,95;-;52605262,52;-;63361611,53"
"""140015 BONFIM"";-;-;-;159648,69;-;159648,69"
"""140017 CANTA"";-;-;-;7515,08;-;7515,08"
"""140020 CARACARAI"";-;-;-;431307,30;-;431307,30"
"""140023 CAROEBE"";-;-;-;297965,45;-;297965,45"
"""140028 IRACEMA"";-;-;-;123585,55;-;123585,55"
"""140030 MUCAJAI"";-;-;-;407974,40;-;407974,40"
"""140040 NORMANDIA"";-;-;-;63532,39;-;63532,39"
"""140045 PACARAIMA"";-;-;-;240965,15;-;240965,15"
"""140047 RORAINOPOLIS"";-;-;-;1051596,34;-;1051596,34"
"""140050 SAO JOAO DA BALIZA"";-;-;-;223391,76;-;223391,76"
"""140060 SAO LUIZ"";-;-;-;244609,71;-;244609,71"
"""150010 ABAETETUBA"";-;-;-;4575350,41;-;4575350,41"
"""150013 ABEL FIGUEIREDO"";-;-;-;74858,14;-;74858,14"
"""150020 ACARA"";-;21,69;-;1824775,95;-;1824797,64"
"""150030 AFUA"";-;-;-;267363,90;-;267363,90"
"""150034 AGUA AZUL DO NORTE"";-;-;-;1896679,30;-;1896679,30"
"""150040 ALENQUER"";-;-;-;788699,85;-;788699,85"
"""150050 ALMEIRIM"";-;-;-;1358429,20;-;1358429,20"
"""150060 ALTAMIRA"";118814,70;3510755,83;-;7051206,04;-;10680776,57"
"""150070 ANAJAS"";-;-;-;43478,51;-;43478,51"
"""150080 ANANINDEUA"";71984,78;13925810,65;-;57383875,96;-;71381671,39"
"""150085 ANAPU"";-;-;-;465830,18;-;465830,18"
"""150090 AUGUSTO CORREA"";-;-;-;889701,32;-;889701,32"
"""150095 AURORA DO PARA"";-;-;-;206828,98;-;206828,98"
"""150120 BAIAO"";-;-;-;801204,47;-;801204,47"
"""150125 BANNACH"";-;-;-;185379,67;-;185379,67"
"""150130 BARCARENA"";-;715,77;-;8422119,16;-;8422834,93"
"""150140 BELEM"";3198582,71;41400063,52;-;252942754,11;-;297541400,34"
"""150145 BELTERRA"";-;-;-;270793,45;-;270793,45"
"""150150 BENEVIDES"";-;-;-;2989105,04;-;2989105,04"
"""150157 BOM JESUS DO TOCANTINS"";-;-;-;170047,96;-;170047,96"
"""150160 BONITO"";-;-;-;152695,07;-;152695,07"
"""150170 BRAGANCA"";4566,24;1771490,64;-;7531422,34;-;9307479,22"
"""150172 BRASIL NOVO"";-;-;-;736036,33;-;736036,33"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;32301,23;-;32301,23"
"""150178 BREU BRANCO"";-;-;-;2033952,24;-;2033952,24"
"""150180 BREVES"";-;552751,18;-;4157351,88;-;4710103,06"
"""150190 BUJARU"";-;-;-;746205,29;-;746205,29"
"""150195 CACHOEIRA DO PIRIA"";-;-;-;479073,04;-;479073,04"
"""150200 CACHOEIRA DO ARARI"";-;-;-;273859,21;-;273859,21"
"""150210 CAMETA"";-;-;-;4104313,52;-;4104313,52"
"""150215 CANAA DOS CARAJAS"";-;6312,00;-;5571127,91;-;5577439,91"
"""150220 CAPANEMA"";-;-;-;6459204,99;-;6459204,99"
"""150230 CAPITAO POCO"";-;-;-;2473960,08;-;2473960,08"
"""150240 CASTANHAL"";167604,44;11069756,30;-;19663290,98;-;30900651,72"
"""150250 CHAVES"";-;-;-;7558,64;-;7558,64"
"""150260 COLARES"";-;-;-;442486,82;-;442486,82"
"""150270 CONCEICAO DO ARAGUAIA"";77228,59;-;-;2792992,59;-;2870221,18"
"""150275 CONCORDIA DO PARA"";-;-;-;1178836,76;-;1178836,76"
"""150276 CUMARU DO NORTE"";-;-;-;554970,53;-;554970,53"
"""150277 CURIONOPOLIS"";-;-;-;390991,63;-;390991,63"
"""150280 CURRALINHO"";-;-;-;236710,14;-;236710,14"
"""150290 CURUCA"";-;-;-;1531458,79;-;1531458,79"
"""150293 DOM ELISEU"";-;-;-;2477546,25;-;2477546,25"
"""150295 ELDORADO DOS CARAJAS"";-;-;-;6052059,73;-;6052059,73"
"""150300 FARO"";-;-;-;28454,57;-;28454,57"
"""150304 FLORESTA DO ARAGUAIA"";-;-;-;3872862,38;-;3872862,38"
"""150307 GARRAFAO DO NORTE"";-;-;-;382630,60;-;382630,60"
"""150309 GOIANESIA DO PARA"";-;-;-;1141683,00;-;1141683,00"
"""150310 GURUPA"";-;-;-;2446574,38;-;2446574,38"
"""150320 IGARAPE-ACU"";-;-;-;1923055,60;-;1923055,60"
"""150330 IGARAPE-MIRI"";-;-;-;629803,07;-;629803,07"
"""150340 INHANGAPI"";-;-;-;354795,99;-;354795,99"
"""150345 IPIXUNA DO PARA"";-;-;-;926523,46;-;926523,46"
"""150350 IRITUIA"";-;-;-;1096042,76;-;1096042,76"
"""150360 ITAITUBA"";-;889,29;-;6725880,82;-;6726770,11"
"""150370 ITUPIRANGA"";-;-;-;1274157,86;-;1274157,86"
"""150375 JACAREACANGA"";-;-;-;671553,28;-;671553,28"
"""150380 JACUNDA"";-;-;-;828650,08;-;828650,08"
"""150390 JURUTI"";-;-;-;1899590,92;-;1899590,92"
"""150400 LIMOEIRO DO AJURU"";-;-;-;232867,06;-;232867,06"
"""150405 MAE DO RIO"";-;-;-;619179,85;-;619179,85"
"""150410 MAGALHAES BARATA"";-;-;-;104779,73;-;104779,73"
"""150420 MARABA"";139032,42;8105665,09;-;17179884,90;-;25424582,41"
"""150430 MARACANA"";-;-;-;612686,56;-;612686,56"
"""150440 MARAPANIM"";-;-;-;272731,52;-;272731,52"
"""150442 MARITUBA"";37310,94;4249215,68;-;9787967,66;-;14074494,28"
"""150445 MEDICILANDIA"";-;-;-;1556270,44;-;1556270,44"
"""150450 MELGACO"";-;-;-;340432,56;-;340432,56"
"""150460 MOCAJUBA"";-;-;-;648581,64;-;648581,64"
"""150470 MOJU"";-;66414,78;-;2554453,58;-;2620868,36"
"""150475 MOJUI DOS CAMPOS"";-;-;-;174552,48;-;174552,48"
"""150480 MONTE ALEGRE"";-;-;-;1725829,16;-;1725829,16"
"""150490 MUANA"";-;-;-;1480512,86;-;1480512,86"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;-;300276,56;-;300276,56"
"""150497 NOVA IPIXUNA"";-;-;-;372696,02;-;372696,02"
"""150500 NOVA TIMBOTEUA"";-;-;-;78234,64;-;78234,64"
"""150503 NOVO PROGRESSO"";-;-;-;699948,38;-;699948,38"
"""150506 NOVO REPARTIMENTO"";-;-;-;1469665,77;-;1469665,77"
"""150510 OBIDOS"";-;-;-;1879947,04;-;1879947,04"
