"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""150520 OEIRAS DO PARA"";-;-;-;307439,48;-;307439,48"
"""150530 ORIXIMINA"";-;-;-;2485099,34;-;2485099,34"
"""150540 OUREM"";-;-;-;814386,35;-;814386,35"
"""150543 OURILANDIA DO NORTE"";-;-;-;2577156,53;-;2577156,53"
"""150548 PACAJA"";-;-;-;1429352,13;-;1429352,13"
"""150549 PALESTINA DO PARA"";-;-;-;88214,48;-;88214,48"
"""150550 PARAGOMINAS"";-;-;-;4772396,20;-;4772396,20"
"""150553 PARAUAPEBAS"";218285,70;2105502,49;-;20619367,37;-;22943155,56"
"""150555 PAU D'ARCO"";-;-;-;1118928,27;-;1118928,27"
"""150560 PEIXE-BOI"";-;-;-;120213,56;-;120213,56"
"""150563 PICARRA"";-;-;-;157975,79;-;157975,79"
"""150565 PLACAS"";-;-;-;1363445,14;-;1363445,14"
"""150570 PONTA DE PEDRAS"";-;-;-;168252,85;-;168252,85"
"""150580 PORTEL"";-;-;-;556153,61;-;556153,61"
"""150590 PORTO DE MOZ"";-;-;-;1216700,87;-;1216700,87"
"""150600 PRAINHA"";-;-;-;296279,80;-;296279,80"
"""150610 PRIMAVERA"";-;-;-;200364,54;-;200364,54"
"""150611 QUATIPURU"";-;-;-;208714,85;-;208714,85"
"""150613 REDENCAO"";22348,20;6468802,58;-;8354951,04;-;14846101,82"
"""150616 RIO MARIA"";-;-;-;1091695,15;-;1091695,15"
"""150618 RONDON DO PARA"";-;-;-;1333019,38;-;1333019,38"
"""150619 RUROPOLIS"";-;-;-;1069538,21;-;1069538,21"
"""150620 SALINOPOLIS"";-;-;-;2244734,92;-;2244734,92"
"""150630 SALVATERRA"";-;-;-;683587,12;-;683587,12"
"""150635 SANTA BARBARA DO PARA"";-;-;-;365912,76;-;365912,76"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;113048,56;-;113048,56"
"""150650 SANTA IZABEL DO PARA"";-;-;-;1780661,14;-;1780661,14"
"""150655 SANTA LUZIA DO PARA"";-;-;-;91659,29;-;91659,29"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;-;970113,52;-;970113,52"
"""150660 SANTA MARIA DO PARA"";-;-;-;330563,53;-;330563,53"
"""150670 SANTANA DO ARAGUAIA"";-;-;-;4653520,61;-;4653520,61"
"""150680 SANTAREM"";232898,39;10346088,43;267794,00;30681431,69;9139,00;41537351,51"
"""150690 SANTAREM NOVO"";-;-;-;23271,89;-;23271,89"
"""150700 SANTO ANTONIO DO TAUA"";-;-;-;394511,69;-;394511,69"
"""150710 SAO CAETANO DE ODIVELAS"";-;-;-;22853,88;-;22853,88"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;-;258373,94;-;258373,94"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;-;642972,00;-;642972,00"
"""150730 SAO FELIX DO XINGU"";-;-;-;1972882,07;-;1972882,07"
"""150740 SAO FRANCISCO DO PARA"";-;-;-;141280,11;-;141280,11"
"""150745 SAO GERALDO DO ARAGUAIA"";-;-;-;1310699,13;-;1310699,13"
"""150746 SAO JOAO DA PONTA"";-;-;-;26137,50;-;26137,50"
"""150747 SAO JOAO DE PIRABAS"";-;-;-;949247,78;-;949247,78"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;-;101177,27;-;101177,27"
"""150760 SAO MIGUEL DO GUAMA"";-;-;-;2093613,84;-;2093613,84"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;-;-;491205,23;-;491205,23"
"""150775 SAPUCAIA"";-;-;-;1121127,30;-;1121127,30"
"""150780 SENADOR JOSE PORFIRIO"";-;-;-;147515,76;-;147515,76"
"""150790 SOURE"";-;-;-;355829,73;-;355829,73"
"""150795 TAILANDIA"";-;-;-;4899970,08;-;4899970,08"
"""150796 TERRA ALTA"";-;-;-;107149,60;-;107149,60"
"""150797 TERRA SANTA"";-;-;-;754195,48;-;754195,48"
"""150800 TOME-ACU"";-;-;-;2460881,38;-;2460881,38"
"""150803 TRACUATEUA"";-;-;-;417520,99;-;417520,99"
"""150805 TRAIRAO"";-;-;-;375604,20;-;375604,20"
"""150808 TUCUMA"";-;-;-;2243750,73;-;2243750,73"
"""150810 TUCURUI"";33728,04;-;-;9654509,78;-;9688237,82"
"""150812 ULIANOPOLIS"";29227,00;6734633,18;-;1665278,56;-;8429138,74"
"""150815 URUARA"";-;-;-;2826801,04;-;2826801,04"
"""150820 VIGIA"";-;-;-;1343599,37;-;1343599,37"
"""150830 VISEU"";-;-;-;1904253,25;-;1904253,25"
"""150835 VITORIA DO XINGU"";-;-;-;677940,27;-;677940,27"
"""150840 XINGUARA"";-;-;-;7416110,38;-;7416110,38"
"""160005 SERRA DO NAVIO"";-;-;-;75927,21;-;75927,21"
"""160010 AMAPA"";-;-;-;144270,43;-;144270,43"
"""160015 PEDRA BRANCA DO AMAPARI"";-;-;-;452778,10;-;452778,10"
"""160020 CALCOENE"";-;-;-;146062,00;-;146062,00"
"""160023 FERREIRA GOMES"";-;-;-;199262,60;-;199262,60"
"""160027 LARANJAL DO JARI"";-;-;-;2817463,01;-;2817463,01"
"""160030 MACAPA"";933729,07;18238471,50;-;47189963,26;-;66362163,83"
"""160040 MAZAGAO"";-;-;-;302532,94;-;302532,94"
"""160050 OIAPOQUE"";-;-;-;777630,31;-;777630,31"
"""160053 PORTO GRANDE"";-;-;-;444129,97;-;444129,97"
"""160060 SANTANA"";-;3730,68;-;4830677,27;-;4834407,95"
"""160070 TARTARUGALZINHO"";-;-;-;259964,83;-;259964,83"
"""160080 VITORIA DO JARI"";-;-;-;142168,57;-;142168,57"
"""170025 ABREULANDIA"";-;-;-;10970,13;-;10970,13"
"""170030 AGUIARNOPOLIS"";-;-;-;36657,05;-;36657,05"
"""170035 ALIANCA DO TOCANTINS"";-;-;-;189282,77;-;189282,77"
"""170040 ALMAS"";-;-;-;193970,47;-;193970,47"
"""170070 ALVORADA"";-;-;-;487260,80;-;487260,80"
"""170100 ANANAS"";-;-;-;81652,56;-;81652,56"
"""170105 ANGICO"";-;-;-;37673,05;-;37673,05"
"""170110 APARECIDA DO RIO NEGRO"";-;-;-;87356,89;-;87356,89"
"""170130 ARAGOMINAS"";-;-;-;28846,60;-;28846,60"
"""170190 ARAGUACEMA"";-;-;-;162175,80;-;162175,80"
"""170200 ARAGUACU"";-;-;-;580475,93;-;580475,93"
"""170210 ARAGUAINA"";394102,88;5679969,49;-;21075964,45;-;27150036,82"
"""170215 ARAGUANA"";-;-;-;54022,93;-;54022,93"
"""170220 ARAGUATINS"";-;1760,00;-;4287133,98;-;4288893,98"
"""170230 ARAPOEMA"";-;-;-;434041,10;-;434041,10"
"""170240 ARRAIAS"";-;-;-;317897,11;-;317897,11"
"""170255 AUGUSTINOPOLIS"";-;2007,50;-;1353682,07;-;1355689,57"
"""170270 AURORA DO TOCANTINS"";-;-;-;29150,00;-;29150,00"
"""170290 AXIXA DO TOCANTINS"";-;-;-;51720,36;-;51720,36"
"""170300 BABACULANDIA"";-;-;-;61482,65;-;61482,65"
"""170305 BANDEIRANTES DO TOCANTINS"";-;-;-;25053,57;-;25053,57"
"""170307 BARRA DO OURO"";-;-;-;28200,00;-;28200,00"
"""170310 BARROLANDIA"";-;-;-;163927,55;-;163927,55"
"""170330 BOM JESUS DO TOCANTINS"";-;-;-;15812,00;-;15812,00"
"""170370 BREJINHO DE NAZARE"";-;-;-;109132,94;-;109132,94"
"""170380 BURITI DO TOCANTINS"";-;-;-;32845,36;-;32845,36"
"""170382 CACHOEIRINHA"";-;-;-;6150,00;-;6150,00"
"""170386 CARIRI DO TOCANTINS"";-;-;-;87897,59;-;87897,59"
"""170389 CARRASCO BONITO"";-;-;-;33789,25;-;33789,25"
"""170390 CASEARA"";-;-;-;42651,04;-;42651,04"
"""170410 CENTENARIO"";-;-;-;108,00;-;108,00"
"""170460 CHAPADA DE AREIA"";-;-;-;46326,67;-;46326,67"
"""170510 CHAPADA DA NATIVIDADE"";-;-;-;13823,55;-;13823,55"
"""170550 COLINAS DO TOCANTINS"";-;-;-;1540868,67;-;1540868,67"
"""170555 COMBINADO"";-;-;-;111021,55;-;111021,55"
"""170560 CONCEICAO DO TOCANTINS"";-;-;-;58845,84;-;58845,84"
"""170600 COUTO MAGALHAES"";-;-;-;57610,51;-;57610,51"
"""170610 CRISTALANDIA"";-;-;-;274652,59;-;274652,59"
"""170625 CRIXAS DO TOCANTINS"";-;-;-;44775,24;-;44775,24"
"""170650 DARCINOPOLIS"";-;-;-;16931,51;-;16931,51"
"""170700 DIANOPOLIS"";-;-;-;520314,12;-;520314,12"
"""170710 DIVINOPOLIS DO TOCANTINS"";-;-;-;489291,52;-;489291,52"
"""170720 DOIS IRMAOS DO TOCANTINS"";-;-;-;153576,32;-;153576,32"
"""170730 DUERE"";-;-;-;100987,35;-;100987,35"
"""170740 ESPERANTINA"";-;-;-;95690,44;-;95690,44"
"""170755 FATIMA"";-;-;-;6810,00;-;6810,00"
"""170765 FIGUEIROPOLIS"";-;-;-;56530,26;-;56530,26"
"""170770 FILADELFIA"";-;-;-;71484,59;-;71484,59"
"""170820 FORMOSO DO ARAGUAIA"";-;-;-;626001,62;-;626001,62"
"""170825 TABOCAO"";-;65,07;-;111590,16;-;111655,23"
"""170830 GOIANORTE"";-;-;-;65954,15;-;65954,15"
"""170900 GOIATINS"";-;-;-;73895,97;-;73895,97"
"""170930 GUARAI"";-;-;-;1539792,58;-;1539792,58"
"""170950 GURUPI"";40827,82;4368421,16;-;6642583,30;-;11051832,28"
"""170980 IPUEIRAS"";-;-;-;34482,81;-;34482,81"
"""171050 ITACAJA"";-;-;-;44187,98;-;44187,98"
"""171070 ITAGUATINS"";-;-;-;22958,55;-;22958,55"
"""171090 ITAPIRATINS"";-;-;-;75724,88;-;75724,88"
"""171110 ITAPORA DO TOCANTINS"";-;-;-;17954,92;-;17954,92"
"""171150 JAU DO TOCANTINS"";-;-;-;71364,33;-;71364,33"
"""171190 LAGOA DA CONFUSAO"";-;-;-;62452,27;-;62452,27"
"""171200 LAJEADO"";-;-;-;108754,18;-;108754,18"
"""171215 LAVANDEIRA"";-;-;-;73906,00;-;73906,00"
"""171245 LUZINOPOLIS"";-;-;-;37329,00;-;37329,00"
"""171250 MARIANOPOLIS DO TOCANTINS"";-;-;-;73834,45;-;73834,45"
"""171270 MATEIROS"";-;-;-;27072,35;-;27072,35"
"""171280 MAURILANDIA DO TOCANTINS"";-;-;-;10114,00;-;10114,00"
"""171320 MIRACEMA DO TOCANTINS"";-;-;-;1983478,51;-;1983478,51"
"""171330 MIRANORTE"";-;-;-;626245,59;-;626245,59"
"""171360 MONTE DO CARMO"";-;-;-;99561,15;-;99561,15"
"""171370 MONTE SANTO DO TOCANTINS"";-;-;-;76714,34;-;76714,34"
"""171380 PALMEIRAS DO TOCANTINS"";-;-;-;39150,00;-;39150,00"
"""171395 MURICILANDIA"";-;-;-;8066,55;-;8066,55"
"""171420 NATIVIDADE"";-;-;-;266171,69;-;266171,69"
"""171430 NAZARE"";-;-;-;51122,56;-;51122,56"
