"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";138139;183781;-;128721;450641"
"""110002 ARIQUEMES"";1388319;1598126;619049;182147;3787641"
"""110003 CABIXI"";21394;52043;-;7536;80973"
"""110004 CACOAL"";81361;1337155;656638;110901;2186055"
"""110005 CEREJEIRAS"";355758;178214;7232;74261;615465"
"""110006 COLORADO DO OESTE"";36708;163951;-;17017;217676"
"""110007 CORUMBIARA"";158909;71007;-;27143;257059"
"""110008 COSTA MARQUES"";73549;152994;-;4882;231425"
"""110009 ESPIGAO D'OESTE"";84535;466572;-;69213;620320"
"""110010 GUAJARA-MIRIM"";103539;146551;241;7153;257484"
"""110011 JARU"";328054;1015863;1156;187344;1532417"
"""110012 JI-PARANA"";56252;2063777;1102778;83466;3306273"
"""110013 MACHADINHO D'OESTE"";128320;399570;-;120314;648204"
"""110014 NOVA BRASILANDIA D'OESTE"";106604;119019;129;25341;251093"
"""110015 OURO PRETO DO OESTE"";48804;474234;506;115829;639373"
"""110018 PIMENTA BUENO"";56474;526725;96;58951;642246"
"""110020 PORTO VELHO"";1575960;11807680;2222728;376784;15983152"
"""110025 PRESIDENTE MEDICI"";4084;62647;-;823;67554"
"""110026 RIO CRESPO"";29025;27954;-;19262;76241"
"""110028 ROLIM DE MOURA"";428536;807316;370756;145170;1751778"
"""110029 SANTA LUZIA D'OESTE"";124640;69720;-;20750;215110"
"""110030 VILHENA"";67468;527692;6220;5219;606599"
"""110032 SAO MIGUEL DO GUAPORE"";212723;91897;-;64689;369309"
"""110033 NOVA MAMORE"";39113;155625;38;63886;258662"
"""110034 ALVORADA D'OESTE"";98307;142730;-;27232;268269"
"""110037 ALTO ALEGRE DOS PARECIS"";95633;74271;-;44381;214285"
"""110040 ALTO PARAISO"";28698;217577;-;71020;317295"
"""110045 BURITIS"";496668;348109;-;165863;1010640"
"""110050 NOVO HORIZONTE DO OESTE"";12973;72378;544;30418;116313"
"""110060 CACAULANDIA"";44223;42532;52;4403;91210"
"""110070 CAMPO NOVO DE RONDONIA"";118023;38001;-;9626;165650"
"""110080 CANDEIAS DO JAMARI"";19527;130362;-;145;150034"
"""110090 CASTANHEIRAS"";48354;13355;-;4706;66415"
"""110092 CHUPINGUAIA"";52800;59875;-;13082;125757"
"""110094 CUJUBIM"";64989;142495;6;20318;227808"
"""110100 GOVERNADOR JORGE TEIXEIRA"";35511;37146;-;345;73002"
"""110110 ITAPUA DO OESTE"";46668;108139;-;2046;156853"
"""110120 MINISTRO ANDREAZZA"";14558;79093;-;993;94644"
"""110130 MIRANTE DA SERRA"";40849;69101;-;327;110277"
"""110140 MONTE NEGRO"";116503;115911;-;32312;264726"
"""110143 NOVA UNIAO"";72;153524;-;2064;155660"
"""110145 PARECIS"";36894;175883;-;183;212960"
"""110146 PIMENTEIRAS DO OESTE"";37505;18507;-;6074;62086"
"""110147 PRIMAVERA DE RONDONIA"";8759;4992;-;1419;15170"
"""110148 SAO FELIPE D'OESTE"";42052;40006;-;22754;104812"
"""110149 SAO FRANCISCO DO GUAPORE"";222131;215566;-;105425;543122"
"""110150 SERINGUEIRAS"";174663;119089;236;3645;297633"
"""110155 TEIXEIROPOLIS"";38621;127015;-;4411;170047"
"""110160 THEOBROMA"";18808;76760;-;257;95825"
"""110170 URUPA"";50454;99745;250;31421;181870"
"""110175 VALE DO ANARI"";27621;70747;311;72909;171588"
"""110180 VALE DO PARAISO"";14560;32269;-;5111;51940"
"""120001 ACRELANDIA"";23443;33452;-;801;57696"
"""120005 ASSIS BRASIL"";17518;147323;-;251;165092"
"""120010 BRASILEIA"";2257;647870;11655;424;662206"
"""120013 BUJARI"";-;502;-;13;515"
"""120017 CAPIXABA"";3;2500;-;21;2524"
"""120020 CRUZEIRO DO SUL"";403906;1324366;323486;26802;2078560"
"""120025 EPITACIOLANDIA"";1575;2083;-;496;4154"
"""120030 FEIJO"";2434;271004;-;1537;274975"
"""120032 JORDAO"";2752;8784;-;239;11775"
"""120033 MANCIO LIMA"";54127;234625;-;1056;289808"
