"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";154061;116542;-;84592;355195"
"""110002 ARIQUEMES"";199410;1414113;661895;129202;2404620"
"""110003 CABIXI"";4295;41440;-;2202;47937"
"""110004 CACOAL"";136962;1156273;447618;9192;1750045"
"""110005 CEREJEIRAS"";82983;118009;-;1515;202507"
"""110006 COLORADO DO OESTE"";34837;153569;-;3135;191541"
"""110007 CORUMBIARA"";90028;19907;-;8019;117954"
"""110008 COSTA MARQUES"";12022;85847;-;1095;98964"
"""110009 ESPIGAO D'OESTE"";147781;316552;-;29492;493825"
"""110010 GUAJARA-MIRIM"";18256;116780;-;464;135500"
"""110011 JARU"";612750;1045645;14;18522;1676931"
"""110012 JI-PARANA"";2818503;3130620;1263059;56715;7268897"
"""110013 MACHADINHO D'OESTE"";66022;320276;-;49218;435516"
"""110014 NOVA BRASILANDIA D'OESTE"";45228;39689;-;10677;95594"
"""110015 OURO PRETO DO OESTE"";8130;262774;-;12366;283270"
"""110018 PIMENTA BUENO"";39972;386049;-;37459;463480"
"""110020 PORTO VELHO"";1842196;10017208;1835561;336943;14031908"
"""110025 PRESIDENTE MEDICI"";69749;84340;-;5482;159571"
"""110026 RIO CRESPO"";5690;16733;-;65;22488"
"""110028 ROLIM DE MOURA"";197864;672418;1038;69448;940768"
"""110029 SANTA LUZIA D'OESTE"";130975;34770;-;1025;166770"
"""110030 VILHENA"";91218;957896;22208;9477;1080799"
"""110032 SAO MIGUEL DO GUAPORE"";109903;115112;-;18885;243900"
"""110033 NOVA MAMORE"";50586;142572;339;2049;195546"
"""110034 ALVORADA D'OESTE"";6295;50364;-;1684;58343"
"""110037 ALTO ALEGRE DOS PARECIS"";12103;41861;-;606;54570"
"""110040 ALTO PARAISO"";71501;83715;880;17427;173523"
"""110045 BURITIS"";345024;248344;-;99926;693294"
"""110050 NOVO HORIZONTE DO OESTE"";145486;187810;-;26762;360058"
"""110060 CACAULANDIA"";48758;54282;217;107;103364"
"""110070 CAMPO NOVO DE RONDONIA"";286801;57792;-;2191;346784"
"""110080 CANDEIAS DO JAMARI"";45388;121104;-;180;166672"
"""110090 CASTANHEIRAS"";20309;6041;-;138;26488"
"""110092 CHUPINGUAIA"";30766;24751;-;776;56293"
"""110094 CUJUBIM"";154801;271060;-;11794;437655"
"""110100 GOVERNADOR JORGE TEIXEIRA"";11095;8026;-;444;19565"
"""110110 ITAPUA DO OESTE"";13397;63431;-;2441;79269"
"""110120 MINISTRO ANDREAZZA"";10297;28906;-;229;39432"
"""110130 MIRANTE DA SERRA"";56310;99699;-;481;156490"
"""110140 MONTE NEGRO"";156328;67861;-;42013;266202"
"""110143 NOVA UNIAO"";66;101970;-;1725;103761"
"""110145 PARECIS"";7787;25960;-;3946;37693"
"""110146 PIMENTEIRAS DO OESTE"";195;17366;-;499;18060"
"""110147 PRIMAVERA DE RONDONIA"";6593;1237;-;271;8101"
"""110148 SAO FELIPE D'OESTE"";37201;42575;182;32;79990"
"""110149 SAO FRANCISCO DO GUAPORE"";207986;155453;-;27085;390524"
"""110150 SERINGUEIRAS"";37257;83786;-;1186;122229"
"""110155 TEIXEIROPOLIS"";4800;37109;-;253;42162"
"""110160 THEOBROMA"";12158;63209;-;432;75799"
"""110170 URUPA"";14711;90461;53;810;106035"
"""110175 VALE DO ANARI"";3346;59044;-;236;62626"
"""110180 VALE DO PARAISO"";15086;32875;70;415;48446"
"""120001 ACRELANDIA"";15473;9036;-;532;25041"
"""120005 ASSIS BRASIL"";10679;90492;-;187;101358"
"""120010 BRASILEIA"";3831;374510;1225;868;380434"
"""120013 BUJARI"";-;490;-;-;490"
"""120017 CAPIXABA"";325;1224;-;135;1684"
"""120020 CRUZEIRO DO SUL"";219605;934028;131785;6363;1291781"
"""120025 EPITACIOLANDIA"";144;746;-;673;1563"
"""120030 FEIJO"";1268;143999;-;1201;146468"
"""120032 JORDAO"";3599;11120;-;184;14903"
"""120033 MANCIO LIMA"";39708;127570;-;986;168264"
"""120034 MANOEL URBANO"";10239;64793;-;630;75662"
"""120035 MARECHAL THAUMATURGO"";36904;72303;-;272;109479"
"""120038 PLACIDO DE CASTRO"";32125;116926;-;817;149868"
"""120039 PORTO WALTER"";8706;12630;-;389;21725"
"""120040 RIO BRANCO"";1858997;5410564;941429;125912;8336902"
"""120042 RODRIGUES ALVES"";6334;50434;210;522;57500"
"""120043 SANTA ROSA DO PURUS"";388;11331;-;169;11888"
"""120045 SENADOR GUIOMARD"";22719;552186;-;214;575119"
"""120050 SENA MADUREIRA"";7600;293493;-;2416;303509"
"""120060 TARAUACA"";21224;99509;-;821;121554"
"""120070 XAPURI"";23747;117374;-;293;141414"
"""120080 PORTO ACRE"";-;862;-;150;1012"
"""130002 ALVARAES"";57;3884;-;-;3941"
"""130006 AMATURA"";25256;150935;1313;-;177504"
"""130008 ANAMA"";1504;23108;-;-;24612"
"""130010 ANORI"";997;66271;-;3110;70378"
"""130014 APUI"";1253;120988;9;702;122952"
"""130020 ATALAIA DO NORTE"";16941;93944;-;142;111027"
"""130030 AUTAZES"";8643;137527;-;785;146955"
"""130040 BARCELOS"";112;42456;-;501;43069"
"""130050 BARREIRINHA"";973;67702;27;618;69320"
"""130060 BENJAMIN CONSTANT"";2668;17930;-;900;21498"
"""130063 BERURI"";9757;24522;-;2015;36294"
"""130068 BOA VISTA DO RAMOS"";440;57113;-;2651;60204"
"""130070 BOCA DO ACRE"";8944;331078;47;1304;341373"
"""130080 BORBA"";40505;35775;-;345;76625"
"""130083 CAAPIRANGA"";-;39976;-;623;40599"
"""130090 CANUTAMA"";16177;46910;-;237;63324"
"""130100 CARAUARI"";45454;229069;-;1521;276044"
"""130110 CAREIRO"";799;115210;-;818;116827"
"""130115 CAREIRO DA VARZEA"";141231;80178;-;86;221495"
"""130120 COARI"";38884;1068210;-;1720;1108814"
"""130130 CODAJAS"";2211;47729;-;600;50540"
"""130140 EIRUNEPE"";35391;41006;-;858;77255"
"""130150 ENVIRA"";362554;102580;-;1032;466166"
"""130160 FONTE BOA"";-;748946;-;930;749876"
"""130165 GUAJARA"";190253;64816;-;317;255386"
"""130170 HUMAITA"";1682415;834469;2147;8650;2527681"
"""130180 IPIXUNA"";705;51033;-;-;51738"
"""130185 IRANDUBA"";41936;92334;-;382;134652"
"""130190 ITACOATIARA"";144448;1909936;83;7909;2062376"
"""130195 ITAMARATI"";2967;37965;-;-;40932"
"""130200 ITAPIRANGA"";15595;61897;68;-;77560"
"""130210 JAPURA"";243;58120;-;662;59025"
"""130230 JUTAI"";16906;11896;-;139;28941"
"""130240 LABREA"";26690;237507;-;-;264197"
"""130250 MANACAPURU"";13764;1300812;905;1628;1317109"
"""130255 MANAQUIRI"";299;41926;-;163;42388"
"""130260 MANAUS"";611028;25608863;6188880;631951;33040722"
"""130270 MANICORE"";4948;255559;295;1534;262336"
"""130280 MARAA"";412;12239;-;-;12651"
"""130290 MAUES"";11422;415933;123;58850;486328"
"""130300 NHAMUNDA"";200;33640;-;-;33840"
"""130310 NOVA OLINDA DO NORTE"";10317;454965;1251;-;466533"
"""130320 NOVO AIRAO"";309;138438;-;302;139049"
"""130330 NOVO ARIPUANA"";3250;217891;-;4672;225813"
"""130340 PARINTINS"";172358;1343092;3514;83698;1602662"
"""130350 PAUINI"";11606;110569;-;2936;125111"
"""130353 PRESIDENTE FIGUEIREDO"";1957;221181;-;1543;224681"
"""130356 RIO PRETO DA EVA"";47204;206021;-;3145;256370"
"""130360 SANTA ISABEL DO RIO NEGRO"";410;7392;86;-;7888"
"""130370 SANTO ANTONIO DO ICA"";15422;163313;1040;933;180708"
"""130380 SAO GABRIEL DA CACHOEIRA"";27165;85223;-;807;113195"
"""130390 SAO PAULO DE OLIVENCA"";64580;133042;-;529;198151"
"""130395 SAO SEBASTIAO DO UATUMA"";16525;88380;-;3002;107907"
"""130400 SILVES"";9791;90320;-;502;100613"
"""130406 TABATINGA"";12512;403861;-;22033;438406"
"""130410 TAPAUA"";11840;80696;-;-;92536"
"""130420 TEFE"";336144;1678939;559;34367;2050009"
"""130423 TONANTINS"";771566;75089;40;962;847657"
"""130426 UARINI"";672;68309;-;-;68981"
"""130430 URUCARA"";866;67833;-;958;69657"
"""130440 URUCURITUBA"";3771;52441;-;301;56513"
"""140002 AMAJARI"";-;205;-;401;606"
"""140005 ALTO ALEGRE"";65332;58687;-;146;124165"
"""140010 BOA VISTA"";820273;3719269;1017460;296264;5853266"
"""140015 BONFIM"";8128;38137;-;1004;47269"
"""140017 CANTA"";1199;3293;-;75;4567"
"""140020 CARACARAI"";24140;78621;-;704;103465"
"""140023 CAROEBE"";15287;52786;-;7;68080"
"""140028 IRACEMA"";105040;37823;-;60;142923"
"""140030 MUCAJAI"";19131;72443;-;1030;92604"
"""140040 NORMANDIA"";4440;10994;13;-;15447"
"""140045 PACARAIMA"";9570;54670;-;183;64423"
"""140047 RORAINOPOLIS"";39554;183709;54;233;223550"
"""140050 SAO JOAO DA BALIZA"";12648;42805;38;-;55491"
"""140060 SAO LUIZ"";4519;40116;-;111;44746"
"""140070 UIRAMUTA"";-;238;-;180;418"
"""150010 ABAETETUBA"";445535;632569;3190;52556;1133850"
"""150013 ABEL FIGUEIREDO"";30544;20172;-;406;51122"
"""150020 ACARA"";4609;512091;-;77830;594530"
"""150030 AFUA"";3174;28161;-;752;32087"
"""150034 AGUA AZUL DO NORTE"";10084;259334;19;127825;397262"
"""150040 ALENQUER"";306;81547;-;67102;148955"
"""150050 ALMEIRIM"";50621;222547;-;73299;346467"
"""150060 ALTAMIRA"";149266;878650;180176;10595;1218687"
"""150070 ANAJAS"";171650;13654;-;532;185836"
"""150080 ANANINDEUA"";363716;8821360;227521;29788;9442385"
"""150085 ANAPU"";37585;79236;-;5103;121924"
"""150090 AUGUSTO CORREA"";44;107042;-;885;107971"
"""150095 AURORA DO PARA"";7770;27552;-;4974;40296"
"""150100 AVEIRO"";25926;7;-;1952;27885"
"""150120 BAIAO"";26841;178536;-;5278;210655"
"""150125 BANNACH"";5185;27053;69;2157;34464"
"""150130 BARCARENA"";421483;1362250;14734;51990;1850457"
"""150140 BELEM"";3329684;22716852;4584669;680241;31311446"
"""150145 BELTERRA"";118450;112811;-;461;231722"
"""150150 BENEVIDES"";78150;586480;-;2498;667128"
"""150157 BOM JESUS DO TOCANTINS"";5529;37039;-;3952;46520"
"""150160 BONITO"";3963;34438;-;2335;40736"
"""150170 BRAGANCA"";45639;867460;35045;100626;1048770"
"""150172 BRASIL NOVO"";6293;183281;-;1150;190724"
"""150175 BREJO GRANDE DO ARAGUAIA"";4472;6830;-;1121;12423"
"""150178 BREU BRANCO"";87913;332056;-;66588;486557"
"""150180 BREVES"";134920;698350;7355;23742;864367"
"""150190 BUJARU"";11113;164956;-;991;177060"
"""150195 CACHOEIRA DO PIRIA"";14;106190;-;3675;109879"
"""150200 CACHOEIRA DO ARARI"";-;108903;-;651;109554"
"""150210 CAMETA"";6562;920436;1062;77621;1005681"
"""150215 CANAA DOS CARAJAS"";62101;691134;3832;136214;893281"
"""150220 CAPANEMA"";93150;1088453;8137;167330;1357070"
"""150230 CAPITAO POCO"";36273;200605;1255;98363;336496"
"""150240 CASTANHAL"";143404;2140330;441258;64324;2789316"
"""150250 CHAVES"";17157;11972;-;199;29328"
"""150260 COLARES"";41538;98423;-;13909;153870"
"""150270 CONCEICAO DO ARAGUAIA"";38406;514130;138867;58593;749996"
"""150275 CONCORDIA DO PARA"";27931;161461;-;37744;227136"
"""150276 CUMARU DO NORTE"";18184;97541;79;1441;117245"
"""150277 CURIONOPOLIS"";50902;110065;-;16665;177632"
"""150280 CURRALINHO"";15900;69885;-;2878;88663"
"""150285 CURUA"";-;-;-;410;410"
"""150290 CURUCA"";48568;312920;-;37924;399412"
"""150293 DOM ELISEU"";215699;534441;-;60623;810763"
"""150295 ELDORADO DOS CARAJAS"";4458;772398;2;7100;783958"
"""150300 FARO"";258;11761;-;2514;14533"
"""150304 FLORESTA DO ARAGUAIA"";-;1250079;-;7391;1257470"
"""150307 GARRAFAO DO NORTE"";2239;97434;-;2470;102143"
"""150309 GOIANESIA DO PARA"";101173;236495;-;15255;352923"
"""150310 GURUPA"";4674;500022;-;172421;677117"
"""150320 IGARAPE-ACU"";90493;396432;-;10375;497300"
"""150330 IGARAPE-MIRI"";6827;176448;-;51;183326"
"""150340 INHANGAPI"";17985;81436;-;651;100072"
"""150345 IPIXUNA DO PARA"";45579;129228;-;28132;202939"
"""150350 IRITUIA"";21711;135830;-;55116;212657"
"""150360 ITAITUBA"";2602;500760;14831;151739;669932"
"""150370 ITUPIRANGA"";37693;274222;-;32897;344812"
"""150375 JACAREACANGA"";24905;131142;-;1969;158016"
"""150380 JACUNDA"";111264;162864;-;59736;333864"
"""150390 JURUTI"";247260;364078;98;151854;763290"
"""150400 LIMOEIRO DO AJURU"";-;70442;-;1043;71485"
"""150405 MAE DO RIO"";97;79076;-;20041;99214"
"""150410 MAGALHAES BARATA"";18028;29979;-;-;48007"
"""150420 MARABA"";48012;1332291;437445;308392;2126140"
"""150430 MARACANA"";27661;82342;-;51002;161005"
"""150440 MARAPANIM"";18882;49181;-;13402;81465"
"""150442 MARITUBA"";877598;1778868;81247;5455;2743168"
"""150445 MEDICILANDIA"";10491;273923;-;71371;355785"
"""150450 MELGACO"";907578;76051;-;-;983629"
"""150460 MOCAJUBA"";113534;95244;-;7309;216087"
"""150470 MOJU"";83079;536923;-;19165;639167"
"""150475 MOJUI DOS CAMPOS"";-;42077;-;1543;43620"
"""150480 MONTE ALEGRE"";25400;129926;-;134144;289470"
"""150490 MUANA"";41676;214279;-;37384;293339"
"""150495 NOVA ESPERANCA DO PIRIA"";11542;36576;-;8770;56888"
"""150497 NOVA IPIXUNA"";122733;96467;-;387;219587"
"""150500 NOVA TIMBOTEUA"";4965;19735;-;816;25516"
"""150503 NOVO PROGRESSO"";20858;91847;-;31971;144676"
"""150506 NOVO REPARTIMENTO"";59426;453253;-;6009;518688"
"""150510 OBIDOS"";32701;144434;-;233277;410412"
"""150520 OEIRAS DO PARA"";4;78625;-;399;79028"
"""150530 ORIXIMINA"";107609;509374;-;90991;707974"
"""150540 OUREM"";34451;163041;-;30864;228356"
"""150543 OURILANDIA DO NORTE"";7053;278291;4952;91738;382034"
"""150548 PACAJA"";78217;199345;-;89267;366829"
"""150549 PALESTINA DO PARA"";12118;15194;-;592;27904"
"""150550 PARAGOMINAS"";208668;1106271;612;10290;1325841"
"""150553 PARAUAPEBAS"";436859;2890479;513817;317862;4159017"
"""150555 PAU D'ARCO"";79892;226770;-;10396;317058"
"""150560 PEIXE-BOI"";8067;28652;-;498;37217"
"""150563 PICARRA"";-;41761;-;-;41761"
"""150565 PLACAS"";8487;253319;-;98894;360700"
"""150570 PONTA DE PEDRAS"";33603;33053;-;940;67596"
"""150580 PORTEL"";50440;143861;-;6234;200535"
"""150590 PORTO DE MOZ"";40411;118949;-;51368;210728"
"""150600 PRAINHA"";34896;75949;-;8941;119786"
"""150610 PRIMAVERA"";2564;45846;-;1476;49886"
"""150611 QUATIPURU"";31257;55533;-;649;87439"
"""150613 REDENCAO"";382981;1061944;187926;113838;1746689"
"""150616 RIO MARIA"";18858;141855;921;29926;191560"
"""150618 RONDON DO PARA"";-;228930;-;2610;231540"
"""150619 RUROPOLIS"";40308;318913;-;20156;379377"
"""150620 SALINOPOLIS"";71914;316979;-;56050;444943"
"""150630 SALVATERRA"";63444;109816;-;4220;177480"
"""150635 SANTA BARBARA DO PARA"";36;81301;-;468;81805"
"""150640 SANTA CRUZ DO ARARI"";7534;33866;-;967;42367"
"""150650 SANTA IZABEL DO PARA"";9122;577779;-;5557;592458"
"""150655 SANTA LUZIA DO PARA"";4630;6482;-;2558;13670"
"""150658 SANTA MARIA DAS BARREIRAS"";-;96822;-;49811;146633"
