"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""130060 BENJAMIN CONSTANT"";-;224100,00;-;1747477,45;-;1971577,45"
"""130063 BERURI"";-;-;-;406757,51;-;406757,51"
"""130068 BOA VISTA DO RAMOS"";-;-;-;381768,19;-;381768,19"
"""130070 BOCA DO ACRE"";-;-;-;2254899,60;-;2254899,60"
"""130080 BORBA"";-;-;-;364805,51;-;364805,51"
"""130083 CAAPIRANGA"";-;-;-;375383,31;-;375383,31"
"""130090 CANUTAMA"";-;-;-;538344,29;-;538344,29"
"""130100 CARAUARI"";-;-;-;1250783,52;4775,00;1255558,52"
"""130110 CAREIRO"";-;-;-;7164063,49;19674,00;7183737,49"
"""130115 CAREIRO DA VARZEA"";-;-;-;410933,19;-;410933,19"
"""130120 COARI"";-;-;-;8743018,06;-;8743018,06"
"""130130 CODAJAS"";-;-;-;330955,16;-;330955,16"
"""130140 EIRUNEPE"";-;12500,00;-;582992,72;-;595492,72"
"""130150 ENVIRA"";-;-;-;517417,23;-;517417,23"
"""130160 FONTE BOA"";-;-;-;1079958,39;-;1079958,39"
"""130165 GUAJARA"";-;-;-;338827,90;-;338827,90"
"""130170 HUMAITA"";-;4290,00;-;5918673,96;-;5922963,96"
"""130180 IPIXUNA"";-;45000,00;-;178153,44;-;223153,44"
"""130185 IRANDUBA"";-;-;-;847307,31;-;847307,31"
"""130190 ITACOATIARA"";-;121283,44;-;11118666,55;-;11239949,99"
"""130195 ITAMARATI"";-;-;-;2006750,66;-;2006750,66"
"""130200 ITAPIRANGA"";-;-;-;678922,22;-;678922,22"
"""130210 JAPURA"";-;-;-;347900,43;-;347900,43"
"""130220 JURUA"";-;-;-;174233,94;-;174233,94"
"""130230 JUTAI"";-;-;-;260382,32;-;260382,32"
"""130240 LABREA"";-;-;-;2617194,23;-;2617194,23"
"""130250 MANACAPURU"";-;15950,00;-;11447341,68;-;11463291,68"
"""130255 MANAQUIRI"";-;-;-;571132,90;-;571132,90"
"""130260 MANAUS"";8407745,40;53237636,38;-;329883794,30;-;391529176,08"
"""130270 MANICORE"";-;201554,00;-;4898876,27;-;5100430,27"
"""130280 MARAA"";-;-;-;162304,78;-;162304,78"
"""130290 MAUES"";-;-;-;3235887,75;-;3235887,75"
"""130300 NHAMUNDA"";-;-;-;503296,53;-;503296,53"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;2721090,75;-;2721090,75"
"""130320 NOVO AIRAO"";-;-;-;850370,50;-;850370,50"
"""130330 NOVO ARIPUANA"";-;6000,00;-;1402653,96;-;1408653,96"
"""130340 PARINTINS"";-;596354,80;-;13825535,37;-;14421890,17"
"""130350 PAUINI"";-;-;-;908678,99;-;908678,99"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;1761034,14;-;1761034,14"
"""130356 RIO PRETO DA EVA"";-;-;-;2275546,12;-;2275546,12"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;404423,19;-;404423,19"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;687031,92;-;687031,92"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;-;-;769713,65;-;769713,65"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;1312213,73;-;1312213,73"
