"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""220955 SAO BRAZ DO PIAUI"";289;-;-;-;-;-;243;-;532"
"""220960 SAO FELIX DO PIAUI"";240;-;-;-;-;-;5013;-;5253"
"""220965 SAO FRANCISCO DE ASSIS DO PIAUI"";226;5;-;-;-;-;28954;-;29185"
"""220970 SAO FRANCISCO DO PIAUI"";142;-;-;-;-;-;539;-;681"
"""220980 SAO GONCALO DO PIAUI"";5735;-;-;-;-;-;-;-;5735"
"""220985 SAO JOAO DA CANABRAVA"";230;-;-;-;-;-;707;-;937"
"""220987 SAO JOAO DA FRONTEIRA"";-;-;-;-;-;-;715;-;715"
"""220990 SAO JOAO DA SERRA"";272;-;-;-;-;-;7499;-;7771"
"""220995 SAO JOAO DA VARJOTA"";247;2;3;3;2;1;285;-;543"
"""220997 SAO JOAO DO ARRAIAL"";671;1;-;-;-;-;2688;-;3360"
"""221000 SAO JOAO DO PIAUI"";9935;975;-;-;-;-;523413;-;534323"
"""221005 SAO JOSE DO DIVINO"";208;-;-;-;-;-;-;-;208"
"""221010 SAO JOSE DO PEIXE"";172;-;-;-;-;-;19070;-;19242"
"""221020 SAO JOSE DO PIAUI"";240;-;-;-;-;-;1368;-;1608"
"""221030 SAO JULIAO"";260;-;-;-;-;-;2780;-;3040"
"""221035 SAO LOURENCO DO PIAUI"";288;-;-;-;-;-;868;-;1156"
"""221037 SAO LUIS DO PIAUI"";161;-;-;-;-;-;8512;-;8673"
"""221038 SAO MIGUEL DA BAIXA GRANDE"";163;-;-;-;-;-;229;-;392"
"""221039 SAO MIGUEL DO FIDALGO"";254;-;-;-;-;-;296;-;550"
"""221040 SAO MIGUEL DO TAPUIO"";12791;1056;-;-;-;-;34555;-;48402"
"""221050 SAO PEDRO DO PIAUI"";11935;98;-;-;-;-;141868;-;153901"
"""221060 SAO RAIMUNDO NONATO"";115445;4512;3;19;-;1;347604;-;467584"
"""221062 SEBASTIAO BARROS"";252;-;-;-;-;-;196;-;448"
"""221063 SEBASTIAO LEAL"";-;-;-;-;-;-;339;-;339"
"""221065 SIGEFREDO PACHECO"";272;-;-;-;-;-;-;-;272"
"""221070 SIMOES"";2656;-;-;-;-;-;7201;-;9857"
"""221080 SIMPLICIO MENDES"";2736;4808;-;-;-;1;242522;-;250067"
"""221090 SOCORRO DO PIAUI"";264;-;-;-;-;-;3720;-;3984"
"""221093 SUSSUAPARA"";280;-;-;-;-;-;261;-;541"
"""221097 TANQUE DO PIAUI"";237;-;-;-;-;-;707;-;944"
"""221100 TERESINA"";13565713;92424;215;190;3;26;11233008;-;24891579"
"""221110 UNIAO"";31013;48;-;9;-;-;155407;-;186477"
"""221120 URUCUI"";20184;628;20;-;-;-;281595;-;302427"
"""221130 VALENCA DO PIAUI"";16787;6789;-;-;-;-;148322;-;171898"
"""221135 VARZEA BRANCA"";-;174;-;-;-;-;299;-;473"
"""221140 VARZEA GRANDE"";195;-;-;-;-;-;10526;-;10721"
"""221150 VERA MENDES"";276;-;-;-;-;-;158;-;434"
"""221160 VILA NOVA DO PIAUI"";142;-;-;-;-;-;1092;-;1234"
"""221170 WALL FERRAZ"";304;1;-;-;-;-;144;-;449"
"""230010 ABAIARA"";1250;-;-;-;-;-;45341;-;46591"
"""230015 ACARAPE"";7876;86;-;-;-;-;104173;-;112135"
"""230020 ACARAU"";25200;302588;2;-;-;-;141724;-;469514"
"""230030 ACOPIARA"";16437;1039;-;-;-;-;227986;-;245462"
"""230040 AIUABA"";9797;2856;-;-;-;-;123423;-;136076"
"""230050 ALCANTARAS"";2598;1;-;-;-;-;71756;-;74355"
"""230060 ALTANEIRA"";2721;1533;-;-;-;-;94142;-;98396"
"""230070 ALTO SANTO"";79202;1655;2;2;1880;-;70315;-;153056"
"""230075 AMONTADA"";6502;1433;-;-;-;-;63411;-;71346"
"""230080 ANTONINA DO NORTE"";4772;1;-;-;-;-;74709;-;79482"
"""230090 APUIARES"";1972;679;-;-;-;-;97918;-;100569"
"""230100 AQUIRAZ"";64545;396;-;-;-;-;449752;-;514693"
"""230110 ARACATI"";168438;283408;-;11;134;-;761420;-;1213411"
"""230120 ARACOIABA"";12758;3280;-;-;-;-;573538;-;589576"
"""230125 ARARENDA"";1194;-;-;-;-;-;52031;-;53225"
"""230130 ARARIPE"";13326;2882;-;-;-;-;96175;-;112383"
"""230140 ARATUBA"";5822;1134;-;-;-;-;120150;-;127106"
"""230150 ARNEIROZ"";-;-;-;-;-;-;33527;-;33527"
"""230160 ASSARE"";23511;-;-;-;-;-;110532;-;134043"
"""230170 AURORA"";23486;-;-;2;-;-;67394;-;90882"
"""230180 BAIXIO"";-;-;-;-;-;-;248;-;248"
"""230185 BANABUIU"";14465;6256;207;23;6;-;190515;-;211472"
"""230190 BARBALHA"";341999;9028;13;-;2;15;1035094;-;1386151"
"""230195 BARREIRA"";11474;-;-;-;-;-;53231;-;64705"
"""230200 BARRO"";85627;57486;-;1;2;-;37426;-;180542"
"""230205 BARROQUINHA"";1822;9;-;-;-;-;68719;-;70550"
"""230210 BATURITE"";69810;327922;-;-;-;-;306142;-;703874"
"""230220 BEBERIBE"";19188;937;-;1;-;-;337892;-;358018"
"""230230 BELA CRUZ"";19648;-;-;-;-;-;135328;-;154976"
"""230240 BOA VIAGEM"";5559;3664;-;-;-;-;283284;-;292507"
"""230250 BREJO SANTO"";93921;3048;6;2;156;118;557730;-;654981"
"""230260 CAMOCIM"";76223;229515;-;52;312;-;354229;-;660331"
"""230270 CAMPOS SALES"";7894;1;-;-;-;-;180582;-;188477"
"""230280 CANINDE"";88108;30192;1;-;-;-;441956;-;560257"
"""230290 CAPISTRANO"";8005;392;-;-;-;-;119337;-;127734"
"""230300 CARIDADE"";3184;-;-;-;-;-;83328;-;86512"
"""230310 CARIRE"";3772;3;-;-;-;-;117311;-;121086"
"""230320 CARIRIACU"";25829;89588;31;-;2;-;113290;-;228740"
"""230330 CARIUS"";6285;-;-;-;-;-;139677;-;145962"
"""230340 CARNAUBAL"";31348;906;1;-;-;-;127718;-;159973"
"""230350 CASCAVEL"";166763;604208;-;83;-;-;158672;-;929726"
"""230360 CATARINA"";-;-;-;-;-;-;105876;-;105876"
"""230365 CATUNDA"";12618;163;-;-;-;-;95131;-;107912"
"""230370 CAUCAIA"";410820;15889;25;-;-;-;2662447;-;3089181"
"""230380 CEDRO"";34164;585;-;-;-;-;97383;-;132132"
"""230390 CHAVAL"";4786;10;1;-;-;-;73369;-;78166"
"""230393 CHORO"";2089;-;-;-;-;-;114683;-;116772"
"""230395 CHOROZINHO"";4377;-;-;-;-;-;158851;-;163228"
"""230400 COREAU"";4648;19;-;-;-;-;71881;-;76548"
"""230410 CRATEUS"";147344;106000;1;12;-;-;194068;-;447425"
"""230420 CRATO"";448480;15976;7;20;4;10;1152127;-;1616624"
"""230423 CROATA"";5068;1611;-;-;-;-;156222;-;162901"
"""230425 CRUZ"";41163;2047;2;-;2;-;270606;-;313820"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";6481;2;-;-;-;-;69441;-;75924"
"""230427 ERERE"";130;-;-;-;-;-;31579;-;31709"
"""230428 EUSEBIO"";216322;225196;-;80;-;-;1155772;-;1597370"
"""230430 FARIAS BRITO"";10686;39;2;7;-;-;248184;-;258918"
"""230435 FORQUILHA"";12236;30;-;-;-;-;85112;-;97378"
"""230440 FORTALEZA"";71191943;302228;668;12;46;888;24486615;-;95982400"
"""230445 FORTIM"";11002;1;1;1;-;-;97613;-;108618"
"""230450 FRECHEIRINHA"";15420;1838;2;-;-;-;156679;-;173939"
"""230460 GENERAL SAMPAIO"";2237;78423;-;-;-;-;20556;-;101216"
"""230465 GRACA"";2556;3;-;-;-;-;22918;-;25477"
"""230470 GRANJA"";23960;1875;-;-;-;-;333372;-;359207"
"""230480 GRANJEIRO"";10105;320;-;-;-;1;65010;-;75436"
"""230490 GROAIRAS"";3630;1327;-;-;-;-;87379;-;92336"
"""230495 GUAIUBA"";2741;4;-;-;-;-;96625;-;99370"
"""230500 GUARACIABA DO NORTE"";13070;239822;-;-;-;-;25260;-;278152"
"""230510 GUARAMIRANGA"";2429;2;1;-;-;-;50816;-;53248"
"""230520 HIDROLANDIA"";38019;3;-;-;-;-;186499;-;224521"
"""230523 HORIZONTE"";30987;820220;-;-;-;-;214379;-;1065586"
"""230526 IBARETAMA"";2155;-;-;-;-;-;180004;-;182159"
"""230530 IBIAPINA"";42075;71264;16;4;575;7;48177;-;162118"
"""230533 IBICUITINGA"";4234;-;-;-;-;-;47575;-;51809"
"""230535 ICAPUI"";6912;245;-;3;1;-;144846;-;152007"
"""230540 ICO"";23797;19387;8;-;-;-;268867;-;312059"
"""230550 IGUATU"";263700;1692;1;5;-;-;510705;-;776103"
"""230560 INDEPENDENCIA"";4343;-;-;-;-;-;483961;-;488304"
"""230565 IPAPORANGA"";6;-;-;-;-;-;43710;-;43716"
"""230570 IPAUMIRIM"";-;-;-;-;-;-;34424;-;34424"
"""230580 IPU"";24085;511;1;-;-;-;370756;-;395353"
"""230590 IPUEIRAS"";298;99573;-;-;-;-;25705;-;125576"
"""230600 IRACEMA"";7266;1223;-;-;-;-;108996;-;117485"
"""230610 IRAUCUBA"";20299;149461;-;-;-;-;144829;-;314589"
"""230620 ITAICABA"";1736;-;-;-;-;-;67363;-;69099"
"""230625 ITAITINGA"";59400;561313;13;2;-;-;328971;-;949699"
"""230630 ITAPAJE"";32401;2;-;9;-;-;447621;-;480033"
"""230640 ITAPIPOCA"";131333;687325;1;-;-;-;415178;-;1233837"
"""230650 ITAPIUNA"";6043;215;-;-;-;-;207305;-;213563"
"""230655 ITAREMA"";31596;74364;3;2;1;-;239362;-;345328"
"""230660 ITATIRA"";3349;-;-;-;-;-;1753;-;5102"
"""230670 JAGUARETAMA"";62383;20;1;1;-;-;257287;-;319692"
"""230680 JAGUARIBARA"";27348;1217;10;-;-;8;142191;-;170774"
"""230690 JAGUARIBE"";22662;264709;11;32;173;-;201272;-;488859"
"""230700 JAGUARUANA"";19140;2;-;-;-;-;366713;-;385855"
"""230710 JARDIM"";3214;-;-;-;-;-;130590;-;133804"
"""230720 JATI"";724;522;-;-;-;-;68419;-;69665"
"""230725 JIJOCA DE JERICOACOARA"";5035;64769;-;-;-;-;321099;-;390903"
"""230730 JUAZEIRO DO NORTE"";815364;919511;268;6;4;7;1157487;-;2892647"
"""230740 JUCAS"";145405;221812;1;-;-;1;82072;-;449291"
"""230750 LAVRAS DA MANGABEIRA"";21213;1556;-;-;-;-;94490;-;117259"
"""230760 LIMOEIRO DO NORTE"";128181;15889;96;49;-;1;794581;-;938797"
"""230763 MADALENA"";11133;20;1;7;-;-;127074;-;138235"
"""230765 MARACANAU"";460612;10825;6;11;-;1;2994502;-;3465957"
"""230770 MARANGUAPE"";39426;5076;3;-;-;-;1281069;-;1325574"
"""230780 MARCO"";19092;8680;-;-;-;-;260687;-;288459"
"""230790 MARTINOPOLE"";2551;-;-;-;-;-;58512;-;61063"
"""230800 MASSAPE"";2800;-;-;-;-;-;182535;-;185335"
"""230810 MAURITI"";115022;5912;6;-;-;10;216808;-;337758"
"""230820 MERUOCA"";13696;-;-;-;-;-;107442;-;121138"
"""230830 MILAGRES"";23026;65;-;1;-;1;171571;-;194664"
"""230835 MILHA"";22667;-;-;-;-;-;132138;-;154805"
"""230837 MIRAIMA"";-;-;-;-;-;-;52798;-;52798"
"""230840 MISSAO VELHA"";14438;33671;61;-;-;-;109211;-;157381"
"""230850 MOMBACA"";13532;477722;1;-;-;-;37746;-;529001"
"""230860 MONSENHOR TABOSA"";7341;-;1;-;-;-;93778;-;101120"
"""230870 MORADA NOVA"";47441;65;-;1;-;-;549501;-;597008"
"""230880 MORAUJO"";180;-;-;-;-;-;80834;-;81014"
"""230890 MORRINHOS"";2349;-;-;-;-;-;125968;-;128317"
"""230900 MUCAMBO"";12979;1;-;-;-;-;157882;-;170862"
"""230910 MULUNGU"";2799;40491;-;-;-;-;76688;-;119978"
"""230920 NOVA OLINDA"";6136;-;-;-;-;-;31981;-;38117"
"""230930 NOVA RUSSAS"";29552;4178;-;1;-;-;441962;-;475693"
"""230940 NOVO ORIENTE"";26756;-;-;-;1;-;410847;-;437604"
"""230945 OCARA"";16970;999;5;13;-;-;259592;-;277579"
"""230950 OROS"";38114;1894;2;-;-;-;191649;-;231659"
"""230960 PACAJUS"";48161;4630;-;-;-;-;72615;-;125406"
"""230970 PACATUBA"";24472;2418;-;-;-;3;1012383;-;1039276"
"""230980 PACOTI"";1320;1;1;1;-;-;40931;-;42254"
"""230990 PACUJA"";4265;-;-;-;-;-;4440;-;8705"
"""231000 PALHANO"";4464;-;-;-;-;-;117922;-;122386"
"""231010 PALMACIA"";7279;2;1;-;-;-;114570;-;121852"
"""231020 PARACURU"";18498;1743;-;1;3;-;261214;-;281459"
"""231025 PARAIPABA"";23093;347;-;-;-;-;378696;-;402136"
"""231030 PARAMBU"";26967;-;-;-;-;-;709465;-;736432"
"""231040 PARAMOTI"";2708;10742;-;-;-;-;124395;-;137845"
"""231050 PEDRA BRANCA"";23766;3;-;1;-;-;276907;-;300677"
"""231060 PENAFORTE"";3958;1454;-;-;-;-;31044;-;36456"
"""231070 PENTECOSTE"";56129;1923;-;-;-;-;25638;-;83690"
"""231080 PEREIRO"";6245;4300;-;-;-;-;101824;-;112369"
"""231085 PINDORETAMA"";5587;27720;-;-;-;-;358857;-;392164"
"""231090 PIQUET CARNEIRO"";28401;244;1;-;-;-;244805;-;273451"
"""231095 PIRES FERREIRA"";337;-;-;-;-;-;22133;-;22470"
"""231100 PORANGA"";5501;995;-;-;-;-;61523;-;68019"
"""231110 PORTEIRAS"";22714;58;-;-;-;-;83511;-;106283"
"""231120 POTENGI"";412;52;-;-;-;-;124682;-;125146"
"""231123 POTIRETAMA"";2887;1278;-;1;-;-;87863;-;92029"
"""231126 QUITERIANOPOLIS"";37704;5;-;-;-;-;506652;-;544361"
"""231130 QUIXADA"";170693;743323;1;-;-;-;729292;-;1643309"
"""231135 QUIXELO"";6202;25840;1;4;-;-;188772;-;220819"
"""231140 QUIXERAMOBIM"";224080;11541;3;1;-;-;599813;-;835438"
"""231150 QUIXERE"";15898;1856;-;-;1;3;260045;-;277803"
"""231160 REDENCAO"";30397;471;-;-;1;-;205335;-;236204"
"""231170 RERIUTABA"";23147;1;-;2;-;-;103113;-;126263"
"""231180 RUSSAS"";170433;517886;51;-;-;-;345242;-;1033612"
"""231190 SABOEIRO"";1076;-;-;-;-;-;84470;-;85546"
"""231195 SALITRE"";959;-;-;-;-;-;62142;-;63101"
"""231200 SANTANA DO ACARAU"";5373;-;-;-;-;-;328755;-;334128"
"""231210 SANTANA DO CARIRI"";9672;-;-;2;-;-;69213;-;78887"
"""231220 SANTA QUITERIA"";3264;168204;-;-;-;-;14432;-;185900"
"""231230 SAO BENEDITO"";79613;221316;37;45;156;3;23428;-;324598"
"""231240 SAO GONCALO DO AMARANTE"";66170;526167;4;7;27;-;364688;-;957063"
"""231250 SAO JOAO DO JAGUARIBE"";2793;122517;-;-;-;-;25212;-;150522"
"""231260 SAO LUIS DO CURU"";138;-;-;-;-;-;102615;-;102753"
"""231270 SENADOR POMPEU"";21089;-;-;-;-;-;105075;-;126164"
"""231280 SENADOR SA"";1501;-;-;-;-;-;79609;-;81110"
"""231290 SOBRAL"";1716622;366701;53;71;2;-;847026;-;2930475"
"""231300 SOLONOPOLE"";23703;79451;16;29;393;14;128551;-;232157"
"""231310 TABULEIRO DO NORTE"";83399;-;-;-;-;-;412472;-;495871"
"""231320 TAMBORIL"";38098;2105;6;-;-;-;137811;-;178020"
"""231325 TARRAFAS"";-;-;-;-;-;-;82436;-;82436"
"""231330 TAUA"";23174;18175;-;-;-;-;405460;-;446809"
"""231335 TEJUCUOCA"";571;308306;-;-;-;-;2453;-;311330"
"""231340 TIANGUA"";88318;146290;-;-;-;-;843139;-;1077747"
"""231350 TRAIRI"";7257;43649;1;-;-;-;114206;-;165113"
"""231355 TURURU"";-;-;-;-;-;-;271169;-;271169"
"""231360 UBAJARA"";91419;155;1;1;1;16;75806;-;167399"
"""231370 UMARI"";140;81;-;-;-;-;6385;-;6606"
"""231375 UMIRIM"";-;-;-;-;-;-;31247;-;31247"
"""231380 URUBURETAMA"";4449;21129;-;-;-;-;128230;-;153808"
"""231390 URUOCA"";22199;-;-;-;-;-;114264;-;136463"
"""231395 VARJOTA"";20278;-;-;4;-;-;146635;-;166917"
"""231400 VARZEA ALEGRE"";10923;2004;-;-;-;-;194604;-;207531"
"""231410 VICOSA DO CEARA"";25151;57;-;-;-;-;331889;-;357097"
"""240010 ACARI"";3883;63;-;-;-;-;124509;-;128455"
"""240020 ACU"";878554;143733;19;10;18;-;631853;-;1654187"
"""240030 AFONSO BEZERRA"";22;-;-;-;-;-;38517;-;38539"
"""240040 AGUA NOVA"";417;-;-;-;-;-;10194;-;10611"
"""240050 ALEXANDRIA"";59825;61;-;-;-;-;55965;-;115851"
"""240060 ALMINO AFONSO"";3332;-;-;-;-;-;44075;-;47407"
"""240070 ALTO DO RODRIGUES"";3057;-;-;-;-;-;340990;-;344047"
"""240080 ANGICOS"";6232;352;2;-;-;-;96393;-;102979"
"""240090 ANTONIO MARTINS"";370;-;-;-;-;-;35640;-;36010"
"""240100 APODI"";20816;24;-;-;-;-;569147;-;589987"
"""240110 AREIA BRANCA"";44128;166;1;-;-;-;360181;-;404476"
"""240120 ARES"";134;-;-;-;-;-;207495;-;207629"
"""240130 CAMPO GRANDE"";1369;-;-;-;-;-;132863;-;134232"
"""240140 BAIA FORMOSA"";3502;17;-;1;-;-;134109;-;137629"
"""240145 BARAUNA"";42297;-;-;-;-;-;274060;-;316357"
"""240150 BARCELONA"";884;-;-;-;-;-;63870;-;64754"
"""240160 BENTO FERNANDES"";81;-;-;-;-;-;6549;-;6630"
"""240165 BODO"";164;-;-;-;-;-;30954;-;31118"
"""240170 BOM JESUS"";394;-;-;-;-;-;175326;-;175720"
"""240180 BREJINHO"";98642;127442;-;-;-;-;30909;-;256993"
"""240185 CAICARA DO NORTE"";2017;158;-;-;-;-;86077;-;88252"
"""240190 CAICARA DO RIO DO VENTO"";1499;-;-;-;-;-;98121;-;99620"
"""240200 CAICO"";1253126;6826;6;-;1;-;581169;-;1841128"
"""240210 CAMPO REDONDO"";4198;2;-;-;-;-;117856;-;122056"
"""240220 CANGUARETAMA"";11124;1;-;-;-;-;360616;-;371741"
"""240230 CARAUBAS"";3505;-;-;-;-;-;154538;-;158043"
"""240240 CARNAUBA DOS DANTAS"";8323;-;-;-;-;-;68370;-;76693"
"""240250 CARNAUBAIS"";548;-;-;-;-;-;138614;-;139162"
"""240260 CEARA-MIRIM"";2962;6924;-;-;-;-;710295;-;720181"
"""240270 CERRO CORA"";1142;1;-;-;-;-;154442;-;155585"
"""240280 CORONEL EZEQUIEL"";-;-;-;-;-;-;13668;-;13668"
"""240290 CORONEL JOAO PESSOA"";778;1;-;1;-;-;11834;-;12614"
"""240300 CRUZETA"";2269;-;-;-;-;-;189424;-;191693"
"""240310 CURRAIS NOVOS"";837214;1116;-;1;-;8;501879;-;1340218"
"""240320 DOUTOR SEVERIANO"";3404;-;-;-;-;-;48572;-;51976"
"""240325 PARNAMIRIM"";150374;76557;39;10;-;1;1382909;-;1609890"
"""240330 ENCANTO"";4483;5;-;-;-;-;42343;-;46831"
"""240340 EQUADOR"";1371;-;-;-;-;-;59948;-;61319"
"""240350 ESPIRITO SANTO"";5259;-;-;-;-;-;149129;-;154388"
"""240360 EXTREMOZ"";24899;3882;94;5;1;18;147788;-;176687"
"""240370 FELIPE GUERRA"";17547;2;-;-;-;-;41456;-;59005"
"""240375 FERNANDO PEDROZA"";1020;-;-;-;-;-;40230;-;41250"
"""240380 FLORANIA"";-;-;-;-;-;-;78000;-;78000"
"""240390 FRANCISCO DANTAS"";443;-;-;-;-;-;6165;-;6608"
"""240400 FRUTUOSO GOMES"";5696;108;-;-;-;-;64220;-;70024"
"""240410 GALINHOS"";314;-;-;-;-;-;27483;-;27797"
"""240420 GOIANINHA"";18309;24;2;-;-;-;432614;-;450949"
"""240430 GOVERNADOR DIX-SEPT ROSADO"";2115;10;-;-;-;-;96835;-;98960"
"""240440 GROSSOS"";4038;812;-;-;1;-;133887;-;138738"
"""240450 GUAMARE"";55313;102;-;-;-;-;231881;-;287296"
"""240460 IELMO MARINHO"";723;2;-;-;-;-;135306;-;136031"
"""240470 IPANGUACU"";229;-;-;-;-;-;52195;-;52424"
"""240480 IPUEIRA"";8090;8;-;-;-;-;25958;-;34056"
"""240485 ITAJA"";1363;28;-;-;-;-;278859;-;280250"
"""240490 ITAU"";991;-;-;-;-;1;39820;-;40812"
"""240500 JACANA"";39840;-;-;-;-;-;16925;-;56765"
"""240510 JANDAIRA"";615;-;-;-;-;-;896;-;1511"
"""240520 JANDUIS"";2410;-;-;-;-;-;137759;-;140169"
"""240530 JANUARIO CICCO"";4820;-;-;-;-;-;223453;-;228273"
"""240540 JAPI"";-;-;-;-;-;-;4985;-;4985"
"""240550 JARDIM DE ANGICOS"";143;-;-;-;-;-;35;-;178"
"""240560 JARDIM DE PIRANHAS"";50913;73;-;-;-;-;186807;-;237793"
"""240570 JARDIM DO SERIDO"";3046;32967;1;-;-;-;48558;-;84572"
"""240580 JOAO CAMARA"";44331;22246;4;-;-;-;411516;-;478097"
"""240590 JOAO DIAS"";25;-;-;-;-;-;32177;-;32202"
"""240600 JOSE DA PENHA"";5298;8;-;-;-;-;50055;-;55361"
"""240610 JUCURUTU"";23343;3017;1;-;-;-;247099;-;273460"
"""240615 JUNDIA"";482;-;-;-;-;-;36624;-;37106"
"""240620 LAGOA D'ANTA"";-;-;-;-;-;-;46451;-;46451"
"""240630 LAGOA DE PEDRAS"";399;-;-;-;-;-;64751;-;65150"
"""240640 LAGOA DE VELHOS"";267;-;-;-;-;-;33150;-;33417"
"""240650 LAGOA NOVA"";1318;5;-;-;-;-;131746;-;133069"
"""240660 LAGOA SALGADA"";358;-;-;-;-;-;93322;-;93680"
"""240670 LAJES"";1248;-;-;-;-;-;195259;-;196507"
"""240680 LAJES PINTADAS"";398;-;-;-;-;-;57793;-;58191"
"""240690 LUCRECIA"";331;-;-;-;-;-;48868;-;49199"
"""240700 LUIS GOMES"";361;-;-;-;-;-;13799;-;14160"
"""240710 MACAIBA"";336521;175798;5;-;1;-;110258;-;622583"
"""240720 MACAU"";2584;9;1;-;-;-;205846;-;208440"
"""240725 MAJOR SALES"";364;-;-;-;-;-;59873;-;60237"
"""240730 MARCELINO VIEIRA"";940;-;-;-;-;-;30292;-;31232"
"""240740 MARTINS"";3213;2;-;-;-;-;148876;-;152091"
"""240750 MAXARANGUAPE"";645;-;-;-;-;-;100;-;745"
"""240760 MESSIAS TARGINO"";230;-;-;-;-;-;108292;-;108522"
"""240770 MONTANHAS"";235;-;-;-;-;-;130891;-;131126"
"""240780 MONTE ALEGRE"";9978;1;-;2;-;-;454687;-;464668"
"""240790 MONTE DAS GAMELEIRAS"";950;-;-;-;-;-;49378;-;50328"
"""240800 MOSSORO"";2388898;133522;91;20;7;1;4967673;-;7490212"
"""240810 NATAL"";14057184;157474;982;159;18;5;11870685;-;26086507"
"""240820 NISIA FLORESTA"";6468;9;-;-;-;-;439849;-;446326"
"""240830 NOVA CRUZ"";99041;1926;1;1;-;1;390282;-;491252"
"""240840 OLHO-D'AGUA DO BORGES"";265;1;-;-;-;-;7055;-;7321"
"""240850 OURO BRANCO"";4551;201;-;-;-;-;117452;-;122204"
"""240860 PARANA"";1194;-;-;-;-;-;39321;-;40515"
"""240870 PARAU"";507;-;-;-;-;-;37137;-;37644"
"""240880 PARAZINHO"";9545;-;-;-;-;-;77225;-;86770"
"""240890 PARELHAS"";12120;3906;2;21;-;-;532760;-;548809"
"""240895 RIO DO FOGO"";521;111;-;-;-;-;95744;-;96376"
"""240910 PASSA E FICA"";3605;-;-;-;-;-;119617;-;123222"
"""240920 PASSAGEM"";439;-;-;-;-;-;26875;-;27314"
"""240930 PATU"";6792;-;-;-;-;-;87770;-;94562"
"""240933 SANTA MARIA"";2079;-;1;-;-;-;73870;-;75950"
"""240940 PAU DOS FERROS"";1436523;67592;3;22;38;1;129930;-;1634109"
"""240950 PEDRA GRANDE"";-;-;-;-;-;-;32076;-;32076"
"""240960 PEDRA PRETA"";279;-;-;-;-;-;25047;-;25326"
"""240970 PEDRO AVELINO"";758;-;-;-;-;-;100912;-;101670"
"""240980 PEDRO VELHO"";6835;12;-;-;-;-;213923;-;220770"
"""240990 PENDENCIAS"";742;-;-;-;-;-;158744;-;159486"
"""241000 PILOES"";98;-;-;-;-;-;33887;-;33985"
"""241010 POCO BRANCO"";217;1;-;-;-;-;132632;-;132850"
"""241020 PORTALEGRE"";1522;77;-;-;-;-;75915;-;77514"
"""241025 PORTO DO MANGUE"";3260;1;1;-;1;-;37765;-;41028"
"""241030 SERRA CAIADA"";1088;615;-;-;-;-;192831;-;194534"
"""241040 PUREZA"";177;-;-;-;-;-;61815;-;61992"
"""241050 RAFAEL FERNANDES"";692;-;-;-;-;-;35068;-;35760"
"""241060 RAFAEL GODEIRO"";5104;9;-;-;-;-;16012;-;21125"
"""241070 RIACHO DA CRUZ"";2886;25;-;-;16;-;33420;-;36347"
"""241080 RIACHO DE SANTANA"";2196;-;-;-;-;-;46516;-;48712"
"""241090 RIACHUELO"";1873;-;-;-;-;-;90706;-;92579"
"""241100 RODOLFO FERNANDES"";436;1;-;-;-;-;73591;-;74028"
"""241105 TIBAU"";64128;4;-;4;-;-;28336;-;92472"
"""241110 RUY BARBOSA"";287;-;-;-;-;-;77197;-;77484"
"""241120 SANTA CRUZ"";580496;3882;1;1;-;-;701552;-;1285932"
"""241140 SANTANA DO MATOS"";588;-;-;-;-;-;70401;-;70989"
"""241142 SANTANA DO SERIDO"";3925;-;-;-;-;-;51400;-;55325"
"""241150 SANTO ANTONIO"";113014;414057;-;1;-;-;79285;-;606357"
"""241160 SAO BENTO DO NORTE"";19;-;-;-;-;-;37101;-;37120"
"""241170 SAO BENTO DO TRAIRI"";203;-;-;-;-;-;48325;-;48528"
"""241180 SAO FERNANDO"";33595;3;-;-;-;-;-;-;33598"
"""241190 SAO FRANCISCO DO OESTE"";5571;-;-;-;-;-;30103;-;35674"
"""241200 SAO GONCALO DO AMARANTE"";28991;139983;-;-;-;-;156890;-;325864"
"""241210 SAO JOAO DO SABUGI"";3564;679;-;-;-;-;75194;-;79437"
"""241220 SAO JOSE DE MIPIBU"";106187;143130;160;1;60;1;362453;-;611992"
"""241230 SAO JOSE DO CAMPESTRE"";15224;2;-;2;-;-;154515;-;169743"
"""241240 SAO JOSE DO SERIDO"";13878;-;-;-;-;-;146257;-;160135"
"""241250 SAO MIGUEL"";2230;1;-;-;-;-;159502;-;161733"
"""241255 SAO MIGUEL DO GOSTOSO"";720;79;-;-;-;-;244602;-;245401"
"""241260 SAO PAULO DO POTENGI"";174326;40112;4;2;1;-;108450;-;322895"
"""241270 SAO PEDRO"";501;-;-;-;-;-;17327;-;17828"
"""241280 SAO RAFAEL"";1031;929;-;-;-;-;54171;-;56131"
"""241290 SAO TOME"";628;-;-;-;-;-;207458;-;208086"
"""241300 SAO VICENTE"";5902;64;-;-;-;-;94986;-;100952"
"""241310 SENADOR ELOI DE SOUZA"";380;-;-;-;-;-;65394;-;65774"
"""241320 SENADOR GEORGINO AVELINO"";12195;1;-;6;-;-;21486;-;33688"
