"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""130008 ANAMA"";35856;3224;1;-;-;-;-;-;39081"
"""130010 ANORI"";189;-;-;-;-;-;123163;-;123352"
"""130014 APUI"";5982;1937;-;-;-;1;103719;-;111639"
"""130020 ATALAIA DO NORTE"";7425;37974;3;3;2;-;109684;-;155091"
"""130030 AUTAZES"";600;9557;1;-;-;-;390674;-;400832"
"""130040 BARCELOS"";-;-;-;-;-;-;22255;-;22255"
"""130050 BARREIRINHA"";5702;4;-;-;-;-;69024;-;74730"
"""130060 BENJAMIN CONSTANT"";14669;13412;-;-;1;-;112445;-;140527"
"""130063 BERURI"";1;1870;-;-;-;-;36535;-;38406"
"""130068 BOA VISTA DO RAMOS"";43068;63671;13;2;-;-;4439;-;111193"
"""130070 BOCA DO ACRE"";4447;1;1;-;-;1;464290;-;468740"
"""130080 BORBA"";7001;71476;30;-;7;-;7146;-;85660"
"""130083 CAAPIRANGA"";248;17215;-;-;-;-;37190;-;54653"
"""130090 CANUTAMA"";1;447;-;-;-;-;73403;-;73851"
"""130100 CARAUARI"";1;3175;-;-;-;-;300383;-;303559"
"""130110 CAREIRO"";11354;1660;-;-;-;-;1614773;-;1627787"
"""130115 CAREIRO DA VARZEA"";3838;1481;1;-;-;-;102550;-;107870"
"""130120 COARI"";79356;34425;-;4;-;-;1490902;-;1604687"
"""130130 CODAJAS"";4595;3;1;-;-;-;21425;-;26024"
"""130140 EIRUNEPE"";19285;147677;27;1;-;1;51330;-;218321"
"""130150 ENVIRA"";3083;10;3;-;-;-;92050;-;95146"
"""130160 FONTE BOA"";743;28;-;-;-;-;637701;-;638472"
"""130165 GUAJARA"";5976;62046;6;-;3;-;609040;-;677071"
"""130170 HUMAITA"";24028;15736;4;4;-;-;1269573;-;1309345"
"""130180 IPIXUNA"";2713;17242;2;1;-;-;56713;-;76671"
"""130185 IRANDUBA"";2096;1;-;-;-;-;184397;-;186494"
"""130190 ITACOATIARA"";82586;98075;10;1;11;-;2197058;-;2377741"
"""130195 ITAMARATI"";2940;-;-;-;-;-;218085;-;221025"
"""130200 ITAPIRANGA"";3012;2846;-;-;-;-;71286;-;77144"
"""130210 JAPURA"";254;-;-;-;-;-;35128;-;35382"
"""130230 JUTAI"";7485;526;-;-;-;-;1678;-;9689"
"""130240 LABREA"";114494;5704;4;11;-;-;65505;-;185718"
"""130250 MANACAPURU"";22307;23239;-;-;-;-;2108102;-;2153648"
"""130255 MANAQUIRI"";26061;42321;15;18;1;-;137;-;68553"
"""130260 MANAUS"";15894868;1054685;2867;58;10;8;27558169;-;44510665"
"""130270 MANICORE"";19936;12988;14;1;-;1;436726;-;469666"
"""130280 MARAA"";-;-;-;-;-;-;325838;-;325838"
"""130290 MAUES"";67869;21238;-;-;397;7;550404;-;639915"
