"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""140060 SAO LUIZ"";565;3131;-;-;3696"
"""140070 UIRAMUTA"";-;42;-;43;85"
"""150010 ABAETETUBA"";-;17716;5153;18;22887"
"""150013 ABEL FIGUEIREDO"";824;2427;-;5;3256"
"""150020 ACARA"";143;50571;-;4359;55073"
"""150030 AFUA"";-;5199;-;-;5199"
"""150034 AGUA AZUL DO NORTE"";1096;33582;-;4570;39248"
"""150040 ALENQUER"";1;6772;-;-;6773"
"""150050 ALMEIRIM"";2417;33564;-;8981;44962"
"""150060 ALTAMIRA"";11900;88230;27648;14162;141940"
"""150070 ANAJAS"";8780;4103;-;121;13004"
"""150080 ANANINDEUA"";1034;745702;34330;743;781809"
"""150085 ANAPU"";3956;16232;-;357;20545"
"""150090 AUGUSTO CORREA"";-;10141;58;124;10323"
"""150095 AURORA DO PARA"";1515;6711;-;4877;13103"
"""150110 BAGRE"";-;3100;-;-;3100"
"""150120 BAIAO"";3877;17720;-;391;21988"
"""150125 BANNACH"";863;2757;-;341;3961"
"""150130 BARCARENA"";41448;126043;944;3269;171704"
"""150140 BELEM"";204446;2235631;544664;42245;3026986"
"""150150 BENEVIDES"";14082;52594;1933;215;68824"
"""150160 BONITO"";-;14884;-;368;15252"
"""150170 BRAGANCA"";2079;61452;21299;503;85333"
"""150172 BRASIL NOVO"";892;19696;-;151;20739"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;13;13"
"""150178 BREU BRANCO"";2312;40314;-;91;42717"
"""150180 BREVES"";58;18173;743;-;18974"
"""150195 CACHOEIRA DO PIRIA"";1426;3751;-;436;5613"
"""150200 CACHOEIRA DO ARARI"";-;14627;-;-;14627"
"""150215 CANAA DOS CARAJAS"";17999;120045;685;19702;158431"
"""150220 CAPANEMA"";-;30761;7891;2667;41319"
"""150230 CAPITAO POCO"";9851;3796;-;5067;18714"
"""150240 CASTANHAL"";15199;266768;62966;3318;348251"
"""150260 COLARES"";7372;15716;-;2032;25120"
"""150270 CONCEICAO DO ARAGUAIA"";-;14473;13809;-;28282"
"""150275 CONCORDIA DO PARA"";464;9682;-;4245;14391"
"""150276 CUMARU DO NORTE"";2677;14822;3;570;18072"
"""150277 CURIONOPOLIS"";3733;7081;-;1713;12527"
"""150285 CURUA"";-;3656;-;64;3720"
"""150295 ELDORADO DOS CARAJAS"";19;31753;-;443;32215"
"""150300 FARO"";350;8700;-;-;9050"
