"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";128091;188374;-;104255;420720"
"""110002 ARIQUEMES"";1343789;1399625;556266;151357;3451037"
"""110003 CABIXI"";27566;45746;-;12236;85548"
"""110004 CACOAL"";53423;1074604;1003791;58222;2190040"
"""110005 CEREJEIRAS"";139065;129501;960;15640;285166"
"""110006 COLORADO DO OESTE"";56652;168579;-;29091;254322"
"""110007 CORUMBIARA"";166931;55970;-;22842;245743"
"""110008 COSTA MARQUES"";45896;98607;-;2749;147252"
"""110009 ESPIGAO D'OESTE"";67099;443574;-;53685;564358"
"""110010 GUAJARA-MIRIM"";56260;70504;-;20567;147331"
"""110011 JARU"";240789;979436;377;155799;1376401"
"""110012 JI-PARANA"";514185;2000544;1259235;77448;3851412"
"""110013 MACHADINHO D'OESTE"";141980;453406;-;44136;639522"
"""110014 NOVA BRASILANDIA D'OESTE"";110863;74041;89;10367;195360"
"""110015 OURO PRETO DO OESTE"";59343;466820;1;24552;550716"
"""110018 PIMENTA BUENO"";53555;449515;-;45725;548795"
"""110020 PORTO VELHO"";1450659;11039200;3015508;369426;15874793"
"""110025 PRESIDENTE MEDICI"";1586;27571;-;1898;31055"
"""110026 RIO CRESPO"";30686;31071;-;78;61835"
"""110028 ROLIM DE MOURA"";279416;752449;272046;123775;1427686"
"""110029 SANTA LUZIA D'OESTE"";150779;67943;-;16868;235590"
"""110030 VILHENA"";137390;1251129;25718;11808;1426045"
"""110032 SAO MIGUEL DO GUAPORE"";110935;69862;-;81977;262774"
"""110033 NOVA MAMORE"";40906;182202;48;23260;246416"
"""110034 ALVORADA D'OESTE"";11056;112381;-;911;124348"
"""110037 ALTO ALEGRE DOS PARECIS"";84442;67066;-;47911;199419"
"""110040 ALTO PARAISO"";56896;208982;-;50079;315957"
"""110045 BURITIS"";466369;353603;1520;179684;1001176"
"""110050 NOVO HORIZONTE DO OESTE"";31739;105593;435;41815;179582"
"""110060 CACAULANDIA"";66898;56423;103;179;123603"
"""110070 CAMPO NOVO DE RONDONIA"";117431;30884;-;1946;150261"
"""110080 CANDEIAS DO JAMARI"";22908;155028;-;10;177946"
"""110090 CASTANHEIRAS"";47770;13485;-;2084;63339"
"""110092 CHUPINGUAIA"";23136;59066;-;6060;88262"
"""110094 CUJUBIM"";146683;196458;-;13147;356288"
"""110100 GOVERNADOR JORGE TEIXEIRA"";516;90967;-;472;91955"
"""110110 ITAPUA DO OESTE"";49420;87100;-;1582;138102"
"""110120 MINISTRO ANDREAZZA"";15021;70666;7;696;86390"
"""110130 MIRANTE DA SERRA"";59093;59583;-;313;118989"
"""110140 MONTE NEGRO"";40468;129312;-;39172;208952"
"""110143 NOVA UNIAO"";227;112228;-;1799;114254"
"""110145 PARECIS"";21942;91194;-;433;113569"
"""110146 PIMENTEIRAS DO OESTE"";32748;16112;-;2137;50997"
"""110147 PRIMAVERA DE RONDONIA"";9246;2753;-;51;12050"
"""110148 SAO FELIPE D'OESTE"";46285;46766;-;12497;105548"
"""110149 SAO FRANCISCO DO GUAPORE"";246261;202351;-;86672;535284"
"""110150 SERINGUEIRAS"";222479;92823;200;21202;336704"
"""110155 TEIXEIROPOLIS"";5742;32640;-;174;38556"
"""110160 THEOBROMA"";18566;75368;-;267;94201"
"""110170 URUPA"";17715;106257;100;488;124560"
"""110175 VALE DO ANARI"";24111;74057;-;11913;110081"
"""110180 VALE DO PARAISO"";14380;42684;-;130;57194"
"""120001 ACRELANDIA"";24503;24917;-;602;50022"
"""120005 ASSIS BRASIL"";14834;115570;45;6;130455"
"""120010 BRASILEIA"";3089;475538;10771;1012;490410"
"""120013 BUJARI"";-;627;-;132;759"
"""120017 CAPIXABA"";114;2288;-;171;2573"
"""120020 CRUZEIRO DO SUL"";346082;1410548;284701;29561;2070892"
"""120025 EPITACIOLANDIA"";754;1649;-;534;2937"
"""120030 FEIJO"";1422;174215;-;9;175646"
"""120032 JORDAO"";1075;4545;-;164;5784"
"""120033 MANCIO LIMA"";62516;240198;56;1175;303945"
"""120034 MANOEL URBANO"";16496;127778;-;467;144741"
"""120035 MARECHAL THAUMATURGO"";76092;111523;-;10557;198172"
"""120038 PLACIDO DE CASTRO"";52381;160784;240;1156;214561"
"""120039 PORTO WALTER"";14927;26368;-;299;41594"
"""120040 RIO BRANCO"";2769009;7232087;1989890;208580;12199566"
"""120042 RODRIGUES ALVES"";16691;32868;-;-;49559"
"""120043 SANTA ROSA DO PURUS"";228;16681;-;683;17592"
"""120045 SENADOR GUIOMARD"";25719;335377;-;585;361681"
"""120050 SENA MADUREIRA"";8192;371515;169;1784;381660"
"""120060 TARAUACA"";22780;127004;-;651;150435"
"""120070 XAPURI"";32081;160248;107;228;192664"
"""120080 PORTO ACRE"";-;595;-;24;619"
"""130002 ALVARAES"";96;44650;-;-;44746"
"""130006 AMATURA"";13001;129476;-;-;142477"
"""130008 ANAMA"";23;39058;-;-;39081"
"""130010 ANORI"";1774;118997;-;2581;123352"
"""130014 APUI"";553;110215;16;855;111639"
"""130020 ATALAIA DO NORTE"";8680;145747;353;311;155091"
"""130030 AUTAZES"";20402;377713;-;2717;400832"
"""130040 BARCELOS"";-;21977;-;278;22255"
"""130050 BARREIRINHA"";1352;72774;-;604;74730"
"""130060 BENJAMIN CONSTANT"";9694;123362;7471;-;140527"
"""130063 BERURI"";9650;28756;-;-;38406"
"""130068 BOA VISTA DO RAMOS"";11821;94717;-;4655;111193"
"""130070 BOCA DO ACRE"";13001;453356;223;2160;468740"
"""130080 BORBA"";59157;26034;-;469;85660"
"""130083 CAAPIRANGA"";-;53948;-;705;54653"
"""130090 CANUTAMA"";11006;62687;-;158;73851"
"""130100 CARAUARI"";1;302740;8;810;303559"
"""130110 CAREIRO"";9216;1615976;423;2172;1627787"
"""130115 CAREIRO DA VARZEA"";47608;60262;-;-;107870"
"""130120 COARI"";16971;1586083;20;1613;1604687"
"""130130 CODAJAS"";2695;22980;-;349;26024"
"""130140 EIRUNEPE"";78216;139202;-;903;218321"
"""130150 ENVIRA"";16150;78996;-;-;95146"
"""130160 FONTE BOA"";143;635131;-;3198;638472"
"""130165 GUAJARA"";599043;77499;-;529;677071"
"""130170 HUMAITA"";33902;1256699;3324;15420;1309345"
"""130180 IPIXUNA"";12848;63823;-;-;76671"
"""130185 IRANDUBA"";27838;157945;-;711;186494"
"""130190 ITACOATIARA"";62821;2264413;3277;47230;2377741"
"""130195 ITAMARATI"";115;220910;-;-;221025"
"""130200 ITAPIRANGA"";919;76225;-;-;77144"
"""130210 JAPURA"";473;34114;-;795;35382"
"""130230 JUTAI"";1432;8172;-;85;9689"
"""130240 LABREA"";18932;166786;-;-;185718"
"""130250 MANACAPURU"";95585;2055266;1679;1118;2153648"
"""130255 MANAQUIRI"";634;67767;-;152;68553"
"""130260 MANAUS"";5843864;30537817;7478474;650510;44510665"
"""130270 MANICORE"";16176;450482;570;2438;469666"
"""130280 MARAA"";271183;54655;-;-;325838"
"""130290 MAUES"";7379;519406;755;112375;639915"
"""130300 NHAMUNDA"";5049;116114;-;-;121163"
"""130310 NOVA OLINDA DO NORTE"";6621;485561;6795;1008;499985"
"""130320 NOVO AIRAO"";1050;193673;-;346;195069"
"""130330 NOVO ARIPUANA"";7012;413920;-;738;421670"
"""130340 PARINTINS"";177903;1532296;7577;99648;1817424"
"""130350 PAUINI"";28914;106771;-;3648;139333"
"""130353 PRESIDENTE FIGUEIREDO"";971;271280;-;1643;273894"
"""130356 RIO PRETO DA EVA"";80668;455388;-;4631;540687"
"""130360 SANTA ISABEL DO RIO NEGRO"";713;61739;24;149;62625"
"""130370 SANTO ANTONIO DO ICA"";13829;137568;430;118;151945"
"""130380 SAO GABRIEL DA CACHOEIRA"";23284;125061;-;1360;149705"
"""130390 SAO PAULO DE OLIVENCA"";12309;169475;-;381;182165"
"""130395 SAO SEBASTIAO DO UATUMA"";27247;126726;-;1014;154987"
"""130400 SILVES"";12345;122689;215;23066;158315"
"""130406 TABATINGA"";13552;170677;7;19504;203740"
"""130420 TEFE"";249715;1309493;5028;41493;1605729"
"""130423 TONANTINS"";793623;65178;9;-;858810"
"""130426 UARINI"";350637;87150;-;-;437787"
"""130430 URUCARA"";13399;102663;-;1320;117382"
"""130440 URUCURITUBA"";7903;32617;-;318;40838"
"""140002 AMAJARI"";-;280;-;12;292"
"""140005 ALTO ALEGRE"";25016;72207;133;173;97529"
"""140010 BOA VISTA"";1040774;4411630;1250448;335359;7038211"
"""140015 BONFIM"";8068;26385;-;1420;35873"
"""140017 CANTA"";128;2895;-;80;3103"
"""140020 CARACARAI"";21796;84065;-;876;106737"
"""140023 CAROEBE"";19314;54022;-;-;73336"
"""140028 IRACEMA"";36955;24690;-;93;61738"
"""140030 MUCAJAI"";20547;88493;-;538;109578"
"""140040 NORMANDIA"";2788;16386;16;-;19190"
"""140045 PACARAIMA"";8093;46229;-;84;54406"
"""140047 RORAINOPOLIS"";59877;228288;371;7774;296310"
"""140050 SAO JOAO DA BALIZA"";5136;32617;46;497;38296"
"""140060 SAO LUIZ"";9543;53353;-;28;62924"
"""140070 UIRAMUTA"";-;76;-;430;506"
"""150010 ABAETETUBA"";417246;933388;79746;22346;1452726"
"""150013 ABEL FIGUEIREDO"";15151;45199;-;349;60699"
"""150020 ACARA"";2884;646545;165;51737;701331"
"""150030 AFUA"";-;42345;-;936;43281"
"""150034 AGUA AZUL DO NORTE"";13998;370657;-;29365;414020"
