"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;1647596,68;-;1647596,68"
"""110002 ARIQUEMES"";376697,20;5958445,23;-;8172459,98;-;14507602,41"
"""110003 CABIXI"";-;-;-;233669,81;-;233669,81"
"""110004 CACOAL"";517283,42;5721441,65;-;17531203,84;-;23769928,91"
"""110005 CEREJEIRAS"";-;-;-;1121990,50;-;1121990,50"
"""110006 COLORADO DO OESTE"";-;-;-;1187474,18;-;1187474,18"
"""110007 CORUMBIARA"";-;-;-;264463,63;-;264463,63"
"""110008 COSTA MARQUES"";-;-;-;492640,91;-;492640,91"
"""110009 ESPIGAO D'OESTE"";-;-;-;2236809,89;-;2236809,89"
"""110010 GUAJARA-MIRIM"";-;-;-;645846,66;-;645846,66"
"""110011 JARU"";-;-;-;5593473,86;-;5593473,86"
"""110012 JI-PARANA"";159568,88;5688253,07;-;24125107,95;-;29972929,90"
"""110013 MACHADINHO D'OESTE"";-;-;-;2579328,84;-;2579328,84"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;399349,54;-;399349,54"
"""110015 OURO PRETO DO OESTE"";-;-;-;2152470,49;-;2152470,49"
"""110018 PIMENTA BUENO"";-;-;-;1936073,62;-;1936073,62"
"""110020 PORTO VELHO"";690391,96;20314389,50;-;124089546,11;-;145094327,57"
"""110025 PRESIDENTE MEDICI"";-;-;-;867313,78;-;867313,78"
"""110026 RIO CRESPO"";-;-;-;105521,54;-;105521,54"
"""110028 ROLIM DE MOURA"";-;21,69;-;3629722,28;-;3629743,97"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;298641,95;-;298641,95"
"""110030 VILHENA"";-;994347,22;-;7879699,24;-;8874046,46"
"""110032 SAO MIGUEL DO GUAPORE"";-;75,00;-;523599,52;-;523674,52"
"""110033 NOVA MAMORE"";-;-;-;689605,58;-;689605,58"
"""110034 ALVORADA D'OESTE"";-;-;-;409451,28;-;409451,28"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;366408,74;-;366408,74"
"""110040 ALTO PARAISO"";-;-;-;747913,51;-;747913,51"
"""110045 BURITIS"";-;-;-;1986502,62;-;1986502,62"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;827739,61;-;827739,61"
"""110060 CACAULANDIA"";-;-;-;315422,54;-;315422,54"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;180439,22;-;180439,22"
"""110080 CANDEIAS DO JAMARI"";-;-;-;693725,98;-;693725,98"
"""110090 CASTANHEIRAS"";-;-;-;58068,33;-;58068,33"
"""110092 CHUPINGUAIA"";-;-;-;325287,37;-;325287,37"
"""110094 CUJUBIM"";-;-;-;1657473,15;-;1657473,15"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;136304,48;-;136304,48"
"""110110 ITAPUA DO OESTE"";-;-;-;417897,92;-;417897,92"
"""110120 MINISTRO ANDREAZZA"";-;-;-;315704,60;-;315704,60"
"""110130 MIRANTE DA SERRA"";-;-;-;534864,46;-;534864,46"
"""110140 MONTE NEGRO"";-;-;-;813426,97;-;813426,97"
"""110143 NOVA UNIAO"";-;-;-;449041,91;-;449041,91"
"""110145 PARECIS"";-;-;-;269341,79;-;269341,79"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;99518,80;-;99518,80"
"""110147 PRIMAVERA DE RONDONIA"";-;-;-;1147,79;-;1147,79"
"""110148 SAO FELIPE D'OESTE"";-;-;-;207643,77;-;207643,77"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;-;1074695,28;-;1074695,28"
