"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""250905 MARCACAO"";2745;-;-;-;-;-;31424;34169"
"""250910 MARI"";4795;778;3;-;-;-;160156;165732"
"""250915 MARIZOPOLIS"";950;-;-;-;-;-;6104;7054"
"""250920 MASSARANDUBA"";5070;-;-;-;-;-;48757;53827"
"""250930 MATARACA"";9736;1;-;-;-;-;71106;80843"
"""250933 MATINHAS"";1504;11;-;-;-;-;5874;7389"
"""250937 MATO GROSSO"";775;1;-;-;-;-;7672;8448"
"""250939 MATUREIA"";4639;-;-;-;-;-;1554;6193"
"""250940 MOGEIRO"";4353;1;1;-;-;-;74984;79339"
"""250950 MONTADAS"";2576;-;-;-;-;-;23304;25880"
"""250960 MONTE HOREBE"";1230;3;-;-;-;-;6863;8096"
"""250970 MONTEIRO"";153048;84501;4;1;1;7;216674;454236"
"""250980 MULUNGU"";7435;2057;-;-;-;-;18096;27588"
"""250990 NATUBA"";2540;-;2;3;-;-;53308;55853"
"""251000 NAZAREZINHO"";11927;529;-;-;-;-;3618;16074"
"""251010 NOVA FLORESTA"";255;-;-;-;-;-;6047;6302"
"""251020 NOVA OLINDA"";966;-;-;-;-;-;7927;8893"
"""251030 NOVA PALMEIRA"";2220;2;-;-;-;-;9054;11276"
"""251040 OLHO D'AGUA"";567;-;-;-;-;-;728;1295"
"""251050 OLIVEDOS"";1559;-;-;-;-;-;12133;13692"
"""251060 OURO VELHO"";3627;-;-;-;-;-;30203;33830"
"""251065 PARARI"";3431;-;-;-;-;-;18832;22263"
"""251070 PASSAGEM"";1727;1;-;-;-;-;3209;4937"
"""251080 PATOS"";231729;25696;2;2;120;7;892623;1150179"
"""251090 PAULISTA"";3676;314;1;-;-;-;88967;92958"
"""251100 PEDRA BRANCA"";1691;-;-;-;-;-;10952;12643"
"""251110 PEDRA LAVRADA"";5815;-;-;-;-;3;52573;58391"
"""251120 PEDRAS DE FOGO"";33755;1944;-;-;3;-;295365;331067"
"""251130 PIANCO"";54269;42447;1;1;2;-;359450;456170"
"""251140 PICUI"";54035;291;-;-;-;-;120055;174381"
"""251150 PILAR"";10224;2;-;-;-;-;99259;109485"
"""251160 PILOES"";565;45;-;-;-;-;746;1356"
"""251170 PILOEZINHOS"";1174;-;-;-;-;-;3793;4967"
"""251180 PIRPIRITUBA"";796;13572;5;-;-;-;62370;76743"
"""251190 PITIMBU"";13842;72;-;-;-;-;111383;125297"
"""251200 POCINHOS"";23156;105;-;-;-;-;85097;108358"
"""251203 POCO DANTAS"";1459;-;-;-;-;-;6366;7825"
"""251207 POCO DE JOSE DE MOURA"";3581;-;-;-;-;-;13183;16764"
"""251210 POMBAL"";147548;113013;5;1;1;-;218085;478653"
"""251220 PRATA"";4038;2;-;-;-;2;4619;8661"
"""251230 PRINCESA ISABEL"";100775;8745;6;-;10;1;429748;539285"
"""251240 PUXINANA"";6227;-;-;-;-;-;53896;60123"
"""251250 QUEIMADAS"";26883;1067;3;1;-;-;331818;359772"
"""251260 QUIXABA"";1326;2;-;-;-;-;829;2157"
"""251270 REMIGIO"";8880;71;-;-;-;-;105111;114062"
"""251272 PEDRO REGIS"";2458;723;-;-;-;-;64800;67981"
"""251274 RIACHAO"";1388;-;-;-;-;-;2508;3896"
"""251275 RIACHAO DO BACAMARTE"";307;-;-;-;-;-;1765;2072"
"""251276 RIACHAO DO POCO"";1067;-;-;-;-;-;1778;2845"
"""251278 RIACHO DE SANTO ANTONIO"";216;-;-;-;-;-;22073;22289"
"""251280 RIACHO DOS CAVALOS"";1765;400;-;-;-;-;12451;14616"
"""251290 RIO TINTO"";25102;40207;7;-;-;-;212718;278034"
"""251300 SALGADINHO"";1258;-;-;-;-;-;641;1899"
"""251310 SALGADO DE SAO FELIX"";9916;-;-;-;-;-;50714;60630"
"""251315 SANTA CECILIA"";2113;16;-;-;2;-;25522;27653"
"""251320 SANTA CRUZ"";3481;-;-;-;-;-;10818;14299"
"""251330 SANTA HELENA"";2200;-;-;-;-;-;21542;23742"
"""251335 SANTA INES"";122;-;-;-;-;-;13212;13334"
"""251340 SANTA LUZIA"";14860;120;-;-;-;-;89665;104645"
"""251350 SANTANA DE MANGUEIRA"";762;-;-;-;-;-;11229;11991"
"""251360 SANTANA DOS GARROTES"";5294;17;-;-;-;-;11972;17283"
"""251365 JOCA CLAUDINO"";244;-;-;-;-;-;7942;8186"
"""251370 SANTA RITA"";591590;151832;10;6;14;6;540536;1283994"
"""251380 SANTA TERESINHA"";1610;-;10;-;-;-;7447;9067"
"""251385 SANTO ANDRE"";2610;-;-;-;-;-;13721;16331"
"""251390 SAO BENTO"";28457;-;27;1;-;-;147085;175570"
"""251392 SAO BENTINHO"";2505;-;-;4;-;-;17963;20472"
"""251394 SAO DOMINGOS DO CARIRI"";2651;1;-;-;-;-;16503;19155"
"""251396 SAO DOMINGOS"";355;-;-;-;-;-;6548;6903"
"""251398 SAO FRANCISCO"";2652;6;-;-;-;-;16403;19061"
"""251400 SAO JOAO DO CARIRI"";2156;-;-;-;-;-;8780;10936"
"""251410 SAO JOAO DO TIGRE"";1860;-;-;-;-;-;7910;9770"
"""251420 SAO JOSE DA LAGOA TAPADA"";3870;657;-;-;-;-;18007;22534"
"""251430 SAO JOSE DE CAIANA"";3521;3;-;-;-;-;18297;21821"
"""251440 SAO JOSE DE ESPINHARAS"";2577;-;-;-;-;-;8769;11346"
"""251445 SAO JOSE DOS RAMOS"";9565;2;2;5;-;-;26394;35968"
"""251450 SAO JOSE DE PIRANHAS"";3407;26;-;-;-;-;14620;18053"
"""251455 SAO JOSE DE PRINCESA"";1078;-;-;-;-;1;10039;11118"
"""251460 SAO JOSE DO BONFIM"";-;-;-;-;-;-;8538;8538"
"""251465 SAO JOSE DO BREJO DO CRUZ"";465;2;-;-;-;-;8735;9202"
"""251470 SAO JOSE DO SABUGI"";1235;-;-;-;-;-;12525;13760"
"""251480 SAO JOSE DOS CORDEIROS"";1527;-;-;-;-;-;17698;19225"
"""251490 SAO MAMEDE"";11793;7680;-;-;1;-;8013;27487"
"""251500 SAO MIGUEL DE TAIPU"";1946;-;-;-;-;-;44365;46311"
"""251510 SAO SEBASTIAO DE LAGOA DE ROCA"";2917;-;-;-;-;-;40969;43886"
"""251520 SAO SEBASTIAO DO UMBUZEIRO"";1652;1;-;-;-;-;10091;11744"
"""251530 SAPE"";37301;144;-;-;-;-;440460;477905"
"""251540 SAO VICENTE DO SERIDO"";4125;-;-;-;-;-;29719;33844"
"""251550 SERRA BRANCA"";4994;29;-;-;-;-;54145;59168"
"""251560 SERRA DA RAIZ"";2497;-;-;-;-;-;875;3372"
"""251570 SERRA GRANDE"";345;-;-;-;-;-;15207;15552"
"""251580 SERRA REDONDA"";3298;-;-;-;-;-;13741;17039"
"""251590 SERRARIA"";1283;279;-;-;-;-;57123;58685"
"""251593 SERTAOZINHO"";813;-;-;-;-;-;606;1419"
"""251597 SOBRADO"";2765;-;-;-;-;-;5409;8174"
"""251600 SOLANEA"";9201;2;-;1;-;3;118478;127685"
"""251610 SOLEDADE"";5872;-;-;-;-;-;68146;74018"
"""251615 SOSSEGO"";214;-;-;-;-;-;11227;11441"
"""251620 SOUSA"";139076;97164;22;-;10;-;504808;741080"
"""251630 SUME"";42475;66;-;-;-;-;119301;161842"
"""251640 TACIMA"";3265;10;-;-;-;-;25189;28464"
"""251650 TAPEROA"";14881;1;-;-;-;7;55899;70788"
"""251660 TAVARES"";864;-;-;-;-;-;174457;175321"
"""251670 TEIXEIRA"";4735;5;-;-;-;-;70842;75582"
"""251675 TENORIO"";778;-;-;-;-;-;8075;8853"
"""251680 TRIUNFO"";2832;10;-;-;-;-;55310;58152"
"""251690 UIRAUNA"";4644;-;-;-;-;-;38915;43559"
"""251700 UMBUZEIRO"";10898;3;-;-;-;-;72947;83848"
"""251710 VARZEA"";2237;-;-;-;-;-;15118;17355"
"""251720 VIEIROPOLIS"";813;-;-;-;-;-;637;1450"
"""260005 ABREU E LIMA"";8691;5275;-;-;-;-;356294;370260"
"""260010 AFOGADOS DA INGAZEIRA"";294396;943;1;-;-;-;397096;692436"
"""260020 AFRANIO"";15060;-;-;-;-;-;224785;239845"
"""260030 AGRESTINA"";28266;-;9;63;5;-;265824;294167"
"""260040 AGUA PRETA"";20998;10670;2;-;-;-;115507;147177"
"""260050 AGUAS BELAS"";20229;1418;-;-;-;-;105807;127454"
"""260060 ALAGOINHA"";3;-;-;-;-;-;70839;70842"
"""260070 ALIANCA"";22521;22;11;3;2;-;258430;280989"
"""260080 ALTINHO"";11681;8;-;-;-;-;192570;204259"
"""260090 AMARAJI"";12699;402;-;-;-;-;163146;176247"
"""260100 ANGELIM"";6072;-;-;-;-;-;67361;73433"
"""260105 ARACOIABA"";19346;6;9;5;2;2;302113;321483"
"""260110 ARARIPINA"";80652;333319;68;1;14;-;208121;622175"
"""260120 ARCOVERDE"";330413;7221;3;-;-;-;1132256;1469893"
"""260130 BARRA DE GUABIRABA"";3577;-;5;12;-;-;63787;67381"
"""260140 BARREIROS"";38394;138;6;2;1;-;298789;337330"
"""260150 BELEM DE MARIA"";7983;1;-;-;-;-;236538;244522"
"""260160 BELEM DO SAO FRANCISCO"";58218;-;-;-;-;-;83159;141377"
"""260170 BELO JARDIM"";71169;-;-;-;-;-;884933;956102"
"""260180 BETANIA"";17632;-;-;-;-;-;82671;100303"
"""260190 BEZERROS"";23415;-;-;-;-;-;299555;322970"
"""260200 BODOCO"";113613;-;-;-;-;-;306653;420266"
"""260210 BOM CONSELHO"";4670;1;-;-;-;-;432992;437663"
"""260220 BOM JARDIM"";32936;50;13;38;13;1;266549;299600"
"""260230 BONITO"";21742;14;-;-;-;-;416611;438367"
"""260240 BREJAO"";23953;-;-;-;-;-;85862;109815"
"""260250 BREJINHO"";18825;-;-;-;-;-;64254;83079"
"""260260 BREJO DA MADRE DE DEUS"";132711;-;-;-;-;-;727791;860502"
"""260270 BUENOS AIRES"";3171;-;-;14;10;1;47918;51114"
"""260280 BUIQUE"";9872;19687;11;13;9;346;145355;175293"
"""260290 CABO DE SANTO AGOSTINHO"";346309;9779;4;37;1;-;2715115;3071245"
"""260300 CABROBO"";47698;1;-;-;-;-;115693;163392"
"""260310 CACHOEIRINHA"";8569;2;-;6;-;-;164597;173174"
"""260320 CAETES"";9369;2;23;-;1;-;116297;125692"
"""260330 CALCADO"";7079;-;8;-;-;-;104430;111517"
"""260340 CALUMBI"";14446;-;-;6;-;-;36822;51274"
"""260345 CAMARAGIBE"";134295;4923;1;2;-;-;1588813;1728034"
"""260350 CAMOCIM DE SAO FELIX"";5394;-;-;-;-;-;183931;189325"
"""260360 CAMUTANGA"";3772;1;2;12;-;-;75127;78914"
"""260370 CANHOTINHO"";10485;-;-;-;-;-;169465;179950"
"""260380 CAPOEIRAS"";11470;-;-;-;-;-;160972;172442"
"""260390 CARNAIBA"";69747;-;-;-;-;-;270481;340228"
"""260392 CARNAUBEIRA DA PENHA"";5556;8;-;-;-;-;57389;62953"
"""260400 CARPINA"";290713;82;99;40;23;1;402466;693424"
"""260410 CARUARU"";487478;26931;4;16;16;5473;4552042;5071960"
"""260415 CASINHAS"";1187;14266;1;-;-;23;130732;146209"
"""260420 CATENDE"";11743;25;-;-;1;-;327977;339746"
"""260430 CEDRO"";32812;66;-;-;-;-;53671;86549"
"""260440 CHA DE ALEGRIA"";6576;-;-;-;5;-;71661;78242"
"""260450 CHA GRANDE"";25414;212;-;-;-;-;206421;232047"
"""260460 CONDADO"";14382;7;-;-;-;-;58927;73316"
"""260470 CORRENTES"";266;-;-;-;-;-;65873;66139"
"""260480 CORTES"";8399;1229;-;-;-;-;150956;160584"
"""260490 CUMARU"";3551;-;-;-;-;-;52156;55707"
"""260500 CUPIRA"";21509;-;-;-;-;-;255658;277167"
"""260510 CUSTODIA"";113787;4;12;3;-;-;266445;380251"
"""260515 DORMENTES"";74713;573;14;-;32;-;153895;229227"
"""260520 ESCADA"";49010;67206;1;5;-;-;245765;361987"
"""260530 EXU"";16136;-;-;-;-;-;121319;137455"
"""260540 FEIRA NOVA"";16092;-;4;8;7;-;106578;122689"
"""260545 FERNANDO DE NORONHA"";3962;61;-;-;-;-;47224;51247"
"""260550 FERREIROS"";9759;2;-;-;-;-;54343;64104"
"""260560 FLORES"";29356;23;4;1;-;-;66519;95903"
"""260570 FLORESTA"";23047;-;-;-;-;-;113503;136550"
"""260580 FREI MIGUELINHO"";5936;-;1;5;6;-;87061;93009"
"""260590 GAMELEIRA"";15417;1;1;4;-;-;168513;183936"
"""260600 GARANHUNS"";695098;11108;10;16;1;-;1735531;2441764"
"""260610 GLORIA DO GOITA"";19020;37;7;23;18;1;193562;212668"
"""260620 GOIANA"";48267;1419;-;4;2;-;980405;1030097"
"""260630 GRANITO"";10149;4716;3;26;1;-;31756;46651"
"""260640 GRAVATA"";62849;2;-;-;-;-;656680;719531"
"""260650 IATI"";8006;321;-;-;-;-;95894;104221"
"""260660 IBIMIRIM"";15990;247;6;2;-;-;111182;127427"
"""260670 IBIRAJUBA"";2781;-;-;-;-;-;44615;47396"
"""260680 IGARASSU"";51411;11615;6;47;-;-;1914712;1977791"
"""260690 IGUARACY"";41464;-;-;-;-;-;66220;107684"
"""260700 INAJA"";7078;8;-;-;-;-;107970;115056"
"""260710 INGAZEIRA"";8398;-;-;-;-;-;53583;61981"
"""260720 IPOJUCA"";70867;91;16;15;-;-;2944365;3015354"
"""260730 IPUBI"";3485;-;-;-;-;-;48211;51696"
"""260740 ITACURUBA"";3981;-;-;-;-;-;71575;75556"
"""260750 ITAIBA"";2090;-;-;-;-;-;107344;109434"
"""260760 ILHA DE ITAMARACA"";12170;169;16;-;-;-;213362;225717"
"""260765 ITAMBE"";15009;62;-;-;-;-;200742;215813"
"""260770 ITAPETIM"";39801;-;-;1;-;-;84112;123914"
"""260775 ITAPISSUMA"";15588;56;2;-;-;-;218402;234048"
"""260780 ITAQUITINGA"";4435;13;2;-;-;-;352162;356612"
"""260790 JABOATAO DOS GUARARAPES"";648159;12149;35;15;13;4;5256502;5916877"
"""260795 JAQUEIRA"";7602;-;-;-;10;-;154627;162239"
"""260800 JATAUBA"";21288;-;-;-;-;-;241582;262870"
"""260805 JATOBA"";3122;-;-;-;-;-;93256;96378"
"""260810 JOAO ALFREDO"";28618;-;15;-;3;-;163720;192356"
"""260820 JOAQUIM NABUCO"";1139;1;1;-;4;160;40354;41659"
"""260825 JUCATI"";8369;-;-;-;-;-;65455;73824"
"""260830 JUPI"";1770;-;-;-;-;-;148320;150090"
"""260840 JUREMA"";116;-;-;-;-;-;75638;75754"
"""260845 LAGOA DO CARRO"";30477;447;15;126;99;17;110281;141462"
"""260850 LAGOA DE ITAENGA"";16630;5;9;1;-;-;136116;152761"
"""260860 LAGOA DO OURO"";11575;-;-;-;-;-;111157;122732"
"""260870 LAGOA DOS GATOS"";2604;-;-;-;-;-;82752;85356"
"""260875 LAGOA GRANDE"";2524;392;-;-;-;-;98407;101323"
"""260880 LAJEDO"";13624;1;-;-;-;-;215743;229368"
"""260890 LIMOEIRO"";223408;1042;79;129;73;13;835808;1060552"
"""260900 MACAPARANA"";12648;2;5;1;1;-;157609;170266"
"""260910 MACHADOS"";5813;-;-;-;-;-;151431;157244"
"""260915 MANARI"";20919;9;-;-;-;1;96173;117102"
"""260920 MARAIAL"";631;48;-;1;-;-;112116;112796"
"""260930 MIRANDIBA"";27658;2;-;-;-;-;33522;61182"
"""260940 MORENO"";18825;1527;90;12;4;-;557597;578055"
"""260950 NAZARE DA MATA"";19889;1709;2;29;13;-;493602;515244"
"""260960 OLINDA"";248960;3479;5;-;-;-;2596359;2848803"
"""260970 OROBO"";16379;5;7;49;25;4;128382;144851"
"""260980 OROCO"";47651;1;6;-;-;11;60861;108530"
"""260990 OURICURI"";106337;581;-;-;-;-;379036;485954"
"""261000 PALMARES"";150380;13578;2;-;-;-;627992;791952"
"""261010 PALMEIRINA"";1002;-;-;-;-;-;29951;30953"
"""261020 PANELAS"";13165;2582;-;-;-;-;188180;203927"
"""261030 PARANATAMA"";12637;-;-;-;-;-;89932;102569"
"""261040 PARNAMIRIM"";52949;-;-;-;-;-;92355;145304"
"""261050 PASSIRA"";6347;-;8;2;-;-;117116;123473"
"""261060 PAUDALHO"";64046;561;11;1;-;-;708762;773381"
"""261070 PAULISTA"";329968;21684;12;27;-;-;2524090;2875781"
"""261080 PEDRA"";20848;312;-;6;-;-;124710;145876"
"""261090 PESQUEIRA"";101479;2352;3;1;-;-;531730;635565"
"""261100 PETROLANDIA"";106036;114;-;-;-;-;324081;430231"
"""261110 PETROLINA"";476591;19317;78;8;34;2;3322314;3818344"
"""261120 POCAO"";17309;-;-;-;-;-;118465;135774"
"""261130 POMBOS"";14992;5;69;8;5;1;204387;219467"
"""261140 PRIMAVERA"";10394;22;-;-;-;-;113992;124408"
"""261150 QUIPAPA"";16268;-;-;-;-;-;102105;118373"
"""261153 QUIXABA"";1899;-;-;1;-;-;72524;74424"
"""261160 RECIFE"";42137197;308383;116;89;15;8;31675379;74121187"
"""261170 RIACHO DAS ALMAS"";37742;31;57;20;-;1;222953;260804"
"""261180 RIBEIRAO"";4602;1;-;1;1;-;174692;179297"
"""261190 RIO FORMOSO"";5935;11;-;-;-;-;120192;126138"
"""261200 SAIRE"";669;-;-;-;-;-;64685;65354"
"""261210 SALGADINHO"";3681;1;-;20;1;-;59017;62720"
"""261220 SALGUEIRO"";96869;4098;2;-;-;1;379245;480215"
"""261230 SALOA"";10179;1;-;-;-;-;73769;83949"
"""261240 SANHARO"";10978;23169;16;-;2;-;213245;247410"
"""261245 SANTA CRUZ"";12000;1;-;-;-;-;26055;38056"
"""261247 SANTA CRUZ DA BAIXA VERDE"";7524;-;-;-;-;-;85170;92694"
"""261250 SANTA CRUZ DO CAPIBARIBE"";28518;2499;9;8;-;-;1028493;1059527"
"""261255 SANTA FILOMENA"";17833;27;-;-;-;-;56594;74454"
"""261260 SANTA MARIA DA BOA VISTA"";76222;34;2;13;-;-;456633;532904"
"""261270 SANTA MARIA DO CAMBUCA"";5458;-;1;1;-;-;114597;120057"
"""261280 SANTA TEREZINHA"";11792;-;-;-;-;-;89236;101028"
"""261290 SAO BENEDITO DO SUL"";4188;-;-;-;-;-;39715;43903"
"""261300 SAO BENTO DO UNA"";39041;-;-;31;-;1;166560;205633"
"""261310 SAO CAITANO"";24479;2062;2;3;-;-;399997;426543"
"""261320 SAO JOAO"";20746;-;-;-;-;-;206612;227358"
"""261330 SAO JOAQUIM DO MONTE"";22646;597;-;-;-;-;265952;289195"
"""261340 SAO JOSE DA COROA GRANDE"";1618;5134;-;-;-;-;199324;206076"
"""261350 SAO JOSE DO BELMONTE"";1706;1;-;-;-;-;145473;147180"
"""261360 SAO JOSE DO EGITO"";147157;121;-;64;-;-;98540;245882"
"""261370 SAO LOURENCO DA MATA"";35136;14062;36;-;45;-;929972;979251"
"""261380 SAO VICENTE FERRER"";11822;5;7;4;5;5;163555;175403"
"""261390 SERRA TALHADA"";264260;874;6;12;-;-;833454;1098606"
"""261400 SERRITA"";11068;2;-;-;-;-;80170;91240"
"""261410 SERTANIA"";157573;8;-;-;-;-;165712;323293"
"""261420 SIRINHAEM"";17617;1;-;-;-;1;220593;238212"
"""261430 MOREILANDIA"";13007;1;-;-;-;-;103183;116191"
"""261440 SOLIDAO"";6844;-;1;-;-;-;91730;98575"
"""261450 SURUBIM"";74129;1227;26;246;39;-;549791;625458"
"""261460 TABIRA"";87176;64;-;20;-;-;253075;340335"
"""261470 TACAIMBO"";6270;284;1;10;-;-;73022;79587"
"""261480 TACARATU"";86720;-;-;-;-;-;106925;193645"
"""261485 TAMANDARE"";15388;157;-;-;-;-;215741;231286"
"""261500 TAQUARITINGA DO NORTE"";36184;-;-;-;-;-;40637;76821"
"""261510 TEREZINHA"";1765;-;-;-;-;-;36670;38435"
"""261520 TERRA NOVA"";3972;-;-;-;-;-;34928;38900"
"""261530 TIMBAUBA"";61403;1811;-;-;-;-;348021;411235"
"""261540 TORITAMA"";6077;-;-;-;-;-;450008;456085"
"""261550 TRACUNHAEM"";367;5388;-;-;-;3;53679;59437"
"""261560 TRINDADE"";34929;-;-;-;-;-;143735;178664"
"""261570 TRIUNFO"";2858;-;-;-;-;-;78417;81275"
"""261580 TUPANATINGA"";15571;-;-;-;-;-;102360;117931"
"""261590 TUPARETAMA"";10969;-;-;9;-;-;110324;121302"
"""261600 VENTUROSA"";17678;1;-;-;-;-;455007;472686"
"""261610 VERDEJANTE"";7900;360;-;-;-;-;21498;29758"
"""261618 VERTENTE DO LERIO"";3766;-;1;3;1;-;90172;93943"
"""261620 VERTENTES"";29197;178;7;12;8;-;160333;189735"
"""261630 VICENCIA"";16678;1;1;29;8;-;64470;81187"
"""261640 VITORIA DE SANTO ANTAO"";319659;2856;54;234;18;39;930464;1253324"
"""261650 XEXEU"";17461;-;22;42;5;-;197000;214530"
"""270010 AGUA BRANCA"";19791;98;-;-;-;-;135260;155149"
"""270020 ANADIA"";7062;-;-;-;-;-;80513;87575"
"""270030 ARAPIRACA"";1056470;144264;36;50;84;138;2947461;4148503"
"""270040 ATALAIA"";120942;1;1;-;-;-;151521;272465"
"""270050 BARRA DE SANTO ANTONIO"";9191;1;-;1;-;-;452335;461528"
"""270060 BARRA DE SAO MIGUEL"";2739;-;-;-;-;-;141057;143796"
"""270070 BATALHA"";10940;997;1;-;-;-;276354;288292"
"""270080 BELEM"";550;-;-;-;-;-;3025;3575"
"""270090 BELO MONTE"";124;-;-;-;-;-;34281;34405"
"""270100 BOCA DA MATA"";26866;1;1;-;-;-;108183;135051"
"""270110 BRANQUINHA"";3584;13;-;-;-;-;49748;53345"
"""270120 CACIMBINHAS"";3307;26332;3;1;-;-;62020;91663"
"""270130 CAJUEIRO"";16654;-;-;-;1;-;185685;202340"
"""270135 CAMPESTRE"";1852;1;-;-;-;-;3660;5513"
"""270140 CAMPO ALEGRE"";41319;26;2;4;-;-;634461;675812"
"""270150 CAMPO GRANDE"";1253;6;1;-;-;-;16921;18181"
"""270160 CANAPI"";21430;5;-;-;-;-;21923;43358"
"""270170 CAPELA"";19967;7;-;-;-;-;246516;266490"
"""270180 CARNEIROS"";12365;-;-;-;-;-;31194;43559"
"""270190 CHA PRETA"";2851;1;-;-;-;-;44427;47279"
"""270200 COITE DO NOIA"";409;125;-;-;-;-;109777;110311"
"""270210 COLONIA LEOPOLDINA"";28962;2;-;-;-;-;118270;147234"
"""270220 COQUEIRO SECO"";10043;2;1;-;-;1;15137;25184"
"""270230 CORURIPE"";54436;2;-;1;2;1;584657;639099"
"""270235 CRAIBAS"";13777;-;-;-;-;-;173102;186879"
"""270240 DELMIRO GOUVEIA"";113663;71419;21;5;1;7;194887;380003"
"""270250 DOIS RIACHOS"";5477;5;-;-;-;-;51550;57032"
"""270255 ESTRELA DE ALAGOAS"";2035;-;-;-;-;-;1565;3600"
"""270260 FEIRA GRANDE"";4248;-;2;-;-;-;205826;210076"
"""270270 FELIZ DESERTO"";7422;2;-;-;-;-;14133;21557"
"""270280 FLEXEIRAS"";6145;5272;-;-;-;-;108424;119841"
"""270290 GIRAU DO PONCIANO"";14336;107;-;1;-;-;226651;241095"
"""270300 IBATEGUARA"";22198;-;-;-;-;-;137338;159536"
"""270310 IGACI"";6008;3;-;1;-;-;145058;151070"
"""270320 IGREJA NOVA"";8017;-;-;1;-;-;135966;143984"
"""270330 INHAPI"";31977;1;2;-;-;-;158542;190522"
"""270340 JACARE DOS HOMENS"";1633;-;-;-;-;-;21203;22836"
"""270350 JACUIPE"";178;-;-;-;-;-;13655;13833"
"""270360 JAPARATINGA"";5442;-;-;-;-;3;51122;56567"
"""270370 JARAMATAIA"";1829;-;-;-;-;-;24805;26634"
"""270375 JEQUIA DA PRAIA"";11966;-;-;-;-;-;68720;80686"
"""270380 JOAQUIM GOMES"";22081;19321;1;-;-;-;80808;122211"
"""270390 JUNDIA"";1074;-;-;-;1;-;20311;21386"
"""270400 JUNQUEIRO"";22933;3;-;-;-;-;341150;364086"
"""270410 LAGOA DA CANOA"";38524;5453;7;6;4;-;108705;152699"
"""270420 LIMOEIRO DE ANADIA"";11916;173;-;1;2;1;193877;205970"
"""270430 MACEIO"";15203552;456571;108;619;122;834;10200183;25861989"
"""270440 MAJOR ISIDORO"";7162;-;-;-;-;-;58778;65940"
"""270450 MARAGOGI"";51488;113722;-;-;-;-;137106;302316"
"""270460 MARAVILHA"";10394;-;-;-;-;-;35482;45876"
"""270470 MARECHAL DEODORO"";59364;162702;94;10;2;-;250396;472568"
"""270480 MARIBONDO"";78157;-;-;-;-;-;75413;153570"
"""270490 MAR VERMELHO"";5900;-;-;-;-;-;26312;32212"
"""270500 MATA GRANDE"";34118;-;-;-;-;1;84358;118477"
"""270510 MATRIZ DE CAMARAGIBE"";19071;2;-;-;-;-;120191;139264"
"""270520 MESSIAS"";50727;1;28;-;-;-;182977;233733"
"""270530 MINADOR DO NEGRAO"";5614;2;-;-;-;-;2046;7662"
"""270540 MONTEIROPOLIS"";6341;-;3;1;-;-;17760;24105"
"""270550 MURICI"";35010;2760;-;-;-;-;296564;334334"
"""270560 NOVO LINO"";4719;14;-;-;-;-;89165;93898"
"""270570 OLHO D'AGUA DAS FLORES"";30450;205;40;-;-;-;302263;332958"
"""270580 OLHO D'AGUA DO CASADO"";6246;-;-;-;-;-;786;7032"
"""270590 OLHO D'AGUA GRANDE"";861;-;-;-;-;-;18301;19162"
"""270600 OLIVENCA"";9641;-;-;-;-;-;2172;11813"
"""270610 OURO BRANCO"";8946;-;-;-;-;-;40517;49463"
"""270620 PALESTINA"";1204;2;-;-;-;-;897;2103"
"""270630 PALMEIRA DOS INDIOS"";158259;216502;159;23;1;2;282301;657247"
"""270640 PAO DE ACUCAR"";16726;-;-;-;-;-;235408;252134"
"""270642 PARICONHA"";7923;3;-;1;-;-;34160;42087"
"""270644 PARIPUEIRA"";1663;17;-;-;-;-;81860;83540"
"""270650 PASSO DE CAMARAGIBE"";10169;51;-;-;-;-;280504;290724"
"""270660 PAULO JACINTO"";14063;-;-;-;-;-;99635;113698"
"""270670 PENEDO"";275399;23883;79;10;-;1;614094;913466"
"""270680 PIACABUCU"";18392;199;-;-;2;-;84789;103382"
"""270690 PILAR"";68500;2453;6;-;-;1;536406;607366"
"""270700 PINDOBA"";3235;-;-;-;-;-;8088;11323"
"""270710 PIRANHAS"";61383;228;-;-;-;-;238628;300239"
"""270720 POCO DAS TRINCHEIRAS"";8673;-;-;-;-;-;28974;37647"
"""270730 PORTO CALVO"";50418;4809;-;-;-;-;341998;397225"
"""270740 PORTO DE PEDRAS"";10161;-;-;-;-;-;59963;70124"
"""270750 PORTO REAL DO COLEGIO"";30808;83037;-;-;1;-;58660;172506"
"""270760 QUEBRANGULO"";9471;-;-;-;-;-;157115;166586"
"""270770 RIO LARGO"";65839;75478;-;-;-;-;845104;986421"
"""270780 ROTEIRO"";3909;4;-;-;-;-;20405;24318"
"""270790 SANTA LUZIA DO NORTE"";6567;12;-;-;-;-;15169;21748"
"""270800 SANTANA DO IPANEMA"";151346;208212;13;121;-;2;656267;1015961"
"""270810 SANTANA DO MUNDAU"";14236;-;-;-;-;-;33701;47937"
"""270820 SAO BRAS"";985;63;-;-;-;-;46262;47310"
"""270830 SAO JOSE DA LAJE"";39144;72;-;-;-;1;396669;435886"
"""270840 SAO JOSE DA TAPERA"";45152;-;2;51;-;-;317659;362864"
