"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""130040 BARCELOS"";50;1;-;-;-;-;43018;43069"
"""130050 BARREIRINHA"";4684;276;2;-;1;-;64357;69320"
"""130060 BENJAMIN CONSTANT"";2936;6;-;-;-;-;18556;21498"
"""130063 BERURI"";-;129;-;-;-;-;36165;36294"
"""130068 BOA VISTA DO RAMOS"";25808;31735;2;-;2;-;2657;60204"
"""130070 BOCA DO ACRE"";3856;-;-;-;-;-;337517;341373"
"""130080 BORBA"";3137;70004;66;1;1;1;3415;76625"
"""130083 CAAPIRANGA"";260;12332;8;-;2;1;27996;40599"
"""130090 CANUTAMA"";247;-;-;-;-;-;63077;63324"
"""130100 CARAUARI"";1;2287;-;-;2;-;273754;276044"
"""130110 CAREIRO"";101336;11699;6;3;-;-;3783;116827"
"""130115 CAREIRO DA VARZEA"";3772;910;2;-;-;-;216811;221495"
"""130120 COARI"";68032;22961;3;4;-;-;1017814;1108814"
"""130130 CODAJAS"";4154;1;-;-;-;-;46385;50540"
"""130140 EIRUNEPE"";3380;23294;-;1;5;-;50575;77255"
"""130150 ENVIRA"";258;3;-;-;-;-;465905;466166"
"""130160 FONTE BOA"";230;-;-;-;-;-;749646;749876"
"""130165 GUAJARA"";3264;31536;-;-;-;-;220586;255386"
"""130170 HUMAITA"";24011;19875;7;2;-;-;2483786;2527681"
"""130180 IPIXUNA"";952;-;-;-;-;-;50786;51738"
"""130185 IRANDUBA"";3366;20;-;-;-;-;131266;134652"
"""130190 ITACOATIARA"";74574;53177;13;2;6;-;1934604;2062376"
"""130195 ITAMARATI"";666;1;-;-;-;-;40265;40932"
"""130200 ITAPIRANGA"";1878;12754;6;-;-;-;62922;77560"
"""130210 JAPURA"";269;-;-;-;-;-;58756;59025"
"""130230 JUTAI"";139;-;-;-;-;-;28802;28941"
"""130240 LABREA"";105758;26;5;49;1;1;158357;264197"
"""130250 MANACAPURU"";36479;146;-;-;-;-;1280484;1317109"
"""130255 MANAQUIRI"";22569;16961;9;19;3;5;2822;42388"
"""130260 MANAUS"";13076891;1186124;1621;71;2366;92;18773557;33040722"
"""130270 MANICORE"";13738;4896;16;-;-;-;243686;262336"
"""130280 MARAA"";386;-;-;-;-;-;12265;12651"
"""130290 MAUES"";60351;18826;-;-;170;-;406981;486328"
"""130300 NHAMUNDA"";1;33753;-;-;6;-;80;33840"
"""130310 NOVA OLINDA DO NORTE"";25635;21306;11;-;251;-;419330;466533"
"""130320 NOVO AIRAO"";4553;-;-;-;-;-;134496;139049"
"""130330 NOVO ARIPUANA"";3249;2142;1;-;-;-;220421;225813"
"""130340 PARINTINS"";70780;22044;8;-;1;-;1509829;1602662"
"""130350 PAUINI"";285;647;1;-;-;-;124178;125111"
"""130353 PRESIDENTE FIGUEIREDO"";22453;13;1;-;-;-;202214;224681"
"""130356 RIO PRETO DA EVA"";4080;8326;1;-;-;-;243963;256370"
"""130360 SANTA ISABEL DO RIO NEGRO"";1503;6382;-;1;-;-;2;7888"
"""130370 SANTO ANTONIO DO ICA"";934;8468;1;-;-;-;171305;180708"
"""130380 SAO GABRIEL DA CACHOEIRA"";14405;4748;-;-;-;-;94042;113195"
"""130390 SAO PAULO DE OLIVENCA"";3516;17306;-;-;1;-;177328;198151"
"""130395 SAO SEBASTIAO DO UATUMA"";4166;5333;1;-;2;-;98405;107907"
"""130400 SILVES"";2612;1156;4;-;2;-;96839;100613"
"""130406 TABATINGA"";5872;44140;3;-;-;-;388391;438406"
"""130410 TAPAUA"";374;3273;-;-;-;-;88889;92536"
"""130420 TEFE"";256774;30143;32;10;4;2;1763044;2050009"
"""130423 TONANTINS"";1746;72751;1;-;-;-;773159;847657"
"""130426 UARINI"";1070;40;-;-;-;-;67871;68981"
"""130430 URUCARA"";45665;15523;4;-;-;-;8465;69657"
"""130440 URUCURITUBA"";-;-;-;-;-;-;56513;56513"
"""140002 AMAJARI"";-;-;-;-;-;-;606;606"
"""140005 ALTO ALEGRE"";2093;854;-;-;-;-;121218;124165"
"""140010 BOA VISTA"";1458230;50556;43;35;5;1;4344396;5853266"
"""140015 BONFIM"";5582;687;-;-;-;-;41000;47269"
"""140017 CANTA"";2931;8;-;-;-;-;1628;4567"
"""140020 CARACARAI"";1450;546;-;-;-;-;101469;103465"
"""140023 CAROEBE"";2307;1247;-;-;-;-;64526;68080"
"""140028 IRACEMA"";-;-;-;-;-;-;142923;142923"
"""140030 MUCAJAI"";6636;524;-;-;-;-;85444;92604"
"""140040 NORMANDIA"";33;276;-;-;-;-;15138;15447"
"""140045 PACARAIMA"";224;806;-;-;-;-;63393;64423"
"""140047 RORAINOPOLIS"";1984;642;5291;2;4;3;215624;223550"
"""140050 SAO JOAO DA BALIZA"";2;373;-;-;-;-;55116;55491"
"""140060 SAO LUIZ"";13699;202;-;-;-;-;30845;44746"
"""140070 UIRAMUTA"";-;-;-;-;-;-;418;418"
"""150010 ABAETETUBA"";96284;224393;40;2;21;-;813110;1133850"
"""150013 ABEL FIGUEIREDO"";586;174;-;-;-;-;50362;51122"
"""150020 ACARA"";75766;3843;1;2;-;-;514918;594530"
"""150030 AFUA"";978;1215;-;-;-;-;29894;32087"
"""150034 AGUA AZUL DO NORTE"";135794;1397;12;1;-;-;260058;397262"
"""150040 ALENQUER"";80080;2410;6;27;-;-;66432;148955"
"""150050 ALMEIRIM"";80423;2397;4;30;-;-;263613;346467"
"""150060 ALTAMIRA"";280292;213834;20;-;-;5;724536;1218687"
"""150070 ANAJAS"";-;-;-;-;-;-;185836;185836"
"""150080 ANANINDEUA"";393526;24562;13;11;2;4;9024267;9442385"
"""150085 ANAPU"";6439;-;5;-;-;-;115480;121924"
"""150090 AUGUSTO CORREA"";21521;5215;-;-;-;-;81235;107971"
"""150095 AURORA DO PARA"";38303;1227;3;4;41;-;718;40296"
"""150100 AVEIRO"";303;585;-;-;-;-;26997;27885"
"""150120 BAIAO"";9463;2027;-;-;-;-;199165;210655"
"""150125 BANNACH"";5320;22;1;-;-;-;29121;34464"
"""150130 BARCARENA"";141797;224411;119;44;26;13;1484047;1850457"
"""150140 BELEM"";11479964;398959;151;349;72;2506;19429445;31311446"
"""150145 BELTERRA"";2432;6;4;-;-;-;229280;231722"
"""150150 BENEVIDES"";15196;132115;1;4;1;1;519810;667128"
"""150157 BOM JESUS DO TOCANTINS"";251;5986;-;-;-;-;40283;46520"
"""150160 BONITO"";136;12058;-;-;-;-;28542;40736"
"""150170 BRAGANCA"";174264;5916;-;-;1;-;868589;1048770"
"""150172 BRASIL NOVO"";22395;26;4;-;-;-;168299;190724"
"""150175 BREJO GRANDE DO ARAGUAIA"";4662;554;-;-;-;-;7207;12423"
"""150178 BREU BRANCO"";72400;56008;2;-;1;-;358146;486557"
"""150180 BREVES"";38834;99447;11;10;-;-;726065;864367"
"""150190 BUJARU"";19278;2227;-;8;-;-;155547;177060"
"""150195 CACHOEIRA DO PIRIA"";961;-;-;-;-;-;108918;109879"
"""150200 CACHOEIRA DO ARARI"";-;-;-;-;-;-;109554;109554"
"""150210 CAMETA"";123169;121131;39;4;51;-;761287;1005681"
"""150215 CANAA DOS CARAJAS"";215882;3838;-;-;-;2;673559;893281"
"""150220 CAPANEMA"";217808;166844;49;22;8;4;972335;1357070"
"""150230 CAPITAO POCO"";1146;173166;52;84;1;-;162047;336496"
"""150240 CASTANHAL"";704600;7361;6;8;1;3;2077337;2789316"
"""150250 CHAVES"";-;-;-;-;-;-;29328;29328"
"""150260 COLARES"";12529;37;-;-;-;-;141304;153870"
"""150270 CONCEICAO DO ARAGUAIA"";185427;1785;-;-;-;7;562777;749996"
"""150275 CONCORDIA DO PARA"";41600;-;-;-;-;-;185536;227136"
"""150276 CUMARU DO NORTE"";1275;1;-;-;-;-;115969;117245"
"""150277 CURIONOPOLIS"";22297;10;-;-;-;-;155325;177632"
"""150280 CURRALINHO"";58;4886;-;-;-;-;83719;88663"
"""150285 CURUA"";-;-;-;-;-;-;410;410"
"""150290 CURUCA"";51381;1265;-;27;1;-;346738;399412"
"""150293 DOM ELISEU"";67814;66226;26;2;1;-;676694;810763"
"""150295 ELDORADO DOS CARAJAS"";11304;2011;3;5;-;-;770635;783958"
"""150300 FARO"";-;44;-;-;-;-;14489;14533"
"""150304 FLORESTA DO ARAGUAIA"";11858;3657;6;-;-;-;1241949;1257470"
"""150307 GARRAFAO DO NORTE"";9577;-;1;1;-;-;92564;102143"
"""150309 GOIANESIA DO PARA"";20650;181;-;-;-;-;332092;352923"
"""150310 GURUPA"";169153;3808;49;22;-;-;504085;677117"
"""150320 IGARAPE-ACU"";66557;1385;-;22;-;-;429336;497300"
"""150330 IGARAPE-MIRI"";6888;3;-;-;-;1;176434;183326"
"""150340 INHANGAPI"";606;-;-;-;-;-;99466;100072"
"""150345 IPIXUNA DO PARA"";105498;178;150;2;-;-;97111;202939"
"""150350 IRITUIA"";63937;1667;-;2;-;-;147051;212657"
"""150360 ITAITUBA"";317962;218568;31;29;5;2;133335;669932"
"""150370 ITUPIRANGA"";3917;32894;-;-;-;-;308001;344812"
"""150375 JACAREACANGA"";177;3839;3;-;-;-;153997;158016"
"""150380 JACUNDA"";70752;3955;-;-;-;-;259157;333864"
"""150390 JURUTI"";153941;4657;1;-;-;-;604691;763290"
"""150400 LIMOEIRO DO AJURU"";-;-;-;-;-;-;71485;71485"
"""150405 MAE DO RIO"";28519;570;-;1;-;-;70124;99214"
"""150410 MAGALHAES BARATA"";2203;8463;-;-;10;-;37331;48007"
"""150420 MARABA"";918201;26803;15;11;7;20;1181083;2126140"
"""150430 MARACANA"";53400;604;-;-;-;-;107001;161005"
"""150440 MARAPANIM"";13104;1057;-;-;-;-;67304;81465"
"""150442 MARITUBA"";221082;166456;40;6;9;-;2355575;2743168"
"""150445 MEDICILANDIA"";76564;3;-;-;-;1;279217;355785"
"""150450 MELGACO"";4;-;-;-;-;-;983625;983629"
"""150460 MOCAJUBA"";41201;-;-;-;-;-;174886;216087"
"""150470 MOJU"";29973;5486;1;-;-;-;603707;639167"
"""150475 MOJUI DOS CAMPOS"";-;-;-;-;-;-;43620;43620"
"""150480 MONTE ALEGRE"";151043;2041;37;14;-;-;136335;289470"
"""150490 MUANA"";40086;-;1;-;-;-;253252;293339"
"""150495 NOVA ESPERANCA DO PIRIA"";12233;85;-;-;-;-;44570;56888"
"""150497 NOVA IPIXUNA"";-;1458;-;-;-;-;218129;219587"
"""150500 NOVA TIMBOTEUA"";982;3;-;-;-;-;24531;25516"
"""150503 NOVO PROGRESSO"";36153;635;1;-;-;-;107887;144676"
"""150506 NOVO REPARTIMENTO"";10657;74561;-;-;-;-;433470;518688"
"""150510 OBIDOS"";251231;2610;-;-;-;-;156571;410412"
"""150520 OEIRAS DO PARA"";4465;10;-;-;-;-;74553;79028"
"""150530 ORIXIMINA"";88428;157;28;-;-;14;619347;707974"
"""150540 OUREM"";50185;233;-;-;-;-;177938;228356"
"""150543 OURILANDIA DO NORTE"";102936;9460;-;1;-;-;269637;382034"
"""150548 PACAJA"";90966;32;-;-;-;-;275831;366829"
"""150549 PALESTINA DO PARA"";192;-;-;-;-;-;27712;27904"
"""150550 PARAGOMINAS"";133472;147550;101;1;22;2;1044693;1325841"
"""150553 PARAUAPEBAS"";1173656;194486;77;13;1;16;2790768;4159017"
"""150555 PAU D'ARCO"";251;156;-;-;-;-;316651;317058"
"""150560 PEIXE-BOI"";-;611;-;-;-;-;36606;37217"
"""150563 PICARRA"";-;-;-;-;-;-;41761;41761"
"""150565 PLACAS"";105185;6;-;-;-;-;255509;360700"
"""150570 PONTA DE PEDRAS"";55;1;-;-;-;-;67540;67596"
"""150580 PORTEL"";4245;-;-;-;-;-;196290;200535"
"""150590 PORTO DE MOZ"";1780;51899;-;-;-;-;157049;210728"
"""150600 PRAINHA"";6514;540;-;-;-;-;112732;119786"
"""150610 PRIMAVERA"";3124;2530;4;-;-;-;44228;49886"
"""150611 QUATIPURU"";80;-;-;-;-;-;87359;87439"
"""150613 REDENCAO"";350952;12853;3;-;-;-;1382881;1746689"
"""150616 RIO MARIA"";40693;5;9;8;-;-;150845;191560"
"""150618 RONDON DO PARA"";25897;165;-;21;-;-;205457;231540"
"""150619 RUROPOLIS"";26926;2241;1;-;-;-;350209;379377"
"""150620 SALINOPOLIS"";80594;57910;15;-;-;1;306423;444943"
"""150630 SALVATERRA"";-;589;-;-;-;-;176891;177480"
"""150635 SANTA BARBARA DO PARA"";14684;7;-;-;14;-;67100;81805"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;-;-;-;42367;42367"
"""150650 SANTA IZABEL DO PARA"";2397;18387;10;-;-;-;571664;592458"
"""150655 SANTA LUZIA DO PARA"";6418;987;-;-;-;-;6265;13670"
"""150658 SANTA MARIA DAS BARREIRAS"";18242;38645;1;-;-;-;89745;146633"
"""150660 SANTA MARIA DO PARA"";16205;521;2;-;-;-;41963;58691"
"""150670 SANTANA DO ARAGUAIA"";160815;1866;35;4;-;1;893095;1055816"
"""150680 SANTAREM"";1049475;295900;186;68;4;13;2415600;3761246"
"""150690 SANTAREM NOVO"";554;-;-;-;-;-;10043;10597"
"""150700 SANTO ANTONIO DO TAUA"";580;2314;-;-;-;-;66510;69404"
"""150710 SAO CAETANO DE ODIVELAS"";2141;-;-;-;-;-;2434;4575"
"""150715 SAO DOMINGOS DO ARAGUAIA"";2265;18414;-;-;-;-;55800;76479"
"""150720 SAO DOMINGOS DO CAPIM"";20348;1756;6;-;-;-;161784;183894"
"""150730 SAO FELIX DO XINGU"";16815;78607;3;-;1;-;311465;406891"
"""150740 SAO FRANCISCO DO PARA"";6125;28;-;-;-;-;446793;452946"
"""150745 SAO GERALDO DO ARAGUAIA"";45212;3616;4;-;-;1;173994;222827"
"""150746 SAO JOAO DA PONTA"";-;-;-;-;-;-;10531;10531"
"""150747 SAO JOAO DE PIRABAS"";6424;74477;-;1;6;-;145182;226090"
"""150750 SAO JOAO DO ARAGUAIA"";204;3847;-;-;-;-;32061;36112"
"""150760 SAO MIGUEL DO GUAMA"";11325;56362;7;-;-;-;516602;584296"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;-;-;-;-;-;80256;80256"
"""150775 SAPUCAIA"";4368;1085;-;-;-;-;190612;196065"
"""150780 SENADOR JOSE PORFIRIO"";74;-;-;-;-;-;207968;208042"
"""150790 SOURE"";7957;8;-;-;-;-;235087;243052"
"""150795 TAILANDIA"";90155;1900;-;1;-;-;735173;827229"
"""150796 TERRA ALTA"";30;-;-;-;-;-;44006;44036"
"""150797 TERRA SANTA"";54720;5958;1;130;-;-;123730;184539"
"""150800 TOME-ACU"";52135;54706;12;-;-;-;451870;558723"
"""150803 TRACUATEUA"";13019;-;-;-;-;-;88970;101989"
"""150805 TRAIRAO"";24276;34526;-;3;-;-;11395;70200"
"""150808 TUCUMA"";164760;15099;-;-;-;-;226914;406773"
"""150810 TUCURUI"";743957;48514;39;-;1;1;809560;1602072"
"""150812 ULIANOPOLIS"";248785;1289;1;1;-;-;339965;590041"
"""150815 URUARA"";198422;3922;28;21;336;84;448691;651504"
"""150820 VIGIA"";106338;38;11;15;1;-;136442;242845"
"""150830 VISEU"";49572;797;-;-;-;-;379410;429779"
"""150835 VITORIA DO XINGU"";8953;256;-;1;-;-;152160;161370"
"""150840 XINGUARA"";105893;18299;-;52;-;-;1990896;2115140"
"""160005 SERRA DO NAVIO"";172;186;-;-;-;-;24103;24461"
"""160010 AMAPA"";1357;8759;4;-;1;-;22597;32718"
"""160015 PEDRA BRANCA DO AMAPARI"";7610;15;-;-;-;-;81364;88989"
"""160020 CALCOENE"";-;671;-;-;-;-;39221;39892"
"""160021 CUTIAS"";-;-;-;-;-;-;2867;2867"
"""160023 FERREIRA GOMES"";58;-;-;-;-;-;82206;82264"
"""160025 ITAUBAL"";-;-;-;-;-;-;783;783"
"""160027 LARANJAL DO JARI"";54937;13135;6;3;-;-;584114;652195"
"""160030 MACAPA"";1356175;46040;68;35;2;3;3622341;5024664"
"""160040 MAZAGAO"";3365;-;-;-;-;-;165925;169290"
"""160050 OIAPOQUE"";188;1564;-;-;-;-;136995;138747"
"""160053 PORTO GRANDE"";40;2789;-;-;-;-;81743;84572"
"""160055 PRACUUBA"";-;-;-;-;-;-;61;61"
"""160060 SANTANA"";44456;662;12;27;-;-;999281;1044438"
