"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110011 JARU"";-;-;-;-;-;580933,51;577745,54;590684,76;549214,81;557884,38;572909,40;431464,77;421669,15;449646,15;426241,99;500098,43;518249,69;525740,20;506764,52;499338,89;483096,08;485520,05;440363,79;456575,30;470392,05;435632,14;428048,89;443531,41;418470,54;420609,63;448230,04;468095,81;568791,40;501301,49;481142,15;514720,70;503404,51;526931,65;514950,20;534261,37;480284,82;486062,70;472566,87;515452,21;519005,32;582548,84;525357,09;553056,99;537334,31;555670,77;567627,48;556444,32;552548,42;533884,21;24690499,74"
"""110012 JI-PARANA"";-;-;-;-;-;3167569,20;2815378,32;2838816,83;2863114,78;2974968,65;3188685,85;3032917,27;6273568,00;3042055,92;3387082,54;3974879,11;3065526,08;3003835,62;3133556,88;3887166,06;2301853,95;2839363,42;2631783,01;2665679,28;3047756,70;2573735,59;2804629,99;1752578,75;2733864,84;2662818,91;2889040,74;2863444,40;2878381,28;2690491,98;2769157,80;3037743,19;2942246,09;2259299,62;2190784,99;889168,46;1008492,07;1639278,65;2193361,48;2751817,27;5880421,43;4058029,81;4439519,63;2620549,76;2512283,41;2642008,38;2551037,68;2603947,69;2245955,46;2538699,33;141758346,15"
"""110013 MACHADINHO D'OESTE"";-;-;-;-;-;133187,17;113049,95;117864,02;145764,14;183790,16;165635,14;135904,50;161455,68;215534,13;201340,88;191911,58;232756,39;231310,49;216633,90;241011,63;194710,37;208670,24;220857,55;219669,73;251772,10;210720,34;237036,63;222286,41;125411,56;222057,17;255129,82;250258,33;297659,17;229758,60;219326,04;222202,25;219741,39;190131,87;184744,97;170654,75;179477,69;189650,80;207138,91;230217,34;276360,68;292200,62;254588,75;148038,92;103888,60;250431,53;185797,71;302943,55;203786,33;207055,13;10071525,61"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;-;48069,53;38877,06;2795,23;3185,43;3907,87;25623,01;57221,88;23435,13;20766,83;45522,23;28494,37;29321,82;34656,94;41618,66;44834,52;44440,36;42416,85;36574,10;29861,86;29282,56;28094,00;29413,92;33386,30;28728,67;36159,04;41466,86;46813,09;52664,69;37460,23;37118,63;37401,02;38748,54;43202,47;50228,47;41956,81;46253,73;35443,38;54243,10;57736,55;76495,66;67174,38;66447,38;63861,97;84367,82;56315,07;64885,43;53590,70;45748,62;-;1986312,77"
"""110015 OURO PRETO DO OESTE"";-;-;-;-;-;162492,94;157674,89;129266,81;160015,65;156569,78;164008,68;158456,05;143825,75;135913,05;148574,38;144412,34;162273,29;172219,08;157256,05;204032,82;176677,15;182960,49;193502,90;182220,46;176631,47;198536,97;190000,37;197042,38;179236,63;193494,20;216966,39;210678,59;257911,25;212978,43;224530,81;206258,40;205322,10;231023,40;219002,55;207412,09;214252,56;195200,84;217738,87;232598,60;250326,69;254328,97;241828,85;283596,97;290532,90;310382,03;316335,94;295934,43;281211,23;9642,67;9813290,14"
"""110018 PIMENTA BUENO"";-;-;-;-;-;199523,84;134545,31;161203,66;169782,56;174945,20;154836,35;187121,23;175629,87;175825,85;241163,07;184330,13;204790,29;177499,98;173790,98;180951,34;179781,52;165157,70;135514,53;108076,17;146240,42;158113,08;167941,84;191639,63;180831,00;472272,20;111231,49;186396,67;195204,26;230700,05;231385,82;233579,76;193792,85;220248,60;228091,40;243142,24;224595,80;166080,40;192973,24;237715,15;256698,26;295336,60;247772,78;231430,43;217033,79;250208,53;253666,51;230696,42;244183,62;222208,03;9945880,45"
"""110020 PORTO VELHO"";-;-;104621,12;1118278,12;1610632,35;10000998,76;9884525,47;11724939,38;10579099,00;12155250,06;12048185,23;12504218,75;14654875,22;13204594,87;12440359,95;11613957,41;11602107,12;11585447,19;10892389,66;12313855,06;11643211,28;12785571,71;11394151,63;11447404,13;13205547,17;12458362,00;12489235,28;13074952,25;12563449,19;11828810,08;12261842,59;12843149,06;13563751,55;13419878,99;13676671,26;20836805,75;15124514,34;14617673,68;14463898,26;14006000,94;13005438,07;13746882,86;13416983,95;15133686,68;14921213,64;16376628,84;15359785,16;17297668,46;16352586,06;16695894,21;16577631,93;16724457,27;14858546,44;14374074,11;662584693,54"
"""110025 PRESIDENTE MEDICI"";-;-;-;-;-;31127,24;21571,26;23083,69;5352,78;17420,39;17573,30;32753,55;59847,62;75158,45;65860,57;101208,29;94184,01;87694,47;84282,76;110288,61;97764,93;82627,44;86957,60;67585,07;78847,33;75697,01;70942,23;43431,19;72968,01;6900,19;7279,52;9251,58;12192,74;10861,70;14794,97;19117,00;17878,43;18325,62;22655,58;16620,04;24598,62;18254,78;74206,56;15996,60;74103,87;13940,43;38694,70;38169,65;9668,87;36960,38;26893,33;46515,75;29312,83;58427,35;2165848,89"
"""110026 RIO CRESPO"";-;-;-;-;-;5589,06;2945,37;4623,90;5902,89;5732,56;7913,81;4900,88;6589,32;6970,00;6330,45;6951,22;6325,49;6780,30;6572,70;8998,42;11082,60;11059,88;9189,28;9292,83;8005,17;8997,32;8978,71;8620,42;8627,71;11189,75;9479,72;9991,24;12799,32;11819,06;8647,84;8857,15;8448,11;9518,60;8794,24;7798,29;5647,44;6557,12;6189,64;7569,94;8545,18;11848,85;19737,58;25944,94;21403,86;22449,36;26567,28;20774,17;14146,51;22687,61;504393,09"
"""110028 ROLIM DE MOURA"";-;-;-;-;-;225862,32;1498002,99;235034,01;335774,64;313319,92;253657,60;241829,29;304331,92;280701,89;317587,41;289023,11;269482,92;242452,00;282308,30;344528,02;308187,82;322243,31;297312,88;284888,34;340262,74;281850,44;295759,49;327501,92;303118,71;300367,39;351654,86;441031,23;493016,76;421217,19;423056,68;482370,00;443025,33;491313,77;509591,98;463972,65;466689,11;435692,68;453094,59;461097,21;511318,60;573156,27;460732,08;489836,24;412836,00;426656,43;536163,56;419825,93;427617,23;483654,72;19574010,48"
