"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""221039 SAO MIGUEL DO FIDALGO"";-;-;-;-;-;-;-;3600,00;3300,00;3000,00;3150,00;3450,00;3000,00;3000,00;3000,00;3000,00;3000,00;3150,00;3150,00;3000,00;3000,00;3150,00;3000,00;3000,00;3000,00;3000,00;3000,00;3150,00;5625,00;5625,00;4500,00;4500,00;4725,00;4500,00;4500,00;5175,00;4725,00;4725,00;4950,00;4500,00;4725,00;4725,00;4500,00;4500,00;4500,00;4500,00;-;-;-;4500,00;4500,00;-;4950,00;-;164550,00"
"""221040 SAO MIGUEL DO TAPUIO"";-;-;-;-;-;33332,23;24058,60;28428,15;30012,43;29770,13;27652,32;32371,07;30443,47;30691,02;29913,35;27957,30;30713,18;28985,01;32124,04;29102,24;37125,52;35492,84;32987,51;35306,67;35368,80;34720,86;31221,69;34256,96;31967,42;37608,20;36670,95;34193,73;41880,24;43315,11;47443,45;39626,47;41310,60;43634,15;45837,56;45246,23;45791,89;45701,07;40454,96;42849,45;46297,81;44925,12;46909,63;45337,66;42662,90;44165,07;45242,67;45260,71;44819,62;45905,33;1837093,39"
"""221050 SAO PEDRO DO PIAUI"";-;-;-;-;-;35691,56;31338,09;53949,34;53968,24;66957,04;63373,39;76543,08;82785,33;71026,91;69333,33;67595,21;63659,70;63886,61;69150,38;82460,72;87313,39;93010,17;83369,64;80606,90;72522,32;72314,07;78497,11;75119,87;65626,80;73486,83;69923,22;86213,03;89351,19;72844,93;60038,27;68861,95;63789,02;61229,60;64890,18;53306,19;56579,07;52878,19;47749,62;58864,05;69138,03;77045,71;72218,44;67213,97;66895,51;64297,43;68750,43;70815,08;44902,47;44766,37;3286147,98"
"""221060 SAO RAIMUNDO NONATO"";-;-;-;-;-;347164,30;328910,28;367480,20;358686,83;433452,90;443849,54;358074,07;388443,00;433891,54;386310,83;403803,53;422415,14;462846,44;425116,98;614108,97;566170,42;587324,41;582200,81;601578,42;612009,30;625035,13;607922,66;471979,13;425134,30;436763,90;445584,72;476924,60;489101,92;540514,60;525393,29;546134,47;570863,77;589602,36;527522,88;511582,82;497017,84;518435,06;550752,49;534626,00;497915,87;548843,08;593812,53;607482,92;609730,89;530223,77;531468,19;463445,37;496396,27;502879,94;24396928,68"
"""221062 SEBASTIAO BARROS"";-;-;-;-;-;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;-;-;-;-;6300,00;3150,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;4725,00;191250,00"
"""221063 SEBASTIAO LEAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4725,00;4500,00;4500,00;-;-;-;-;13725,00"
"""221065 SIGEFREDO PACHECO"";-;-;-;-;-;4050,00;3900,00;3000,00;3300,00;4200,00;4200,00;3900,00;4050,00;3600,00;3300,00;3000,00;3450,00;3300,00;3000,00;3000,00;3000,00;3600,00;3150,00;3000,00;3000,00;3000,00;3000,00;4050,00;3900,00;6075,00;5850,00;4500,00;5625,00;5850,00;5175,00;6075,00;5400,00;5400,00;4950,00;6300,00;-;6750,00;-;5400,00;6525,00;5625,00;6300,00;5625,00;6750,00;4950,00;6300,00;6975,00;5850,00;6525,00;217725,00"
"""221070 SIMOES"";-;-;-;-;4997,31;10961,68;11294,27;11701,20;11396,42;11127,89;8356,69;13755,59;10919,09;11629,51;10981,35;6333,16;10772,97;10999,25;15911,01;18520,55;16048,57;10525,45;15713,76;6203,28;10872,62;10900,07;10857,37;13090,72;12990,31;6319,19;6440,94;12838,84;13089,33;6673,67;7782,20;6871,90;6870,09;6917,11;6864,38;6843,63;6879,34;4507283,16;140522,73;111554,58;7079,26;6944,72;7089,84;58960,50;534185,49;107579,99;7043,25;6989,76;37839,76;32317,10;5946640,85"
"""221080 SIMPLICIO MENDES"";-;-;-;-;-;32743,01;24785,12;29569,85;47077,78;51484,16;41932,99;39012,40;42704,77;72559,14;35028,01;43960,53;32144,20;56463,89;30699,03;32112,16;68208,75;65277,44;43269,78;48479,03;51781,92;41207,37;46079,87;41733,92;44169,38;61796,99;43945,52;82149,10;92957,95;86437,36;66482,17;74037,43;92101,52;86894,49;58002,51;77593,05;27848,81;39565,07;85926,01;42909,59;66792,34;91113,83;79318,50;67694,75;131624,62;97659,40;107672,83;136001,57;119312,07;108978,99;3087300,97"
"""221090 SOCORRO DO PIAUI"";-;-;-;-;-;3150,00;3150,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;5400,00;4950,00;4950,00;5400,00;4950,00;5400,00;205650,00"
"""221093 SUSSUAPARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3600,00;9900,00;8100,00;7650,00;2250,00;675,00;5175,00;5400,00;2475,00;4950,00;4950,00;4950,00;5400,00;4725,00;4050,00;-;4950,00;4500,00;4275,00;4500,00;3150,00;4500,00;5400,00;5400,00;4950,00;-;4500,00;120375,00"
"""221095 TAMBORIL DO PIAUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4500,00;4500,00;4500,00;4500,00;5175,00;7875,00;7200,00;6525,00;7425,00;4275,00;6300,00;62775,00"
"""221097 TANQUE DO PIAUI"";-;-;-;-;-;3600,00;3150,00;3150,00;3000,00;3000,00;3000,00;3000,00;3300,00;-;3600,00;3300,00;3000,00;-;3600,00;3000,00;3600,00;3150,00;3150,00;-;3600,00;-;-;3600,00;4500,00;4500,00;4725,00;4500,00;5400,00;4500,00;5400,00;4950,00;4725,00;5175,00;4950,00;-;4500,00;-;4725,00;4500,00;4500,00;4500,00;4725,00;4500,00;4500,00;4500,00;4500,00;4725,00;-;-;162300,00"
"""221100 TERESINA"";-;-;54740,89;87034,57;180675,92;17050264,90;16746423,42;19678354,90;17788306,68;19426218,98;23740142,01;18023503,55;18984596,80;18057917,98;17429390,13;18415870,85;16335939,47;18199654,98;17857610,82;22614851,57;21161830,18;22122982,11;20527564,78;21031538,02;20944019,08;20640446,13;20486288,04;21356648,85;18606665,68;20224749,53;18935632,31;20968573,33;22978397,41;20831718,33;19939285,03;20485050,53;20926076,38;20735062,18;22047289,44;19758363,49;18542897,32;19455429,67;20412868,58;20789056,50;19348623,48;22016119,23;21752425,51;21538558,97;21666678,68;22206531,04;22324438,77;20415463,42;19853475,15;23603578,66;989305824,23"
"""221110 UNIAO"";-;-;-;3000,00;3150,00;74317,69;62040,13;64420,13;71210,44;74853,68;69364,06;67642,93;75491,87;53363,19;59727,04;106572,50;78007,01;93382,86;69135,03;66069,45;74096,17;73245,86;81648,21;70299,01;68019,65;67837,61;71037,46;71606,53;74943,05;91553,16;83431,18;92091,13;101069,57;85753,80;71021,71;77331,65;83351,67;84934,14;77993,04;69169,04;83487,13;95764,70;87005,83;101535,31;92314,39;139574,19;135033,76;137129,89;135850,20;122737,56;123120,33;130445,79;136179,65;132053,03;4314413,41"
"""221120 URUCUI"";-;-;-;-;-;92057,16;79576,30;93551,55;100297,81;301805,60;293896,40;264881,11;91265,92;89319,77;90923,44;76626,04;293617,25;87421,56;289713,18;300473,07;96342,99;451795,41;91061,80;83936,58;88339,80;68017,84;75002,52;84920,90;74925,40;79830,95;149052,28;83518,86;87274,33;73114,58;78320,12;70301,77;74596,46;80530,73;75257,42;79813,04;61587,96;73977,98;76936,90;71413,92;89831,65;86310,97;78080,67;73783,26;73743,57;76184,81;94065,19;84292,96;77650,79;77141,49;5686382,06"
"""221130 VALENCA DO PIAUI"";-;-;-;-;-;96781,65;83118,37;106620,85;113408,49;121188,84;112756,64;113379,97;115190,78;113412,32;104296,31;115541,62;110310,60;95415,78;85723,82;122998,49;111222,54;116265,67;133316,75;133500,48;114508,83;111195,43;119091,45;110171,62;97275,18;85164,32;80074,28;83474,71;95381,62;124032,45;92078,77;88288,49;95189,64;98403,53;94936,87;87220,52;83443,17;82724,98;86804,87;113871,93;112345,98;151541,14;100095,97;106425,48;101792,35;109896,15;101823,25;114686,73;224226,90;141371,28;5311987,86"
"""221135 VARZEA BRANCA"";-;-;-;-;3300,00;3150,00;3300,00;3300,00;3300,00;3300,00;3000,00;3300,00;3600,00;3300,00;3300,00;3000,00;3000,00;3300,00;3300,00;3150,00;-;3300,00;3000,00;3600,00;-;6600,00;-;6600,00;-;-;-;4950,00;-;4950,00;4950,00;4950,00;4950,00;4950,00;4500,00;4950,00;-;4725,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4950,00;4725,00;4950,00;-;-;168150,00"
"""221140 VARZEA GRANDE"";-;-;-;-;-;3502,58;3328,97;4070,93;4184,18;5683,19;7790,62;4873,32;4675,24;6601,98;6542,42;5600,40;4180,11;834,91;4038,46;3127,13;2921,35;6340,33;4110,73;3483,41;4561,53;5976,64;6748,49;4607,86;1882,40;2520,36;6037,95;6249,95;8089,41;6030,30;6300,50;6862,00;6630,91;7966,76;7006,36;5984,57;5373,72;5388,07;7624,96;7460,99;4500,00;4950,00;6363,09;7598,38;4500,00;6982,37;5394,85;7002,93;4275,00;5691,26;262451,87"
"""221150 VERA MENDES"";-;-;-;2850,00;2700,00;3000,00;3300,00;3000,00;3600,00;4200,00;3000,00;3000,00;3300,00;3300,00;3300,00;3000,00;3000,00;3000,00;3000,00;3000,00;3300,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;4950,00;5850,00;4500,00;6750,00;5400,00;5850,00;5175,00;4500,00;4950,00;4725,00;4950,00;4500,00;4500,00;4950,00;4500,00;4500,00;4950,00;4500,00;4950,00;4500,00;4950,00;4500,00;4950,00;4725,00;-;199425,00"
"""221160 VILA NOVA DO PIAUI"";-;-;-;-;-;3000,00;3000,00;3000,00;2850,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;2700,00;3000,00;3000,00;2850,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;3000,00;-;4275,00;1800,00;3825,00;4275,00;-;4275,00;4500,00;4500,00;4500,00;-;-;-;-;-;-;-;-;-;4950,00;4500,00;4950,00;4950,00;4500,00;4500,00;131700,00"
"""221170 WALL FERRAZ"";-;-;-;-;-;-;3300,00;3300,00;3300,00;3300,00;3300,00;3300,00;3150,00;3300,00;3000,00;3300,00;3300,00;3300,00;2850,00;3600,00;3300,00;-;3600,00;3600,00;3600,00;3600,00;3600,00;3600,00;4950,00;5400,00;5400,00;5400,00;5400,00;5400,00;5400,00;-;10575,00;5400,00;5400,00;4950,00;4950,00;4500,00;3825,00;4500,00;4500,00;4500,00;4500,00;4500,00;-;4500,00;4275,00;-;4500,00;4950,00;188175,00"
"""230010 ABAIARA"";-;-;-;-;-;23180,92;18355,84;24515,33;25338,25;25381,75;17860,22;20486,74;20127,00;21449,05;21467,60;17053,92;15590,06;18068,97;14272,29;21333,76;22105,24;24401,41;19360,65;23394,17;24102,52;25862,26;26812,85;42567,64;17714,78;22763,96;18505,89;16106,61;59942,01;30277,31;22600,16;24880,46;25922,67;19901,07;13973,23;12694,97;11522,07;13001,87;15038,77;21659,61;25796,51;36640,89;33755,72;35475,82;37311,50;36038,91;37882,24;35262,25;32276,88;33414,26;1203448,86"
"""230015 ACARAPE"";-;-;-;-;-;54185,65;34741,82;38397,23;41385,21;43671,64;44181,84;46360,02;81,26;50,00;43535,53;46189,17;14982,35;15381,90;17964,62;25954,31;27469,54;22750,74;21889,99;20618,79;31877,89;32704,45;33601,61;38576,88;24710,90;41828,78;31059,64;41002,08;43201,84;33435,24;47858,72;39311,66;32025,19;35901,65;38808,97;76244,35;34631,59;31520,10;38413,89;44184,77;45792,87;52166,86;67854,39;42920,72;45586,71;39937,97;44096,14;40860,11;36446,10;40835,67;1787189,35"
"""230020 ACARAU"";-;-;-;-;-;145796,50;161173,42;168124,60;165461,97;190765,46;197754,11;221164,51;218438,14;215653,92;205334,71;218091,63;175312,50;168905,36;203393,36;240316,26;204694,74;226736,98;183511,81;183922,35;204925,63;183748,93;217915,89;40970,35;169436,03;180178,03;205649,20;229613,50;247529,34;190070,06;237618,65;164643,16;221739,35;203568,27;221080,32;194700,60;172336,23;177114,54;224532,37;235863,75;337833,17;306105,21;272298,34;277579,07;245008,99;390889,70;324265,10;381320,31;76325,00;70896,44;10300307,86"
"""230030 ACOPIARA"";-;-;-;-;-;76178,70;40723,15;72863,45;60409,53;109064,89;91209,41;87938,00;95810,69;85883,34;93064,50;91101,65;84275,58;86661,29;74455,39;92521,84;67088,22;126706,88;104889,73;98705,14;114840,14;100982,97;98147,72;116835,91;113985,19;115667,44;120607,26;131207,32;156361,67;233281,08;145134,07;185363,74;165067,92;50969,03;127824,18;84773,08;73138,75;89380,35;114465,16;215117,30;246778,87;291450,53;226435,18;229829,20;242332,27;229843,58;241275,56;225791,63;241291,24;279977,46;6647707,18"
"""230040 AIUABA"";-;-;-;-;-;48756,05;24934,57;20899,71;21878,20;55094,53;47385,80;61187,07;111525,16;58932,18;68426,23;49731,37;51538,33;64872,22;57910,33;58932,18;48980,80;49731,37;43572,44;41426,55;52258,53;51066,92;49178,80;81534,57;43681,86;54672,49;85347,20;92165,05;59227,17;36067,96;44531,90;66192,38;68556,11;67863,49;55047,06;33259,64;51058,37;14932,48;17775,02;18122,03;38925,20;51713,03;52566,91;69011,34;71635,86;77916,79;62175,15;96534,16;82043,05;90288,90;2721064,51"
"""230050 ALCANTARAS"";-;-;-;-;6600,00;17300,57;7909,99;11988,62;13578,64;40112,09;12205,25;28756,44;35190,21;22148,79;24907,47;26752,60;18651,29;24173,19;14448,19;18727,43;12556,25;25159,09;23266,74;23423,32;18956,79;19082,26;19181,54;18147,01;17830,34;18175,88;15073,19;17504,37;20646,48;21590,67;20338,70;19345,21;17863,78;17147,98;20461,67;20710,75;18349,73;16940,74;16362,76;15830,09;18145,19;13356,33;19214,99;19589,45;21657,74;24594,89;21492,77;23476,42;20712,14;40768,64;1000404,67"
"""230060 ALTANEIRA"";-;-;-;-;-;-;2200,00;14955,12;23756,29;23819,50;23239,92;15483,01;25544,12;31476,30;24390,00;31620,08;32282,47;36033,09;17890,51;38755,77;32387,79;35583,01;40104,34;38694,62;30690,57;20511,59;26554,16;26735,05;35455,63;42387,28;40224,94;43436,42;53812,86;51990,68;64648,48;35435,31;35360,08;39671,03;35243,81;74,72;13574,72;16002,98;2779,69;1839,89;2085,52;11175,42;16419,89;18164,55;28580,37;20539,33;18648,79;15259,80;15153,42;16114,08;1266787,00"
"""230070 ALTO SANTO"";-;-;-;-;-;81991,89;60693,42;63443,26;69378,56;88054,79;75878,76;73085,52;103959,94;133798,62;89218,22;89409,02;88218,02;106114,25;88671,78;53916,28;58904,62;86130,45;61120,54;61145,39;57304,78;38354,46;63957,74;24942,38;85078,85;48311,80;58669,19;73265,27;73830,57;45403,42;54639,64;60946,57;72198,61;60471,36;52032,95;28972,12;51820,54;42685,01;54453,85;48054,01;45207,55;45948,44;31889,52;47018,26;48509,40;45573,52;50055,89;40042,35;45381,93;43981,37;3072134,68"
"""230075 AMONTADA"";-;-;-;-;-;4931,14;3897,48;4985,95;4395,69;6710,36;7034,99;6687,40;7237,46;6931,31;5451,20;6233,33;8194,67;7557,46;5627,87;10159,30;13529,91;4555,93;10038,60;16747,48;12739,26;5907,85;4488,58;2919,78;4981,89;5093,05;4638,18;5946,14;16712,72;4785,09;5677,56;5300,00;9536,23;9349,04;17757,81;14303,38;9247,86;11258,07;12963,22;41503,84;38563,35;34974,40;231596,20;42650,86;36959,42;62599,53;10962,11;45692,29;52245,38;67074,91;969335,53"
"""230080 ANTONINA DO NORTE"";-;-;-;-;-;38136,61;22927,81;26187,04;30098,72;35629,53;32435,66;43299,23;17278,60;25758,29;32204,51;34635,85;46788,52;33216,82;37394,69;50987,70;50066,86;54131,76;45357,38;42997,21;45970,81;41846,70;45764,09;44701,28;46160,89;52671,30;48814,23;52821,06;59065,70;49255,54;43925,21;38182,40;44120,89;47894,36;36962,05;31568,35;29738,79;27064,31;33376,01;43329,50;45479,82;40029,98;35392,43;32393,45;35259,24;53039,39;37696,16;39265,43;33176,75;29614,76;1944113,67"
"""230090 APUIARES"";-;-;-;-;-;25052,11;23083,02;25563,95;28765,98;33700,67;34333,53;30861,08;34526,05;33241,03;33893,28;35042,55;20904,07;33606,90;31333,79;39735,60;36445,04;39992,00;39830,77;39025,11;39127,26;32739,99;36511,83;34735,55;24041,86;23618,93;30589,48;37689,52;40601,99;38207,41;33049,66;41678,02;35490,06;40694,95;36479,46;28355,09;286,92;24976,91;32184,78;26376,50;47013,42;37007,97;50561,48;43355,71;47362,37;-;23527,26;21368,60;-;-;1526569,51"
"""230100 AQUIRAZ"";-;-;-;-;-;191984,29;176143,36;196117,91;192779,65;212513,78;225024,12;208756,31;206597,97;209553,27;283724,82;238612,17;182010,66;230389,45;206767,47;312328,92;276881,03;317423,52;300459,34;229145,56;330630,20;271310,99;400321,20;207207,75;82290,00;248767,84;245838,83;293992,25;297928,38;288599,32;398481,77;309540,68;334096,96;452497,00;291656,24;284086,56;259431,70;300473,19;293968,50;311946,99;684413,53;448715,45;375871,22;671943,72;659899,49;559622,55;615999,98;558491,58;411943,84;606865,69;15894047,00"
"""230110 ARACATI"";-;-;-;-;-;186455,94;183536,06;215438,22;208038,39;282859,77;314410,94;253556,82;234518,40;281504,98;248226,68;244260,32;194469,10;200093,68;206431,17;264022,43;253374,97;267032,78;275354,06;248298,16;227608,95;251888,76;282201,06;415352,98;242083,12;250176,55;227633,38;272530,84;1220884,42;296210,86;653320,37;511733,39;372796,91;451913,07;323911,51;287358,00;201350,35;224252,34;196153,84;231857,67;284029,62;289337,63;338408,59;364864,49;283768,31;343877,23;324630,82;491982,45;284272,78;447707,18;15155980,34"
"""230120 ARACOIABA"";-;-;-;-;-;161941,30;128025,71;142820,88;151265,65;158041,60;128076,34;143976,67;124533,29;134746,86;153317,70;163254,25;170297,16;173798,91;148279,89;194263,53;180962,70;176844,68;168726,42;165587,03;166207,80;157163,60;130901,10;136103,73;173734,25;159231,08;133739,13;194723,68;229002,25;217612,32;237188,00;207356,41;226749,05;221918,79;198476,39;252615,68;196634,05;194262,55;229097,97;272828,86;292196,51;314955,16;300544,40;258080,45;226221,27;192193,40;234642,48;299401,15;262326,90;248985,77;9533854,75"
"""230125 ARARENDA"";-;-;-;-;-;42268,40;41024,05;48129,84;30126,11;43853,84;33343,20;35073,57;42068,02;50848,11;35560,57;43487,19;38764,02;43226,70;39004,00;46895,95;36488,83;38612,77;44821,39;40293,51;34513,94;35142,38;35962,58;37748,34;30911,68;39944,42;35720,77;61292,10;40682,25;45353,76;38793,43;41150,88;38096,28;41081,20;44016,54;34799,45;32978,98;5778,64;33384,64;43364,86;5531,32;10347,64;41973,44;40049,66;43222,19;39586,71;38806,62;36574,57;38074,71;39573,53;1858347,58"
"""230130 ARARIPE"";-;-;-;-;-;61102,98;54858,04;68861,07;82349,52;83669,70;86294,94;65106,12;67109,51;74553,83;75057,25;74400,64;70894,76;64702,42;68124,02;79296,68;64396,46;84785,78;56650,74;73212,81;76616,74;67723,42;58585,52;60109,31;54109,74;53279,19;64328,64;70017,49;55900,53;40225,68;79638,83;77232,39;113279,37;89944,04;71967,30;42899,66;32730,54;39024,54;96218,87;84873,74;87735,63;92491,34;76985,08;273845,92;125614,40;121851,14;116751,29;86922,00;79678,21;56869,67;3802877,49"
"""230140 ARATUBA"";-;-;-;-;-;37744,34;26296,26;28159,38;30864,83;32544,54;30183,04;26703,66;30058,76;28988,12;30316,34;29369,20;31619,55;29120,18;29146,33;44325,82;39028,52;39796,49;36874,87;37161,90;35900,01;38658,28;40332,88;40999,77;38804,87;38617,61;39273,16;42644,14;59883,07;37137,54;44762,74;51492,59;65148,92;62901,54;63128,54;57722,41;50304,08;39520,41;45100,10;57079,31;60864,04;67451,66;54677,24;55447,23;63683,74;84510,52;42908,91;60138,86;-;-;2057396,30"
"""230150 ARNEIROZ"";-;-;-;-;-;30150,33;40746,21;35848,22;24941,12;24891,21;34370,87;30759,16;36111,02;33641,04;40641,63;40817,28;-;-;-;18664,80;15127,78;40587,47;12984,80;8020,96;4580,00;9231,34;17865,78;17193,96;8561,52;21465,13;14617,85;11937,40;12910,00;14466,40;14617,85;16708,33;40587,47;-;16033,08;8468,06;8719,94;7960,00;14617,85;12035,52;12910,00;14466,40;23417,58;23417,58;24059,05;26872,08;25153,78;24059,05;25816,97;-;941053,87"
"""230160 ASSARE"";-;-;-;-;-;21142,64;16079,57;27882,19;22142,83;23038,55;26297,57;34759,27;50080,23;57948,62;46408,56;24389,68;70188,74;61113,96;55012,38;61187,84;82521,24;68414,42;55555,80;81480,52;76763,29;94518,97;92026,64;58012,90;64350,51;65830,09;106045,63;113850,82;104656,33;134725,70;85640,50;65755,76;93344,99;113937,51;92673,94;76495,21;72987,20;77954,14;84840,61;131699,55;125573,06;132428,16;80319,22;96544,25;176904,64;123066,62;92849,66;98232,35;109077,36;92020,76;3818770,98"
"""230170 AURORA"";-;-;-;-;-;58864,35;48647,08;57460,30;53459,96;55473,49;54769,85;50013,38;56191,40;52491,74;53880,34;53463,90;49813,86;49262,88;56887,22;60027,18;58925,84;65175,56;60413,78;66438,80;65297,20;64428,46;60863,68;50369,45;61512,18;49544,16;50789,70;58199,09;64892,52;68512,17;46964,98;46121,91;68236,78;61956,41;60852,53;66592,21;48991,60;39110,62;57330,97;48173,25;62111,15;75889,65;69980,78;71486,60;78990,06;89073,43;80630,58;90611,05;76259,70;73171,83;2968605,61"
"""230180 BAIXIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10080,01;14161,22;18963,86;22314,47;65519,56"
"""230185 BANABUIU"";-;-;-;-;44,10;60610,28;53359,75;68123,14;80991,10;96457,99;92962,28;82732,25;100561,67;91735,90;92743,22;80909,02;66600,10;69189,69;77217,80;113960,35;92427,24;77979,52;67297,03;58298,68;115580,61;95766,58;96377,62;91156,30;79869,03;89049,07;76426,18;97346,47;108747,13;91395,02;93958,21;115118,21;112837,73;100935,90;92481,26;84357,71;61996,45;49847,04;91333,96;68064,28;91334,07;125761,29;127506,84;108662,80;109072,66;99111,57;107174,06;-;-;-;4105469,16"
"""230190 BARBALHA"";-;-;90,00;135,00;2025,00;2885216,08;2851598,55;3001696,44;2910966,91;3046097,87;2985286,64;3031102,77;3284016,67;3348570,78;3440082,79;3569141,09;3495177,08;3447469,45;3341645,07;3687339,28;3392381,44;3477315,74;3552755,34;3640885,60;3946219,72;3894198,58;3903175,73;3709143,98;3689326,43;3976706,55;3855790,52;3829669,10;4017226,37;4367804,45;4035500,32;4180782,60;4310128,06;4118559,45;4383578,88;4127357,22;4017258,65;4186584,78;4335170,81;4326562,09;4374139,04;4569903,40;6602603,33;4660931,18;4610308,17;4797631,67;5091915,38;4843181,07;5048181,25;4688555,67;192889090,04"
"""230195 BARREIRA"";-;-;-;28,74;-;62001,15;38049,83;46500,85;49255,48;49636,08;45452,79;46007,42;45179,04;50541,98;46093,61;54160,81;49203,39;41526,20;42953,44;59228,05;61952,04;57705,86;49882,90;46832,97;50941,45;45559,82;58197,99;56001,00;55084,70;49290,09;49957,52;60787,72;73109,87;66104,79;68687,36;57787,81;47700,14;51088,13;47382,14;42248,61;37394,59;39595,85;49350,75;58885,15;65024,03;69425,95;65158,18;64952,06;66752,88;69318,69;72581,01;73681,37;68024,27;69129,60;2691396,15"
"""230200 BARRO"";-;-;-;-;-;5614,63;2610,92;866,15;20798,32;17123,80;15354,31;11316,49;23157,56;24139,35;32912,40;35566,95;35077,45;30974,91;43322,30;50296,83;65115,24;63106,36;58461,38;50058,46;51397,00;57480,78;62349,65;54420,28;50261,86;49138,67;50114,90;75123,79;106863,29;89607,73;73070,41;72454,16;64345,31;85233,91;87508,92;72761,28;78437,25;74034,32;57390,75;79299,32;85386,51;96261,20;71457,42;73804,25;87181,22;90308,88;115399,45;96031,85;105241,98;-;2798240,15"
"""230205 BARROQUINHA"";-;-;-;-;-;1078,00;-;-;-;-;-;-;-;-;16522,26;28476,03;25530,02;27496,46;24014,83;30468,95;23498,70;41618,69;34135,15;27488,29;26753,22;29666,84;31282,66;60191,34;29922,94;28018,38;28378,08;27400,35;40046,83;24043,00;13493,93;20799,38;17554,29;17394,05;20232,28;15345,10;28662,17;21348,45;21685,07;27742,83;29725,38;30697,54;25430,17;24131,20;25215,04;24592,68;24718,45;34241,46;40102,17;36367,92;1105510,58"
"""230210 BATURITE"";-;-;-;24,00;-;621541,49;618968,70;714291,08;656567,40;634276,37;674610,28;708128,25;741313,10;725376,72;763830,07;749692,13;652625,72;768098,44;717324,05;838320,27;762938,40;821852,09;656868,82;783393,03;778830,59;762077,28;817931,82;809902,88;746314,03;768541,93;719551,72;810586,35;845253,44;852217,46;865790,57;995791,15;878873,42;883383,70;904682,27;817602,40;756349,10;786980,44;753865,68;791290,28;841775,40;885500,45;933594,74;982734,64;852458,83;920363,62;933001,12;875386,90;887981,29;862401,51;38931055,42"
"""230220 BEBERIBE"";-;-;-;-;-;75504,48;43618,44;57557,29;62796,77;71313,73;5773,48;128423,84;66520,88;69366,05;64932,12;65015,92;49214,06;70323,76;64609,24;94892,65;86382,72;90034,25;95685,56;93798,83;91376,28;86910,09;92723,78;97002,17;12218,34;95408,77;98603,39;133468,49;150355,26;142556,98;130065,34;132312,78;136520,31;143565,20;134808,46;111400,64;111175,20;120134,07;128613,81;136633,99;150478,45;155696,34;131361,88;152218,67;150056,57;141506,22;140991,68;126797,76;126356,72;188132,14;5105213,85"
