"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""130406 TABATINGA"";-;-;-;142188,25;-;142188,25"
"""130423 TONANTINS"";-;-;-;70725,25;-;70725,25"
"""130426 UARINI"";-;-;-;65142,16;-;65142,16"
"""130430 URUCARA"";-;-;-;94201,91;-;94201,91"
"""140005 ALTO ALEGRE"";-;-;-;31332,78;-;31332,78"
"""140010 BOA VISTA"";27212,62;1112999,09;-;3542738,68;-;4682950,39"
"""140015 BONFIM"";-;-;-;9253,69;-;9253,69"
"""140017 CANTA"";-;-;-;810,60;-;810,60"
"""140020 CARACARAI"";-;-;-;35181,48;-;35181,48"
"""140023 CAROEBE"";-;-;-;55567,90;-;55567,90"
"""140030 MUCAJAI"";-;-;-;46976,44;-;46976,44"
"""140040 NORMANDIA"";-;-;-;6025,11;-;6025,11"
"""140045 PACARAIMA"";-;-;-;7122,94;-;7122,94"
"""140047 RORAINOPOLIS"";-;-;-;112489,23;-;112489,23"
"""140050 SAO JOAO DA BALIZA"";-;-;-;12674,46;-;12674,46"
"""140060 SAO LUIZ"";-;-;-;16353,95;-;16353,95"
"""150010 ABAETETUBA"";-;355402,18;-;191092,09;-;546494,27"
"""150013 ABEL FIGUEIREDO"";-;-;-;26319,45;-;26319,45"
"""150020 ACARA"";-;-;-;277083,03;-;277083,03"
"""150030 AFUA"";-;-;-;41214,22;-;41214,22"
"""150034 AGUA AZUL DO NORTE"";-;-;-;175449,48;-;175449,48"
"""150040 ALENQUER"";-;-;-;60597,30;-;60597,30"
"""150050 ALMEIRIM"";-;-;-;200151,28;-;200151,28"
"""150060 ALTAMIRA"";56976,78;339946,85;-;965877,59;-;1362801,22"
"""150070 ANAJAS"";-;-;-;20162,01;-;20162,01"
"""150080 ANANINDEUA"";16146,90;1651810,54;-;5146797,92;-;6814755,36"
"""150085 ANAPU"";-;-;-;66485,75;-;66485,75"
"""150090 AUGUSTO CORREA"";-;-;-;93758,75;-;93758,75"
"""150095 AURORA DO PARA"";-;-;-;58050,65;-;58050,65"
"""150110 BAGRE"";-;-;-;17565,47;-;17565,47"
"""150120 BAIAO"";-;-;-;65521,39;-;65521,39"
"""150125 BANNACH"";-;-;-;10680,34;-;10680,34"
"""150130 BARCARENA"";-;-;-;1217894,13;-;1217894,13"
"""150140 BELEM"";1640582,70;5642089,50;-;22894133,44;-;30176805,64"
"""150150 BENEVIDES"";5123,00;21080,00;-;293811,85;-;320014,85"
"""150160 BONITO"";-;-;-;70965,56;-;70965,56"
"""150170 BRAGANCA"";1072,50;266467,68;-;585642,08;-;853182,26"
"""150172 BRASIL NOVO"";-;3833,60;-;87023,79;-;90857,39"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;2925,00;-;2925,00"
"""150178 BREU BRANCO"";-;-;-;221533,31;-;221533,31"
"""150180 BREVES"";-;137352,90;-;171290,72;-;308643,62"
"""150195 CACHOEIRA DO PIRIA"";-;-;-;30650,26;-;30650,26"
"""150200 CACHOEIRA DO ARARI"";-;-;-;42508,96;-;42508,96"
"""150215 CANAA DOS CARAJAS"";-;18950,00;-;840109,08;-;859059,08"
"""150220 CAPANEMA"";-;284103,63;-;402786,42;-;686890,05"
"""150230 CAPITAO POCO"";-;-;-;80115,46;-;80115,46"
"""150240 CASTANHAL"";15639,88;1623659,16;-;2125030,44;-;3764329,48"
"""150260 COLARES"";-;-;-;101013,73;-;101013,73"
"""150270 CONCEICAO DO ARAGUAIA"";5231,36;-;-;78426,41;-;83657,77"
"""150275 CONCORDIA DO PARA"";-;-;-;58906,66;-;58906,66"
"""150276 CUMARU DO NORTE"";-;-;-;98843,42;-;98843,42"
"""150277 CURIONOPOLIS"";-;-;-;36484,01;-;36484,01"
"""150285 CURUA"";-;-;-;14035,52;-;14035,52"
"""150295 ELDORADO DOS CARAJAS"";-;-;-;121139,50;-;121139,50"
"""150300 FARO"";-;-;-;29316,74;-;29316,74"
"""150304 FLORESTA DO ARAGUAIA"";-;-;-;305427,93;-;305427,93"
"""150330 IGARAPE-MIRI"";-;-;-;18351,35;-;18351,35"
"""150340 INHANGAPI"";-;-;-;29612,73;-;29612,73"
"""150345 IPIXUNA DO PARA"";-;-;-;130989,93;-;130989,93"
"""150360 ITAITUBA"";-;258801,78;-;416602,59;-;675404,37"
"""150375 JACAREACANGA"";-;-;-;34299,91;-;34299,91"
"""150380 JACUNDA"";-;-;-;180590,46;-;180590,46"
"""150390 JURUTI"";-;-;-;118116,53;-;118116,53"
"""150400 LIMOEIRO DO AJURU"";-;-;-;53816,06;-;53816,06"
"""150405 MAE DO RIO"";-;-;-;112971,78;-;112971,78"
"""150410 MAGALHAES BARATA"";-;-;-;15636,94;-;15636,94"
"""150420 MARABA"";96093,63;1027549,13;-;2064963,69;-;3188606,45"
"""150430 MARACANA"";-;-;-;114687,27;-;114687,27"
"""150440 MARAPANIM"";-;-;-;55806,45;-;55806,45"
"""150442 MARITUBA"";11937,10;463258,64;-;1043485,23;-;1518680,97"
"""150470 MOJU"";-;-;-;231238,38;-;231238,38"
"""150475 MOJUI DOS CAMPOS"";-;-;-;2519,30;-;2519,30"
"""150480 MONTE ALEGRE"";-;-;-;211682,97;-;211682,97"
"""150490 MUANA"";-;-;-;417318,57;-;417318,57"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;-;72954,73;-;72954,73"
"""150497 NOVA IPIXUNA"";-;-;-;96141,80;-;96141,80"
"""150500 NOVA TIMBOTEUA"";-;-;-;12744,67;-;12744,67"
"""150506 NOVO REPARTIMENTO"";-;-;-;140849,48;-;140849,48"
"""150520 OEIRAS DO PARA"";-;-;-;26836,60;-;26836,60"
"""150530 ORIXIMINA"";-;-;-;31836,21;-;31836,21"
"""150540 OUREM"";-;-;-;128046,73;-;128046,73"
"""150543 OURILANDIA DO NORTE"";-;-;-;892591,83;-;892591,83"
"""150548 PACAJA"";-;-;-;172850,36;-;172850,36"
"""150549 PALESTINA DO PARA"";-;-;-;17087,25;-;17087,25"
"""150550 PARAGOMINAS"";-;-;-;664174,52;-;664174,52"
"""150553 PARAUAPEBAS"";16514,59;1303246,04;-;1322924,89;-;2642685,52"
"""150555 PAU D'ARCO"";-;-;-;118650,92;-;118650,92"
"""150560 PEIXE-BOI"";-;-;-;5515,30;-;5515,30"
"""150563 PICARRA"";-;-;-;22033,33;-;22033,33"
"""150565 PLACAS"";-;-;-;150130,53;-;150130,53"
"""150570 PONTA DE PEDRAS"";-;-;-;14021,20;-;14021,20"
"""150580 PORTEL"";-;100,00;-;157369,18;-;157469,18"
"""150590 PORTO DE MOZ"";-;-;-;65499,35;-;65499,35"
"""150610 PRIMAVERA"";-;-;-;9394,71;-;9394,71"
"""150611 QUATIPURU"";-;-;-;24144,60;-;24144,60"
"""150613 REDENCAO"";13109,01;646351,92;-;299825,85;-;959286,78"
"""150616 RIO MARIA"";-;-;-;64809,68;-;64809,68"
"""150618 RONDON DO PARA"";-;-;-;95649,11;-;95649,11"
"""150620 SALINOPOLIS"";-;-;-;387450,89;-;387450,89"
"""150630 SALVATERRA"";-;-;-;174427,05;-;174427,05"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;10573,94;-;10573,94"
"""150650 SANTA IZABEL DO PARA"";-;-;-;393554,10;-;393554,10"
"""150655 SANTA LUZIA DO PARA"";-;-;-;22085,85;-;22085,85"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;-;94901,61;-;94901,61"
"""150660 SANTA MARIA DO PARA"";-;-;-;72427,15;-;72427,15"
"""150670 SANTANA DO ARAGUAIA"";-;-;-;438490,73;-;438490,73"
"""150680 SANTAREM"";146850,82;1241137,35;18635,00;3163125,48;4615,00;4574363,65"
"""150690 SANTAREM NOVO"";-;-;-;1853,04;-;1853,04"
"""150700 SANTO ANTONIO DO TAUA"";-;-;-;94724,01;-;94724,01"
"""150710 SAO CAETANO DE ODIVELAS"";-;-;-;5277,81;-;5277,81"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;-;54638,43;-;54638,43"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;-;119380,08;-;119380,08"
"""150730 SAO FELIX DO XINGU"";-;-;-;140086,83;-;140086,83"
"""150740 SAO FRANCISCO DO PARA"";-;-;-;12601,62;-;12601,62"
"""150746 SAO JOAO DA PONTA"";-;-;-;398,35;-;398,35"
"""150747 SAO JOAO DE PIRABAS"";-;-;-;76381,38;-;76381,38"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;-;11849,94;-;11849,94"
"""150760 SAO MIGUEL DO GUAMA"";-;-;-;213271,22;-;213271,22"
"""150780 SENADOR JOSE PORFIRIO"";-;13430,00;-;42677,13;-;56107,13"
"""150790 SOURE"";-;-;-;160379,43;-;160379,43"
"""150795 TAILANDIA"";-;-;-;519963,96;-;519963,96"
"""150800 TOME-ACU"";-;-;-;1142836,73;-;1142836,73"
"""150803 TRACUATEUA"";-;-;-;25594,29;-;25594,29"
"""150808 TUCUMA"";-;-;-;163941,54;-;163941,54"
"""150810 TUCURUI"";69959,76;181450,41;-;650908,32;-;902318,49"
"""150812 ULIANOPOLIS"";4471,58;806942,81;-;265284,80;-;1076699,19"
"""150815 URUARA"";-;-;-;339304,19;-;339304,19"
"""160005 SERRA DO NAVIO"";-;-;-;17752,20;-;17752,20"
"""160010 AMAPA"";-;-;-;12104,97;-;12104,97"
"""160015 PEDRA BRANCA DO AMAPARI"";-;-;-;27496,85;-;27496,85"
"""160020 CALCOENE"";-;-;-;15897,84;-;15897,84"
"""160027 LARANJAL DO JARI"";-;-;-;257756,46;-;257756,46"
"""160030 MACAPA"";52809,61;3176194,80;-;6221865,57;-;9450869,98"
"""160040 MAZAGAO"";-;-;-;29478,67;-;29478,67"
"""160050 OIAPOQUE"";-;-;-;140840,29;-;140840,29"
"""160053 PORTO GRANDE"";-;-;-;237303,26;-;237303,26"
"""160055 PRACUUBA"";-;-;-;66,95;-;66,95"
"""160060 SANTANA"";-;-;-;982244,54;-;982244,54"
"""160080 VITORIA DO JARI"";-;-;-;42605,82;-;42605,82"
"""170025 ABREULANDIA"";-;-;-;15392,66;-;15392,66"
"""170035 ALIANCA DO TOCANTINS"";-;-;-;6457,65;-;6457,65"
"""170040 ALMAS"";-;-;-;16161,50;-;16161,50"
"""170070 ALVORADA"";-;-;-;129513,90;-;129513,90"
"""170100 ANANAS"";-;-;-;29480,79;-;29480,79"
"""170105 ANGICO"";-;-;-;5667,80;-;5667,80"
"""170130 ARAGOMINAS"";-;-;-;6630,23;-;6630,23"
"""170190 ARAGUACEMA"";-;-;-;30332,71;-;30332,71"
"""170200 ARAGUACU"";-;225,00;-;64494,01;-;64719,01"
"""170210 ARAGUAINA"";-;1041943,43;-;2216611,23;-;3258554,66"
"""170220 ARAGUATINS"";-;-;-;166026,42;-;166026,42"
"""170230 ARAPOEMA"";-;-;-;42768,20;-;42768,20"
"""170240 ARRAIAS"";-;-;-;105822,85;-;105822,85"
"""170255 AUGUSTINOPOLIS"";-;205,00;-;323473,10;-;323678,10"
"""170270 AURORA DO TOCANTINS"";-;-;-;26935,04;-;26935,04"
"""170290 AXIXA DO TOCANTINS"";-;-;-;4323,00;-;4323,00"
"""170320 BERNARDO SAYAO"";-;-;-;4864,95;-;4864,95"
"""170382 CACHOEIRINHA"";-;-;-;4725,00;-;4725,00"
"""170386 CARIRI DO TOCANTINS"";-;-;-;13755,19;-;13755,19"
"""170389 CARRASCO BONITO"";-;-;-;5094,40;-;5094,40"
"""170410 CENTENARIO"";-;-;-;4502,00;-;4502,00"
"""170510 CHAPADA DA NATIVIDADE"";-;-;-;4484,77;-;4484,77"
"""170550 COLINAS DO TOCANTINS"";-;-;-;215514,68;-;215514,68"
"""170555 COMBINADO"";-;-;-;15327,81;-;15327,81"
"""170560 CONCEICAO DO TOCANTINS"";-;-;-;11732,10;-;11732,10"
"""170600 COUTO MAGALHAES"";-;-;-;13282,27;-;13282,27"
"""170625 CRIXAS DO TOCANTINS"";-;-;-;891,00;-;891,00"
"""170650 DARCINOPOLIS"";-;-;-;6547,28;-;6547,28"
"""170700 DIANOPOLIS"";-;-;-;121628,89;-;121628,89"
"""170710 DIVINOPOLIS DO TOCANTINS"";-;-;-;36403,94;-;36403,94"
"""170720 DOIS IRMAOS DO TOCANTINS"";-;-;-;8821,39;-;8821,39"
"""170770 FILADELFIA"";-;-;-;17232,83;-;17232,83"
"""170820 FORMOSO DO ARAGUAIA"";-;-;-;17623,94;-;17623,94"
"""170825 TABOCAO"";-;-;-;12655,07;-;12655,07"
"""170830 GOIANORTE"";-;-;-;17311,45;-;17311,45"
"""170900 GOIATINS"";-;-;-;19240,45;-;19240,45"
"""170930 GUARAI"";-;-;-;88758,77;-;88758,77"
"""170950 GURUPI"";41168,50;355369,03;-;796184,78;-;1192722,31"
"""170980 IPUEIRAS"";-;-;-;744,57;-;744,57"
"""171090 ITAPIRATINS"";-;-;-;7237,32;-;7237,32"
"""171110 ITAPORA DO TOCANTINS"";-;-;-;13042,71;-;13042,71"
"""171180 JUARINA"";-;-;-;612,90;-;612,90"
"""171200 LAJEADO"";-;-;-;8550,00;-;8550,00"
"""171245 LUZINOPOLIS"";-;-;-;9242,10;-;9242,10"
"""171280 MAURILANDIA DO TOCANTINS"";-;-;-;9971,10;-;9971,10"
"""171320 MIRACEMA DO TOCANTINS"";-;-;-;137522,56;-;137522,56"
"""171330 MIRANORTE"";-;-;-;34004,75;-;34004,75"
"""171360 MONTE DO CARMO"";-;-;-;26409,88;-;26409,88"
"""171395 MURICILANDIA"";-;-;-;5798,20;-;5798,20"
"""171420 NATIVIDADE"";-;438,24;-;73203,41;-;73641,65"
