"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""130185 IRANDUBA"";21436;139842;-;666;161944"
"""130190 ITACOATIARA"";86598;2170061;222179;24664;2503502"
"""130195 ITAMARATI"";1051;64441;-;100;65592"
"""130200 ITAPIRANGA"";-;64094;-;-;64094"
"""130210 JAPURA"";230;46582;-;660;47472"
"""130220 JURUA"";672;15138;-;-;15810"
"""130230 JUTAI"";18715;13808;-;49;32572"
"""130240 LABREA"";13229;223670;-;-;236899"
"""130250 MANACAPURU"";63075;1763940;538;959;1828512"
"""130255 MANAQUIRI"";2972;65334;-;224;68530"
"""130260 MANAUS"";3448848;28362747;6241560;657377;38710532"
"""130270 MANICORE"";6379;320398;96;1008;327881"
"""130280 MARAA"";43111;21759;-;-;64870"
"""130290 MAUES"";10507;441535;84;80588;532714"
"""130310 NOVA OLINDA DO NORTE"";9354;449665;4800;-;463819"
"""130320 NOVO AIRAO"";689;174640;-;801;176130"
"""130330 NOVO ARIPUANA"";8766;350521;-;529;359816"
"""130340 PARINTINS"";389545;1624554;4072;78120;2096291"
"""130350 PAUINI"";12191;75838;-;3191;91220"
"""130353 PRESIDENTE FIGUEIREDO"";2474;282832;-;1776;287082"
"""130356 RIO PRETO DA EVA"";44926;272510;-;3946;321382"
"""130360 SANTA ISABEL DO RIO NEGRO"";92;52080;15;119;52306"
"""130370 SANTO ANTONIO DO ICA"";20255;169108;514;288;190165"
"""130380 SAO GABRIEL DA CACHOEIRA"";21314;88798;-;1280;111392"
"""130390 SAO PAULO DE OLIVENCA"";34141;142796;-;319;177256"
"""130395 SAO SEBASTIAO DO UATUMA"";25014;106318;-;1022;132354"
"""130400 SILVES"";9790;125719;616;25336;161461"
"""130406 TABATINGA"";216446;313768;10;16859;547083"
"""130410 TAPAUA"";3412;36701;-;-;40113"
"""130420 TEFE"";860270;1575302;2380;36365;2474317"
"""130423 TONANTINS"";790849;68932;105;-;859886"
"""130426 UARINI"";4398;67623;-;-;72021"
"""130430 URUCARA"";3414;94381;-;1656;99451"
"""140002 AMAJARI"";-;218;-;339;557"
"""140005 ALTO ALEGRE"";22169;80949;33;141;103292"
"""140010 BOA VISTA"";880958;4140824;1125812;270404;6417998"
"""140015 BONFIM"";8442;39689;3;1010;49144"
"""140017 CANTA"";-;3865;-;386;4251"
"""140020 CARACARAI"";24498;87350;-;758;112606"
"""140023 CAROEBE"";17849;54524;-;-;72373"
"""140028 IRACEMA"";52054;33259;-;64;85377"
"""140030 MUCAJAI"";21718;89211;-;491;111420"
"""140040 NORMANDIA"";5411;12741;32;-;18184"
"""140045 PACARAIMA"";9605;63703;-;125;73433"
"""140047 RORAINOPOLIS"";46859;203022;140;173;250194"
"""140050 SAO JOAO DA BALIZA"";12658;41000;32;472;54162"
"""140060 SAO LUIZ"";8674;50352;-;125;59151"
"""140070 UIRAMUTA"";-;272;-;277;549"
"""150010 ABAETETUBA"";219720;793818;35163;33440;1082141"
"""150013 ABEL FIGUEIREDO"";15290;22504;-;332;38126"
"""150020 ACARA"";8502;498297;-;65775;572574"
"""150030 AFUA"";752;28990;-;-;29742"
"""150034 AGUA AZUL DO NORTE"";15636;371253;-;110763;497652"
"""150040 ALENQUER"";713;105035;-;48616;154364"
"""150050 ALMEIRIM"";45073;317002;-;75738;437813"
"""150060 ALTAMIRA"";118168;2047863;182479;88694;2437204"
