"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;1987446,47;-;1987446,47"
"""110002 ARIQUEMES"";586419,37;6326664,72;-;10825062,36;-;17738146,45"
"""110003 CABIXI"";-;-;-;271475,71;-;271475,71"
"""110004 CACOAL"";784275,46;6867380,29;-;18708538,24;-;26360193,99"
"""110005 CEREJEIRAS"";-;-;-;1148555,33;-;1148555,33"
"""110006 COLORADO DO OESTE"";-;-;-;1384934,54;-;1384934,54"
"""110007 CORUMBIARA"";-;-;-;378749,98;-;378749,98"
"""110008 COSTA MARQUES"";-;-;-;399078,86;-;399078,86"
"""110009 ESPIGAO D'OESTE"";-;-;-;2347743,99;-;2347743,99"
"""110010 GUAJARA-MIRIM"";-;-;-;609416,55;-;609416,55"
"""110011 JARU"";-;-;-;5962723,77;-;5962723,77"
"""110012 JI-PARANA"";1073451,73;6030982,30;-;22013014,80;-;29117448,83"
"""110013 MACHADINHO D'OESTE"";-;-;-;2638313,28;-;2638313,28"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;509105,94;-;509105,94"
"""110015 OURO PRETO DO OESTE"";-;-;-;2586176,77;-;2586176,77"
"""110018 PIMENTA BUENO"";-;-;-;2419521,54;-;2419521,54"
"""110020 PORTO VELHO"";3202001,56;22568442,11;-;142129522,29;-;167899965,96"
"""110025 PRESIDENTE MEDICI"";-;-;-;175687,80;-;175687,80"
"""110026 RIO CRESPO"";-;-;-;112340,00;-;112340,00"
"""110028 ROLIM DE MOURA"";308016,60;94,76;-;4962330,37;-;5270441,73"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;393069,83;-;393069,83"
"""110030 VILHENA"";-;1338136,42;-;10842163,84;-;12180300,26"
"""110032 SAO MIGUEL DO GUAPORE"";-;75,00;-;798472,18;-;798547,18"
"""110033 NOVA MAMORE"";-;-;-;929581,70;-;929581,70"
"""110034 ALVORADA D'OESTE"";-;-;-;643104,32;-;643104,32"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;568526,00;-;568526,00"
"""110040 ALTO PARAISO"";-;-;-;966392,32;-;966392,32"
"""110045 BURITIS"";-;-;-;2887431,71;-;2887431,71"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;793770,93;-;793770,93"
"""110060 CACAULANDIA"";-;-;-;319549,98;-;319549,98"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;153750,93;-;153750,93"
"""110080 CANDEIAS DO JAMARI"";-;-;-;823341,94;-;823341,94"
"""110090 CASTANHEIRAS"";-;-;-;90543,65;-;90543,65"
"""110092 CHUPINGUAIA"";-;-;-;279702,65;-;279702,65"
"""110094 CUJUBIM"";-;-;-;938426,92;-;938426,92"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;166882,51;-;166882,51"
"""110110 ITAPUA DO OESTE"";-;-;-;463909,43;-;463909,43"
"""110120 MINISTRO ANDREAZZA"";-;-;-;318519,76;-;318519,76"
"""110130 MIRANTE DA SERRA"";-;-;-;302729,40;-;302729,40"
"""110140 MONTE NEGRO"";-;-;-;905818,77;-;905818,77"
"""110143 NOVA UNIAO"";-;-;-;479497,69;-;479497,69"
"""110145 PARECIS"";-;-;-;264171,01;-;264171,01"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;91194,60;-;91194,60"
"""110147 PRIMAVERA DE RONDONIA"";-;-;-;8901,95;-;8901,95"
"""110148 SAO FELIPE D'OESTE"";-;-;-;387203,86;-;387203,86"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;-;1457245,29;-;1457245,29"
