"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""110150 SERINGUEIRAS"";-;-;-;785662,07;-;785662,07"
"""110155 TEIXEIROPOLIS"";-;-;-;65031,72;-;65031,72"
"""110160 THEOBROMA"";-;-;-;356415,47;-;356415,47"
"""110170 URUPA"";-;-;-;624555,70;-;624555,70"
"""110175 VALE DO ANARI"";-;-;-;422171,68;-;422171,68"
"""110180 VALE DO PARAISO"";-;-;-;249779,65;-;249779,65"
"""120001 ACRELANDIA"";-;-;-;145289,01;-;145289,01"
"""120005 ASSIS BRASIL"";-;-;-;498108,72;-;498108,72"
"""120010 BRASILEIA"";-;2144033,42;-;2788925,81;-;4932959,23"
"""120017 CAPIXABA"";-;-;-;52040,61;-;52040,61"
"""120020 CRUZEIRO DO SUL"";109364,47;2582670,93;-;9217069,48;-;11909104,88"
"""120025 EPITACIOLANDIA"";-;-;-;961,56;-;961,56"
"""120030 FEIJO"";-;-;-;640268,61;-;640268,61"
"""120032 JORDAO"";-;-;-;21770,71;-;21770,71"
"""120033 MANCIO LIMA"";-;-;-;1088940,31;-;1088940,31"
"""120034 MANOEL URBANO"";-;-;-;494896,65;-;494896,65"
"""120035 MARECHAL THAUMATURGO"";-;-;-;315430,23;-;315430,23"
"""120038 PLACIDO DE CASTRO"";-;-;-;681511,53;-;681511,53"
"""120039 PORTO WALTER"";-;-;-;98551,34;-;98551,34"
"""120040 RIO BRANCO"";1397945,98;21410267,66;-;77420250,80;-;100228464,44"
"""120042 RODRIGUES ALVES"";-;-;-;261478,73;-;261478,73"
"""120043 SANTA ROSA DO PURUS"";-;-;-;63847,70;-;63847,70"
"""120045 SENADOR GUIOMARD"";-;-;-;1201922,97;-;1201922,97"
"""120050 SENA MADUREIRA"";-;-;-;1408028,84;-;1408028,84"
"""120060 TARAUACA"";-;-;-;614876,62;-;614876,62"
"""120070 XAPURI"";-;-;-;730651,51;-;730651,51"
"""130002 ALVARAES"";-;-;-;424608,50;-;424608,50"
"""130006 AMATURA"";-;-;-;529151,94;-;529151,94"
"""130008 ANAMA"";-;-;-;262567,75;-;262567,75"
"""130010 ANORI"";-;-;-;603017,45;-;603017,45"
"""130014 APUI"";-;-;-;581773,85;-;581773,85"
"""130020 ATALAIA DO NORTE"";-;-;-;688699,63;-;688699,63"
"""130030 AUTAZES"";-;-;-;2652529,82;498,00;2653027,82"
"""130040 BARCELOS"";-;-;-;201997,42;-;201997,42"
"""130050 BARREIRINHA"";-;-;-;326844,88;-;326844,88"
"""130060 BENJAMIN CONSTANT"";-;-;-;614608,85;-;614608,85"
"""130063 BERURI"";-;-;-;102138,58;-;102138,58"
"""130068 BOA VISTA DO RAMOS"";-;-;-;439499,97;-;439499,97"
"""130070 BOCA DO ACRE"";-;235338,00;-;2154506,02;-;2389844,02"
"""130080 BORBA"";-;-;-;216238,90;-;216238,90"
"""130083 CAAPIRANGA"";-;-;-;348583,85;-;348583,85"
"""130090 CANUTAMA"";-;-;-;462664,20;-;462664,20"
"""130100 CARAUARI"";-;-;-;1102681,76;3290,00;1105971,76"
"""130110 CAREIRO"";-;-;-;5730108,45;20918,00;5751026,45"
"""130115 CAREIRO DA VARZEA"";-;-;-;283761,91;-;283761,91"
"""130120 COARI"";-;-;-;9184201,65;-;9184201,65"
"""130130 CODAJAS"";-;-;-;205120,01;-;205120,01"
"""130140 EIRUNEPE"";-;-;-;521180,54;-;521180,54"
"""130150 ENVIRA"";-;-;-;228167,40;-;228167,40"
"""130160 FONTE BOA"";-;-;-;2626647,37;-;2626647,37"
"""130165 GUAJARA"";-;-;-;381745,22;-;381745,22"
"""130170 HUMAITA"";-;-;-;8945616,48;-;8945616,48"
"""130180 IPIXUNA"";-;-;-;295773,53;-;295773,53"
"""130185 IRANDUBA"";-;-;-;973981,86;-;973981,86"
"""130190 ITACOATIARA"";-;-;-;11330196,14;-;11330196,14"
"""130195 ITAMARATI"";-;-;-;1221542,63;-;1221542,63"
"""130200 ITAPIRANGA"";-;-;-;570949,36;-;570949,36"
"""130210 JAPURA"";-;-;-;209199,38;-;209199,38"
"""130230 JUTAI"";-;-;-;102918,82;-;102918,82"
"""130240 LABREA"";-;-;-;893447,96;-;893447,96"
"""130250 MANACAPURU"";-;-;-;10571391,25;-;10571391,25"
"""130255 MANAQUIRI"";-;-;-;340573,14;-;340573,14"
"""130260 MANAUS"";6114015,66;50363629,40;7,00;327285585,70;-;383763237,76"
"""130270 MANICORE"";-;273918,00;-;2535366,64;-;2809284,64"
"""130280 MARAA"";-;-;-;387901,52;-;387901,52"
"""130290 MAUES"";-;-;-;3156405,66;-;3156405,66"
"""130300 NHAMUNDA"";-;-;-;480158,01;-;480158,01"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;2989904,51;-;2989904,51"
"""130320 NOVO AIRAO"";-;-;-;961947,99;-;961947,99"
"""130330 NOVO ARIPUANA"";-;-;-;1541008,00;-;1541008,00"
"""130340 PARINTINS"";-;748452,00;-;11608349,74;-;12356801,74"
"""130350 PAUINI"";-;-;-;487593,84;-;487593,84"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;1430376,77;-;1430376,77"
"""130356 RIO PRETO DA EVA"";-;-;-;2537745,45;-;2537745,45"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;290079,16;-;290079,16"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;499963,83;-;499963,83"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;-;-;602170,30;-;602170,30"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;1165152,44;-;1165152,44"
"""130395 SAO SEBASTIAO DO UATUMA"";-;-;-;884704,54;-;884704,54"
"""130400 SILVES"";-;-;-;784472,54;-;784472,54"
"""130406 TABATINGA"";-;-;-;876471,47;-;876471,47"
"""130420 TEFE"";-;-;-;8571437,57;-;8571437,57"
"""130423 TONANTINS"";-;-;-;532457,49;-;532457,49"
"""130426 UARINI"";-;-;-;366593,11;-;366593,11"
"""130430 URUCARA"";-;-;-;514839,59;-;514839,59"
"""130440 URUCURITUBA"";-;-;-;83391,05;-;83391,05"
"""140005 ALTO ALEGRE"";-;-;-;425773,39;-;425773,39"
"""140010 BOA VISTA"";329707,23;14697367,29;-;55100241,26;-;70127315,78"
"""140015 BONFIM"";-;-;-;133383,85;-;133383,85"
"""140017 CANTA"";-;-;-;13960,92;-;13960,92"
"""140020 CARACARAI"";-;-;-;412910,83;-;412910,83"
"""140023 CAROEBE"";-;-;-;313956,15;-;313956,15"
"""140028 IRACEMA"";-;-;-;109320,54;-;109320,54"
"""140030 MUCAJAI"";-;-;-;507535,41;-;507535,41"
"""140040 NORMANDIA"";-;-;-;63434,76;-;63434,76"
"""140045 PACARAIMA"";-;-;-;212028,19;-;212028,19"
"""140047 RORAINOPOLIS"";-;-;-;1226195,36;-;1226195,36"
"""140050 SAO JOAO DA BALIZA"";-;-;-;178108,74;-;178108,74"
"""140060 SAO LUIZ"";-;-;-;315073,45;-;315073,45"
"""150010 ABAETETUBA"";5120,64;1581797,15;-;6268772,32;-;7855690,11"
"""150013 ABEL FIGUEIREDO"";-;-;-;304100,23;-;304100,23"
"""150020 ACARA"";-;-;-;2352717,30;-;2352717,30"
"""150030 AFUA"";-;-;-;301133,90;-;301133,90"
"""150034 AGUA AZUL DO NORTE"";-;-;-;1875948,46;-;1875948,46"
"""150040 ALENQUER"";-;-;-;1024601,66;-;1024601,66"
"""150050 ALMEIRIM"";-;-;-;1781682,61;-;1781682,61"
"""150060 ALTAMIRA"";227070,14;4251404,37;-;17319508,50;-;21797983,01"
"""150070 ANAJAS"";-;-;-;226341,24;-;226341,24"
"""150080 ANANINDEUA"";143185,17;14891431,29;-;53595463,33;-;68630079,79"
"""150085 ANAPU"";-;-;-;555695,53;-;555695,53"
"""150090 AUGUSTO CORREA"";-;-;-;949555,29;-;949555,29"
"""150095 AURORA DO PARA"";-;-;-;663015,66;-;663015,66"
"""150100 AVEIRO"";-;-;-;5,00;-;5,00"
"""150110 BAGRE"";-;-;-;73842,71;-;73842,71"
"""150120 BAIAO"";-;-;-;916607,17;-;916607,17"
"""150125 BANNACH"";-;-;-;151479,46;-;151479,46"
"""150130 BARCARENA"";-;172838,40;-;15332301,84;-;15505140,24"
"""150140 BELEM"";6142153,75;53796866,45;-;284138019,69;-;344077039,89"
"""150145 BELTERRA"";-;-;-;145404,62;-;145404,62"
"""150150 BENEVIDES"";75826,28;-;-;3097669,16;-;3173495,44"
"""150157 BOM JESUS DO TOCANTINS"";-;-;-;247041,43;-;247041,43"
"""150160 BONITO"";-;-;-;297086,42;-;297086,42"
"""150170 BRAGANCA"";5502,32;2916524,40;-;6315128,52;-;9237155,24"
"""150172 BRASIL NOVO"";-;-;-;919584,90;-;919584,90"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;4804,25;-;4804,25"
"""150178 BREU BRANCO"";-;-;-;3213110,05;-;3213110,05"
"""150180 BREVES"";-;1678825,10;-;6668834,43;-;8347659,53"
"""150190 BUJARU"";-;-;-;1004432,92;-;1004432,92"
"""150195 CACHOEIRA DO PIRIA"";-;-;-;233752,79;-;233752,79"
"""150200 CACHOEIRA DO ARARI"";-;-;-;273845,27;-;273845,27"
"""150210 CAMETA"";-;-;-;4355118,37;-;4355118,37"
"""150215 CANAA DOS CARAJAS"";-;41427,48;-;10524292,04;-;10565719,52"
"""150220 CAPANEMA"";1244,88;621752,41;-;7735132,42;-;8358129,71"
"""150230 CAPITAO POCO"";-;10802,40;-;2925129,19;-;2935931,59"
"""150240 CASTANHAL"";297680,46;14439129,09;-;24122242,78;-;38859052,33"
"""150250 CHAVES"";-;-;-;215831,00;-;215831,00"
"""150260 COLARES"";-;-;-;616630,92;-;616630,92"
"""150270 CONCEICAO DO ARAGUAIA"";72257,70;-;-;3124158,72;-;3196416,42"
"""150275 CONCORDIA DO PARA"";-;-;-;807821,02;-;807821,02"
"""150276 CUMARU DO NORTE"";-;-;-;673998,70;-;673998,70"
"""150277 CURIONOPOLIS"";-;-;-;420030,25;-;420030,25"
"""150280 CURRALINHO"";-;-;-;571262,19;-;571262,19"
"""150285 CURUA"";-;-;-;95378,45;-;95378,45"
"""150290 CURUCA"";-;-;-;1372967,92;-;1372967,92"
"""150293 DOM ELISEU"";-;-;-;3810731,51;-;3810731,51"
"""150295 ELDORADO DOS CARAJAS"";-;-;-;2796405,52;-;2796405,52"
"""150300 FARO"";-;-;-;5040,28;-;5040,28"
"""150304 FLORESTA DO ARAGUAIA"";-;-;-;4341837,97;-;4341837,97"
"""150307 GARRAFAO DO NORTE"";-;-;-;295224,35;-;295224,35"
"""150309 GOIANESIA DO PARA"";-;-;-;882694,32;-;882694,32"
"""150310 GURUPA"";-;-;-;2057912,60;-;2057912,60"
"""150320 IGARAPE-ACU"";-;-;-;1977878,40;-;1977878,40"
"""150330 IGARAPE-MIRI"";-;-;-;1031929,73;-;1031929,73"
"""150340 INHANGAPI"";-;-;-;356941,50;-;356941,50"
"""150345 IPIXUNA DO PARA"";-;-;-;1318951,90;-;1318951,90"
"""150350 IRITUIA"";-;-;-;1182986,21;-;1182986,21"
"""150360 ITAITUBA"";-;202978,74;-;10201583,49;-;10404562,23"
"""150370 ITUPIRANGA"";-;-;-;1653294,15;-;1653294,15"
"""150375 JACAREACANGA"";-;-;-;501166,76;-;501166,76"
"""150380 JACUNDA"";-;-;-;1728610,81;-;1728610,81"
"""150390 JURUTI"";-;-;-;4591695,38;-;4591695,38"
"""150400 LIMOEIRO DO AJURU"";-;-;-;206400,17;-;206400,17"
"""150405 MAE DO RIO"";-;-;-;930393,71;-;930393,71"
"""150410 MAGALHAES BARATA"";-;-;-;116250,06;-;116250,06"
"""150420 MARABA"";356968,60;11325034,43;-;18739323,03;-;30421326,06"
"""150430 MARACANA"";-;-;-;672556,21;-;672556,21"
"""150440 MARAPANIM"";-;-;-;601858,72;-;601858,72"
"""150442 MARITUBA"";54491,11;4934056,56;-;10898218,45;-;15886766,12"
"""150445 MEDICILANDIA"";-;-;-;1643840,26;-;1643840,26"
"""150450 MELGACO"";-;-;-;145139,48;-;145139,48"
"""150460 MOCAJUBA"";-;-;-;455322,73;-;455322,73"
"""150470 MOJU"";-;451,08;-;3123155,34;-;3123606,42"
"""150475 MOJUI DOS CAMPOS"";-;-;-;166973,78;-;166973,78"
"""150480 MONTE ALEGRE"";-;-;-;2689422,63;-;2689422,63"
"""150490 MUANA"";-;-;-;3572869,95;-;3572869,95"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;-;270221,47;-;270221,47"
"""150497 NOVA IPIXUNA"";-;-;-;517749,53;-;517749,53"
"""150500 NOVA TIMBOTEUA"";-;-;-;164308,64;-;164308,64"
"""150503 NOVO PROGRESSO"";-;-;-;1213967,72;-;1213967,72"
"""150506 NOVO REPARTIMENTO"";-;-;-;1741143,06;-;1741143,06"
"""150510 OBIDOS"";-;-;-;2010207,81;-;2010207,81"
"""150520 OEIRAS DO PARA"";-;-;-;377970,41;-;377970,41"
"""150530 ORIXIMINA"";-;-;-;3013558,48;-;3013558,48"
"""150540 OUREM"";-;-;-;1349086,27;-;1349086,27"
"""150543 OURILANDIA DO NORTE"";-;-;-;8057487,02;-;8057487,02"
"""150548 PACAJA"";-;290893,20;-;1822712,32;-;2113605,52"
"""150549 PALESTINA DO PARA"";-;-;-;121094,09;-;121094,09"
"""150550 PARAGOMINAS"";-;12098,46;-;6761989,27;-;6774087,73"
"""150553 PARAUAPEBAS"";490713,78;4415438,75;-;18935827,31;-;23841979,84"
"""150555 PAU D'ARCO"";-;-;-;1692802,34;-;1692802,34"
"""150560 PEIXE-BOI"";-;-;-;116698,94;-;116698,94"
"""150563 PICARRA"";-;-;-;132179,82;-;132179,82"
"""150565 PLACAS"";-;-;-;1437355,08;-;1437355,08"
"""150570 PONTA DE PEDRAS"";-;-;-;154647,35;-;154647,35"
"""150580 PORTEL"";-;-;-;2314927,54;-;2314927,54"
"""150590 PORTO DE MOZ"";-;-;-;1150908,67;-;1150908,67"
"""150600 PRAINHA"";-;-;-;387176,67;-;387176,67"
"""150610 PRIMAVERA"";-;-;-;83447,11;-;83447,11"
"""150611 QUATIPURU"";-;-;-;284120,05;-;284120,05"
"""150613 REDENCAO"";83463,86;7441824,46;-;9736592,52;-;17261880,84"
"""150616 RIO MARIA"";-;-;-;1597081,41;-;1597081,41"
"""150618 RONDON DO PARA"";-;-;-;1100066,52;-;1100066,52"
"""150619 RUROPOLIS"";-;78703,20;-;1578542,48;-;1657245,68"
"""150620 SALINOPOLIS"";-;-;-;2572512,63;-;2572512,63"
"""150630 SALVATERRA"";-;-;-;1282656,57;-;1282656,57"
"""150635 SANTA BARBARA DO PARA"";-;-;-;534976,68;-;534976,68"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;127595,98;-;127595,98"
"""150650 SANTA IZABEL DO PARA"";-;-;-;3814276,74;-;3814276,74"
"""150655 SANTA LUZIA DO PARA"";-;-;-;328100,01;-;328100,01"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;-;440027,92;-;440027,92"
"""150660 SANTA MARIA DO PARA"";-;-;-;833997,55;-;833997,55"
"""150670 SANTANA DO ARAGUAIA"";-;-;-;5549873,30;-;5549873,30"
"""150680 SANTAREM"";561743,77;11860586,95;256133,00;33877184,32;40876,00;46596524,04"
"""150690 SANTAREM NOVO"";-;-;-;24780,30;-;24780,30"
"""150700 SANTO ANTONIO DO TAUA"";-;-;-;926079,45;-;926079,45"
"""150710 SAO CAETANO DE ODIVELAS"";-;-;-;64574,16;-;64574,16"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;-;607512,08;-;607512,08"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;-;881051,41;-;881051,41"
"""150730 SAO FELIX DO XINGU"";-;-;-;1344780,02;-;1344780,02"
"""150740 SAO FRANCISCO DO PARA"";-;-;-;165977,65;-;165977,65"
"""150745 SAO GERALDO DO ARAGUAIA"";-;-;-;1604105,54;-;1604105,54"
"""150746 SAO JOAO DA PONTA"";-;-;-;69697,86;-;69697,86"
"""150747 SAO JOAO DE PIRABAS"";-;-;-;883893,64;-;883893,64"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;-;179316,52;-;179316,52"
"""150760 SAO MIGUEL DO GUAMA"";-;46296,00;-;2708686,01;-;2754982,01"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;216048,00;-;429136,68;-;645184,68"
"""150775 SAPUCAIA"";-;-;-;2080345,77;-;2080345,77"
"""150780 SENADOR JOSE PORFIRIO"";-;-;-;138153,42;-;138153,42"
"""150790 SOURE"";-;-;-;391356,70;-;391356,70"
"""150795 TAILANDIA"";-;172838,40;-;4831022,59;-;5003860,99"
"""150796 TERRA ALTA"";-;-;-;123360,67;-;123360,67"
"""150797 TERRA SANTA"";-;-;-;939513,07;-;939513,07"
"""150800 TOME-ACU"";-;-;-;5730548,79;-;5730548,79"
"""150803 TRACUATEUA"";-;-;-;332959,89;-;332959,89"
"""150805 TRAIRAO"";-;-;-;635217,09;-;635217,09"
"""150808 TUCUMA"";-;208269,60;-;2389818,03;-;2598087,63"
"""150810 TUCURUI"";246563,74;-;-;8084272,57;-;8330836,31"
"""150812 ULIANOPOLIS"";47883,78;8418105,05;-;3602809,46;-;12068798,29"
"""150815 URUARA"";-;-;-;3254637,98;-;3254637,98"
"""150820 VIGIA"";-;-;-;1770433,29;-;1770433,29"
"""150830 VISEU"";-;-;-;1819513,15;-;1819513,15"
"""150835 VITORIA DO XINGU"";-;-;-;752168,70;-;752168,70"
"""150840 XINGUARA"";-;108024,00;-;8368427,85;-;8476451,85"
"""160005 SERRA DO NAVIO"";-;-;-;122478,39;-;122478,39"
"""160010 AMAPA"";-;-;-;250921,61;-;250921,61"
"""160015 PEDRA BRANCA DO AMAPARI"";-;-;-;928419,94;-;928419,94"
"""160020 CALCOENE"";-;-;-;206637,03;-;206637,03"
"""160023 FERREIRA GOMES"";-;-;-;468861,78;-;468861,78"
"""160027 LARANJAL DO JARI"";-;-;-;3219467,88;-;3219467,88"
"""160030 MACAPA"";1984050,72;36558001,81;-;67949659,47;-;106491712,00"
"""160040 MAZAGAO"";-;-;-;399637,04;-;399637,04"
"""160050 OIAPOQUE"";-;-;-;1667291,86;-;1667291,86"
"""160053 PORTO GRANDE"";-;-;-;250030,18;-;250030,18"
"""160060 SANTANA"";-;216,90;-;8669480,57;-;8669697,47"
"""160070 TARTARUGALZINHO"";-;-;-;573744,71;-;573744,71"
"""160080 VITORIA DO JARI"";-;-;-;587822,06;-;587822,06"
"""170025 ABREULANDIA"";-;-;-;44362,41;-;44362,41"
"""170030 AGUIARNOPOLIS"";-;-;-;70601,80;-;70601,80"
"""170035 ALIANCA DO TOCANTINS"";-;-;-;86008,23;-;86008,23"
"""170040 ALMAS"";-;-;-;244356,03;-;244356,03"
"""170070 ALVORADA"";-;-;-;731979,93;-;731979,93"
"""170100 ANANAS"";-;-;-;178241,50;-;178241,50"
"""170105 ANGICO"";-;-;-;74482,50;-;74482,50"
"""170110 APARECIDA DO RIO NEGRO"";-;-;-;100041,40;-;100041,40"
"""170130 ARAGOMINAS"";-;-;-;42710,35;-;42710,35"
"""170190 ARAGUACEMA"";-;-;-;432808,30;-;432808,30"
"""170200 ARAGUACU"";-;-;-;914807,04;-;914807,04"
"""170210 ARAGUAINA"";442717,52;7721178,32;-;28636579,93;-;36800475,77"
"""170215 ARAGUANA"";-;-;-;51815,65;-;51815,65"
"""170220 ARAGUATINS"";-;-;-;4790464,22;-;4790464,22"
"""170230 ARAPOEMA"";-;-;-;500497,37;-;500497,37"
"""170240 ARRAIAS"";-;-;-;797140,93;-;797140,93"
"""170255 AUGUSTINOPOLIS"";-;2145,00;-;1980022,32;-;1982167,32"
"""170270 AURORA DO TOCANTINS"";-;-;-;18295,50;-;18295,50"
"""170290 AXIXA DO TOCANTINS"";-;-;-;67084,80;-;67084,80"
"""170300 BABACULANDIA"";-;-;-;51075,00;-;51075,00"
"""170305 BANDEIRANTES DO TOCANTINS"";-;-;-;35532,20;-;35532,20"
"""170307 BARRA DO OURO"";-;-;-;55575,00;-;55575,00"
"""170310 BARROLANDIA"";-;-;-;163455,21;-;163455,21"
"""170320 BERNARDO SAYAO"";-;-;-;17998,30;-;17998,30"
"""170330 BOM JESUS DO TOCANTINS"";-;-;-;42474,15;-;42474,15"
"""170360 BRASILANDIA DO TOCANTINS"";-;-;-;9867,33;-;9867,33"
"""170370 BREJINHO DE NAZARE"";-;-;-;62497,25;-;62497,25"
"""170380 BURITI DO TOCANTINS"";-;-;-;85493,71;-;85493,71"
"""170382 CACHOEIRINHA"";-;-;-;23175,00;-;23175,00"
"""170384 CAMPOS LINDOS"";-;-;-;2392,74;-;2392,74"
"""170386 CARIRI DO TOCANTINS"";-;-;-;269326,01;-;269326,01"
"""170388 CARMOLANDIA"";-;-;-;23861,60;-;23861,60"
"""170389 CARRASCO BONITO"";-;-;-;56372,35;-;56372,35"
"""170390 CASEARA"";-;-;-;34208,12;-;34208,12"
"""170460 CHAPADA DE AREIA"";-;-;-;123762,37;-;123762,37"
"""170510 CHAPADA DA NATIVIDADE"";-;-;-;18826,25;-;18826,25"
"""170550 COLINAS DO TOCANTINS"";-;-;-;2587934,27;-;2587934,27"
"""170555 COMBINADO"";-;-;-;102135,61;-;102135,61"
"""170560 CONCEICAO DO TOCANTINS"";-;-;-;55149,48;-;55149,48"
"""170600 COUTO MAGALHAES"";-;-;-;66741,57;-;66741,57"
"""170610 CRISTALANDIA"";-;48610,80;-;137495,15;-;186105,95"
"""170625 CRIXAS DO TOCANTINS"";-;-;-;5108,81;-;5108,81"
"""170650 DARCINOPOLIS"";-;-;-;27261,64;-;27261,64"
"""170700 DIANOPOLIS"";-;-;-;1538158,93;-;1538158,93"
"""170710 DIVINOPOLIS DO TOCANTINS"";-;140431,20;-;572156,26;-;712587,46"
"""170720 DOIS IRMAOS DO TOCANTINS"";-;-;-;149560,80;-;149560,80"
"""170740 ESPERANTINA"";-;-;-;152055,19;-;152055,19"
"""170755 FATIMA"";-;-;-;56709,00;-;56709,00"
"""170765 FIGUEIROPOLIS"";-;-;-;115201,22;-;115201,22"
"""170770 FILADELFIA"";-;-;-;227674,72;-;227674,72"
"""170820 FORMOSO DO ARAGUAIA"";-;-;-;1113834,20;-;1113834,20"
"""170825 TABOCAO"";-;-;-;85935,13;-;85935,13"
"""170830 GOIANORTE"";-;-;-;79385,33;-;79385,33"
"""170900 GOIATINS"";-;-;-;289167,42;-;289167,42"
"""170930 GUARAI"";-;38,10;-;1523435,01;-;1523473,11"
"""170950 GURUPI"";164234,39;4287578,12;-;7163258,70;-;11615071,21"
"""170980 IPUEIRAS"";-;-;-;37724,85;-;37724,85"
"""171050 ITACAJA"";-;-;-;284655,74;-;284655,74"
"""171070 ITAGUATINS"";-;-;-;11824,15;-;11824,15"
"""171090 ITAPIRATINS"";-;-;-;97557,06;-;97557,06"
"""171110 ITAPORA DO TOCANTINS"";-;-;-;33376,05;-;33376,05"
"""171150 JAU DO TOCANTINS"";-;-;-;129815,60;-;129815,60"
"""171180 JUARINA"";-;-;-;13275,00;-;13275,00"
"""171190 LAGOA DA CONFUSAO"";-;-;-;180688,43;-;180688,43"
"""171195 LAGOA DO TOCANTINS"";-;-;-;14421,00;-;14421,00"
"""171200 LAJEADO"";-;-;-;42576,55;-;42576,55"
"""171215 LAVANDEIRA"";-;-;-;61443,73;-;61443,73"
"""171240 LIZARDA"";-;-;-;2152,50;-;2152,50"
"""171245 LUZINOPOLIS"";-;-;-;6120,00;-;6120,00"
"""171250 MARIANOPOLIS DO TOCANTINS"";-;53240,40;-;64183,85;-;117424,25"
"""171270 MATEIROS"";-;-;-;24130,00;-;24130,00"
