"""Regi∆o de Sa£de/Munic°pio"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
""".....  OLIMPIA"";30;2741;3556;3821;3847;278;14273"
""".....  GUAIRA"";4;2011;2626;3157;3464;188;11450"
"""35052 Sul - Barretos"";94;5233;6642;9704;10965;750;33388"
""".....  BEBEDOURO"";69;3307;4863;7953;8956;582;25730"
""".....  TERRA ROXA"";-;142;101;53;37;-;333"
""".....  MONTE AZUL PAULISTA"";17;1393;1312;1336;1626;137;5821"
""".....  VIRADOURO"";8;391;366;362;346;31;1504"
"""35061 Vale do Jurumirim"";2001;16607;16103;17432;17886;1066;71095"
""".....  PIRAJU"";-;2114;1961;2286;2015;94;8470"
""".....  PARANAPANEMA"";10;726;732;830;767;72;3137"
""".....  AVARE"";1846;7388;6789;7158;7552;382;31115"
""".....  ARANDU"";-;94;93;91;104;10;392"
""".....  ITAI"";28;363;423;528;923;67;2332"
""".....  ITAPORANGA"";4;1222;1170;1208;1167;80;4851"
""".....  FARTURA"";2;809;912;925;992;70;3710"
""".....  TAGUAI"";4;738;647;637;652;35;2713"
""".....  TAQUARITUBA"";102;2056;2226;2112;2044;132;8672"
""".....  CERQUEIRA CESAR"";5;1097;1150;1657;1670;124;5703"
"""35062 Bauru"";591;47755;50764;52506;53159;3875;208650"
""".....  DUARTINA"";3;1133;1164;1602;1636;97;5635"
""".....  AREALVA"";-;176;113;149;260;16;714"
""".....  LENCOIS PAULISTA"";25;2800;2800;2594;2851;264;11334"
""".....  BAURU"";525;37875;40681;41770;41634;3078;165563"
""".....  IACANGA"";1;391;352;563;759;55;2121"
""".....  AGUDOS"";4;1243;1157;1233;1223;71;4931"
""".....  PIRAJUI"";5;1423;1645;1467;1563;99;6202"
""".....  PIRATININGA"";3;262;303;250;324;23;1165"
""".....  PEDERNEIRAS"";23;1646;1812;2121;2051;124;7777"
""".....  MACATUBA"";2;806;737;757;858;48;3208"
"""35063 Polo Cuesta"";1782;29285;29478;31383;33058;1983;126969"
""".....  ITATINGA"";16;337;287;301;323;-;1264"
""".....  LARANJAL PAULISTA"";12;1445;1404;1517;1472;118;5968"
""".....  BOTUCATU"";1745;25876;26164;27824;28956;1784;112349"
""".....  SAO MANUEL"";7;1193;1202;1365;1927;71;5765"
""".....  CONCHAS"";2;434;421;376;380;10;1623"
"""35064 Ja£"";980;32066;32649;33725;33616;1191;134227"
""".....  ITAPUI"";1;230;255;216;52;-;754"
""".....  BARIRI"";45;1891;1480;1758;2111;156;7441"
""".....  TORRINHA"";3;90;105;91;81;-;370"
""".....  BARRA BONITA"";14;1776;1855;1971;2207;95;7918"
""".....  JAU"";801;25802;26829;27297;27022;858;108609"
""".....  BOCAINA"";1;172;168;167;146;14;668"
""".....  DOIS CORREGOS"";94;1297;1297;1392;1234;31;5345"
""".....  BROTAS"";21;808;660;833;763;37;3122"
"""35065 Lins"";168;9943;10702;10906;12725;854;45298"
""".....  LINS"";122;6158;6013;6082;7485;526;26386"
""".....  GETULINA"";-;147;324;379;376;25;1251"
""".....  PROMISSAO"";40;3077;3448;3601;3834;303;14303"
""".....  CAFELANDIA"";6;561;917;844;1030;-;3358"
"""35071 Braganáa"";423;24718;27060;27686;28180;1297;109364"
""".....  ATIBAIA"";101;4009;4826;4455;4531;301;18223"
""".....  NAZARE PAULISTA"";4;335;364;565;300;-;1568"
""".....  BRAGANCA PAULISTA"";276;16741;17930;18440;19076;685;73148"
""".....  BOM JESUS DOS PERDOES"";-;208;174;240;196;20;838"
""".....  SOCORRO"";30;2700;3074;3114;3373;229;12520"
""".....  PIRACAIA"";10;509;495;658;486;34;2192"
""".....  JOANOPOLIS"";2;216;197;214;218;28;875"
"""35072 Regi∆o Metropolitana de Campinas"";8392;155978;164817;177876;177206;8044;692313"
""".....  MORUNGABA"";-;323;137;162;237;16;875"
""".....  SUMARE"";127;12300;12637;12976;13135;869;52044"
""".....  CAMPINAS"";5646;80110;84219;88779;84715;2315;345784"
""".....  AMERICANA"";750;6150;6652;8483;9741;580;32356"
""".....  INDAIATUBA"";288;15593;17115;20665;22662;1693;78016"
""".....  JAGUARIUNA"";178;3321;3441;3455;3946;289;14630"
