"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""351620 FRANCA"";21203;71836;-;-;711;-;93750"
"""351630 FRANCISCO MORATO"";9382;39022;-;-;-;-;48404"
"""351640 FRANCO DA ROCHA"";11203;23852;-;-;-;-;35055"
"""351660 GALIA"";1;498;-;-;-;-;499"
"""351670 GARCA"";5407;6342;-;-;-;-;11749"
"""351690 GENERAL SALGADO"";-;1757;-;-;-;-;1757"
"""351700 GETULINA"";-;1251;-;-;-;-;1251"
"""351740 GUAIRA"";3280;8170;-;-;-;-;11450"
"""351760 GUAPIARA"";18;781;-;-;-;-;799"
"""351770 GUARA"";638;2915;-;-;-;-;3553"
"""351780 GUARACAI"";510;1522;-;-;-;-;2032"
"""351820 GUARARAPES"";1210;4981;-;-;-;-;6191"
"""351830 GUARAREMA"";339;4313;-;-;-;-;4652"
"""351840 GUARATINGUETA"";6888;18979;-;-;-;452;26319"
"""351860 GUARIBA"";1595;4624;-;-;-;-;6219"
"""351870 GUARUJA"";9542;43212;-;-;-;-;52754"
"""351880 GUARULHOS"";41168;166875;-;-;3775;5639;217457"
"""351900 HERCULANDIA"";27;3308;-;-;-;-;3335"
"""351907 HORTOLANDIA"";71;21381;-;-;-;-;21452"
"""351910 IACANGA"";1629;492;-;-;-;-;2121"
"""351930 IBATE"";1445;2199;-;-;-;-;3644"
"""351940 IBIRA"";1;1691;-;-;-;-;1692"
"""351960 IBITINGA"";3161;14835;-;-;-;-;17996"
"""351970 IBIUNA"";2738;11719;-;-;-;-;14457"
"""351990 IEPE"";22;2922;-;-;-;-;2944"
"""352010 IGARAPAVA"";1364;3674;-;-;-;-;5038"
"""352040 ILHABELA"";3893;8862;-;-;-;-;12755"
"""352044 ILHA SOLTEIRA"";1644;7995;-;-;-;-;9639"
"""352050 INDAIATUBA"";26271;51743;-;-;1;1;78016"
"""352070 INDIAPORA"";442;1014;-;-;-;-;1456"
"""352090 IPAUSSU"";229;2234;-;-;-;-;2463"
"""352130 IPUA"";1219;2006;-;-;-;-;3225"
"""352170 ITABERA"";2320;1781;-;-;-;-;4101"
"""352180 ITAI"";352;1980;-;-;-;-;2332"
"""352190 ITAJOBI"";620;1878;-;-;-;-;2498"
"""352210 ITANHAEM"";14425;31963;-;-;-;-;46388"
"""352220 ITAPECERICA DA SERRA"";20314;42382;-;-;1901;4087;68684"
"""352230 ITAPETININGA"";4412;35577;-;-;-;-;39989"
"""352240 ITAPEVA"";3429;33385;-;-;-;-;36814"
"""352250 ITAPEVI"";20735;44069;-;-;-;-;64804"
"""352260 ITAPIRA"";9283;16423;22;11;10;1;25750"
"""352270 ITAPOLIS"";2009;10992;-;-;-;-;13001"
"""352280 ITAPORANGA"";883;3968;-;-;-;-;4851"
"""352290 ITAPUI"";20;734;-;-;-;-;754"
"""352310 ITAQUAQUECETUBA"";12131;48901;-;-;135;586;61753"
"""352320 ITARARE"";2943;13265;-;-;-;-;16208"
"""352340 ITATIBA"";4428;18856;-;-;-;-;23284"
"""352350 ITATINGA"";-;1264;-;-;-;-;1264"
"""352360 ITIRAPINA"";-;567;-;-;-;-;567"
"""352390 ITU"";7364;27383;-;-;-;1;34748"
"""352400 ITUPEVA"";341;6860;-;-;-;-;7201"
"""352410 ITUVERAVA"";2459;12149;-;-;-;-;14608"
"""352420 JABORANDI"";-;264;-;-;-;-;264"
"""352430 JABOTICABAL"";1573;7759;-;-;-;-;9332"
"""352440 JACAREI"";14043;39810;-;-;-;-;53853"
"""352450 JACI"";1451;1061;-;-;-;-;2512"
"""352470 JAGUARIUNA"";3893;10729;-;-;8;-;14630"
"""352480 JALES"";9821;22465;-;-;-;-;32286"
"""352520 JARINU"";76;2049;-;-;-;-;2125"
"""352530 JAU"";42081;66528;-;-;-;-;108609"
"""352550 JOANOPOLIS"";7;868;-;-;-;-;875"
"""352570 JOSE BONIFACIO"";1137;5722;-;-;-;-;6859"
"""352590 JUNDIAI"";78801;101136;-;-;-;-;179937"
"""352600 JUNQUEIROPOLIS"";346;4971;-;-;-;-;5317"
"""352620 JUQUITIBA"";-;5;-;-;-;-;5"
"""352640 LARANJAL PAULISTA"";1030;4938;-;-;-;-;5968"
"""352670 LEME"";5473;16471;-;-;-;-;21944"
"""352680 LENCOIS PAULISTA"";2534;8800;-;-;-;-;11334"
"""352690 LIMEIRA"";16920;47395;-;-;-;-;64315"
"""352710 LINS"";3597;22789;-;-;-;-;26386"
"""352720 LORENA"";522;22051;-;-;-;-;22573"
"""352730 LOUVEIRA"";4482;6645;-;-;-;-;11127"
"""352740 LUCELIA"";1;2278;-;-;-;-;2279"
"""352800 MACATUBA"";392;2816;-;-;-;-;3208"
"""352810 MACAUBAL"";24;259;-;-;-;-;283"
"""352850 MAIRIPORA"";4;11356;-;-;-;-;11360"
"""352880 MARACAI"";1267;1820;-;-;-;-;3087"
"""352900 MARILIA"";32663;78601;-;-;1569;2445;115278"
"""352920 MARTINOPOLIS"";835;8041;-;-;-;-;8876"
"""352930 MATAO"";4861;18588;-;-;2;-;23451"
"""352940 MAUA"";6037;50727;-;-;-;-;56764"
"""352970 MIGUELOPOLIS"";71;4663;-;-;2;-;4736"
"""353010 MIRANDOPOLIS"";1196;12308;-;-;-;-;13504"
"""353030 MIRASSOL"";1982;5718;-;-;-;-;7700"
"""353050 MOCOCA"";2183;18317;22;-;18;1;20541"
"""353060 MOGI DAS CRUZES"";36134;95072;-;-;3621;603;135430"
"""353070 MOGI GUACU"";10848;25526;-;-;1188;3601;41163"
"""353080 MOGI MIRIM"";6271;11518;34;21;418;-;18262"
"""353110 MONGAGUA"";2;4129;-;-;-;-;4131"
"""353130 MONTE ALTO"";2697;7478;-;-;-;-;10175"
"""353140 MONTE APRAZIVEL"";2222;8005;-;-;-;-;10227"
"""353150 MONTE AZUL PAULISTA"";1434;4387;-;-;-;-;5821"
"""353180 MONTE MOR"";64;4657;-;-;-;-;4721"
"""353190 MORRO AGUDO"";1105;6089;-;-;-;-;7194"
"""353200 MORUNGABA"";-;875;-;-;-;-;875"
"""353240 NAZARE PAULISTA"";587;981;-;-;-;-;1568"
"""353250 NEVES PAULISTA"";1;206;-;-;-;-;207"
"""353260 NHANDEARA"";2627;4992;-;-;-;-;7619"
"""353290 NOVA EUROPA"";128;965;-;-;-;-;1093"
"""353300 NOVA GRANADA"";193;6249;-;-;-;-;6442"
"""353340 NOVA ODESSA"";835;5117;-;-;-;-;5952"
"""353350 NOVO HORIZONTE"";1771;8177;-;-;1;-;9949"
"""353390 OLIMPIA"";1011;11998;-;-;-;1264;14273"
"""353430 ORLANDIA"";200;10711;-;-;-;-;10911"
"""353440 OSASCO"";17833;91383;-;-;2;-;109218"
"""353460 OSVALDO CRUZ"";716;9063;-;-;-;-;9779"
"""353470 OURINHOS"";9270;33095;-;-;-;-;42365"
"""353475 OUROESTE"";551;1382;-;-;-;-;1933"
"""353520 PALMEIRA D'OESTE"";34;2587;-;-;-;-;2621"
