"""Munic¡pio"";""02 Procedimentos com finalidade diagnostica"";""03 Procedimentos clinicos"";""04 Procedimentos cirurgicos"";""05 Transplantes de orgaos, tecidos e celulas"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;2975;62;-;3037"
"""110002 ARIQUEMES"";-;4634;2181;-;6815"
"""110003 CABIXI"";-;254;-;-;254"
"""110004 CACOAL"";11;7751;6061;45;13868"
"""110005 CEREJEIRAS"";-;953;255;-;1208"
"""110006 COLORADO DO OESTE"";-;521;-;-;521"
"""110008 COSTA MARQUES"";-;89;-;-;89"
"""110009 ESPIGAO D'OESTE"";-;1143;14;-;1157"
"""110010 GUAJARA-MIRIM"";-;2943;642;-;3585"
"""110011 JARU"";-;2020;1044;-;3064"
"""110012 JI-PARANA"";-;5072;3112;-;8184"
"""110013 MACHADINHO D'OESTE"";-;1513;710;-;2223"
"""110014 NOVA BRASILANDIA D'OESTE"";-;795;364;-;1159"
"""110015 OURO PRETO DO OESTE"";-;1474;1711;-;3185"
"""110018 PIMENTA BUENO"";-;2806;667;-;3473"
"""110020 PORTO VELHO"";42;31047;17339;240;48668"
"""110025 PRESIDENTE MEDICI"";-;610;346;-;956"
"""110026 RIO CRESPO"";-;32;-;-;32"
"""110028 ROLIM DE MOURA"";-;2257;1625;-;3882"
"""110029 SANTA LUZIA D'OESTE"";-;514;-;-;514"
"""110030 VILHENA"";-;5185;4926;7;10118"
"""110032 SAO MIGUEL DO GUAPORE"";-;909;524;-;1433"
"""110033 NOVA MAMORE"";-;678;300;-;978"
"""110034 ALVORADA D'OESTE"";-;578;265;-;843"
"""110037 ALTO ALEGRE DOS PARECIS"";-;520;-;-;520"
"""110040 ALTO PARAISO"";-;321;-;-;321"
"""110045 BURITIS"";-;1235;303;-;1538"
"""110050 NOVO HORIZONTE DO OESTE"";-;296;-;-;296"
"""110060 CACAULANDIA"";-;77;-;-;77"
"""110070 CAMPO NOVO DE RONDONIA"";-;192;-;-;192"
"""110080 CANDEIAS DO JAMARI"";-;110;-;-;110"
"""110094 CUJUBIM"";-;583;-;-;583"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;122;-;-;122"
"""110120 MINISTRO ANDREAZZA"";-;257;-;-;257"
"""110130 MIRANTE DA SERRA"";-;424;-;-;424"
"""110140 MONTE NEGRO"";-;552;255;-;807"
"""110143 NOVA UNIAO"";-;117;-;-;117"
"""110145 PARECIS"";-;500;-;-;500"
"""110146 PIMENTEIRAS DO OESTE"";-;40;-;-;40"
"""110148 SAO FELIPE D'OESTE"";-;9;-;-;9"
"""110149 SAO FRANCISCO DO GUAPORE"";-;934;353;-;1287"
"""110150 SERINGUEIRAS"";-;624;737;-;1361"
"""110155 TEIXEIROPOLIS"";-;63;-;-;63"
"""110160 THEOBROMA"";-;124;-;-;124"
"""110170 URUPA"";-;321;258;-;579"
"""110175 VALE DO ANARI"";-;166;-;-;166"
"""110180 VALE DO PARAISO"";-;251;-;-;251"
"""120001 ACRELANDIA"";-;198;-;-;198"
"""120005 ASSIS BRASIL"";-;469;-;-;469"
"""120010 BRASILEIA"";-;2056;935;-;2991"
"""120020 CRUZEIRO DO SUL"";-;6564;6242;-;12806"
"""120030 FEIJO"";-;915;177;-;1092"
"""120033 MANCIO LIMA"";-;673;-;-;673"
"""120034 MANOEL URBANO"";-;433;-;-;433"
"""120035 MARECHAL THAUMATURGO"";-;427;-;-;427"
"""120038 PLACIDO DE CASTRO"";-;514;54;-;568"
"""120039 PORTO WALTER"";-;277;-;-;277"
"""120040 RIO BRANCO"";88;16007;17426;41;33562"
"""120042 RODRIGUES ALVES"";-;278;-;-;278"
"""120043 SANTA ROSA DO PURUS"";-;182;-;-;182"
"""120045 SENADOR GUIOMARD"";-;561;286;-;847"
"""120050 SENA MADUREIRA"";-;1503;352;-;1855"
"""120060 TARAUACA"";1;1405;987;-;2393"
"""120070 XAPURI"";-;731;-;-;731"
"""130002 ALVARAES"";1;473;162;-;636"
"""130006 AMATURA"";-;326;166;-;492"
"""130008 ANAMA"";-;1008;242;-;1250"
"""130010 ANORI"";-;1749;99;-;1848"
"""130014 APUI"";-;675;438;-;1113"
"""130020 ATALAIA DO NORTE"";-;570;-;-;570"
"""130030 AUTAZES"";-;934;351;-;1285"
"""130040 BARCELOS"";-;683;279;-;962"
"""130050 BARREIRINHA"";-;1244;175;-;1419"
"""130060 BENJAMIN CONSTANT"";-;1145;557;-;1702"
"""130063 BERURI"";-;598;71;-;669"
"""130068 BOA VISTA DO RAMOS"";-;598;129;-;727"
"""130070 BOCA DO ACRE"";-;1221;643;-;1864"
"""130080 BORBA"";-;1810;374;-;2184"
"""130083 CAAPIRANGA"";-;315;125;-;440"
"""130090 CANUTAMA"";-;341;154;-;495"
"""130100 CARAUARI"";-;995;640;-;1635"
"""130110 CAREIRO"";-;508;884;-;1392"
"""130115 CAREIRO DA VARZEA"";-;12;-;-;12"
"""130120 COARI"";-;2601;1530;-;4131"
"""130130 CODAJAS"";-;1254;218;-;1472"
"""130140 EIRUNEPE"";-;1041;507;-;1548"
"""130150 ENVIRA"";-;686;247;-;933"
"""130160 FONTE BOA"";-;811;573;-;1384"
"""130165 GUAJARA"";-;326;-;-;326"
"""130170 HUMAITA"";-;1177;791;-;1968"
"""130180 IPIXUNA"";-;1620;540;-;2160"
"""130185 IRANDUBA"";-;672;198;-;870"
"""130190 ITACOATIARA"";-;3140;1788;-;4928"
"""130195 ITAMARATI"";-;901;226;-;1127"
"""130200 ITAPIRANGA"";-;351;30;-;381"
"""130210 JAPURA"";-;518;18;-;536"
"""130230 JUTAI"";-;1341;196;-;1537"
"""130240 LABREA"";-;918;275;-;1193"
"""130250 MANACAPURU"";-;4290;1779;-;6069"
"""130255 MANAQUIRI"";-;595;96;-;691"
"""130260 MANAUS"";269;72477;51519;107;124372"
"""130270 MANICORE"";-;1409;481;-;1890"
"""130280 MARAA"";-;354;75;-;429"
"""130290 MAUES"";-;2039;1039;-;3078"
"""130300 NHAMUNDA"";-;223;45;-;268"
"""130310 NOVA OLINDA DO NORTE"";-;1037;231;-;1268"
"""130320 NOVO AIRAO"";-;714;295;-;1009"
"""130330 NOVO ARIPUANA"";-;1384;323;-;1707"
"""130340 PARINTINS"";-;5788;2591;-;8379"
"""130350 PAUINI"";-;686;220;-;906"
"""130353 PRESIDENTE FIGUEIREDO"";-;585;498;-;1083"
"""130356 RIO PRETO DA EVA"";-;312;157;-;469"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;485;66;-;551"
"""130370 SANTO ANTONIO DO ICA"";-;1257;306;-;1563"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;1029;252;-;1281"
"""130390 SAO PAULO DE OLIVENCA"";-;1420;462;-;1882"
"""130395 SAO SEBASTIAO DO UATUMA"";-;521;149;-;670"
"""130400 SILVES"";-;647;293;-;940"
"""130406 TABATINGA"";-;994;314;-;1308"
"""130410 TAPAUA"";-;779;196;1;976"
"""130420 TEFE"";-;4080;1632;-;5712"
"""130423 TONANTINS"";-;709;381;-;1090"
"""130426 UARINI"";-;399;240;-;639"
"""130430 URUCARA"";-;554;282;-;836"
"""130440 URUCURITUBA"";-;302;67;-;369"
"""140005 ALTO ALEGRE"";-;238;-;-;238"
"""140010 BOA VISTA"";25;29930;11492;1;41448"
"""140015 BONFIM"";-;55;-;-;55"
"""140020 CARACARAI"";-;188;-;-;188"
"""140023 CAROEBE"";-;240;-;-;240"
"""140040 NORMANDIA"";-;176;-;-;176"
"""140045 PACARAIMA"";-;586;2;-;588"
"""140047 RORAINOPOLIS"";-;1439;692;-;2131"
"""140050 SAO JOAO DA BALIZA"";-;239;-;-;239"
"""140060 SAO LUIZ"";-;51;-;-;51"
"""150010 ABAETETUBA"";-;5781;6236;-;12017"
"""150013 ABEL FIGUEIREDO"";-;323;151;-;474"
"""150020 ACARA"";-;1049;350;-;1399"
"""150030 AFUA"";-;788;20;-;808"
"""150034 AGUA AZUL DO NORTE"";-;618;181;-;799"
"""150040 ALENQUER"";-;4729;434;-;5163"
"""150050 ALMEIRIM"";-;1694;465;-;2159"
"""150060 ALTAMIRA"";1;5051;7083;-;12135"
"""150070 ANAJAS"";-;1338;221;-;1559"
"""150080 ANANINDEUA"";1;6842;19081;41;25965"
"""150085 ANAPU"";-;1335;390;-;1725"
"""150090 AUGUSTO CORREA"";-;2565;182;-;2747"
"""150095 AURORA DO PARA"";-;1065;267;-;1332"
"""150110 BAGRE"";-;350;-;-;350"
"""150120 BAIAO"";-;1740;387;-;2127"
"""150125 BANNACH"";-;172;-;-;172"
"""150130 BARCARENA"";-;4927;2821;-;7748"
"""150140 BELEM"";263;61571;64852;1091;127777"
"""150145 BELTERRA"";-;418;39;-;457"
"""150157 BOM JESUS DO TOCANTINS"";-;881;194;-;1075"
"""150170 BRAGANCA"";-;8150;5291;-;13441"
"""150172 BRASIL NOVO"";-;2102;537;-;2639"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;662;-;-;662"
"""150178 BREU BRANCO"";-;690;462;-;1152"
"""150180 BREVES"";1;5944;3966;-;9911"
"""150200 CACHOEIRA DO ARARI"";-;933;112;-;1045"
"""150210 CAMETA"";-;3544;4282;-;7826"
"""150215 CANAA DOS CARAJAS"";-;2232;2024;-;4256"
"""150220 CAPANEMA"";-;2992;6109;1;9102"
"""150230 CAPITAO POCO"";-;1435;264;-;1699"
"""150240 CASTANHAL"";29;12497;10185;-;22711"
"""150250 CHAVES"";-;226;-;-;226"
"""150270 CONCEICAO DO ARAGUAIA"";-;2884;1663;-;4547"
"""150275 CONCORDIA DO PARA"";-;765;-;-;765"
"""150276 CUMARU DO NORTE"";-;796;92;-;888"
"""150277 CURIONOPOLIS"";-;902;279;-;1181"
"""150280 CURRALINHO"";-;1539;222;-;1761"
"""150290 CURUCA"";-;1520;-;-;1520"
"""150293 DOM ELISEU"";-;1416;665;-;2081"
"""150295 ELDORADO DOS CARAJAS"";-;956;263;-;1219"
"""150300 FARO"";-;38;-;-;38"
"""150304 FLORESTA DO ARAGUAIA"";-;1305;302;-;1607"
"""150307 GARRAFAO DO NORTE"";-;468;82;-;550"
"""150309 GOIANESIA DO PARA"";-;1321;533;-;1854"
"""150310 GURUPA"";-;1606;292;-;1898"
"""150320 IGARAPE-ACU"";-;1084;-;-;1084"
"""150330 IGARAPE-MIRI"";-;6470;1862;-;8332"
"""150340 INHANGAPI"";-;4;-;-;4"
"""150345 IPIXUNA DO PARA"";-;3493;2049;-;5542"
"""150350 IRITUIA"";-;703;-;-;703"
"""150360 ITAITUBA"";-;4748;5086;-;9834"
"""150370 ITUPIRANGA"";-;965;499;-;1464"
"""150375 JACAREACANGA"";-;1128;202;-;1330"
"""150380 JACUNDA"";-;1458;1400;-;2858"
