"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""130260 MANAUS"";24618000,59;191789128,34;216407128,93"
"""130270 MANICORE"";176942,51;855841,22;1032783,73"
"""130280 MARAA"";-;278135,22;278135,22"
"""130290 MAUES"";430376,32;1346367,65;1776743,97"
"""130300 NHAMUNDA"";285900,87;370877,97;656778,84"
"""130310 NOVA OLINDA DO NORTE"";54177,26;618910,05;673087,31"
"""130320 NOVO AIRAO"";10880,55;504590,11;515470,66"
"""130330 NOVO ARIPUANA"";489307,61;435285,52;924593,13"
"""130340 PARINTINS"";1137087,60;3703573,96;4840661,56"
"""130350 PAUINI"";6533,86;536544,06;543077,92"
"""130353 PRESIDENTE FIGUEIREDO"";224906,97;329305,41;554212,38"
"""130356 RIO PRETO DA EVA"";131377,26;184348,95;315726,21"
"""130360 SANTA ISABEL DO RIO NEGRO"";26228,72;222160,28;248389,00"
"""130370 SANTO ANTONIO DO ICA"";28751,85;408511,47;437263,32"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;858344,96;858344,96"
"""130390 SAO PAULO DE OLIVENCA"";59284,65;1162839,84;1222124,49"
"""130395 SAO SEBASTIAO DO UATUMA"";156259,22;275252,73;431511,95"
"""130400 SILVES"";68192,54;210937,88;279130,42"
"""130406 TABATINGA"";-;301380,34;301380,34"
"""130410 TAPAUA"";-;138576,03;138576,03"
"""130420 TEFE"";990903,40;2647058,49;3637961,89"
"""130423 TONANTINS"";23161,64;548183,06;571344,70"
"""130426 UARINI"";-;459572,11;459572,11"
"""130430 URUCARA"";201230,94;287038,05;488268,99"
"""130440 URUCURITUBA"";-;128278,49;128278,49"
"""140005 ALTO ALEGRE"";-;46245,30;46245,30"
"""140010 BOA VISTA"";2743512,78;35617849,39;38361362,17"
"""140015 BONFIM"";-;11423,66;11423,66"
"""140020 CARACARAI"";-;50670,42;50670,42"
"""140023 CAROEBE"";-;31890,89;31890,89"
"""140030 MUCAJAI"";-;4470,98;4470,98"
"""140040 NORMANDIA"";-;56612,38;56612,38"
"""140045 PACARAIMA"";-;150702,01;150702,01"
"""140047 RORAINOPOLIS"";2427,40;995187,36;997614,76"
"""140050 SAO JOAO DA BALIZA"";-;90694,20;90694,20"
"""140060 SAO LUIZ"";-;24753,11;24753,11"
"""150010 ABAETETUBA"";685417,90;7386498,42;8071916,32"
"""150013 ABEL FIGUEIREDO"";14075,39;151060,70;165136,09"
"""150020 ACARA"";253158,32;701549,22;954707,54"
"""150030 AFUA"";-;416080,44;416080,44"
"""150034 AGUA AZUL DO NORTE"";136444,94;400442,37;536887,31"
"""150040 ALENQUER"";-;1913304,55;1913304,55"
"""150050 ALMEIRIM"";95706,22;844994,34;940700,56"
"""150060 ALTAMIRA"";1871179,28;10868140,37;12739319,65"
"""150070 ANAJAS"";-;635272,53;635272,53"
"""150080 ANANINDEUA"";3247410,10;38158419,77;41405829,87"
"""150085 ANAPU"";-;568371,20;568371,20"
"""150090 AUGUSTO CORREA"";-;1490764,50;1490764,50"
"""150095 AURORA DO PARA"";71812,87;535162,89;606975,76"
"""150110 BAGRE"";-;176625,01;176625,01"
"""150120 BAIAO"";40858,79;1106116,37;1146975,16"
"""150125 BANNACH"";-;65648,96;65648,96"
"""150130 BARCARENA"";698585,50;6324429,51;7023015,01"
"""150140 BELEM"";55005131,50;272923967,85;327929099,35"
"""150145 BELTERRA"";-;184630,69;184630,69"
"""150157 BOM JESUS DO TOCANTINS"";41819,84;373171,64;414991,48"
"""150170 BRAGANCA"";-;12211882,35;12211882,35"
"""150172 BRASIL NOVO"";76968,97;1393570,47;1470539,44"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;254807,48;254807,48"
"""150178 BREU BRANCO"";125411,29;487751,14;613162,43"
"""150180 BREVES"";629394,72;8141266,30;8770661,02"
"""150200 CACHOEIRA DO ARARI"";-;375234,28;375234,28"
"""150210 CAMETA"";-;4224528,31;4224528,31"
"""150215 CANAA DOS CARAJAS"";230186,92;2669805,71;2899992,63"
"""150220 CAPANEMA"";1323847,44;11686701,28;13010548,72"
"""150230 CAPITAO POCO"";184438,02;504470,50;688908,52"
"""150240 CASTANHAL"";3664190,06;22488135,97;26152326,03"
"""150250 CHAVES"";-;70622,78;70622,78"
"""150270 CONCEICAO DO ARAGUAIA"";165457,30;2898583,02;3064040,32"
"""150275 CONCORDIA DO PARA"";-;233312,06;233312,06"
"""150276 CUMARU DO NORTE"";60955,89;250923,35;311879,24"
"""150277 CURIONOPOLIS"";-;360389,83;360389,83"
"""150280 CURRALINHO"";118755,06;710118,67;828873,73"
"""150290 CURUCA"";-;770757,61;770757,61"
"""150293 DOM ELISEU"";196298,25;804834,41;1001132,66"
"""150295 ELDORADO DOS CARAJAS"";57089,98;741389,11;798479,09"
"""150300 FARO"";-;138729,15;138729,15"
"""150304 FLORESTA DO ARAGUAIA"";35552,83;547151,65;582704,48"
"""150307 GARRAFAO DO NORTE"";108873,24;218580,25;327453,49"
"""150309 GOIANESIA DO PARA"";-;670635,22;670635,22"
"""150310 GURUPA"";-;760200,84;760200,84"
"""150320 IGARAPE-ACU"";-;534142,94;534142,94"
"""150330 IGARAPE-MIRI"";-;2950152,08;2950152,08"
"""150340 INHANGAPI"";-;9573,74;9573,74"
"""150345 IPIXUNA DO PARA"";1678524,33;2155746,21;3834270,54"
"""150350 IRITUIA"";-;238116,79;238116,79"
"""150360 ITAITUBA"";1438157,59;8398656,05;9836813,64"
"""150370 ITUPIRANGA"";209723,95;602392,20;812116,15"
