"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";1913;-;1913"
"""110002 ARIQUEMES"";7006;1;7007"
"""110003 CABIXI"";181;-;181"
"""110004 CACOAL"";12548;288;12836"
"""110005 CEREJEIRAS"";1013;-;1013"
"""110006 COLORADO DO OESTE"";438;-;438"
"""110008 COSTA MARQUES"";311;-;311"
"""110009 ESPIGAO D'OESTE"";1550;-;1550"
"""110010 GUAJARA-MIRIM"";3628;-;3628"
"""110011 JARU"";3296;-;3296"
"""110012 JI-PARANA"";8799;27;8826"
"""110013 MACHADINHO D'OESTE"";1728;-;1728"
"""110014 NOVA BRASILANDIA D'OESTE"";1167;-;1167"
"""110015 OURO PRETO DO OESTE"";2923;-;2923"
"""110018 PIMENTA BUENO"";3820;-;3820"
"""110020 PORTO VELHO"";42892;3674;46566"
"""110025 PRESIDENTE MEDICI"";618;-;618"
"""110028 ROLIM DE MOURA"";3021;-;3021"
"""110029 SANTA LUZIA D'OESTE"";666;-;666"
"""110030 VILHENA"";7985;19;8004"
"""110032 SAO MIGUEL DO GUAPORE"";1531;-;1531"
"""110033 NOVA MAMORE"";1035;-;1035"
"""110034 ALVORADA D'OESTE"";913;-;913"
"""110037 ALTO ALEGRE DOS PARECIS"";614;-;614"
"""110040 ALTO PARAISO"";301;-;301"
"""110045 BURITIS"";1104;1;1105"
"""110050 NOVO HORIZONTE DO OESTE"";487;-;487"
"""110060 CACAULANDIA"";84;-;84"
"""110070 CAMPO NOVO DE RONDONIA"";99;-;99"
"""110080 CANDEIAS DO JAMARI"";24;-;24"
"""110094 CUJUBIM"";528;-;528"
"""110100 GOVERNADOR JORGE TEIXEIRA"";60;-;60"
"""110110 ITAPUA DO OESTE"";49;-;49"
"""110120 MINISTRO ANDREAZZA"";163;-;163"
"""110130 MIRANTE DA SERRA"";498;-;498"
"""110140 MONTE NEGRO"";301;-;301"
"""110143 NOVA UNIAO"";123;-;123"
"""110145 PARECIS"";246;-;246"
"""110146 PIMENTEIRAS DO OESTE"";57;-;57"
"""110149 SAO FRANCISCO DO GUAPORE"";858;-;858"
"""110150 SERINGUEIRAS"";1049;-;1049"
"""110155 TEIXEIROPOLIS"";48;-;48"
"""110160 THEOBROMA"";101;-;101"
"""110170 URUPA"";528;-;528"
"""110175 VALE DO ANARI"";144;-;144"
"""110180 VALE DO PARAISO"";162;-;162"
"""120001 ACRELANDIA"";141;-;141"
"""120005 ASSIS BRASIL"";184;-;184"
"""120010 BRASILEIA"";2810;-;2810"
"""120020 CRUZEIRO DO SUL"";8928;14;8942"
"""120030 FEIJO"";1011;-;1011"
"""120033 MANCIO LIMA"";410;-;410"
"""120034 MANOEL URBANO"";366;-;366"
"""120035 MARECHAL THAUMATURGO"";403;-;403"
"""120038 PLACIDO DE CASTRO"";354;-;354"
"""120039 PORTO WALTER"";338;-;338"
"""120040 RIO BRANCO"";27677;1331;29008"
"""120042 RODRIGUES ALVES"";251;-;251"
"""120043 SANTA ROSA DO PURUS"";51;-;51"
"""120045 SENADOR GUIOMARD"";460;-;460"
"""120050 SENA MADUREIRA"";2025;-;2025"
"""120060 TARAUACA"";2137;-;2137"
"""120070 XAPURI"";656;-;656"
"""130002 ALVARAES"";166;-;166"
"""130006 AMATURA"";508;-;508"
"""130008 ANAMA"";731;-;731"
"""130010 ANORI"";594;-;594"
"""130014 APUI"";1094;1;1095"
"""130020 ATALAIA DO NORTE"";430;-;430"
"""130030 AUTAZES"";1196;-;1196"
"""130040 BARCELOS"";953;1;954"
"""130050 BARREIRINHA"";1194;-;1194"
"""130060 BENJAMIN CONSTANT"";745;-;745"
"""130063 BERURI"";760;-;760"
"""130068 BOA VISTA DO RAMOS"";733;-;733"
"""130070 BOCA DO ACRE"";1736;1;1737"
"""130080 BORBA"";2046;5;2051"
"""130083 CAAPIRANGA"";636;-;636"
"""130090 CANUTAMA"";484;-;484"
"""130100 CARAUARI"";1347;160;1507"
"""130110 CAREIRO"";1302;-;1302"
"""130115 CAREIRO DA VARZEA"";25;-;25"
"""130120 COARI"";3842;-;3842"
"""130130 CODAJAS"";1248;-;1248"
"""130140 EIRUNEPE"";757;-;757"
"""130150 ENVIRA"";795;-;795"
"""130160 FONTE BOA"";1193;-;1193"
"""130165 GUAJARA"";391;-;391"
"""130170 HUMAITA"";2524;-;2524"
"""130180 IPIXUNA"";1566;-;1566"
"""130185 IRANDUBA"";644;-;644"
"""130190 ITACOATIARA"";4989;3;4992"
"""130195 ITAMARATI"";416;-;416"
"""130200 ITAPIRANGA"";397;-;397"
"""130210 JAPURA"";309;-;309"
"""130220 JURUA"";169;-;169"
"""130230 JUTAI"";1383;-;1383"
"""130240 LABREA"";2056;1;2057"
"""130250 MANACAPURU"";5842;46;5888"
"""130255 MANAQUIRI"";783;-;783"
"""130260 MANAUS"";117130;7144;124274"
"""130270 MANICORE"";2070;-;2070"
"""130280 MARAA"";336;-;336"
"""130290 MAUES"";3450;3;3453"
"""130300 NHAMUNDA"";334;-;334"
"""130310 NOVA OLINDA DO NORTE"";1526;-;1526"
"""130320 NOVO AIRAO"";887;-;887"
"""130330 NOVO ARIPUANA"";1586;1;1587"
"""130340 PARINTINS"";6973;-;6973"
"""130350 PAUINI"";972;-;972"
"""130353 PRESIDENTE FIGUEIREDO"";1215;-;1215"
"""130356 RIO PRETO DA EVA"";354;-;354"
"""130360 SANTA ISABEL DO RIO NEGRO"";584;-;584"
"""130370 SANTO ANTONIO DO ICA"";1385;-;1385"
"""130380 SAO GABRIEL DA CACHOEIRA"";1837;-;1837"
"""130390 SAO PAULO DE OLIVENCA"";1677;-;1677"
"""130395 SAO SEBASTIAO DO UATUMA"";596;-;596"
"""130400 SILVES"";904;-;904"
"""130406 TABATINGA"";2931;-;2931"
"""130410 TAPAUA"";1269;-;1269"
"""130420 TEFE"";5224;4;5228"
"""130423 TONANTINS"";1272;-;1272"
"""130426 UARINI"";656;-;656"
"""130430 URUCARA"";548;-;548"
"""130440 URUCURITUBA"";188;-;188"
"""140005 ALTO ALEGRE"";168;-;168"
"""140010 BOA VISTA"";40998;1060;42058"
"""140015 BONFIM"";51;-;51"
"""140020 CARACARAI"";187;-;187"
"""140023 CAROEBE"";184;-;184"
"""140040 NORMANDIA"";173;-;173"
"""140045 PACARAIMA"";581;-;581"
"""140047 RORAINOPOLIS"";2767;-;2767"
"""140050 SAO JOAO DA BALIZA"";314;-;314"
"""140060 SAO LUIZ"";130;-;130"
"""150010 ABAETETUBA"";12250;1;12251"
"""150013 ABEL FIGUEIREDO"";496;-;496"
"""150020 ACARA"";1595;-;1595"
"""150030 AFUA"";962;-;962"
"""150034 AGUA AZUL DO NORTE"";933;-;933"
"""150040 ALENQUER"";4199;1;4200"
"""150050 ALMEIRIM"";2079;1;2080"
"""150060 ALTAMIRA"";12240;41;12281"
"""150070 ANAJAS"";1589;-;1589"
"""150080 ANANINDEUA"";22417;736;23153"
"""150085 ANAPU"";2233;-;2233"
"""150090 AUGUSTO CORREA"";3078;-;3078"
"""150095 AURORA DO PARA"";1329;-;1329"
"""150110 BAGRE"";167;-;167"
"""150120 BAIAO"";2282;-;2282"
"""150125 BANNACH"";178;-;178"
"""150130 BARCARENA"";7531;3;7534"
"""150140 BELEM"";101629;18566;120195"
"""150145 BELTERRA"";627;-;627"
"""150157 BOM JESUS DO TOCANTINS"";937;-;937"
"""150170 BRAGANCA"";13814;-;13814"
"""150172 BRASIL NOVO"";2518;-;2518"
"""150175 BREJO GRANDE DO ARAGUAIA"";634;-;634"
"""150178 BREU BRANCO"";905;-;905"
"""150180 BREVES"";9265;-;9265"
"""150200 CACHOEIRA DO ARARI"";967;-;967"
"""150210 CAMETA"";6705;-;6705"
"""150215 CANAA DOS CARAJAS"";2983;1;2984"
"""150220 CAPANEMA"";7294;2;7296"
"""150230 CAPITAO POCO"";2186;-;2186"
"""150240 CASTANHAL"";22547;1;22548"
"""150250 CHAVES"";6;-;6"
"""150270 CONCEICAO DO ARAGUAIA"";4414;2;4416"
"""150275 CONCORDIA DO PARA"";760;-;760"
"""150276 CUMARU DO NORTE"";678;-;678"
"""150277 CURIONOPOLIS"";1190;-;1190"
"""150280 CURRALINHO"";1644;-;1644"
"""150290 CURUCA"";1501;-;1501"
"""150293 DOM ELISEU"";2682;-;2682"
"""150295 ELDORADO DOS CARAJAS"";1067;-;1067"
"""150300 FARO"";361;-;361"
"""150304 FLORESTA DO ARAGUAIA"";1316;-;1316"
"""150307 GARRAFAO DO NORTE"";738;-;738"
"""150309 GOIANESIA DO PARA"";1448;-;1448"
"""150310 GURUPA"";1607;-;1607"
"""150320 IGARAPE-ACU"";1015;-;1015"
"""150330 IGARAPE-MIRI"";8503;-;8503"
"""150345 IPIXUNA DO PARA"";4741;-;4741"
"""150350 IRITUIA"";742;-;742"
"""150360 ITAITUBA"";9386;12;9398"
"""150370 ITUPIRANGA"";1539;-;1539"
"""150375 JACAREACANGA"";1315;-;1315"
"""150380 JACUNDA"";2228;-;2228"
"""150390 JURUTI"";2399;-;2399"
"""150400 LIMOEIRO DO AJURU"";1281;-;1281"
"""150405 MAE DO RIO"";2737;-;2737"
"""150420 MARABA"";18225;202;18427"
"""150430 MARACANA"";441;-;441"
"""150440 MARAPANIM"";333;-;333"
"""150442 MARITUBA"";7589;173;7762"
"""150445 MEDICILANDIA"";1851;1;1852"
"""150450 MELGACO"";848;-;848"
"""150460 MOCAJUBA"";1806;-;1806"
"""150470 MOJU"";1714;-;1714"
"""150480 MONTE ALEGRE"";2669;-;2669"
"""150490 MUANA"";1980;-;1980"
"""150495 NOVA ESPERANCA DO PIRIA"";581;-;581"
"""150497 NOVA IPIXUNA"";200;-;200"
"""150503 NOVO PROGRESSO"";1728;-;1728"
"""150506 NOVO REPARTIMENTO"";1524;-;1524"
"""150510 OBIDOS"";2279;-;2279"
"""150520 OEIRAS DO PARA"";1475;-;1475"
"""150530 ORIXIMINA"";4462;1;4463"
"""150540 OUREM"";912;-;912"
"""150543 OURILANDIA DO NORTE"";4069;70;4139"
"""150548 PACAJA"";2337;-;2337"
"""150549 PALESTINA DO PARA"";380;-;380"
"""150550 PARAGOMINAS"";4639;1;4640"
"""150553 PARAUAPEBAS"";9767;1;9768"
"""150555 PAU D'ARCO"";597;-;597"
"""150563 PICARRA"";735;-;735"
"""150565 PLACAS"";1413;-;1413"
"""150570 PONTA DE PEDRAS"";1093;-;1093"
"""150580 PORTEL"";2383;-;2383"
"""150590 PORTO DE MOZ"";2073;-;2073"
"""150600 PRAINHA"";987;-;987"
"""150613 REDENCAO"";9530;187;9717"
"""150616 RIO MARIA"";1418;-;1418"
"""150618 RONDON DO PARA"";3853;-;3853"
"""150619 RUROPOLIS"";1290;-;1290"
"""150620 SALINOPOLIS"";1780;-;1780"
"""150630 SALVATERRA"";939;-;939"
"""150640 SANTA CRUZ DO ARARI"";433;-;433"
"""150650 SANTA IZABEL DO PARA"";1157;-;1157"
"""150658 SANTA MARIA DAS BARREIRAS"";1091;-;1091"
"""150660 SANTA MARIA DO PARA"";787;-;787"
"""150670 SANTANA DO ARAGUAIA"";3354;-;3354"
"""150680 SANTAREM"";16375;821;17196"
"""150700 SANTO ANTONIO DO TAUA"";4739;-;4739"
"""150715 SAO DOMINGOS DO ARAGUAIA"";388;-;388"
"""150720 SAO DOMINGOS DO CAPIM"";1042;-;1042"
"""150730 SAO FELIX DO XINGU"";3114;1;3115"
"""150745 SAO GERALDO DO ARAGUAIA"";1892;1;1893"
"""150747 SAO JOAO DE PIRABAS"";579;-;579"
"""150750 SAO JOAO DO ARAGUAIA"";381;-;381"
"""150760 SAO MIGUEL DO GUAMA"";2191;-;2191"
"""150770 SAO SEBASTIAO DA BOA VISTA"";1189;-;1189"
"""150775 SAPUCAIA"";381;-;381"
"""150780 SENADOR JOSE PORFIRIO"";813;-;813"
"""150790 SOURE"";1697;-;1697"
"""150795 TAILANDIA"";4357;1;4358"
"""150797 TERRA SANTA"";834;-;834"
"""150800 TOME-ACU"";2959;1;2960"
"""150803 TRACUATEUA"";1109;-;1109"
"""150805 TRAIRAO"";1268;-;1268"
"""150808 TUCUMA"";4168;-;4168"
"""150810 TUCURUI"";5365;5;5370"
"""150812 ULIANOPOLIS"";3291;-;3291"
"""150815 URUARA"";3349;1;3350"
"""150820 VIGIA"";1867;-;1867"
"""150830 VISEU"";2299;-;2299"
"""150835 VITORIA DO XINGU"";1547;2;1549"
"""150840 XINGUARA"";2937;-;2937"
"""160005 SERRA DO NAVIO"";13;-;13"
"""160010 AMAPA"";381;-;381"
"""160015 PEDRA BRANCA DO AMAPARI"";154;-;154"
"""160020 CALCOENE"";291;-;291"
"""160023 FERREIRA GOMES"";69;-;69"
"""160027 LARANJAL DO JARI"";4225;-;4225"
"""160030 MACAPA"";27902;930;28832"
"""160040 MAZAGAO"";156;-;156"
"""160050 OIAPOQUE"";1711;-;1711"
"""160053 PORTO GRANDE"";293;-;293"
"""160060 SANTANA"";5076;1;5077"
"""160070 TARTARUGALZINHO"";110;-;110"
"""170070 ALVORADA"";720;-;720"
"""170100 ANANAS"";168;-;168"
"""170190 ARAGUACEMA"";322;-;322"
"""170200 ARAGUACU"";308;-;308"
"""170210 ARAGUAINA"";21245;1400;22645"
"""170220 ARAGUATINS"";461;-;461"
"""170230 ARAPOEMA"";1069;-;1069"
"""170240 ARRAIAS"";985;-;985"
"""170255 AUGUSTINOPOLIS"";3616;1;3617"
