"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""130185 IRANDUBA"";-;-;192805,56;192805,56"
"""130190 ITACOATIARA"";425156,77;-;3553624,33;3978781,10"
"""130195 ITAMARATI"";-;-;210823,04;210823,04"
"""130200 ITAPIRANGA"";53131,46;-;313151,29;366282,75"
"""130210 JAPURA"";-;-;123772,76;123772,76"
"""130220 JURUA"";-;-;108315,09;108315,09"
"""130230 JUTAI"";-;-;551487,13;551487,13"
"""130240 LABREA"";183300,75;-;833409,58;1016710,33"
"""130250 MANACAPURU"";856811,24;-;3284456,85;4141268,09"
"""130255 MANAQUIRI"";23967,00;-;393703,14;417670,14"
"""130260 MANAUS"";40143466,63;4293,47;230274482,33;270422242,43"
"""130270 MANICORE"";432010,44;-;884066,50;1316076,94"
"""130280 MARAA"";-;-;117722,32;117722,32"
"""130290 MAUES"";100090,12;-;1480162,28;1580252,40"
"""130300 NHAMUNDA"";11215,72;-;380118,30;391334,02"
"""130310 NOVA OLINDA DO NORTE"";6652,75;-;428798,15;435450,90"
"""130320 NOVO AIRAO"";10870,48;-;505494,96;516365,44"
"""130330 NOVO ARIPUANA"";112213,81;-;469150,87;581364,68"
"""130340 PARINTINS"";1462584,17;-;3800438,09;5263022,26"
"""130350 PAUINI"";-;-;438128,08;438128,08"
"""130353 PRESIDENTE FIGUEIREDO"";32103,25;-;630451,31;662554,56"
"""130356 RIO PRETO DA EVA"";-;-;218121,54;218121,54"
"""130360 SANTA ISABEL DO RIO NEGRO"";41198,54;-;282262,42;323460,96"
"""130370 SANTO ANTONIO DO ICA"";33320,43;-;712972,33;746292,76"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;-;872516,35;872516,35"
"""130390 SAO PAULO DE OLIVENCA"";707,92;-;1267742,64;1268450,56"
"""130395 SAO SEBASTIAO DO UATUMA"";44827,18;-;262626,23;307453,41"
"""130400 SILVES"";47099,95;-;275677,85;322777,80"
"""130406 TABATINGA"";6309,36;-;262416,32;268725,68"
"""130410 TAPAUA"";-;-;461376,37;461376,37"
"""130420 TEFE"";1066068,93;-;2554898,53;3620967,46"
"""130423 TONANTINS"";253593,80;-;495129,57;748723,37"
"""130426 UARINI"";240,02;-;507281,84;507521,86"
"""130430 URUCARA"";99871,23;-;397314,11;497185,34"
"""130440 URUCURITUBA"";5003,94;-;189391,40;194395,34"
"""140005 ALTO ALEGRE"";-;-;37022,66;37022,66"
"""140010 BOA VISTA"";2630436,87;-;41083130,23;43713567,10"
"""140015 BONFIM"";-;-;8544,60;8544,60"
"""140020 CARACARAI"";-;-;41997,63;41997,63"
"""140023 CAROEBE"";-;-;37598,37;37598,37"
"""140030 MUCAJAI"";-;-;9948,52;9948,52"
"""140040 NORMANDIA"";-;-;37524,85;37524,85"
"""140045 PACARAIMA"";-;-;69100,25;69100,25"
"""140047 RORAINOPOLIS"";53941,16;-;1246690,84;1300632,00"
"""140050 SAO JOAO DA BALIZA"";-;-;36057,95;36057,95"
"""140060 SAO LUIZ"";-;-;17808,11;17808,11"
"""150010 ABAETETUBA"";-;-;7708208,93;7708208,93"
"""150013 ABEL FIGUEIREDO"";14417,09;-;170860,96;185278,05"
"""150020 ACARA"";393781,45;-;583850,38;977631,83"
"""150030 AFUA"";-;-;340700,27;340700,27"
"""150034 AGUA AZUL DO NORTE"";126833,94;-;383340,18;510174,12"
"""150040 ALENQUER"";-;-;1868706,38;1868706,38"
"""150050 ALMEIRIM"";111469,74;-;735907,63;847377,37"
"""150060 ALTAMIRA"";305340,29;-;14253870,22;14559210,51"
"""150070 ANAJAS"";-;-;563404,26;563404,26"
"""150080 ANANINDEUA"";3073037,94;-;45779294,07;48852332,01"
"""150085 ANAPU"";20658,33;-;857757,91;878416,24"
"""150090 AUGUSTO CORREA"";188962,36;-;1663231,23;1852193,59"
"""150095 AURORA DO PARA"";78478,51;-;545109,79;623588,30"
"""150110 BAGRE"";-;-;247645,77;247645,77"
"""150120 BAIAO"";14997,85;-;787254,34;802252,19"
"""150125 BANNACH"";25450,02;-;54610,92;80060,94"
"""150130 BARCARENA"";908575,45;-;5790344,63;6698920,08"
"""150140 BELEM"";95034916,17;-;273965178,62;369000094,79"
"""150145 BELTERRA"";-;-;128218,49;128218,49"
"""150157 BOM JESUS DO TOCANTINS"";21041,10;-;368803,96;389845,06"
"""150170 BRAGANCA"";-;-;14210131,12;14210131,12"
"""150172 BRASIL NOVO"";92895,84;-;1383738,77;1476634,61"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;267368,34;267368,34"
"""150178 BREU BRANCO"";102009,20;-;558721,18;660730,38"
"""150180 BREVES"";276068,33;-;9151756,57;9427824,90"
"""150200 CACHOEIRA DO ARARI"";-;-;439306,02;439306,02"
"""150210 CAMETA"";-;-;3897703,32;3897703,32"
"""150215 CANAA DOS CARAJAS"";570385,54;-;2783933,74;3354319,28"
"""150220 CAPANEMA"";939216,85;-;13211600,57;14150817,42"
"""150230 CAPITAO POCO"";-;-;462596,91;462596,91"
"""150240 CASTANHAL"";2302171,20;5770,80;28771950,31;31079892,31"
"""150250 CHAVES"";-;-;50582,29;50582,29"
"""150270 CONCEICAO DO ARAGUAIA"";126652,96;-;2985957,62;3112610,58"
"""150275 CONCORDIA DO PARA"";-;-;345805,71;345805,71"
"""150276 CUMARU DO NORTE"";52333,85;-;293160,42;345494,27"
"""150277 CURIONOPOLIS"";10487,79;-;471367,10;481854,89"
"""150280 CURRALINHO"";63870,13;-;817611,14;881481,27"
"""150290 CURUCA"";-;-;628176,32;628176,32"
"""150293 DOM ELISEU"";131465,04;-;634010,48;765475,52"
"""150295 ELDORADO DOS CARAJAS"";57406,25;-;568695,09;626101,34"
"""150300 FARO"";-;-;143723,79;143723,79"
"""150304 FLORESTA DO ARAGUAIA"";11938,23;-;400280,65;412218,88"
"""150307 GARRAFAO DO NORTE"";66706,90;-;242395,56;309102,46"
"""150309 GOIANESIA DO PARA"";55929,21;-;532011,57;587940,78"
"""150310 GURUPA"";-;-;669175,38;669175,38"
"""150320 IGARAPE-ACU"";-;-;648183,98;648183,98"
"""150330 IGARAPE-MIRI"";28883,39;-;2762341,48;2791224,87"
"""150340 INHANGAPI"";-;-;27764,04;27764,04"
"""150345 IPIXUNA DO PARA"";125323,63;-;1978315,24;2103638,87"
"""150350 IRITUIA"";-;-;218094,54;218094,54"
"""150360 ITAITUBA"";947010,89;-;11977894,09;12924904,98"
"""150370 ITUPIRANGA"";224153,90;-;586688,80;810842,70"
"""150375 JACAREACANGA"";-;-;534932,58;534932,58"
"""150380 JACUNDA"";819684,58;-;1985615,40;2805299,98"
"""150390 JURUTI"";-;-;884697,84;884697,84"
"""150400 LIMOEIRO DO AJURU"";-;-;510148,05;510148,05"
"""150405 MAE DO RIO"";77687,89;-;757216,29;834904,18"
"""150420 MARABA"";665046,78;-;17796351,30;18461398,08"
"""150430 MARACANA"";-;-;122017,22;122017,22"
"""150440 MARAPANIM"";-;-;94757,71;94757,71"
"""150442 MARITUBA"";521157,06;-;6435150,94;6956308,00"
"""150445 MEDICILANDIA"";159373,38;-;721877,33;881250,71"
"""150450 MELGACO"";-;-;145808,85;145808,85"
"""150460 MOCAJUBA"";-;-;1095048,45;1095048,45"
"""150470 MOJU"";64827,04;-;839448,96;904276,00"
"""150480 MONTE ALEGRE"";226859,08;-;1314802,06;1541661,14"
"""150490 MUANA"";70577,70;-;826144,01;896721,71"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;219618,66;219618,66"
"""150497 NOVA IPIXUNA"";-;-;116744,83;116744,83"
"""150503 NOVO PROGRESSO"";28274,99;-;1496635,72;1524910,71"
"""150506 NOVO REPARTIMENTO"";221147,19;-;461970,41;683117,60"
"""150510 OBIDOS"";-;-;1002014,94;1002014,94"
"""150520 OEIRAS DO PARA"";-;-;454650,57;454650,57"
"""150530 ORIXIMINA"";188937,89;-;2956795,75;3145733,64"
"""150540 OUREM"";172742,50;-;449611,14;622353,64"
"""150543 OURILANDIA DO NORTE"";949942,22;-;3175576,90;4125519,12"
"""150548 PACAJA"";64385,04;-;1057042,61;1121427,65"
"""150549 PALESTINA DO PARA"";64683,98;-;458735,59;523419,57"
"""150550 PARAGOMINAS"";451684,54;-;8182817,38;8634501,92"
"""150553 PARAUAPEBAS"";498377,17;-;10246222,86;10744600,03"
"""150555 PAU D'ARCO"";25443,97;-;566899,76;592343,73"
"""150563 PICARRA"";-;-;235957,87;235957,87"
"""150565 PLACAS"";60061,55;-;506753,60;566815,15"
"""150570 PONTA DE PEDRAS"";-;-;385839,03;385839,03"
"""150580 PORTEL"";356460,10;-;1387375,90;1743836,00"
"""150590 PORTO DE MOZ"";22257,28;-;696575,63;718832,91"
"""150600 PRAINHA"";150817,39;-;656414,58;807231,97"
"""150613 REDENCAO"";1525354,74;-;13821357,60;15346712,34"
"""150616 RIO MARIA"";117562,66;-;1972379,69;2089942,35"
"""150618 RONDON DO PARA"";-;-;1054900,90;1054900,90"
"""150619 RUROPOLIS"";159444,70;-;786323,45;945768,15"
"""150620 SALINOPOLIS"";-;-;1500466,18;1500466,18"
"""150630 SALVATERRA"";57757,39;-;425057,35;482814,74"
"""150640 SANTA CRUZ DO ARARI"";-;-;190985,60;190985,60"
"""150650 SANTA IZABEL DO PARA"";456816,30;-;701754,43;1158570,73"
"""150658 SANTA MARIA DAS BARREIRAS"";39812,47;-;236430,46;276242,93"
"""150660 SANTA MARIA DO PARA"";174753,19;-;646558,49;821311,68"
"""150670 SANTANA DO ARAGUAIA"";170479,29;-;827635,84;998115,13"
"""150680 SANTAREM"";3402671,08;-;28599912,57;32002583,65"
"""150700 SANTO ANTONIO DO TAUA"";-;-;6060652,85;6060652,85"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;235885,02;235885,02"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;455633,03;455633,03"
"""150730 SAO FELIX DO XINGU"";409711,12;-;1727436,12;2137147,24"
"""150745 SAO GERALDO DO ARAGUAIA"";145600,55;-;552061,48;697662,03"
"""150747 SAO JOAO DE PIRABAS"";20312,69;-;260284,01;280596,70"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;53443,96;53443,96"
"""150760 SAO MIGUEL DO GUAMA"";96407,40;-;783102,92;879510,32"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;-;530517,69;530517,69"
"""150775 SAPUCAIA"";-;-;74086,40;74086,40"
