"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""210667 MILAGRES DO MARANHAO"";-;-;82780,21;82780,21"
"""210670 MIRADOR"";-;-;551250,93;551250,93"
"""210675 MIRANDA DO NORTE"";16425,40;-;375257,15;391682,55"
"""210680 MIRINZAL"";2738,87;-;194342,10;197080,97"
"""210690 MONCAO"";-;-;1151037,23;1151037,23"
"""210700 MONTES ALTOS"";-;-;68664,00;68664,00"
"""210710 MORROS"";143,00;-;480401,45;480544,45"
"""210720 NINA RODRIGUES"";-;-;325142,61;325142,61"
"""210725 NOVA COLINAS"";-;-;126376,19;126376,19"
"""210735 NOVA OLINDA DO MARANHAO"";-;-;497521,11;497521,11"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;-;432537,12;432537,12"
"""210745 OLINDA NOVA DO MARANHAO"";-;-;208942,98;208942,98"
"""210750 PACO DO LUMIAR"";102983,44;-;1510941,28;1613924,72"
"""210760 PALMEIRANDIA"";-;-;252698,23;252698,23"
"""210770 PARAIBANO"";-;-;308541,80;308541,80"
"""210780 PARNARAMA"";15002,64;-;863508,31;878510,95"
"""210790 PASSAGEM FRANCA"";-;-;1793381,10;1793381,10"
"""210800 PASTOS BONS"";-;-;500717,30;500717,30"
"""210805 PAULINO NEVES"";-;-;347961,51;347961,51"
"""210810 PAULO RAMOS"";-;-;578153,68;578153,68"
"""210820 PEDREIRAS"";314108,88;-;4278017,88;4592126,76"
"""210825 PEDRO DO ROSARIO"";-;-;122367,91;122367,91"
"""210830 PENALVA"";41533,57;-;401520,45;443054,02"
"""210840 PERI MIRIM"";-;-;44897,76;44897,76"
"""210845 PERITORO"";-;-;2576954,11;2576954,11"
"""210850 PINDARE-MIRIM"";-;-;328972,15;328972,15"
"""210860 PINHEIRO"";647216,46;-;8516233,26;9163449,72"
"""210870 PIO XII"";45053,24;-;554688,81;599742,05"
"""210880 PIRAPEMAS"";-;-;199044,09;199044,09"
"""210890 POCAO DE PEDRAS"";-;-;317829,85;317829,85"
"""210900 PORTO FRANCO"";11186,64;-;2241275,15;2252461,79"
"""210910 PRESIDENTE DUTRA"";125032,00;-;9893260,63;10018292,63"
"""210920 PRESIDENTE JUSCELINO"";18448,24;-;71541,78;89990,02"
"""210923 PRESIDENTE MEDICI"";-;-;556064,01;556064,01"
"""210927 PRESIDENTE SARNEY"";-;-;187235,22;187235,22"
"""210930 PRESIDENTE VARGAS"";-;-;123251,30;123251,30"
"""210940 PRIMEIRA CRUZ"";-;-;67178,64;67178,64"
"""210945 RAPOSA"";-;-;53646,45;53646,45"
"""210950 RIACHAO"";82751,70;-;518041,73;600793,43"
"""210960 ROSARIO"";-;-;972623,36;972623,36"
"""210970 SAMBAIBA"";-;-;120229,26;120229,26"
"""210980 SANTA HELENA"";5855,64;-;668984,94;674840,58"
"""210990 SANTA INES"";923344,03;-;9763830,09;10687174,12"
"""211000 SANTA LUZIA"";-;-;1244322,16;1244322,16"
"""211003 SANTA LUZIA DO PARUA"";72824,11;-;2447180,09;2520004,20"
"""211010 SANTA QUITERIA DO MARANHAO"";-;-;415974,93;415974,93"
"""211020 SANTA RITA"";116695,35;-;501447,13;618142,48"
"""211023 SANTANA DO MARANHAO"";-;-;221451,54;221451,54"
"""211027 SANTO AMARO DO MARANHAO"";-;-;233101,56;233101,56"
"""211030 SANTO ANTONIO DOS LOPES"";-;-;270347,79;270347,79"
"""211040 SAO BENEDITO DO RIO PRETO"";5557,46;-;265177,01;270734,47"
"""211050 SAO BENTO"";-;-;547269,17;547269,17"
"""211060 SAO BERNARDO"";-;-;667239,62;667239,62"
"""211065 SAO DOMINGOS DO AZEITAO"";-;-;207856,76;207856,76"
"""211070 SAO DOMINGOS DO MARANHAO"";53937,39;-;797943,77;851881,16"
"""211080 SAO FELIX DE BALSAS"";-;-;136563,44;136563,44"
"""211085 SAO FRANCISCO DO BREJAO"";-;-;151708,48;151708,48"
"""211090 SAO FRANCISCO DO MARANHAO"";12431,39;-;284892,00;297323,39"
"""211100 SAO JOAO BATISTA"";-;-;461933,52;461933,52"
"""211102 SAO JOAO DO CARU"";-;-;153412,60;153412,60"
"""211107 SAO JOAO DO SOTER"";61654,21;-;193830,62;255484,83"
"""211110 SAO JOAO DOS PATOS"";-;-;472387,11;472387,11"
"""211120 SAO JOSE DE RIBAMAR"";423487,46;-;1541260,43;1964747,89"
"""211125 SAO JOSE DOS BASILIOS"";-;-;243095,43;243095,43"
"""211130 SAO LUIS"";45921207,42;-;249678762,06;295599969,48"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";-;-;640215,10;640215,10"
"""211150 SAO MATEUS DO MARANHAO"";330099,11;-;1199100,68;1529199,79"
"""211153 SAO PEDRO DA AGUA BRANCA"";13061,35;-;193101,45;206162,80"
"""211157 SAO PEDRO DOS CRENTES"";-;-;177247,53;177247,53"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";134514,94;-;627905,57;762420,51"
"""211163 SAO RAIMUNDO DO DOCA BEZERRA"";-;-;20408,36;20408,36"
"""211170 SAO VICENTE FERRER"";-;-;380614,35;380614,35"
"""211172 SATUBINHA"";-;-;215770,64;215770,64"
"""211174 SENADOR ALEXANDRE COSTA"";-;-;222807,41;222807,41"
"""211178 SERRANO DO MARANHAO"";-;-;230240,43;230240,43"
"""211180 SITIO NOVO"";7409,37;-;419744,00;427153,37"
"""211190 SUCUPIRA DO NORTE"";-;-;115499,98;115499,98"
"""211195 SUCUPIRA DO RIACHAO"";-;-;77666,83;77666,83"
"""211200 TASSO FRAGOSO"";-;-;175648,24;175648,24"
"""211210 TIMBIRAS"";177814,98;-;2757076,65;2934891,63"
"""211220 TIMON"";799925,58;-;6200236,30;7000161,88"
"""211223 TRIZIDELA DO VALE"";-;-;381217,77;381217,77"
"""211227 TUFILANDIA"";-;-;46745,65;46745,65"
"""211230 TUNTUM"";57746,98;-;1014767,46;1072514,44"
"""211240 TURIACU"";-;-;396717,02;396717,02"
"""211245 TURILANDIA"";44672,08;-;235851,40;280523,48"
"""211250 TUTOIA"";-;-;910189,16;910189,16"
"""211260 URBANO SANTOS"";37131,12;-;764824,44;801955,56"
"""211270 VARGEM GRANDE"";51930,67;-;491811,29;543741,96"
"""211280 VIANA"";45057,02;-;2330402,08;2375459,10"
"""211285 VILA NOVA DOS MARTIRIOS"";-;-;226005,54;226005,54"
"""211290 VITORIA DO MEARIM"";11106,20;-;320711,11;331817,31"
"""211300 VITORINO FREIRE"";7844,61;-;638011,18;645855,79"
"""211400 ZE DOCA"";511490,02;-;1284021,47;1795511,49"
"""220010 AGRICOLANDIA"";-;-;24105,91;24105,91"
"""220020 AGUA BRANCA"";141470,03;-;498057,56;639527,59"
"""220025 ALAGOINHA DO PIAUI"";-;-;30179,37;30179,37"
"""220030 ALTO LONGA"";-;-;87338,96;87338,96"
"""220040 ALTOS"";21135,64;-;612688,92;633824,56"
"""220050 AMARANTE"";-;-;240456,07;240456,07"
"""220100 ARRAIAL"";-;-;33673,72;33673,72"
"""220120 BARRAS"";183588,60;-;793106,51;976695,11"
"""220150 BATALHA"";-;-;150875,66;150875,66"
"""220160 BENEDITINOS"";-;-;63580,64;63580,64"
"""220180 BOCAINA"";-;-;6701,15;6701,15"
"""220190 BOM JESUS"";1307425,30;-;2305145,02;3612570,32"
"""220220 CAMPO MAIOR"";-;-;3048575,67;3048575,67"
"""220230 CANTO DO BURITI"";82490,27;-;427748,22;510238,49"
"""220260 CASTELO DO PIAUI"";-;-;214890,43;214890,43"
"""220270 COCAL"";-;-;128015,58;128015,58"
"""220290 CORRENTE"";94178,14;-;1080727,12;1174905,26"
"""220310 CRISTINO CASTRO"";-;-;436474,10;436474,10"
"""220320 CURIMATA"";-;-;484648,48;484648,48"
"""220330 DEMERVAL LOBAO"";236032,84;-;369922,20;605955,04"
"""220350 ELESBAO VELOSO"";684154,91;-;519180,24;1203335,15"
"""220370 ESPERANTINA"";880787,91;-;1682804,59;2563592,50"
"""220390 FLORIANO"";997225,75;-;11611163,49;12608389,24"
"""220400 FRANCINOPOLIS"";-;-;22965,27;22965,27"
"""220430 FRONTEIRAS"";-;-;1541276,49;1541276,49"
"""220450 GUADALUPE"";-;-;301405,44;301405,44"
"""220470 INHUMA"";-;-;65116,48;65116,48"
"""220480 IPIRANGA DO PIAUI"";-;-;22628,91;22628,91"
"""220510 ITAUEIRA"";-;-;212516,15;212516,15"
"""220520 JAICOS"";-;-;603238,04;603238,04"
"""220540 JOAQUIM PIRES"";-;-;46948,33;46948,33"
"""220550 JOSE DE FREITAS"";-;-;742005,36;742005,36"
"""220570 LUIS CORREIA"";-;-;69194,84;69194,84"
"""220580 LUZILANDIA"";1558446,21;-;1364277,97;2922724,18"
"""220590 MANOEL EMIDIO"";-;-;35202,14;35202,14"
"""220595 MARCOLANDIA"";32948,68;-;446,24;33394,92"
"""220620 MIGUEL ALVES"";68251,94;-;425114,11;493366,05"
"""220650 MONSENHOR HIPOLITO"";-;-;85974,71;85974,71"
"""220680 NOSSA SENHORA DOS REMEDIOS"";-;-;80566,41;80566,41"
"""220700 OEIRAS"";964528,67;-;3607315,46;4571844,13"
"""220730 PAES LANDIM"";-;-;19388,10;19388,10"
"""220760 PARNAGUA"";-;-;1095625,23;1095625,23"
"""220770 PARNAIBA"";7681522,92;8038,69;22987226,38;30676787,99"
"""220780 PAULISTANA"";21801,08;-;592117,62;613918,70"
"""220790 PEDRO II"";79746,45;-;1576476,95;1656223,40"
"""220800 PICOS"";81682,89;-;7688696,90;7770379,79"
"""220810 PIMENTEIRAS"";-;-;86423,81;86423,81"
"""220820 PIO IX"";-;-;117894,53;117894,53"
"""220830 PIRACURUCA"";-;-;534351,91;534351,91"
"""220840 PIRIPIRI"";10524,03;9688,78;4874827,18;4895039,99"
"""220850 PORTO"";-;-;104512,87;104512,87"
"""220880 REGENERACAO"";-;-;713573,47;713573,47"
"""220960 SAO FELIX DO PIAUI"";-;-;2693,35;2693,35"
"""221000 SAO JOAO DO PIAUI"";342,00;-;782237,40;782579,40"
"""221040 SAO MIGUEL DO TAPUIO"";165217,36;-;146100,78;311318,14"
"""221050 SAO PEDRO DO PIAUI"";-;-;155491,24;155491,24"
"""221060 SAO RAIMUNDO NONATO"";1353973,55;-;4204771,05;5558744,60"
"""221070 SIMOES"";-;-;533110,59;533110,59"
"""221080 SIMPLICIO MENDES"";33887,33;-;352204,43;386091,76"
"""221100 TERESINA"";28628583,36;8233,25;151406385,57;180043202,18"
"""221110 UNIAO"";-;-;585897,04;585897,04"
"""221120 URUCUI"";577832,89;-;642613,70;1220446,59"
"""221130 VALENCA DO PIAUI"";635030,31;-;1084544,55;1719574,86"
"""230020 ACARAU"";2132822,40;-;2210513,42;4343335,82"
"""230030 ACOPIARA"";105404,24;-;724387,83;829792,07"
"""230040 AIUABA"";-;-;92933,71;92933,71"
"""230060 ALTANEIRA"";-;-;52482,71;52482,71"
"""230070 ALTO SANTO"";-;-;167219,56;167219,56"
"""230075 AMONTADA"";-;-;156359,85;156359,85"
"""230080 ANTONINA DO NORTE"";-;-;58303,92;58303,92"
"""230100 AQUIRAZ"";102128,51;-;1358710,64;1460839,15"
"""230110 ARACATI"";1095810,06;22007,02;2849802,95;3967620,03"
"""230120 ARACOIABA"";288928,46;-;2687985,82;2976914,28"
"""230125 ARARENDA"";-;-;69376,04;69376,04"
"""230130 ARARIPE"";-;-;219235,49;219235,49"
"""230140 ARATUBA"";-;-;81592,26;81592,26"
"""230150 ARNEIROZ"";-;-;9454,73;9454,73"
"""230160 ASSARE"";6180,50;-;309593,64;315774,14"
"""230170 AURORA"";-;-;2288038,75;2288038,75"
"""230180 BAIXIO"";-;-;9235,86;9235,86"
"""230185 BANABUIU"";135,00;-;139288,74;139423,74"
"""230190 BARBALHA"";9986550,12;-;42368010,51;52354560,63"
"""230195 BARREIRA"";-;-;79046,38;79046,38"
"""230200 BARRO"";-;-;159455,99;159455,99"
"""230210 BATURITE"";-;-;876380,35;876380,35"
"""230220 BEBERIBE"";110216,63;-;478029,44;588246,07"
"""230230 BELA CRUZ"";164309,02;-;390758,56;555067,58"
"""230240 BOA VIAGEM"";151000,58;-;1134659,88;1285660,46"
"""230250 BREJO SANTO"";275524,33;-;9277903,22;9553427,55"
"""230260 CAMOCIM"";256561,23;-;1988798,08;2245359,31"
"""230270 CAMPOS SALES"";-;-;375347,54;375347,54"
"""230280 CANINDE"";215072,75;-;6057255,02;6272327,77"
"""230290 CAPISTRANO"";-;-;13650,93;13650,93"
"""230300 CARIDADE"";-;-;33434,61;33434,61"
"""230310 CARIRE"";-;-;163411,96;163411,96"
"""230320 CARIRIACU"";-;-;224786,21;224786,21"
"""230330 CARIUS"";-;-;241395,29;241395,29"
"""230340 CARNAUBAL"";-;-;355347,88;355347,88"
"""230350 CASCAVEL"";141532,14;-;1108171,80;1249703,94"
"""230360 CATARINA"";-;-;231159,66;231159,66"
"""230365 CATUNDA"";-;-;113592,59;113592,59"
"""230370 CAUCAIA"";428864,61;-;6352574,15;6781438,76"
"""230380 CEDRO"";102598,52;-;1237397,11;1339995,63"
"""230390 CHAVAL"";-;-;45251,42;45251,42"
"""230393 CHORO"";-;-;39043,74;39043,74"
"""230395 CHOROZINHO"";-;-;48657,95;48657,95"
"""230400 COREAU"";-;-;84229,85;84229,85"
"""230410 CRATEUS"";367444,37;9581,07;6882435,83;7259461,27"
"""230420 CRATO"";11129993,02;-;18493048,81;29623041,83"
"""230423 CROATA"";139197,17;-;359604,13;498801,30"
"""230425 CRUZ"";222713,90;-;532536,66;755250,56"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";-;-;85369,03;85369,03"
"""230427 ERERE"";-;-;48280,24;48280,24"
"""230428 EUSEBIO"";253140,07;-;4303487,90;4556627,97"
"""230430 FARIAS BRITO"";-;-;243031,74;243031,74"
"""230440 FORTALEZA"";146156379,29;17349,78;377916366,14;524090095,21"
"""230445 FORTIM"";-;-;111666,30;111666,30"
"""230450 FRECHEIRINHA"";-;-;92410,66;92410,66"
"""230460 GENERAL SAMPAIO"";-;-;16167,98;16167,98"
"""230470 GRANJA"";393970,09;-;687377,58;1081347,67"
"""230480 GRANJEIRO"";-;-;55564,18;55564,18"
"""230490 GROAIRAS"";-;-;67469,78;67469,78"
"""230495 GUAIUBA"";-;-;9450,83;9450,83"
"""230500 GUARACIABA DO NORTE"";156167,16;-;652953,75;809120,91"
"""230510 GUARAMIRANGA"";-;-;3119,63;3119,63"
"""230520 HIDROLANDIA"";151,00;-;185688,10;185839,10"
"""230523 HORIZONTE"";309662,55;-;942402,29;1252064,84"
"""230526 IBARETAMA"";-;-;56824,38;56824,38"
"""230530 IBIAPINA"";25989,40;-;607608,37;633597,77"
"""230540 ICO"";96360,59;-;2241727,51;2338088,10"
"""230550 IGUATU"";775822,84;2695,82;7947062,41;8725581,07"
"""230560 INDEPENDENCIA"";-;-;162085,39;162085,39"
"""230565 IPAPORANGA"";-;-;111809,69;111809,69"
"""230570 IPAUMIRIM"";-;-;41697,80;41697,80"
"""230580 IPU"";290009,63;-;841656,47;1131666,10"
"""230590 IPUEIRAS"";-;-;609894,11;609894,11"
"""230600 IRACEMA"";-;-;230209,65;230209,65"
"""230610 IRAUCUBA"";72529,09;-;189778,99;262308,08"
"""230620 ITAICABA"";-;-;5994,40;5994,40"
"""230625 ITAITINGA"";-;-;353613,49;353613,49"
"""230630 ITAPAJE"";216405,46;-;469309,78;685715,24"
"""230640 ITAPIPOCA"";1857931,54;20939,91;11586200,72;13465072,17"
"""230650 ITAPIUNA"";-;-;77306,87;77306,87"
"""230655 ITAREMA"";285534,37;-;503265,61;788799,98"
"""230670 JAGUARETAMA"";246218,31;-;372854,82;619073,13"
"""230680 JAGUARIBARA"";218861,83;-;174803,11;393664,94"
"""230690 JAGUARIBE"";179825,11;-;509819,26;689644,37"
"""230700 JAGUARUANA"";-;-;186118,43;186118,43"
"""230710 JARDIM"";-;-;329449,86;329449,86"
"""230720 JATI"";-;-;65786,99;65786,99"
"""230725 JIJOCA DE JERICOACOARA"";21271,78;-;194513,27;215785,05"
"""230730 JUAZEIRO DO NORTE"";481624,99;-;27555461,17;28037086,16"
"""230740 JUCAS"";-;-;356520,74;356520,74"
"""230750 LAVRAS DA MANGABEIRA"";-;-;972050,89;972050,89"
"""230760 LIMOEIRO DO NORTE"";1069599,45;16459,99;14830961,46;15917020,90"
"""230763 MADALENA"";-;-;58102,80;58102,80"
"""230765 MARACANAU"";873869,73;31175,87;12522350,11;13427395,71"
"""230770 MARANGUAPE"";42705,97;-;925544,61;968250,58"
"""230780 MARCO"";431925,31;-;482749,50;914674,81"
"""230790 MARTINOPOLE"";-;-;335868,51;335868,51"
"""230800 MASSAPE"";-;-;148447,65;148447,65"
"""230810 MAURITI"";554491,91;-;1058041,85;1612533,76"
"""230820 MERUOCA"";-;-;91210,65;91210,65"
"""230830 MILAGRES"";-;-;424817,25;424817,25"
"""230835 MILHA"";-;-;113591,80;113591,80"
"""230840 MISSAO VELHA"";68165,97;-;1094800,35;1162966,32"
"""230850 MOMBACA"";227939,51;-;797616,77;1025556,28"
"""230860 MONSENHOR TABOSA"";94547,31;-;265025,54;359572,85"
"""230870 MORADA NOVA"";136331,61;-;749104,02;885435,63"
"""230880 MORAUJO"";-;-;39342,60;39342,60"
"""230890 MORRINHOS"";-;-;88826,23;88826,23"
"""230900 MUCAMBO"";19463,58;-;590280,35;609743,93"
"""230910 MULUNGU"";-;-;75198,96;75198,96"
"""230920 NOVA OLINDA"";-;-;118458,22;118458,22"
"""230930 NOVA RUSSAS"";287883,61;-;731917,10;1019800,71"
"""230940 NOVO ORIENTE"";-;-;237563,46;237563,46"
"""230945 OCARA"";-;-;140016,69;140016,69"
"""230950 OROS"";-;-;431070,87;431070,87"
"""230960 PACAJUS"";-;-;362209,71;362209,71"
"""230970 PACATUBA"";-;-;394713,77;394713,77"
"""230980 PACOTI"";-;-;51213,75;51213,75"
"""231010 PALMACIA"";-;-;29177,71;29177,71"
"""231020 PARACURU"";-;-;288160,86;288160,86"
"""231025 PARAIPABA"";-;-;316723,81;316723,81"
"""231030 PARAMBU"";102818,54;-;650026,39;752844,93"
"""231040 PARAMOTI"";-;-;85400,66;85400,66"
"""231050 PEDRA BRANCA"";41841,30;-;395224,90;437066,20"
"""231060 PENAFORTE"";-;-;82979,11;82979,11"
"""231070 PENTECOSTE"";-;-;238907,93;238907,93"
"""231080 PEREIRO"";-;-;195455,87;195455,87"
"""231085 PINDORETAMA"";-;-;58587,13;58587,13"
"""231090 PIQUET CARNEIRO"";-;-;264909,09;264909,09"
"""231100 PORANGA"";-;-;179692,02;179692,02"
"""231110 PORTEIRAS"";-;-;211745,84;211745,84"
"""231120 POTENGI"";-;-;142167,70;142167,70"
"""231126 QUITERIANOPOLIS"";-;-;233177,20;233177,20"
"""231130 QUIXADA"";478285,74;-;7360177,94;7838463,68"
"""231135 QUIXELO"";-;-;298974,18;298974,18"
"""231140 QUIXERAMOBIM"";4016068,19;-;15273031,34;19289099,53"
"""231150 QUIXERE"";-;-;164190,92;164190,92"
"""231160 REDENCAO"";-;-;626680,38;626680,38"
"""231170 RERIUTABA"";-;-;117057,17;117057,17"
"""231180 RUSSAS"";316075,04;-;2986386,68;3302461,72"
"""231190 SABOEIRO"";-;-;109560,49;109560,49"
"""231195 SALITRE"";-;-;167639,16;167639,16"
"""231200 SANTANA DO ACARAU"";38406,36;-;256550,50;294956,86"
"""231210 SANTANA DO CARIRI"";-;-;94779,67;94779,67"
"""231220 SANTA QUITERIA"";255242,00;-;428180,64;683422,64"
"""231230 SAO BENEDITO"";68652,50;-;818807,35;887459,85"
"""231240 SAO GONCALO DO AMARANTE"";184406,56;-;3533092,00;3717498,56"
"""231260 SAO LUIS DO CURU"";-;-;52037,90;52037,90"
"""231270 SENADOR POMPEU"";-;-;263623,35;263623,35"
"""231290 SOBRAL"";9064426,27;8050,19;76344556,07;85417032,53"
"""231300 SOLONOPOLE"";-;-;181142,05;181142,05"
"""231310 TABULEIRO DO NORTE"";812013,47;-;541313,11;1353326,58"
"""231320 TAMBORIL"";66436,74;-;446633,70;513070,44"
"""231325 TARRAFAS"";-;-;62585,09;62585,09"
"""231330 TAUA"";103502,06;8501,39;7461729,90;7573733,35"
"""231335 TEJUCUOCA"";-;-;97707,07;97707,07"
"""231340 TIANGUA"";3531206,54;19990,00;9845025,35;13396221,89"
"""231350 TRAIRI"";-;-;311769,67;311769,67"
"""231360 UBAJARA"";114900,47;-;704421,98;819322,45"
"""231370 UMARI"";-;-;66362,49;66362,49"
"""231375 UMIRIM"";-;-;43421,60;43421,60"
"""231380 URUBURETAMA"";-;-;63819,40;63819,40"
"""231390 URUOCA"";-;-;3798,96;3798,96"
"""231395 VARJOTA"";-;-;212447,02;212447,02"
"""231400 VARZEA ALEGRE"";64378,90;-;1783941,54;1848320,44"
"""231410 VICOSA DO CEARA"";352989,99;-;998644,29;1351634,28"
"""240020 ACU"";1242695,02;-;1396160,51;2638855,53"
"""240030 AFONSO BEZERRA"";-;-;31471,18;31471,18"
"""240050 ALEXANDRIA"";507850,65;-;3472547,84;3980398,49"
"""240060 ALMINO AFONSO"";1577010,47;-;3455047,69;5032058,16"
"""240070 ALTO DO RODRIGUES"";135,00;-;118327,88;118462,88"
"""240080 ANGICOS"";-;-;91462,07;91462,07"
"""240090 ANTONIO MARTINS"";-;-;201741,70;201741,70"
"""240100 APODI"";796187,36;-;699514,15;1495701,51"
"""240110 AREIA BRANCA"";-;-;118948,22;118948,22"
"""240145 BARAUNA"";132423,31;-;157650,24;290073,55"
"""240180 BREJINHO"";-;-;50390,46;50390,46"
"""240200 CAICO"";155753,68;-;6271561,56;6427315,24"
"""240230 CARAUBAS"";9582,62;-;197866,98;207449,60"
"""240240 CARNAUBA DOS DANTAS"";-;-;29783,29;29783,29"
"""240250 CARNAUBAIS"";-;-;38899,14;38899,14"
"""240260 CEARA-MIRIM"";245875,42;-;1873833,34;2119708,76"
"""240270 CERRO CORA"";-;-;59979,96;59979,96"
"""240290 CORONEL JOAO PESSOA"";-;-;7286,28;7286,28"
"""240310 CURRAIS NOVOS"";2392875,39;-;5261004,24;7653879,63"
"""240320 DOUTOR SEVERIANO"";-;-;61600,01;61600,01"
"""240325 PARNAMIRIM"";8444892,10;-;11898106,77;20342998,87"
"""240330 ENCANTO"";-;-;11343,96;11343,96"
"""240340 EQUADOR"";-;-;27023,75;27023,75"
"""240360 EXTREMOZ"";-;-;86494,89;86494,89"
"""240370 FELIPE GUERRA"";-;-;19612,69;19612,69"
"""240400 FRUTUOSO GOMES"";-;-;40192,04;40192,04"
"""240420 GOIANINHA"";-;-;84945,66;84945,66"
"""240430 GOVERNADOR DIX-SEPT ROSADO"";-;-;31795,97;31795,97"
"""240450 GUAMARE"";47102,32;-;288774,99;335877,31"
"""240520 JANDUIS"";-;-;62480,75;62480,75"
"""240530 JANUARIO CICCO"";-;-;32447,12;32447,12"
"""240560 JARDIM DE PIRANHAS"";-;-;116324,59;116324,59"
"""240570 JARDIM DO SERIDO"";-;-;225451,76;225451,76"
"""240580 JOAO CAMARA"";398092,35;-;492728,35;890820,70"
"""240600 JOSE DA PENHA"";-;-;62226,25;62226,25"
"""240610 JUCURUTU"";-;-;501268,19;501268,19"
"""240650 LAGOA NOVA"";-;-;15335,37;15335,37"
"""240670 LAJES"";-;-;88793,39;88793,39"
"""240690 LUCRECIA"";-;-;62563,37;62563,37"
"""240710 MACAIBA"";5029,30;-;3459445,10;3464474,40"
"""240720 MACAU"";36390,74;-;241098,40;277489,14"
"""240725 MAJOR SALES"";-;-;28228,17;28228,17"
"""240740 MARTINS"";-;-;46725,18;46725,18"
"""240760 MESSIAS TARGINO"";-;-;45059,52;45059,52"
"""240780 MONTE ALEGRE"";-;-;80675,83;80675,83"
"""240800 MOSSORO"";11679921,60;-;58935081,97;70615003,57"
"""240810 NATAL"";51263091,88;-;231610688,25;282873780,13"
"""240830 NOVA CRUZ"";-;-;383217,72;383217,72"
"""240840 OLHO-D'AGUA DO BORGES"";-;-;17713,27;17713,27"
"""240890 PARELHAS"";-;-;128003,93;128003,93"
"""240910 PASSA E FICA"";-;-;239177,63;239177,63"
"""240930 PATU"";-;-;75410,29;75410,29"
"""240940 PAU DOS FERROS"";807916,84;-;5322608,67;6130525,51"
"""240980 PEDRO VELHO"";-;-;38686,85;38686,85"
"""240990 PENDENCIAS"";-;-;47395,19;47395,19"
"""241000 PILOES"";-;-;23073,66;23073,66"
"""241020 PORTALEGRE"";-;-;26983,47;26983,47"
"""241030 SERRA CAIADA"";-;-;21112,63;21112,63"
"""241060 RAFAEL GODEIRO"";-;-;97401,12;97401,12"
"""241070 RIACHO DA CRUZ"";-;-;44335,12;44335,12"
"""241100 RODOLFO FERNANDES"";-;-;5750,15;5750,15"
"""241120 SANTA CRUZ"";263550,07;23422,97;4697352,73;4984325,77"
"""241140 SANTANA DO MATOS"";-;-;26568,12;26568,12"
"""241142 SANTANA DO SERIDO"";-;-;12756,99;12756,99"
"""241150 SANTO ANTONIO"";1242311,36;-;1181202,68;2423514,04"
"""241200 SAO GONCALO DO AMARANTE"";93693,07;-;2023127,09;2116820,16"
"""241220 SAO JOSE DE MIPIBU"";-;-;2228157,26;2228157,26"
"""241230 SAO JOSE DO CAMPESTRE"";-;-;49602,93;49602,93"
"""241240 SAO JOSE DO SERIDO"";-;-;26607,39;26607,39"
"""241250 SAO MIGUEL"";-;-;53295,30;53295,30"
"""241260 SAO PAULO DO POTENGI"";-;-;340455,12;340455,12"
"""241280 SAO RAFAEL"";-;-;52881,79;52881,79"
"""241300 SAO VICENTE"";-;-;41780,87;41780,87"
"""241330 SERRA DE SAO BENTO"";-;-;8457,27;8457,27"
"""241335 SERRA DO MEL"";-;-;30282,73;30282,73"
"""241340 SERRA NEGRA DO NORTE"";-;-;29076,65;29076,65"
"""241355 SERRINHA DOS PINTOS"";-;-;26075,81;26075,81"
"""241360 SEVERIANO MELO"";-;-;31000,09;31000,09"
"""241380 TABOLEIRO GRANDE"";-;-;14895,41;14895,41"
"""241410 TENENTE ANANIAS"";117734,25;-;1237477,28;1355211,53"
"""241420 TIBAU DO SUL"";-;-;39141,08;39141,08"
"""241440 TOUROS"";-;-;190820,66;190820,66"
"""241445 TRIUNFO POTIGUAR"";-;-;22085,42;22085,42"
"""241460 UPANEMA"";-;-;33863,42;33863,42"
"""241475 VENHA-VER"";-;-;9318,89;9318,89"
"""250010 AGUA BRANCA"";-;-;135998,77;135998,77"
"""250030 ALAGOA GRANDE"";-;-;136279,06;136279,06"
"""250040 ALAGOA NOVA"";-;-;112444,94;112444,94"
"""250070 SAO JOAO DO RIO DO PEIXE"";-;-;116511,67;116511,67"
"""250110 AREIA"";-;-;58118,06;58118,06"
"""250130 AROEIRAS"";-;-;112681,25;112681,25"
"""250150 BANANEIRAS"";-;-;160351,67;160351,67"
"""250180 BAYEUX"";-;-;12418,25;12418,25"
"""250190 BELEM"";966555,88;-;133780,17;1100336,05"
"""250200 BELEM DO BREJO DO CRUZ"";-;-;36046,83;36046,83"
"""250230 BOM SUCESSO"";-;-;9682,47;9682,47"
"""250240 BONITO DE SANTA FE"";-;-;66059,84;66059,84"
"""250250 BOQUEIRAO"";-;-;117042,31;117042,31"
"""250280 BREJO DO CRUZ"";-;-;59358,83;59358,83"
"""250300 CAAPORA"";-;-;14865,66;14865,66"
"""250320 CABEDELO"";-;-;1043007,73;1043007,73"
"""250350 CACIMBA DE DENTRO"";-;-;6771,00;6771,00"
"""250370 CAJAZEIRAS"";2000588,89;-;6336922,14;8337511,03"
