"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""231120 POTENGI"";-;-;-;-;-;-;-;-;-;-;-;-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;218"
"""231126 QUITERIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;231"
"""231130 QUIXADA"";-;-;-;-;-;-;-;1375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5659;7034"
"""231135 QUIXELO"";-;-;-;-;-;-;-;-;-;-;-;-;647;-;-;-;-;-;-;-;-;-;-;-;-;-;647"
"""231140 QUIXERAMOBIM"";-;6983;-;-;-;-;-;-;-;-;-;-;4166;-;-;-;-;-;-;-;-;-;-;-;-;1369;12518"
"""231150 QUIXERE"";-;-;-;-;-;-;-;-;-;-;-;-;398;-;-;-;-;-;-;-;-;-;-;-;-;-;398"
"""231160 REDENCAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1525;1525"
"""231170 RERIUTABA"";-;-;-;-;-;-;-;-;-;-;-;-;292;-;-;-;-;-;-;-;-;-;-;-;-;-;292"
"""231180 RUSSAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6912;6912"
"""231190 SABOEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;346;-;-;-;-;-;-;-;-;-;-;-;-;-;346"
"""231195 SALITRE"";-;-;-;-;-;-;-;-;-;-;-;-;329;-;-;-;-;-;-;-;-;-;-;-;-;-;329"
"""231200 SANTANA DO ACARAU"";-;-;-;-;-;-;-;-;-;-;-;-;634;-;-;-;-;-;-;-;-;-;-;-;-;-;634"
"""231210 SANTANA DO CARIRI"";-;-;-;-;-;-;-;-;-;-;-;-;304;-;-;-;-;-;-;-;-;-;-;-;-;-;304"
"""231220 SANTA QUITERIA"";-;-;-;-;-;-;-;-;-;-;-;-;865;-;-;-;-;-;-;-;-;-;-;-;-;-;865"
"""231230 SAO BENEDITO"";-;-;-;-;-;-;-;-;-;-;-;-;1467;-;-;-;-;-;-;-;-;-;-;-;-;-;1467"
"""231240 SAO GONCALO DO AMARANTE"";-;-;-;-;-;-;-;-;-;-;-;-;3199;-;-;-;-;-;-;-;-;-;-;-;-;-;3199"
"""231260 SAO LUIS DO CURU"";-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;41"
"""231270 SENADOR POMPEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603;603"
"""231290 SOBRAL"";-;20255;-;-;-;-;-;-;-;-;-;-;3320;-;-;-;-;-;-;-;-;-;-;-;-;21647;45222"
"""231300 SOLONOPOLE"";-;-;-;-;-;-;-;-;-;-;-;-;394;-;-;-;-;-;-;-;-;-;-;-;-;-;394"
"""231310 TABULEIRO DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1667;1667"
"""231320 TAMBORIL"";-;-;-;-;-;-;-;-;-;-;-;-;1147;-;-;-;-;-;-;-;-;-;-;-;-;-;1147"
"""231325 TARRAFAS"";-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;96"
"""231330 TAUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14097;14097"
"""231335 TEJUCUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;111"
"""231340 TIANGUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9694;9694"
"""231350 TRAIRI"";-;-;-;-;-;-;-;-;-;-;-;-;880;-;-;-;-;-;-;-;-;-;-;-;-;-;880"
"""231355 TURURU"";-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;100"
"""231360 UBAJARA"";-;-;-;-;-;-;-;-;-;-;-;-;878;-;-;-;-;-;-;-;-;-;-;-;-;-;878"
"""231370 UMARI"";-;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;141"
"""231375 UMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;61"
"""231380 URUBURETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;202;-;-;-;-;-;-;-;-;-;-;-;-;-;202"
"""231390 URUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;47"
"""231395 VARJOTA"";-;-;-;-;-;-;-;-;-;-;-;-;377;-;-;-;-;-;-;-;-;-;-;-;-;-;377"
"""231400 VARZEA ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4468;4468"
"""231410 VICOSA DO CEARA"";-;-;-;-;-;-;-;-;-;-;-;-;2357;-;-;-;-;-;-;-;-;-;-;-;-;-;2357"
"""240020 ACU"";-;2113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2113"
"""240050 ALEXANDRIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5678;5678"
"""240060 ALMINO AFONSO"";-;-;-;-;-;-;-;-;-;-;-;-;3046;-;-;-;-;-;-;-;-;-;-;-;-;-;3046"
"""240070 ALTO DO RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;-;-;-;-;-;-;-;137"
"""240080 ANGICOS"";-;351;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;351"
"""240090 ANTONIO MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;407;-;-;-;-;-;-;-;-;-;-;-;-;-;407"
"""240100 APODI"";-;1327;-;-;-;-;-;-;-;-;-;-;145;-;-;-;-;-;-;-;-;-;-;-;-;-;1472"
"""240110 AREIA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;542;-;-;-;-;-;-;-;-;-;-;-;-;-;542"
"""240145 BARAUNA"";-;-;-;-;-;-;-;-;-;-;-;-;373;-;-;-;-;-;-;-;-;-;-;-;-;-;373"
"""240180 BREJINHO"";-;-;-;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;95"
"""240200 CAICO"";-;4539;-;-;-;-;-;-;-;-;-;-;2308;-;-;-;-;-;-;-;-;-;-;-;-;-;6847"
"""240230 CARAUBAS"";-;539;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;539"
"""240240 CARNAUBA DOS DANTAS"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""240250 CARNAUBAIS"";-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;54"
"""240260 CEARA-MIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;4347;-;-;-;-;-;-;-;-;-;-;-;-;-;4347"
"""240270 CERRO CORA"";-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;81"
"""240280 CORONEL EZEQUIEL"";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""240290 CORONEL JOAO PESSOA"";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""240310 CURRAIS NOVOS"";-;4264;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;545;-;-;-;-;-;-;-;-;4809"
"""240320 DOUTOR SEVERIANO"";-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;120"
"""240325 PARNAMIRIM"";-;5520;-;-;-;-;-;-;-;-;-;-;4109;-;-;-;-;-;-;-;-;-;-;-;-;-;9629"
"""240330 ENCANTO"";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;30"
"""240340 EQUADOR"";-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;116"
"""240360 EXTREMOZ"";-;-;-;-;-;-;-;-;-;-;-;-;305;-;-;-;-;-;-;-;-;-;-;-;-;-;305"
"""240370 FELIPE GUERRA"";-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;53"
"""240400 FRUTUOSO GOMES"";-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;132"
"""240420 GOIANINHA"";-;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;-;-;-;220"
"""240430 GOVERNADOR DIX-SEPT ROSADO"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""240450 GUAMARE"";-;-;-;-;-;-;-;-;-;-;-;-;910;-;-;-;-;-;-;-;-;-;-;-;-;-;910"
"""240485 ITAJA"";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;6"
"""240520 JANDUIS"";-;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;180"
"""240530 JANUARIO CICCO"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""240560 JARDIM DE PIRANHAS"";-;-;-;-;-;-;-;-;-;-;-;-;219;-;-;-;-;-;-;-;-;-;-;-;-;-;219"
"""240570 JARDIM DO SERIDO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;39"
"""240580 JOAO CAMARA"";-;1207;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1207"
"""240600 JOSE DA PENHA"";-;-;-;-;-;-;-;-;-;-;-;-;135;-;-;-;-;-;-;-;-;-;-;-;-;-;135"
"""240610 JUCURUTU"";-;-;-;-;-;-;-;-;-;-;-;-;784;-;-;-;-;-;-;-;-;-;-;-;-;-;784"
"""240650 LAGOA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;67"
"""240670 LAJES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;224;224"
"""240690 LUCRECIA"";-;-;-;-;-;-;-;-;-;-;-;-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;154"
"""240710 MACAIBA"";-;1718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1718"
"""240720 MACAU"";-;-;-;-;-;-;-;-;-;-;-;-;552;-;-;-;-;-;-;-;-;-;-;-;-;-;552"
"""240725 MAJOR SALES"";-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;57"
"""240740 MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;218"
"""240760 MESSIAS TARGINO"";-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;109"
"""240780 MONTE ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;356;-;-;-;-;-;-;-;-;-;-;-;-;-;356"
"""240800 MOSSORO"";-;8314;-;-;-;-;-;-;-;-;-;-;746;-;-;-;-;4642;-;-;-;-;-;-;-;14329;28031"
"""240810 NATAL"";-;42092;6997;-;-;-;-;-;-;-;-;-;-;-;-;16265;4176;12315;-;-;-;-;-;-;-;26391;108236"
"""240830 NOVA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;-;-;-;-;-;-;-;363"
"""240890 PARELHAS"";-;-;-;-;-;-;-;-;-;-;-;-;254;-;-;-;-;-;-;-;-;-;-;-;-;53;307"
"""240910 PASSA E FICA"";-;-;-;-;-;-;-;-;-;-;-;-;343;-;-;-;-;-;-;-;-;-;-;-;-;-;343"
"""240930 PATU"";-;-;-;-;-;-;-;-;-;-;-;-;208;-;-;-;-;-;-;-;-;-;-;-;-;-;208"
"""240940 PAU DOS FERROS"";-;5268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1404;6672"
"""240980 PEDRO VELHO"";-;-;-;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;95"
"""240990 PENDENCIAS"";-;-;-;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;-;-;-;-;168"
"""241000 PILOES"";-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;55"
"""241020 PORTALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;46"
"""241030 SERRA CAIADA"";-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;47"
"""241060 RAFAEL GODEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;265;-;-;-;-;-;-;-;-;-;-;-;-;-;265"
"""241070 RIACHO DA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;120"
"""241100 RODOLFO FERNANDES"";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""241120 SANTA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;542;-;-;5408;-;-;-;-;-;-;-;-;-;-;5950"
"""241140 SANTANA DO MATOS"";-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;100"
"""241142 SANTANA DO SERIDO"";-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;43"
"""241150 SANTO ANTONIO"";-;2878;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2878"
"""241200 SAO GONCALO DO AMARANTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4199;4199"
"""241220 SAO JOSE DE MIPIBU"";-;4547;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4547"
"""241230 SAO JOSE DO CAMPESTRE"";-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;103"
"""241240 SAO JOSE DO SERIDO"";-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;61"
"""241250 SAO MIGUEL"";-;-;-;-;-;-;-;-;-;-;-;-;167;-;-;-;-;-;-;-;-;-;-;-;-;-;167"
"""241260 SAO PAULO DO POTENGI"";-;603;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603"
"""241280 SAO RAFAEL"";-;-;-;-;-;-;-;-;-;-;-;-;142;-;-;-;-;-;-;-;-;-;-;-;-;-;142"
"""241300 SAO VICENTE"";-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;57"
"""241330 SERRA DE SAO BENTO"";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""241335 SERRA DO MEL"";-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;109"
"""241340 SERRA NEGRA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;110"
"""241355 SERRINHA DOS PINTOS"";-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;67"
"""241360 SEVERIANO MELO"";-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;58"
"""241380 TABOLEIRO GRANDE"";-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;39"
"""241400 TANGARA"";-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;90"
"""241410 TENENTE ANANIAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1703;1703"
"""241420 TIBAU DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;77"
"""241440 TOUROS"";-;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;-;-;-;-;-;-;-;-;-;-;420"
"""241445 TRIUNFO POTIGUAR"";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;30"
"""241450 UMARIZAL"";-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;43"
"""241460 UPANEMA"";-;-;-;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;107"
"""241475 VENHA-VER"";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""250010 AGUA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;-;-;-;-;194"
"""250030 ALAGOA GRANDE"";-;-;-;-;-;-;-;-;-;-;-;-;264;-;-;-;-;-;-;-;-;-;-;-;-;-;264"
"""250040 ALAGOA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;409;-;-;-;-;-;-;-;-;-;-;-;-;-;409"
"""250070 SAO JOAO DO RIO DO PEIXE"";-;-;-;-;-;-;-;-;-;-;-;-;290;-;-;-;-;-;-;-;-;-;-;-;-;-;290"
"""250110 AREIA"";-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;-;-;-;-;-;-;-;-;190"
"""250130 AROEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;231"
"""250150 BANANEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;279;-;-;-;-;-;-;-;-;-;-;-;-;-;279"
"""250180 BAYEUX"";-;-;-;-;-;-;-;-;-;-;-;-;1067;-;-;-;-;-;-;-;-;-;-;-;-;-;1067"
"""250190 BELEM"";-;575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575"
"""250200 BELEM DO BREJO DO CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;85"
"""250230 BOM SUCESSO"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""250240 BONITO DE SANTA FE"";-;-;-;-;-;-;-;-;-;-;-;-;211;-;-;-;-;-;-;-;-;-;-;-;-;-;211"
"""250250 BOQUEIRAO"";-;-;-;-;-;-;-;-;-;-;-;-;311;-;-;-;-;-;-;-;-;-;-;-;-;-;311"
"""250280 BREJO DO CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;173"
"""250300 CAAPORA"";-;-;-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;-;-;-;-;-;-;-;-;243"
"""250320 CABEDELO"";-;-;-;-;-;-;-;-;-;-;-;-;1502;-;-;-;-;-;-;-;-;-;-;-;-;-;1502"
"""250350 CACIMBA DE DENTRO"";-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;36"
"""250370 CAJAZEIRAS"";-;6424;-;-;-;-;-;-;-;-;-;-;-;-;-;2212;-;-;-;-;-;-;-;-;-;-;8636"
"""250400 CAMPINA GRANDE"";-;25007;-;4054;-;-;-;-;-;-;-;-;22111;-;-;-;-;6376;-;-;-;967;4938;-;-;1759;65212"
"""250430 CATOLE DO ROCHA"";-;3477;-;-;-;-;-;-;-;-;-;-;229;-;-;-;-;-;-;-;-;-;-;-;-;-;3706"
"""250440 CONCEICAO"";-;-;-;-;-;-;-;-;-;-;-;-;572;-;-;-;-;-;-;-;-;-;-;-;-;-;572"
"""250480 COREMAS"";-;752;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;752"
"""250510 CUITE"";-;-;-;-;-;-;-;-;-;-;-;-;581;-;-;-;-;-;-;-;-;-;-;-;-;-;581"
"""250600 ESPERANCA"";-;-;-;-;-;-;-;-;-;-;-;-;438;-;-;-;-;-;-;-;-;-;-;-;-;-;438"
"""250630 GUARABIRA"";-;5331;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5331"
"""250690 ITABAIANA"";-;2639;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2639"
"""250700 ITAPORANGA"";-;2176;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2176"
"""250710 ITAPOROROCA"";-;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;135"
"""250740 JERICO"";-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;76"
"""250750 JOAO PESSOA"";-;39555;-;-;-;9653;-;-;-;-;-;-;18713;-;-;7270;136;3201;-;-;46;82;6366;-;-;8742;93764"
"""250770 JUAZEIRINHO"";-;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;93"
"""250800 JURU"";-;-;-;-;-;-;-;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;197"
"""250830 LAGOA SECA"";-;-;-;-;-;-;-;-;-;-;-;-;299;-;-;-;-;-;-;-;-;-;-;-;-;-;299"
"""250890 MAMANGUAPE"";-;5851;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5851"
"""250920 MASSARANDUBA"";-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""250970 MONTEIRO"";-;3600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3600"
"""251080 PATOS"";-;15506;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15506"
"""251090 PAULISTA"";-;-;-;-;-;-;-;-;-;-;-;-;285;-;-;-;-;-;-;-;-;-;-;-;-;-;285"
"""251110 PEDRA LAVRADA"";-;-;-;-;-;-;-;-;-;-;-;-;275;-;-;-;-;-;-;-;-;-;-;-;-;-;275"
"""251120 PEDRAS DE FOGO"";-;-;-;-;-;-;-;-;-;-;-;-;704;-;-;-;-;-;-;-;-;-;-;-;-;-;704"
"""251130 PIANCO"";-;1444;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1444"
"""251140 PICUI"";-;3384;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3384"
"""251200 POCINHOS"";-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;69"
"""251210 POMBAL"";-;3974;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3974"
"""251230 PRINCESA ISABEL"";-;825;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;825"
"""251250 QUEIMADAS"";-;3163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3163"
"""251340 SANTA LUZIA"";-;443;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;443"
"""251370 SANTA RITA"";-;-;-;-;-;-;-;-;-;-;-;-;-;7725;-;-;-;-;-;-;-;-;4272;-;-;-;11997"
"""251390 SAO BENTO"";-;-;-;-;-;-;-;-;-;-;-;-;1198;-;-;-;-;-;-;-;-;-;-;-;-;-;1198"
"""251450 SAO JOSE DE PIRANHAS"";-;-;-;-;-;-;-;-;-;-;-;-;396;-;-;-;-;-;-;-;-;-;-;-;-;-;396"
"""251490 SAO MAMEDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;23"
"""251530 SAPE"";-;-;-;-;-;-;-;-;-;-;-;-;660;-;-;-;-;-;-;-;-;-;-;-;-;-;660"
"""251540 SAO VICENTE DO SERIDO"";-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;72"
"""251550 SERRA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;541;-;-;-;-;-;-;-;-;-;-;-;-;-;541"
"""251600 SOLANEA"";-;1407;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1407"
"""251610 SOLEDADE"";-;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;108"
"""251620 SOUSA"";-;6506;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6506"
"""251630 SUME"";-;-;-;-;-;-;-;-;-;-;-;-;1050;-;-;-;-;-;-;-;-;-;-;-;-;-;1050"
"""251650 TAPEROA"";-;1877;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1877"
"""251660 TAVARES"";-;-;-;-;-;-;-;-;-;-;-;-;782;-;-;-;-;-;-;-;-;-;-;-;-;-;782"
"""251690 UIRAUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1700;1700"
"""260010 AFOGADOS DA INGAZEIRA"";-;-;-;-;-;-;-;9093;-;-;-;-;-;-;-;-;-;936;-;-;-;-;-;-;-;-;10029"
"""260020 AFRANIO"";-;-;-;-;-;-;-;-;-;-;-;-;920;-;-;-;-;-;-;-;-;-;-;-;-;-;920"
"""260030 AGRESTINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1241;1241"
