"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;270"
"""110130 MIRANTE DA SERRA"";-;-;-;-;-;-;-;-;-;-;-;-;545;-;-;-;-;-;-;-;-;-;-;-;-;-;545"
"""110140 MONTE NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;939;-;-;-;-;-;-;-;-;-;-;-;-;-;939"
"""110143 NOVA UNIAO"";-;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;108"
"""110145 PARECIS"";-;-;-;-;-;-;-;-;-;-;-;-;350;-;-;-;-;-;-;-;-;-;-;-;-;-;350"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;81"
"""110148 SAO FELIPE D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;47"
"""110149 SAO FRANCISCO DO GUAPORE"";-;1425;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1425"
"""110150 SERINGUEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;1203;-;-;-;-;-;-;-;-;-;-;-;-;-;1203"
"""110155 TEIXEIROPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;44"
"""110160 THEOBROMA"";-;-;-;-;-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;-;-;-;-;-;-;-;137"
"""110170 URUPA"";-;-;-;-;-;-;-;-;-;-;-;-;673;-;-;-;-;-;-;-;-;-;-;-;-;-;673"
"""110175 VALE DO ANARI"";-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;106"
"""110180 VALE DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;219;-;-;-;-;-;-;-;-;-;-;-;-;-;219"
"""120001 ACRELANDIA"";-;257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257"
"""120005 ASSIS BRASIL"";-;659;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;659"
"""120010 BRASILEIA"";-;2741;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2741"
"""120020 CRUZEIRO DO SUL"";-;11824;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11824"
"""120030 FEIJO"";-;846;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;846"
"""120033 MANCIO LIMA"";-;626;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;626"
"""120034 MANOEL URBANO"";-;512;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;512"
"""120035 MARECHAL THAUMATURGO"";-;620;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620"
"""120038 PLACIDO DE CASTRO"";-;531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;531"
"""120039 PORTO WALTER"";-;322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;322"
"""120040 RIO BRANCO"";-;16981;-;-;-;-;-;8085;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6788;31854"
"""120042 RODRIGUES ALVES"";-;372;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;372"
"""120043 SANTA ROSA DO PURUS"";-;208;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;208"
"""120045 SENADOR GUIOMARD"";-;1446;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1446"
"""120050 SENA MADUREIRA"";-;1456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1456"
"""120060 TARAUACA"";-;2394;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2394"
"""120070 XAPURI"";-;574;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;574"
"""130002 ALVARAES"";-;-;-;-;-;-;-;-;-;-;-;-;842;-;-;-;-;-;-;-;-;-;-;-;-;-;842"
"""130006 AMATURA"";-;-;-;-;-;-;-;-;-;-;-;-;404;-;-;-;-;-;-;-;-;-;-;-;-;-;404"
