"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";3155;-;3155"
"""110002 ARIQUEMES"";5618;17;5635"
"""110003 CABIXI"";160;-;160"
"""110004 CACOAL"";15127;553;15680"
"""110005 CEREJEIRAS"";926;-;926"
"""110006 COLORADO DO OESTE"";781;-;781"
"""110008 COSTA MARQUES"";44;-;44"
"""110009 ESPIGAO D'OESTE"";1518;-;1518"
"""110010 GUAJARA-MIRIM"";3680;-;3680"
"""110011 JARU"";3360;-;3360"
"""110012 JI-PARANA"";10130;9;10139"
"""110013 MACHADINHO D'OESTE"";3029;-;3029"
"""110014 NOVA BRASILANDIA D'OESTE"";978;-;978"
"""110015 OURO PRETO DO OESTE"";2863;-;2863"
"""110018 PIMENTA BUENO"";3345;276;3621"
"""110020 PORTO VELHO"";42656;5389;48045"
"""110025 PRESIDENTE MEDICI"";1148;-;1148"
"""110026 RIO CRESPO"";56;-;56"
"""110028 ROLIM DE MOURA"";3817;-;3817"
"""110029 SANTA LUZIA D'OESTE"";521;-;521"
"""110030 VILHENA"";11530;244;11774"
"""110032 SAO MIGUEL DO GUAPORE"";1207;-;1207"
"""110033 NOVA MAMORE"";1033;-;1033"
"""110034 ALVORADA D'OESTE"";719;-;719"
"""110037 ALTO ALEGRE DOS PARECIS"";478;-;478"
"""110040 ALTO PARAISO"";253;-;253"
"""110045 BURITIS"";1335;1;1336"
"""110050 NOVO HORIZONTE DO OESTE"";498;-;498"
"""110060 CACAULANDIA"";44;-;44"
"""110070 CAMPO NOVO DE RONDONIA"";138;-;138"
"""110080 CANDEIAS DO JAMARI"";148;-;148"
"""110094 CUJUBIM"";1538;141;1679"
"""110100 GOVERNADOR JORGE TEIXEIRA"";62;-;62"
"""110110 ITAPUA DO OESTE"";72;-;72"
"""110120 MINISTRO ANDREAZZA"";270;-;270"
"""110130 MIRANTE DA SERRA"";545;-;545"
"""110140 MONTE NEGRO"";939;-;939"
"""110143 NOVA UNIAO"";108;-;108"
"""110145 PARECIS"";350;-;350"
"""110146 PIMENTEIRAS DO OESTE"";81;-;81"
"""110148 SAO FELIPE D'OESTE"";47;-;47"
"""110149 SAO FRANCISCO DO GUAPORE"";1425;-;1425"
"""110150 SERINGUEIRAS"";1203;-;1203"
"""110155 TEIXEIROPOLIS"";44;-;44"
"""110160 THEOBROMA"";137;-;137"
"""110170 URUPA"";637;36;673"
"""110175 VALE DO ANARI"";106;-;106"
"""110180 VALE DO PARAISO"";219;-;219"
"""120001 ACRELANDIA"";257;-;257"
"""120005 ASSIS BRASIL"";659;-;659"
"""120010 BRASILEIA"";2741;-;2741"
"""120020 CRUZEIRO DO SUL"";11759;65;11824"
"""120030 FEIJO"";846;-;846"
"""120033 MANCIO LIMA"";626;-;626"
"""120034 MANOEL URBANO"";512;-;512"
"""120035 MARECHAL THAUMATURGO"";620;-;620"
"""120038 PLACIDO DE CASTRO"";531;-;531"
"""120039 PORTO WALTER"";322;-;322"
"""120040 RIO BRANCO"";29793;2061;31854"
"""120042 RODRIGUES ALVES"";372;-;372"
"""120043 SANTA ROSA DO PURUS"";208;-;208"
"""120045 SENADOR GUIOMARD"";1446;-;1446"
"""120050 SENA MADUREIRA"";1456;-;1456"
"""120060 TARAUACA"";2393;1;2394"
"""120070 XAPURI"";574;-;574"
"""130002 ALVARAES"";842;-;842"
"""130006 AMATURA"";404;-;404"
"""130008 ANAMA"";1536;-;1536"
"""130010 ANORI"";1482;-;1482"
"""130014 APUI"";873;3;876"
"""130020 ATALAIA DO NORTE"";823;-;823"
"""130030 AUTAZES"";1246;-;1246"
"""130040 BARCELOS"";848;-;848"
"""130050 BARREIRINHA"";1628;-;1628"
"""130060 BENJAMIN CONSTANT"";1962;-;1962"
"""130063 BERURI"";936;-;936"
"""130068 BOA VISTA DO RAMOS"";895;-;895"
"""130070 BOCA DO ACRE"";2069;-;2069"
"""130080 BORBA"";1806;2;1808"
"""130083 CAAPIRANGA"";642;-;642"
"""130090 CANUTAMA"";733;-;733"
"""130100 CARAUARI"";2353;87;2440"
"""130110 CAREIRO"";2019;247;2266"
"""130120 COARI"";4572;177;4749"
"""130130 CODAJAS"";1453;-;1453"
"""130140 EIRUNEPE"";1665;1;1666"
"""130150 ENVIRA"";839;-;839"
"""130160 FONTE BOA"";1475;1;1476"
"""130165 GUAJARA"";532;-;532"
"""130170 HUMAITA"";1742;-;1742"
"""130180 IPIXUNA"";2211;3;2214"
"""130185 IRANDUBA"";794;-;794"
"""130190 ITACOATIARA"";5286;2;5288"
"""130195 ITAMARATI"";961;-;961"
"""130200 ITAPIRANGA"";419;92;511"
"""130210 JAPURA"";451;-;451"
"""130230 JUTAI"";1841;-;1841"
"""130240 LABREA"";1056;-;1056"
"""130250 MANACAPURU"";6583;4;6587"
"""130255 MANAQUIRI"";627;-;627"
"""130260 MANAUS"";120323;8735;129058"
"""130270 MANICORE"";1965;-;1965"
"""130280 MARAA"";695;-;695"
"""130290 MAUES"";3057;2;3059"
"""130300 NHAMUNDA"";954;179;1133"
"""130310 NOVA OLINDA DO NORTE"";1294;-;1294"
"""130320 NOVO AIRAO"";1038;-;1038"
"""130330 NOVO ARIPUANA"";1203;103;1306"
"""130340 PARINTINS"";9856;59;9915"
"""130350 PAUINI"";1218;-;1218"
"""130353 PRESIDENTE FIGUEIREDO"";1136;-;1136"
"""130356 RIO PRETO DA EVA"";455;-;455"
"""130360 SANTA ISABEL DO RIO NEGRO"";703;-;703"
"""130370 SANTO ANTONIO DO ICA"";1130;-;1130"
"""130380 SAO GABRIEL DA CACHOEIRA"";1997;-;1997"
"""130390 SAO PAULO DE OLIVENCA"";2029;-;2029"
"""130395 SAO SEBASTIAO DO UATUMA"";748;-;748"
"""130400 SILVES"";694;-;694"
"""130406 TABATINGA"";458;-;458"
"""130410 TAPAUA"";241;-;241"
"""130420 TEFE"";5959;99;6058"
"""130423 TONANTINS"";1418;-;1418"
"""130426 UARINI"";866;-;866"
"""130430 URUCARA"";820;-;820"
"""130440 URUCURITUBA"";346;-;346"
"""140005 ALTO ALEGRE"";131;-;131"
"""140010 BOA VISTA"";33038;740;33778"
"""140015 BONFIM"";28;-;28"
"""140020 CARACARAI"";125;-;125"
"""140023 CAROEBE"";112;-;112"
"""140030 MUCAJAI"";17;-;17"
"""140040 NORMANDIA"";162;-;162"
"""140045 PACARAIMA"";402;-;402"
"""140047 RORAINOPOLIS"";2146;-;2146"
"""140050 SAO JOAO DA BALIZA"";396;-;396"
"""140060 SAO LUIZ"";91;-;91"
"""150010 ABAETETUBA"";11921;5;11926"
"""150013 ABEL FIGUEIREDO"";423;-;423"
"""150020 ACARA"";1756;-;1756"
"""150030 AFUA"";1039;-;1039"
"""150034 AGUA AZUL DO NORTE"";1039;-;1039"
"""150040 ALENQUER"";5570;1;5571"
"""150050 ALMEIRIM"";2078;-;2078"
"""150060 ALTAMIRA"";11554;57;11611"
"""150070 ANAJAS"";1607;-;1607"
"""150080 ANANINDEUA"";23735;934;24669"
"""150085 ANAPU"";1311;-;1311"
"""150090 AUGUSTO CORREA"";3806;-;3806"
"""150095 AURORA DO PARA"";1523;-;1523"
"""150110 BAGRE"";425;-;425"
"""150120 BAIAO"";2325;1;2326"
"""150125 BANNACH"";196;-;196"
"""150130 BARCARENA"";7662;11;7673"
"""150140 BELEM"";122157;21037;143194"
"""150145 BELTERRA"";407;-;407"
"""150157 BOM JESUS DO TOCANTINS"";1065;-;1065"
"""150170 BRAGANCA"";11195;-;11195"
"""150172 BRASIL NOVO"";2642;-;2642"
"""150175 BREJO GRANDE DO ARAGUAIA"";681;-;681"
"""150178 BREU BRANCO"";1169;59;1228"
"""150180 BREVES"";9727;2;9729"
"""150200 CACHOEIRA DO ARARI"";1199;-;1199"
"""150210 CAMETA"";8167;-;8167"
"""150215 CANAA DOS CARAJAS"";5739;4;5743"
"""150220 CAPANEMA"";9527;5;9532"
"""150230 CAPITAO POCO"";1188;-;1188"
"""150240 CASTANHAL"";25015;8;25023"
"""150250 CHAVES"";186;-;186"
"""150270 CONCEICAO DO ARAGUAIA"";4557;-;4557"
"""150275 CONCORDIA DO PARA"";649;-;649"
"""150276 CUMARU DO NORTE"";844;-;844"
"""150277 CURIONOPOLIS"";787;-;787"
"""150280 CURRALINHO"";1873;-;1873"
"""150290 CURUCA"";1828;-;1828"
"""150293 DOM ELISEU"";2116;-;2116"
"""150295 ELDORADO DOS CARAJAS"";1395;71;1466"
"""150300 FARO"";451;-;451"
"""150304 FLORESTA DO ARAGUAIA"";1466;-;1466"
"""150307 GARRAFAO DO NORTE"";483;-;483"
"""150309 GOIANESIA DO PARA"";1441;-;1441"
"""150310 GURUPA"";1982;-;1982"
"""150320 IGARAPE-ACU"";1104;-;1104"
"""150330 IGARAPE-MIRI"";7936;-;7936"
"""150340 INHANGAPI"";27;-;27"
"""150345 IPIXUNA DO PARA"";5614;-;5614"
"""150350 IRITUIA"";588;-;588"
"""150360 ITAITUBA"";9047;9;9056"
"""150370 ITUPIRANGA"";1646;-;1646"
"""150375 JACAREACANGA"";1226;2;1228"
"""150380 JACUNDA"";3771;-;3771"
"""150390 JURUTI"";2260;-;2260"
"""150400 LIMOEIRO DO AJURU"";1280;-;1280"
"""150405 MAE DO RIO"";1543;-;1543"
"""150420 MARABA"";17724;201;17925"
"""150430 MARACANA"";463;-;463"
"""150440 MARAPANIM"";440;-;440"
"""150442 MARITUBA"";6952;133;7085"
"""150445 MEDICILANDIA"";1548;-;1548"
"""150450 MELGACO"";838;-;838"
"""150460 MOCAJUBA"";1830;-;1830"
"""150470 MOJU"";2210;-;2210"
"""150480 MONTE ALEGRE"";3312;1;3313"
"""150490 MUANA"";2171;-;2171"
"""150495 NOVA ESPERANCA DO PIRIA"";397;-;397"
"""150497 NOVA IPIXUNA"";314;-;314"
"""150503 NOVO PROGRESSO"";2368;1;2369"
"""150506 NOVO REPARTIMENTO"";1491;-;1491"
"""150510 OBIDOS"";2169;-;2169"
"""150520 OEIRAS DO PARA"";1182;-;1182"
"""150530 ORIXIMINA"";4390;-;4390"
"""150540 OUREM"";876;-;876"
"""150543 OURILANDIA DO NORTE"";6755;51;6806"
"""150548 PACAJA"";2685;-;2685"
"""150549 PALESTINA DO PARA"";335;-;335"
"""150550 PARAGOMINAS"";7610;-;7610"
"""150553 PARAUAPEBAS"";11161;-;11161"
"""150555 PAU D'ARCO"";633;-;633"
"""150563 PICARRA"";741;-;741"
"""150565 PLACAS"";1607;-;1607"
"""150570 PONTA DE PEDRAS"";974;-;974"
"""150580 PORTEL"";2629;-;2629"
"""150590 PORTO DE MOZ"";2116;-;2116"
"""150600 PRAINHA"";1221;-;1221"
"""150613 REDENCAO"";10780;222;11002"
"""150616 RIO MARIA"";2737;-;2737"
"""150618 RONDON DO PARA"";2246;1;2247"
"""150619 RUROPOLIS"";2043;-;2043"
"""150620 SALINOPOLIS"";2792;-;2792"
"""150630 SALVATERRA"";831;1;832"
"""150640 SANTA CRUZ DO ARARI"";492;-;492"
"""150650 SANTA IZABEL DO PARA"";3156;-;3156"
"""150658 SANTA MARIA DAS BARREIRAS"";1005;-;1005"
"""150660 SANTA MARIA DO PARA"";1010;-;1010"
"""150670 SANTANA DO ARAGUAIA"";3465;-;3465"
"""150680 SANTAREM"";17816;680;18496"
"""150700 SANTO ANTONIO DO TAUA"";5124;-;5124"
"""150715 SAO DOMINGOS DO ARAGUAIA"";442;-;442"
"""150720 SAO DOMINGOS DO CAPIM"";918;-;918"
"""150730 SAO FELIX DO XINGU"";3314;-;3314"
"""150745 SAO GERALDO DO ARAGUAIA"";1616;-;1616"
"""150747 SAO JOAO DE PIRABAS"";757;71;828"
"""150750 SAO JOAO DO ARAGUAIA"";129;-;129"
"""150760 SAO MIGUEL DO GUAMA"";2444;-;2444"
"""150770 SAO SEBASTIAO DA BOA VISTA"";1570;-;1570"
"""150775 SAPUCAIA"";337;-;337"
"""150780 SENADOR JOSE PORFIRIO"";680;1;681"
"""150790 SOURE"";1294;-;1294"
"""150795 TAILANDIA"";4417;-;4417"
"""150797 TERRA SANTA"";1113;83;1196"
"""150800 TOME-ACU"";3268;-;3268"
"""150803 TRACUATEUA"";1119;-;1119"
"""150805 TRAIRAO"";1376;-;1376"
"""150808 TUCUMA"";3404;-;3404"
"""150810 TUCURUI"";8338;7;8345"
"""150812 ULIANOPOLIS"";2296;-;2296"
"""150815 URUARA"";3187;-;3187"
"""150820 VIGIA"";1481;-;1481"
"""150830 VISEU"";2278;-;2278"
"""150835 VITORIA DO XINGU"";1839;65;1904"
"""150840 XINGUARA"";3126;-;3126"
"""160005 SERRA DO NAVIO"";42;-;42"
"""160010 AMAPA"";193;-;193"
"""160015 PEDRA BRANCA DO AMAPARI"";178;-;178"
"""160020 CALCOENE"";288;-;288"
"""160023 FERREIRA GOMES"";70;-;70"
"""160027 LARANJAL DO JARI"";4313;1;4314"
"""160030 MACAPA"";41398;1178;42576"
"""160040 MAZAGAO"";125;-;125"
"""160050 OIAPOQUE"";1723;-;1723"
"""160053 PORTO GRANDE"";85;-;85"
"""160060 SANTANA"";7515;1;7516"
"""160070 TARTARUGALZINHO"";135;-;135"
"""170070 ALVORADA"";378;-;378"
"""170100 ANANAS"";121;-;121"
"""170190 ARAGUACEMA"";634;-;634"
"""170200 ARAGUACU"";329;-;329"
"""170210 ARAGUAINA"";24428;1789;26217"
"""170220 ARAGUATINS"";571;-;571"
"""170230 ARAPOEMA"";1287;-;1287"
"""170240 ARRAIAS"";1855;-;1855"
"""170255 AUGUSTINOPOLIS"";4442;8;4450"
"""170370 BREJINHO DE NAZARE"";34;-;34"
"""170550 COLINAS DO TOCANTINS"";1864;-;1864"
"""170610 CRISTALANDIA"";4;-;4"
"""170700 DIANOPOLIS"";1686;1;1687"
"""170710 DIVINOPOLIS DO TOCANTINS"";86;-;86"
"""170730 DUERE"";103;-;103"
"""170820 FORMOSO DO ARAGUAIA"";713;-;713"
"""170900 GOIATINS"";127;-;127"
"""170930 GUARAI"";3307;-;3307"
"""170950 GURUPI"";9688;37;9725"
"""171050 ITACAJA"";44;-;44"
"""171190 LAGOA DA CONFUSAO"";55;-;55"
"""171320 MIRACEMA DO TOCANTINS"";3852;-;3852"
"""171420 NATIVIDADE"";66;-;66"
"""171575 PALMEIROPOLIS"";5;-;5"
"""171610 PARAISO DO TOCANTINS"";6725;-;6725"
"""171620 PARANA"";334;-;334"
"""171650 PEDRO AFONSO"";1141;-;1141"
"""171660 PEIXE"";337;-;337"
"""171700 PINDORAMA DO TOCANTINS"";215;-;215"
"""171750 PIUM"";596;-;596"
"""171790 PONTE ALTA DO TOCANTINS"";42;-;42"
"""171820 PORTO NACIONAL"";5154;8;5162"
"""172065 SILVANOPOLIS"";71;-;71"
"""172080 SITIO NOVO DO TOCANTINS"";426;-;426"
"""172090 TAGUATINGA"";585;-;585"
"""172100 PALMAS"";26085;3078;29163"
"""172120 TOCANTINOPOLIS"";998;-;998"
"""172210 XAMBIOA"";1360;-;1360"
"""210005 ACAILANDIA"";8436;8;8444"
"""210010 AFONSO CUNHA"";197;-;197"
"""210020 ALCANTARA"";270;-;270"
"""210030 ALDEIAS ALTAS"";493;-;493"
"""210043 ALTO ALEGRE DO MARANHAO"";3605;-;3605"
"""210047 ALTO ALEGRE DO PINDARE"";2660;-;2660"
"""210050 ALTO PARNAIBA"";214;-;214"
"""210060 AMARANTE DO MARANHAO"";3078;-;3078"
"""210070 ANAJATUBA"";563;-;563"
"""210080 ANAPURUS"";445;-;445"
"""210083 APICUM-ACU"";1200;-;1200"
"""210087 ARAGUANA"";908;-;908"
"""210090 ARAIOSES"";190;-;190"
"""210095 ARAME"";1529;-;1529"
"""210100 ARARI"";618;-;618"
"""210110 AXIXA"";237;203;440"
"""210120 BACABAL"";11243;128;11371"
"""210125 BACABEIRA"";384;-;384"
"""210130 BACURI"";1201;-;1201"
"""210140 BALSAS"";7716;-;7716"
"""210150 BARAO DE GRAJAU"";403;-;403"
"""210160 BARRA DO CORDA"";6542;-;6542"
"""210170 BARREIRINHAS"";5103;2;5105"
"""210177 BELA VISTA DO MARANHAO"";670;-;670"
"""210190 BEQUIMAO"";616;-;616"
"""210193 BERNARDO DO MEARIM"";475;-;475"
"""210200 BOM JARDIM"";1663;-;1663"
"""210203 BOM JESUS DAS SELVAS"";1114;-;1114"
"""210210 BREJO"";1142;-;1142"
"""210220 BURITI"";849;-;849"
"""210230 BURITI BRAVO"";1298;1;1299"
"""210232 BURITICUPU"";3489;-;3489"
"""210240 CAJAPIO"";406;-;406"
"""210250 CAJARI"";316;-;316"
"""210260 CANDIDO MENDES"";235;-;235"
"""210270 CANTANHEDE"";971;-;971"
"""210275 CAPINZAL DO NORTE"";128;-;128"
"""210280 CAROLINA"";2053;-;2053"
"""210290 CARUTAPERA"";2486;-;2486"
"""210300 CAXIAS"";15658;694;16352"
"""210310 CEDRAL"";942;-;942"
"""210312 CENTRAL DO MARANHAO"";553;-;553"
"""210320 CHAPADINHA"";5879;1;5880"
"""210325 CIDELANDIA"";944;-;944"
"""210330 CODO"";4977;1;4978"
"""210340 COELHO NETO"";2149;-;2149"
"""210350 COLINAS"";7738;1;7739"
"""210355 CONCEICAO DO LAGO-ACU"";904;-;904"
"""210360 COROATA"";4948;7;4955"
"""210370 CURURUPU"";4944;-;4944"
"""210380 DOM PEDRO"";1696;-;1696"
"""210390 DUQUE BACELAR"";704;-;704"
"""210400 ESPERANTINOPOLIS"";1349;1;1350"
"""210405 ESTREITO"";1860;-;1860"
"""210407 FEIRA NOVA DO MARANHAO"";672;-;672"
"""210408 FERNANDO FALCAO"";316;-;316"
"""210409 FORMOSA DA SERRA NEGRA"";708;-;708"
"""210410 FORTALEZA DOS NOGUEIRAS"";661;-;661"
"""210420 FORTUNA"";436;-;436"
"""210440 GONCALVES DIAS"";935;-;935"
"""210450 GOVERNADOR ARCHER"";763;-;763"
"""210455 GOVERNADOR EDISON LOBAO"";396;-;396"
"""210460 GOVERNADOR EUGENIO BARROS"";1276;-;1276"
"""210462 GOVERNADOR LUIZ ROCHA"";576;-;576"
"""210465 GOVERNADOR NEWTON BELLO"";559;-;559"
"""210467 GOVERNADOR NUNES FREIRE"";5351;-;5351"
"""210470 GRACA ARANHA"";114;-;114"
"""210480 GRAJAU"";5834;2;5836"
"""210490 GUIMARAES"";799;-;799"
"""210500 HUMBERTO DE CAMPOS"";1325;-;1325"
"""210510 ICATU"";122;-;122"
"""210515 IGARAPE DO MEIO"";817;-;817"
"""210520 IGARAPE GRANDE"";836;-;836"
"""210530 IMPERATRIZ"";27126;1418;28544"
"""210535 ITAIPAVA DO GRAJAU"";710;-;710"
"""210540 ITAPECURU MIRIM"";2568;-;2568"
"""210542 ITINGA DO MARANHAO"";796;-;796"
"""210545 JATOBA"";272;-;272"
"""210547 JENIPAPO DOS VIEIRAS"";412;-;412"
"""210550 JOAO LISBOA"";1387;-;1387"
"""210560 JOSELANDIA"";799;-;799"
"""210570 LAGO DA PEDRA"";7561;-;7561"
"""210580 LAGO DO JUNCO"";1086;-;1086"
"""210594 LAGO DOS RODRIGUES"";525;-;525"
"""210596 LAGOA GRANDE DO MARANHAO"";310;-;310"
"""210600 LIMA CAMPOS"";921;-;921"
"""210610 LORETO"";468;-;468"
"""210630 MAGALHAES DE ALMEIDA"";721;-;721"
"""210637 MARANHAOZINHO"";935;-;935"
"""210640 MATA ROMA"";1058;-;1058"
"""210650 MATINHA"";669;-;669"
"""210660 MATOES"";1197;-;1197"
"""210667 MILAGRES DO MARANHAO"";312;-;312"
"""210670 MIRADOR"";942;-;942"
"""210675 MIRANDA DO NORTE"";962;-;962"
"""210680 MIRINZAL"";810;-;810"
"""210690 MONCAO"";2247;-;2247"
"""210700 MONTES ALTOS"";130;-;130"
"""210710 MORROS"";1206;-;1206"
"""210720 NINA RODRIGUES"";652;-;652"
"""210725 NOVA COLINAS"";384;-;384"
"""210735 NOVA OLINDA DO MARANHAO"";1412;-;1412"
"""210740 OLHO D'AGUA DAS CUNHAS"";1127;-;1127"
"""210745 OLINDA NOVA DO MARANHAO"";656;-;656"
"""210750 PACO DO LUMIAR"";2421;-;2421"
"""210760 PALMEIRANDIA"";697;-;697"
"""210770 PARAIBANO"";878;-;878"
"""210780 PARNARAMA"";1582;-;1582"
"""210790 PASSAGEM FRANCA"";4989;-;4989"
"""210800 PASTOS BONS"";1430;-;1430"
"""210805 PAULINO NEVES"";1047;-;1047"
"""210810 PAULO RAMOS"";2048;-;2048"
"""210820 PEDREIRAS"";4953;15;4968"
"""210825 PEDRO DO ROSARIO"";511;-;511"
"""210830 PENALVA"";1008;-;1008"
"""210840 PERI MIRIM"";139;-;139"
"""210845 PERITORO"";3289;9;3298"
"""210850 PINDARE-MIRIM"";519;-;519"
"""210860 PINHEIRO"";9040;2;9042"
"""210870 PIO XII"";1656;-;1656"
"""210880 PIRAPEMAS"";363;-;363"
"""210890 POCAO DE PEDRAS"";896;-;896"
"""210900 PORTO FRANCO"";3198;1;3199"
"""210910 PRESIDENTE DUTRA"";8603;7;8610"
"""210920 PRESIDENTE JUSCELINO"";201;-;201"
"""210923 PRESIDENTE MEDICI"";1561;-;1561"
"""210927 PRESIDENTE SARNEY"";41;-;41"
"""210930 PRESIDENTE VARGAS"";361;-;361"
"""210940 PRIMEIRA CRUZ"";875;-;875"
"""210945 RAPOSA"";289;-;289"
"""210950 RIACHAO"";1271;-;1271"
"""210960 ROSARIO"";3091;-;3091"
"""210970 SAMBAIBA"";394;-;394"
"""210980 SANTA HELENA"";1587;-;1587"
"""210990 SANTA INES"";13463;1;13464"
"""211000 SANTA LUZIA"";2986;-;2986"
"""211003 SANTA LUZIA DO PARUA"";3781;5;3786"
"""211010 SANTA QUITERIA DO MARANHAO"";1227;-;1227"
"""211020 SANTA RITA"";1686;-;1686"
"""211023 SANTANA DO MARANHAO"";547;-;547"
"""211027 SANTO AMARO DO MARANHAO"";471;-;471"
"""211030 SANTO ANTONIO DOS LOPES"";720;-;720"
"""211040 SAO BENEDITO DO RIO PRETO"";821;-;821"
"""211050 SAO BENTO"";1864;-;1864"
"""211060 SAO BERNARDO"";1986;-;1986"
"""211065 SAO DOMINGOS DO AZEITAO"";600;-;600"
"""211070 SAO DOMINGOS DO MARANHAO"";1651;-;1651"
"""211080 SAO FELIX DE BALSAS"";252;-;252"
"""211085 SAO FRANCISCO DO BREJAO"";393;-;393"
"""211090 SAO FRANCISCO DO MARANHAO"";709;-;709"
"""211100 SAO JOAO BATISTA"";1387;-;1387"
"""211102 SAO JOAO DO CARU"";409;-;409"
"""211107 SAO JOAO DO SOTER"";802;-;802"
"""211110 SAO JOAO DOS PATOS"";1604;-;1604"
"""211120 SAO JOSE DE RIBAMAR"";4444;-;4444"
"""211125 SAO JOSE DOS BASILIOS"";519;-;519"
"""211130 SAO LUIS"";115937;15197;131134"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";1866;-;1866"
"""211150 SAO MATEUS DO MARANHAO"";3162;-;3162"
"""211153 SAO PEDRO DA AGUA BRANCA"";703;-;703"
"""211157 SAO PEDRO DOS CRENTES"";910;-;910"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";1264;-;1264"
"""211163 SAO RAIMUNDO DO DOCA BEZERRA"";174;-;174"
"""211170 SAO VICENTE FERRER"";1359;-;1359"
"""211172 SATUBINHA"";688;-;688"
"""211174 SENADOR ALEXANDRE COSTA"";584;-;584"
"""211178 SERRANO DO MARANHAO"";828;-;828"
"""211180 SITIO NOVO"";1317;-;1317"
"""211190 SUCUPIRA DO NORTE"";488;-;488"
"""211195 SUCUPIRA DO RIACHAO"";211;-;211"
"""211200 TASSO FRAGOSO"";260;-;260"
"""211210 TIMBIRAS"";3999;1;4000"
"""211220 TIMON"";9057;2;9059"
"""211223 TRIZIDELA DO VALE"";949;-;949"
"""211227 TUFILANDIA"";135;-;135"
"""211230 TUNTUM"";1427;-;1427"
"""211240 TURIACU"";1256;-;1256"
"""211245 TURILANDIA"";282;-;282"
"""211250 TUTOIA"";1589;-;1589"
"""211260 URBANO SANTOS"";1716;-;1716"
"""211270 VARGEM GRANDE"";1606;-;1606"
"""211280 VIANA"";3968;-;3968"
"""211285 VILA NOVA DOS MARTIRIOS"";682;-;682"
"""211290 VITORIA DO MEARIM"";667;-;667"
"""211300 VITORINO FREIRE"";2454;-;2454"
"""211400 ZE DOCA"";3844;-;3844"
"""220010 AGRICOLANDIA"";68;-;68"
"""220020 AGUA BRANCA"";761;-;761"
"""220030 ALTO LONGA"";217;-;217"
"""220040 ALTOS"";1441;-;1441"
"""220050 AMARANTE"";782;-;782"
"""220100 ARRAIAL"";67;-;67"
"""220110 AVELINO LOPES"";94;-;94"
"""220120 BARRAS"";2132;-;2132"
"""220150 BATALHA"";385;-;385"
"""220160 BENEDITINOS"";110;-;110"
"""220180 BOCAINA"";90;-;90"
"""220190 BOM JESUS"";5143;34;5177"
"""220220 CAMPO MAIOR"";6094;-;6094"
"""220230 CANTO DO BURITI"";1345;-;1345"
"""220260 CASTELO DO PIAUI"";452;-;452"
"""220270 COCAL"";708;-;708"
"""220290 CORRENTE"";1803;-;1803"
"""220310 CRISTINO CASTRO"";669;-;669"
"""220320 CURIMATA"";1161;-;1161"
"""220330 DEMERVAL LOBAO"";925;-;925"
"""220350 ELESBAO VELOSO"";1311;-;1311"
"""220370 ESPERANTINA"";4687;-;4687"
"""220390 FLORIANO"";11847;5;11852"
"""220400 FRANCINOPOLIS"";36;-;36"
"""220430 FRONTEIRAS"";2230;-;2230"
"""220450 GUADALUPE"";1013;-;1013"
"""220470 INHUMA"";144;-;144"
"""220480 IPIRANGA DO PIAUI"";64;-;64"
"""220510 ITAUEIRA"";472;-;472"
"""220520 JAICOS"";1448;-;1448"
"""220540 JOAQUIM PIRES"";121;-;121"
"""220550 JOSE DE FREITAS"";1191;-;1191"
"""220570 LUIS CORREIA"";132;-;132"
"""220580 LUZILANDIA"";3405;-;3405"
"""220590 MANOEL EMIDIO"";31;-;31"
"""220595 MARCOLANDIA"";98;-;98"
"""220620 MIGUEL ALVES"";1525;-;1525"
"""220650 MONSENHOR HIPOLITO"";319;-;319"
"""220680 NOSSA SENHORA DOS REMEDIOS"";167;-;167"
"""220700 OEIRAS"";4925;15;4940"
"""220730 PAES LANDIM"";37;-;37"
"""220760 PARNAGUA"";1191;-;1191"
"""220770 PARNAIBA"";21952;714;22666"
"""220780 PAULISTANA"";984;-;984"
"""220790 PEDRO II"";4362;-;4362"
"""220800 PICOS"";9903;-;9903"
"""220810 PIMENTEIRAS"";102;-;102"
"""220820 PIO IX"";135;-;135"
"""220830 PIRACURUCA"";190;-;190"
"""220840 PIRIPIRI"";5348;3;5351"
"""220850 PORTO"";648;-;648"
"""220880 REGENERACAO"";1555;-;1555"
"""220890 RIBEIRO GONCALVES"";265;-;265"
"""220960 SAO FELIX DO PIAUI"";34;-;34"
"""221000 SAO JOAO DO PIAUI"";1487;-;1487"
"""221040 SAO MIGUEL DO TAPUIO"";552;-;552"
