"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""399-9 Associaá∆o Privada"";""Total"""
"""260830 JUPI"";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7"
"""260845 LAGOA DO CARRO"";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""260850 LAGOA DE ITAENGA"";-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;6"
"""260860 LAGOA DO OURO"";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""260870 LAGOA DOS GATOS"";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""260875 LAGOA GRANDE"";-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;60"
"""260880 LAJEDO"";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;40"
"""260890 LIMOEIRO"";-;263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;311"
"""260900 MACAPARANA"";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""260915 MANARI"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""260930 MIRANDIBA"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""260940 MORENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;836;836"
"""260950 NAZARE DA MATA"";-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319"
"""260960 OLINDA"";-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;481;553"
"""260970 OROBO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;36"
"""260990 OURICURI"";-;696;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;696"
"""261000 PALMARES"";-;-;-;-;-;-;-;1127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;255;1382"
"""261010 PALMEIRINA"";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""261020 PANELAS"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""261030 PARANATAMA"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""261040 PARNAMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;30"
"""261060 PAUDALHO"";-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;32"
"""261070 PAULISTA"";-;1020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1020"
"""261080 PEDRA"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""261090 PESQUEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;58"
"""261100 PETROLANDIA"";-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115"
"""261110 PETROLINA"";-;1830;-;-;-;-;-;-;-;-;-;-;29;-;-;527;-;-;-;-;-;-;-;-;-;293;2679"
"""261120 POCAO"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""261150 QUIPAPA"";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3"
"""261160 RECIFE"";-;10404;-;-;-;-;-;2506;-;-;-;-;2360;-;-;1956;-;-;163;-;-;-;-;1282;-;7165;25836"
"""261190 RIO FORMOSO"";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""261220 SALGUEIRO"";-;598;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;635"
"""261230 SALOA"";-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;41"
"""261245 SANTA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;30"
"""261247 SANTA CRUZ DA BAIXA VERDE"";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10"
"""261300 SAO BENTO DO UNA"";-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;66"
"""261320 SAO JOAO"";-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;34"
"""261350 SAO JOSE DO BELMONTE"";-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;48"
"""261360 SAO JOSE DO EGITO"";-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;94"
"""261370 SAO LOURENCO DA MATA"";-;-;-;-;-;-;-;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;187"
"""261390 SERRA TALHADA"";-;1251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189;-;-;-;-;7;-;-;1447"
"""261410 SERTANIA"";-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;82"
"""261440 SOLIDAO"";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7"
"""261450 SURUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;53"
"""261460 TABIRA"";-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;55"
"""261500 TAQUARITINGA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;18"
"""261510 TEREZINHA"";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""261520 TERRA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;15"
"""261540 TORITAMA"";-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;50"
"""261560 TRINDADE"";-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;25"
"""261590 TUPARETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""261600 VENTUROSA"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""261640 VITORIA DE SANTO ANTAO"";-;513;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;857;1370"
"""270010 AGUA BRANCA"";-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""270030 ARAPIRACA"";-;577;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;825;-;-;-;-;-;-;1071;2473"
"""270040 ATALAIA"";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""270070 BATALHA"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""270100 BOCA DA MATA"";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4"
"""270140 CAMPO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;51"
"""270170 CAPELA"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""270230 CORURIPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;850;850"
"""270240 DELMIRO GOUVEIA"";-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111"
"""270300 IBATEGUARA"";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""270430 MACEIO"";-;2470;778;866;542;-;-;-;-;-;-;-;-;-;-;-;-;-;453;-;-;-;366;134;-;1470;7079"
"""270550 MURICI"";-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7"
"""270630 PALMEIRA DOS INDIOS"";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;451;466"
"""270690 PILAR"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150;150"
"""270710 PIRANHAS"";-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42"
"""270730 PORTO CALVO"";-;470;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;495"
"""270760 QUEBRANGULO"";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3"
"""270770 RIO LARGO"";-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100"
"""270800 SANTANA DO IPANEMA"";-;-;-;-;-;-;-;-;-;-;-;-;754;-;-;-;-;-;-;-;-;-;-;-;-;-;754"
"""270840 SAO JOSE DA TAPERA"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""270850 SAO LUIS DO QUITUNDE"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""270860 SAO MIGUEL DOS CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;500;500"
"""270915 TEOTONIO VILELA"";-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""270920 TRAIPU"";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""270930 UNIAO DOS PALMARES"";-;476;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;476"
"""280020 AQUIDABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119;-;-;119"
"""280030 ARACAJU"";-;-;-;-;-;-;-;-;-;-;-;2295;821;-;-;647;-;-;61;-;-;-;-;1246;-;1435;6505"
"""280130 CAPELA"";-;-;-;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;73;197"
"""280210 ESTANCIA"";-;-;-;-;-;-;-;-;-;-;-;385;-;-;-;-;-;-;-;-;-;-;-;-;-;586;971"
"""280340 JAPOATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;44"
"""280350 LAGARTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;520;-;-;-;-;-;-;-;-;-;511;1031"
"""280450 NOSSA SENHORA DA GLORIA"";-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;-;-;-;-;220"
"""280570 PROPRIA"";-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180"
"""280590 RIACHUELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;50"
"""280670 SAO CRISTOVAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78;78"
"""280710 SIMAO DIAS"";-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82"
"""290020 ABARE"";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""290035 ADUSTINA"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""290040 AGUA FRIA"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""290070 ALAGOINHAS"";-;443;-;-;-;-;-;-;-;-;-;-;440;-;-;-;-;-;-;-;-;-;-;-;-;-;883"
"""290100 AMARGOSA"";-;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;-;-;-;220"
"""290110 AMELIA RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""290115 AMERICA DOURADA"";-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""290120 ANAGE"";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7"
"""290130 ANDARAI"";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26"
"""290140 ANGICAL"";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""290150 ANGUERA"";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""290160 ANTAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;702;702"
"""290200 ARACATU"";-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;84"
"""290205 ARACAS"";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""290210 ARACI"";-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;64"
"""290240 AURELINO LEAL"";-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;85"
"""290250 BAIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;20"
"""290260 BAIXA GRANDE"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""290270 BARRA"";-;-;-;-;-;-;-;-;-;-;-;-;241;-;-;-;-;-;-;-;-;-;-;92;-;-;333"
"""290280 BARRA DA ESTIVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;213;213"
"""290300 BARRA DO MENDES"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""290320 BARREIRAS"";-;1210;-;-;-;-;-;-;-;-;-;-;394;-;-;-;-;-;6;-;-;-;-;-;-;-;1610"
"""290323 BARRO ALTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;42"
"""290327 BARROCAS"";-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;20"
"""290330 BARRO PRETO"";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4"
"""290340 BELMONTE"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""290350 BELO CAMPO"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""290380 BOA VISTA DO TUPIM"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""290390 BOM JESUS DA LAPA"";-;-;-;-;-;-;-;-;-;-;-;-;398;-;-;-;-;-;-;-;-;-;-;-;-;-;398"
"""290395 BOM JESUS DA SERRA"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""290405 BONITO"";-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;43"
"""290410 BOQUIRA"";-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;67"
"""290420 BOTUPORA"";-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;27"
"""290430 BREJOES"";-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;23"
"""290440 BREJOLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;29"
"""290450 BROTAS DE MACAUBAS"";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""290460 BRUMADO"";-;-;-;-;-;-;-;-;-;-;-;-;589;-;-;-;-;-;-;-;-;-;-;-;-;-;589"
"""290475 BURITIRAMA"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""290490 CACHOEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;71"
"""290510 CAEM"";-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;44"
"""290520 CAETITE"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""290530 CAFARNAUM"";-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;55"
"""290560 CAMACAN"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121;-;-;121"
"""290570 CAMACARI"";-;747;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;377;-;-;-;-;-;-;-;1124"
"""290580 CAMAMU"";-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;34"
"""290590 CAMPO ALEGRE DE LOURDES"";-;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;78"
"""290600 CAMPO FORMOSO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;386;386"
"""290610 CANAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""290620 CANARANA"";-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;70"
"""290650 CANDEIAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142;-;-;-;-;-;-;-;142"
"""290680 CANSANCAO"";-;-;-;-;-;-;-;-;-;-;-;-;241;-;-;-;-;-;-;-;-;-;-;-;-;-;241"
"""290682 CANUDOS"";-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""290687 CAPIM GROSSO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;65"
"""290690 CARAVELAS"";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26"
"""290710 CARINHANHA"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""290720 CASA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;139"
"""290730 CASTRO ALVES"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""290750 CATU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;25"
"""290755 CATURAMA"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""290760 CENTRAL"";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26"
"""290780 CICERO DANTAS"";-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""290790 CIPO"";-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""290840 CONCEICAO DO COITE"";-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;498;562"
"""290860 CONDE"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""290870 CONDEUBA"";-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;53"
"""290890 CORACAO DE MARIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355;355"
"""290900 CORDEIROS"";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""290950 CRAVOLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26"
"""290960 CRISOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""290970 CRISTOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;153;-;-;-;-;-;-;-;-;-;-;-;-;-;153"
"""290980 CRUZ DAS ALMAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;449;449"
"""291010 DOM BASILIO"";-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;32"
"""291030 ELISIO MEDRADO"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""291060 ESPLANADA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;110"
"""291070 EUCLIDES DA CUNHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;332;332"
"""291072 EUNAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;603;-;-;-;-;-;16;-;-;-;-;-;-;-;619"
"""291080 FEIRA DE SANTANA"";-;1988;-;-;-;-;-;-;1127;-;-;-;-;-;-;-;-;-;314;-;-;-;-;-;-;1248;4677"
"""291130 GENTIO DO OURO"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""291150 GONGOGI"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""291170 GUANAMBI"";-;856;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;83;-;-;-;-;-;-;-;1021"
"""291190 IACU"";-;-;-;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;86"
"""291200 IBIASSUCE"";-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;97"
"""291210 IBICARAI"";-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;32"
"""291240 IBIPEBA"";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""291250 IBIPITANGA"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""291270 IBIRAPITANGA"";-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;85"
"""291300 IBITIARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;43"
"""291310 IBITITA"";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""291320 IBOTIRAMA"";-;-;-;-;-;-;-;-;-;-;-;-;282;-;-;-;-;-;-;-;-;-;-;-;-;-;282"
"""291340 IGAPORA"";-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""291345 IGRAPIUNA"";-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;27"
"""291350 IGUAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;341;341"
"""291360 ILHEUS"";-;1421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;143;1927"
"""291370 INHAMBUPE"";-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;50"
"""291380 IPECAETA"";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""291390 IPIAU"";-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324"
"""291400 IPIRA"";-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;50"
"""291410 IPUPIARA"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""291430 IRAMAIA"";-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;96"
"""291440 IRAQUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295;-;-;-;-;-;-;-;295"
"""291460 IRECE"";-;718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;762"
