"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""292120 MIGUEL CALMON"";-;4;-;-;4"
"""292150 MONTE SANTO"";-;6;-;-;6"
"""292170 MORRO DO CHAPEU"";-;5;-;-;5"
"""292180 MORTUGABA"";-;2;-;-;2"
"""292200 MUCURI"";-;4;-;-;4"
"""292210 MUNDO NOVO"";-;2;-;-;2"
"""292240 MUTUIPE"";-;6;-;-;6"
"""292250 NAZARE"";-;6;-;-;6"
"""292290 NOVA SOURE"";-;5;-;-;5"
"""292300 NOVA VICOSA"";-;3;-;-;3"
"""292310 OLINDINA"";-;4;-;-;4"
"""292320 OLIVEIRA DOS BREJINHOS"";-;3;-;-;3"
"""292340 PALMAS DE MONTE ALTO"";5;-;-;-;5"
"""292360 PARAMIRIM"";-;2;-;-;2"
"""292390 PAU BRASIL"";-;2;-;-;2"
"""292400 PAULO AFONSO"";-;8;-;-;8"
"""292405 PE DE SERRA"";-;2;-;-;2"
"""292430 PIATA"";-;1;-;-;1"
"""292460 PINDOBACU"";-;3;-;-;3"
"""292465 PINTADAS"";-;3;-;-;3"
"""292470 PIRIPA"";-;2;-;-;2"
"""292480 PIRITIBA"";-;5;-;-;5"
"""292510 POCOES"";-;8;-;-;8"
"""292530 PORTO SEGURO"";1;38;-;-;39"
"""292550 PRADO"";-;1;-;-;1"
"""292560 PRESIDENTE DUTRA"";-;1;-;-;1"
"""292575 PRESIDENTE TANCREDO NEVES"";-;2;-;-;2"
"""292595 RAFAEL JAMBEIRO"";-;1;-;-;1"
"""292600 REMANSO"";-;7;-;-;7"
"""292630 RIACHAO DO JACUIPE"";-;5;-;-;5"
"""292640 RIACHO DE SANTANA"";-;3;-;-;3"
"""292660 RIBEIRA DO POMBAL"";-;58;-;-;58"
"""292670 RIO DE CONTAS"";-;2;-;-;2"
"""292720 RUY BARBOSA"";2;10;-;-;12"
"""292730 SALINAS DA MARGARIDA"";-;1;-;-;1"
"""292740 SALVADOR"";94;699;-;-;793"
"""292790 SANTA INES"";-;2;-;-;2"
"""292810 SANTA MARIA DA VITORIA"";-;7;-;-;7"
"""292820 SANTANA"";-;6;-;-;6"
"""292840 SANTA RITA DE CASSIA"";-;5;-;-;5"
"""292870 SANTO ANTONIO DE JESUS"";-;97;-;-;97"
"""292880 SANTO ESTEVAO"";-;5;-;-;5"
"""292890 SAO DESIDERIO"";-;1;-;-;1"
"""292900 SAO FELIX"";-;7;-;-;7"
"""292905 SAO FELIX DO CORIBE"";-;2;-;-;2"
"""292910 SAO FELIPE"";-;2;-;-;2"
"""292925 SAO GABRIEL"";-;2;-;-;2"
"""292950 SAO SEBASTIAO DO PASSE"";-;6;-;-;6"
"""292960 SAPEACU"";-;1;-;-;1"
"""292990 SEABRA"";-;29;-;-;29"
"""293000 SEBASTIAO LARANJEIRAS"";-;4;-;-;4"
"""293010 SENHOR DO BONFIM"";-;20;-;-;20"
"""293015 SERRA DO RAMALHO"";-;11;-;-;11"
"""293030 SERRA DOURADA"";-;4;-;-;4"
"""293040 SERRA PRETA"";-;3;-;-;3"
"""293070 SIMOES FILHO"";-;8;-;-;8"
"""293077 SOBRADINHO"";-;1;-;-;1"
"""293090 TABOCAS DO BREJO VELHO"";1;-;-;-;1"
"""293100 TANHACU"";3;4;-;-;7"
"""293110 TANQUINHO"";-;3;-;-;3"
"""293135 TEIXEIRA DE FREITAS"";2;68;-;-;70"
"""293150 TEOFILANDIA"";-;1;-;-;1"
"""293180 TREMEDAL"";-;1;-;-;1"
"""293200 UAUA"";-;5;-;-;5"
"""293210 UBAIRA"";-;7;-;-;7"
"""293250 UNA"";-;1;-;-;1"
"""293290 VALENCA"";-;11;-;-;11"
"""293305 VARZEA DA ROCA"";-;2;-;-;2"
"""293315 VARZEA NOVA"";-;1;-;-;1"
"""293330 VITORIA DA CONQUISTA"";1;151;-;-;152"
"""293340 WAGNER"";-;1;-;-;1"
"""293360 XIQUE-XIQUE"";-;11;-;-;11"
"""310010 ABADIA DOS DOURADOS"";-;1;-;-;1"
"""310020 ABAETE"";-;8;-;-;8"
"""310030 ABRE CAMPO"";-;3;-;-;3"
"""310060 AGUA BOA"";-;1;-;-;1"
"""310090 AGUAS FORMOSAS"";-;6;-;-;6"
"""310100 AGUAS VERMELHAS"";-;5;-;-;5"
"""310110 AIMORES"";-;6;-;-;6"
"""310150 ALEM PARAIBA"";-;9;-;-;9"
"""310160 ALFENAS"";4;56;-;-;60"
"""310170 ALMENARA"";-;17;-;-;17"
"""310190 ALPINOPOLIS"";-;6;-;-;6"
"""310200 ALTEROSA"";-;4;-;-;4"
"""310210 ALTO RIO DOCE"";-;4;-;-;4"
"""310230 ALVINOPOLIS"";-;4;-;-;4"
"""310260 ANDRADAS"";-;7;-;-;7"
"""310350 ARAGUARI"";-;56;-;-;56"
"""310375 ARAPORA"";-;1;-;-;1"
"""310400 ARAXA"";13;22;-;-;35"
"""310420 ARCOS"";-;9;-;-;9"
"""310430 AREADO"";-;5;-;-;5"
"""310470 ATALEIA"";-;3;-;-;3"
"""310490 BAEPENDI"";-;11;-;-;11"
"""310510 BAMBUI"";-;11;-;-;11"
"""310560 BARBACENA"";3;104;-;-;107"
"""310670 BETIM"";1;70;-;-;71"
"""310690 BICAS"";-;4;-;-;4"
"""310730 BOCAIUVA"";-;13;-;-;13"
"""310740 BOM DESPACHO"";-;15;-;-;15"
"""310750 BOM JARDIM DE MINAS"";-;4;-;-;4"
"""310780 BOM JESUS DO GALHO"";-;2;-;-;2"
"""310860 BRASILIA DE MINAS"";-;30;-;-;30"
"""310900 BRUMADINHO"";-;19;-;-;19"
"""310910 BUENO BRANDAO"";-;2;-;-;2"
"""310950 CABO VERDE"";-;4;-;-;4"
"""310990 CAETANOPOLIS"";-;3;-;-;3"
"""311000 CAETE"";-;3;-;-;3"
"""311030 CALDAS"";-;4;-;-;4"
"""311050 CAMANDUCAIA"";-;5;-;-;5"
"""311060 CAMBUI"";-;11;-;-;11"
"""311090 CAMPANHA"";-;2;-;-;2"
"""311100 CAMPESTRE"";-;3;-;-;3"
"""311120 CAMPO BELO"";-;33;-;-;33"
"""311130 CAMPO DO MEIO"";-;2;-;-;2"
"""311150 CAMPOS ALTOS"";-;2;-;-;2"
"""311160 CAMPOS GERAIS"";-;1;-;-;1"
"""311200 CANDEIAS"";-;4;-;-;4"
"""311230 CAPELINHA"";-;14;-;-;14"
"""311260 CAPINOPOLIS"";-;3;-;-;3"
"""311300 CARAI"";-;5;-;-;5"
"""311320 CARANDAI"";-;4;-;-;4"
"""311330 CARANGOLA"";-;34;-;-;34"
"""311340 CARATINGA"";-;46;-;-;46"
"""311350 CARBONITA"";-;3;-;-;3"
"""311400 CARMO DA MATA"";-;1;-;-;1"
"""311410 CARMO DE MINAS"";-;1;-;-;1"
"""311430 CARMO DO PARANAIBA"";-;3;-;-;3"
"""311440 CARMO DO RIO CLARO"";1;5;-;-;6"
"""311450 CARMOPOLIS DE MINAS"";-;3;-;-;3"
"""311510 CASSIA"";-;15;-;-;15"
"""311530 CATAGUASES"";-;43;-;-;43"
"""311580 CENTRALINA"";-;2;-;-;2"
"""311660 CLAUDIO"";-;4;-;-;4"
"""311680 COLUNA"";-;1;-;-;1"
"""311710 CONCEICAO DA APARECIDA"";-;2;-;-;2"
"""311730 CONCEICAO DAS ALAGOAS"";-;3;-;-;3"
"""311800 CONGONHAS"";-;16;-;-;16"
"""311830 CONSELHEIRO LAFAIETE"";-;14;-;-;14"
"""311840 CONSELHEIRO PENA"";-;4;-;-;4"
"""311860 CONTAGEM"";1;80;-;-;81"
"""311880 CORACAO DE JESUS"";-;8;-;-;8"
"""311930 COROMANDEL"";-;6;-;-;6"
"""311940 CORONEL FABRICIANO"";-;26;-;-;26"
"""312020 CRISTAIS"";-;2;-;-;2"
"""312050 CRISTINA"";-;3;-;-;3"
"""312080 CRUZILIA"";-;10;-;-;10"
"""312090 CURVELO"";-;40;-;-;40"
"""312160 DIAMANTINA"";-;44;-;-;44"
"""312210 DIVINO DAS LARANJEIRAS"";-;2;-;-;2"
"""312230 DIVINOPOLIS"";4;74;-;-;78"
"""312270 DOM SILVERIO"";-;1;-;-;1"
"""312320 DORES DO INDAIA"";-;2;-;-;2"
"""312400 ERVALIA"";-;3;-;-;3"
"""312420 ESPERA FELIZ"";-;7;-;-;7"
"""312430 ESPINOSA"";-;7;-;-;7"
"""312510 EXTREMA"";-;17;-;-;17"
"""312560 FELISBURGO"";-;3;-;-;3"
"""312610 FORMIGA"";1;23;-;-;24"
"""312670 FRANCISCO SA"";-;5;-;-;5"
"""312710 FRUTAL"";-;3;-;-;3"
"""312760 GOUVEIA"";-;2;-;-;2"
"""312770 GOVERNADOR VALADARES"";1;203;-;-;204"
"""312780 GRAO MOGOL"";-;2;-;-;2"
"""312800 GUANHAES"";2;18;-;-;20"
"""312830 GUARANESIA"";-;4;-;-;4"
"""312870 GUAXUPE"";-;33;-;-;33"
"""312910 GURINHATA"";-;2;-;-;2"
"""312940 IBERTIOGA"";-;1;-;-;1"
"""312950 IBIA"";-;1;-;-;1"
"""312980 IBIRITE"";-;22;-;-;22"
"""313030 IGUATAMA"";-;2;-;-;2"
"""313120 IPANEMA"";-;6;-;-;6"
"""313170 ITABIRA"";1;44;-;-;45"
"""313180 ITABIRINHA"";-;4;-;-;4"
"""313190 ITABIRITO"";-;1;-;-;1"
"""313220 ITAGUARA"";-;3;-;-;3"
"""313230 ITAIPE"";-;1;-;-;1"
"""313240 ITAJUBA"";-;63;-;-;63"
"""313250 ITAMARANDIBA"";-;12;-;-;12"
"""313310 ITANHANDU"";-;7;-;-;7"
"""313320 ITANHOMI"";-;2;-;-;2"
"""313330 ITAOBIM"";-;10;-;-;10"
"""313350 ITAPECERICA"";-;2;-;-;2"
"""313380 ITAUNA"";-;24;-;-;24"
"""313420 ITUIUTABA"";-;38;-;-;38"
"""313440 ITURAMA"";-;6;-;-;6"
"""313470 JACINTO"";-;1;-;-;1"
"""313505 JAIBA"";-;3;-;-;3"
"""313510 JANAUBA"";-;46;-;-;46"
"""313520 JANUARIA"";-;10;-;-;10"
"""313580 JEQUITINHONHA"";-;6;-;-;6"
"""313600 JOAIMA"";-;6;-;-;6"
"""313620 JOAO MONLEVADE"";-;19;-;-;19"
"""313630 JOAO PINHEIRO"";-;7;-;-;7"
"""313650 JORDANIA"";-;1;-;-;1"
"""313670 JUIZ DE FORA"";35;149;-;-;184"
"""313690 JURUAIA"";-;2;-;-;2"
"""313700 LADAINHA"";-;3;-;-;3"
"""313710 LAGAMAR"";-;1;-;-;1"
"""313720 LAGOA DA PRATA"";-;14;-;-;14"
"""313750 LAGOA FORMOSA"";-;3;-;-;3"
"""313760 LAGOA SANTA"";-;22;-;-;22"
"""313780 LAMBARI"";-;2;-;-;2"
"""313820 LAVRAS"";2;34;-;-;36"
"""313840 LEOPOLDINA"";-;16;-;-;16"
"""313880 LUZ"";-;5;-;-;5"
"""313900 MACHADO"";-;9;-;-;9"
"""313920 MALACACHETA"";-;14;-;-;14"
"""313930 MANGA"";-;4;-;-;4"
"""313940 MANHUACU"";1;57;-;-;58"
"""313950 MANHUMIRIM"";-;16;-;-;16"
"""314000 MARIANA"";-;10;-;-;10"
"""314070 MATEUS LEME"";-;7;-;-;7"
"""314090 MATIPO"";-;2;-;-;2"
"""314140 MEDINA"";-;7;-;-;7"
"""314160 MERCES"";-;1;-;-;1"
"""314180 MINAS NOVAS"";-;7;-;-;7"
"""314200 MIRABELA"";-;3;-;-;3"
"""314220 MIRAI"";1;-;-;-;1"
"""314240 MOEMA"";-;2;-;-;2"
"""314260 MONSENHOR PAULO"";-;1;-;-;1"
"""314270 MONTALVANIA"";-;3;-;-;3"
"""314280 MONTE ALEGRE DE MINAS"";-;5;-;-;5"
"""314290 MONTE AZUL"";-;6;-;-;6"
"""314300 MONTE BELO"";-;3;-;-;3"
"""314310 MONTE CARMELO"";-;13;-;-;13"
"""314320 MONTE SANTO DE MINAS"";-;5;-;-;5"
"""314330 MONTES CLAROS"";3;233;-;-;236"
"""314350 MORADA NOVA DE MINAS"";-;1;-;-;1"
"""314390 MURIAE"";4;141;-;-;145"
"""314400 MUTUM"";-;4;-;-;4"
"""314410 MUZAMBINHO"";-;3;-;-;3"
"""314430 NANUQUE"";-;6;-;-;6"
"""314460 NEPOMUCENO"";-;3;-;-;3"
"""314470 NOVA ERA"";-;1;-;-;1"
"""314510 NOVA RESENDE"";-;1;-;-;1"
"""314520 NOVA SERRANA"";-;26;-;-;26"
"""314530 NOVO CRUZEIRO"";-;15;-;-;15"
"""314560 OLIVEIRA"";-;26;-;-;26"
"""314590 OURO BRANCO"";-;7;-;-;7"
"""314610 OURO PRETO"";-;16;-;-;16"
"""314630 PADRE PARAISO"";-;13;-;-;13"
"""314700 PARACATU"";-;20;-;-;20"
"""314710 PARA DE MINAS"";-;32;-;-;32"
"""314720 PARAGUACU"";-;3;-;-;3"
"""314730 PARAISOPOLIS"";-;5;-;-;5"
"""314760 PASSA QUATRO"";-;2;-;-;2"
"""314770 PASSA TEMPO"";-;3;-;-;3"
"""314790 PASSOS"";1;54;-;-;55"
"""314800 PATOS DE MINAS"";1;84;-;-;85"
"""314810 PATROCINIO"";-;24;-;-;24"
"""314860 PECANHA"";-;9;-;-;9"
"""314870 PEDRA AZUL"";-;8;-;-;8"
"""314990 PERDOES"";-;4;-;-;4"
"""315030 PIEDADE DO RIO GRANDE"";-;1;-;-;1"
"""315080 PIRANGA"";-;2;-;-;2"
"""315110 PIRAPETINGA"";-;3;-;-;3"
"""315120 PIRAPORA"";-;37;-;-;37"
"""315150 PIUMHI"";-;20;-;-;20"
"""315170 POCO FUNDO"";-;3;-;-;3"
"""315180 POCOS DE CALDAS"";3;68;-;-;71"
"""315190 POCRANE"";-;1;-;-;1"
"""315200 POMPEU"";-;3;-;-;3"
"""315210 PONTE NOVA"";1;83;-;-;84"
"""315220 PORTEIRINHA"";-;3;-;-;3"
"""315250 POUSO ALEGRE"";1;114;-;-;115"
"""315270 PRADOS"";-;1;-;-;1"
"""315280 PRATA"";-;1;-;-;1"
"""315290 PRATAPOLIS"";-;1;-;-;1"
"""315400 RAUL SOARES"";-;11;-;-;11"
"""315410 RECREIO"";-;3;-;-;3"
"""315420 RESENDE COSTA"";-;6;-;-;6"
"""315430 RESPLENDOR"";-;17;-;-;17"
"""315460 RIBEIRAO DAS NEVES"";-;20;-;-;20"
"""315490 RIO CASCA"";-;1;-;-;1"
"""315560 RIO PARDO DE MINAS"";-;2;-;-;2"
"""315570 RIO PIRACICABA"";-;2;-;-;2"
"""315580 RIO POMBA"";-;8;-;-;8"
"""315590 RIO PRETO"";-;2;-;-;2"
"""315660 RUBIM"";-;1;-;-;1"
"""315670 SABARA"";-;5;-;-;5"
"""315680 SABINOPOLIS"";-;2;-;-;2"
"""315690 SACRAMENTO"";-;2;-;-;2"
"""315700 SALINAS"";-;27;-;-;27"
"""315720 SANTA BARBARA"";-;5;-;-;5"
"""315780 SANTA LUZIA"";-;29;-;-;29"
"""315960 SANTA RITA DO SAPUCAI"";-;19;-;-;19"
"""315990 SANTO ANTONIO DO AMPARO"";-;14;-;-;14"
"""316040 SANTO ANTONIO DO MONTE"";1;8;-;-;9"
"""316070 SANTOS DUMONT"";-;15;-;-;15"
"""316200 SAO GONCALO DO SAPUCAI"";-;5;-;-;5"
"""316210 SAO GOTARDO"";-;4;-;-;4"
"""316250 SAO JOAO DEL REI"";-;49;-;-;49"
"""316270 SAO JOAO DO PARAISO"";-;4;-;-;4"
"""316280 SAO JOAO EVANGELISTA"";-;4;-;-;4"
"""316290 SAO JOAO NEPOMUCENO"";-;5;-;-;5"
"""316370 SAO LOURENCO"";-;42;-;-;42"
"""316390 SAO PEDRO DA UNIAO"";-;1;-;-;1"
"""316470 SAO SEBASTIAO DO PARAISO"";-;64;-;-;64"
"""316690 SERRANIA"";-;2;-;-;2"
"""316710 SERRO"";-;12;-;-;12"
"""316720 SETE LAGOAS"";1;104;-;-;105"
"""316800 TAIOBEIRAS"";-;30;-;-;30"
"""316860 TEOFILO OTONI"";9;90;-;-;99"
"""316870 TIMOTEO"";-;19;-;-;19"
"""316890 TIROS"";-;2;-;-;2"
"""316930 TRES CORACOES"";-;32;-;-;32"
"""316940 TRES PONTAS"";-;23;-;-;23"
"""316990 UBA"";1;65;3;2;71"
"""317010 UBERABA"";5;169;-;-;174"
"""317020 UBERLANDIA"";6;203;-;-;209"
"""317040 UNAI"";1;43;-;-;44"
"""317070 VARGINHA"";3;60;-;-;63"
"""317080 VARZEA DA PALMA"";-;4;-;-;4"
"""317090 VARZELANDIA"";-;1;-;-;1"
"""317120 VESPASIANO"";-;7;-;-;7"
"""317130 VICOSA"";-;28;-;-;28"
"""317170 VIRGINIA"";-;3;-;-;3"
"""317200 VISCONDE DO RIO BRANCO"";-;23;-;-;23"
"""320020 ALEGRE"";-;1;-;-;1"
"""320050 APIACA"";-;7;-;-;7"
"""320080 BAIXO GUANDU"";-;9;-;-;9"
"""320120 CACHOEIRO DE ITAPEMIRIM"";3;103;5;-;111"
"""320130 CARIACICA"";-;41;-;-;41"
"""320150 COLATINA"";3;84;-;-;87"
"""320190 DOMINGOS MARTINS"";-;8;-;-;8"
"""320230 GUACUI"";-;13;-;-;13"
"""320240 GUARAPARI"";-;22;-;-;22"
"""320280 ITAPEMIRIM"";-;21;-;-;21"
"""320300 IUNA"";-;2;-;-;2"
"""320310 JERONIMO MONTEIRO"";-;6;-;-;6"
"""320320 LINHARES"";5;52;-;-;57"
"""320410 PINHEIROS"";-;1;-;-;1"
"""320450 SANTA LEOPOLDINA"";-;1;-;-;1"
"""320455 SANTA MARIA DE JETIBA"";-;4;-;-;4"
"""320470 SAO GABRIEL DA PALHA"";-;1;-;-;1"
"""320490 SAO MATEUS"";-;71;-;1;72"
"""320500 SERRA"";1;115;-;-;116"
"""320506 VENDA NOVA DO IMIGRANTE"";-;19;-;-;19"
"""320520 VILA VELHA"";4;94;-;-;98"
"""320530 VITORIA"";3;231;-;-;234"
"""330010 ANGRA DOS REIS"";-;58;-;-;58"
"""330020 ARARUAMA"";-;16;-;-;16"
"""330022 AREAL"";-;5;-;-;5"
"""330023 ARMACAO DOS BUZIOS"";-;17;-;-;17"
"""330025 ARRAIAL DO CABO"";-;9;-;-;9"
"""330030 BARRA DO PIRAI"";1;43;-;-;44"
"""330040 BARRA MANSA"";11;36;-;-;47"
"""330045 BELFORD ROXO"";-;10;-;-;10"
"""330060 BOM JESUS DO ITABAPOANA"";1;41;-;-;42"
"""330070 CABO FRIO"";13;38;-;-;51"
"""330080 CACHOEIRAS DE MACACU"";-;11;-;-;11"
"""330100 CAMPOS DOS GOYTACAZES"";67;131;-;-;198"
"""330120 CARMO"";-;7;-;-;7"
"""330130 CASIMIRO DE ABREU"";-;19;-;-;19"
"""330140 CONCEICAO DE MACABU"";-;3;-;-;3"
"""330170 DUQUE DE CAXIAS"";1;284;-;-;285"
"""330180 ENGENHEIRO PAULO DE FRONTIN"";-;2;-;-;2"
"""330185 GUAPIMIRIM"";-;16;-;-;16"
"""330190 ITABORAI"";54;51;-;-;105"
"""330220 ITAPERUNA"";5;58;-;-;63"
"""330225 ITATIAIA"";-;4;-;-;4"
"""330227 JAPERI"";-;10;-;-;10"
"""330230 LAJE DO MURIAE"";-;1;-;-;1"
"""330240 MACAE"";7;67;-;-;74"
"""330250 MAGE"";-;34;-;-;34"
"""330270 MARICA"";-;39;-;-;39"
"""330280 MENDES"";-;8;-;-;8"
"""330285 MESQUITA"";-;2;-;-;2"
"""330290 MIGUEL PEREIRA"";-;18;-;-;18"
"""330320 NILOPOLIS"";4;-;-;-;4"
"""330330 NITEROI"";52;135;-;-;187"
"""330340 NOVA FRIBURGO"";2;84;-;-;86"
"""330350 NOVA IGUACU"";57;167;-;-;224"
"""330360 PARACAMBI"";-;12;-;-;12"
"""330370 PARAIBA DO SUL"";-;9;-;-;9"
"""330380 PARATY"";-;9;-;-;9"
"""330400 PIRAI"";-;11;-;-;11"
"""330415 QUISSAMA"";-;8;-;-;8"
"""330420 RESENDE"";5;37;-;-;42"
"""330430 RIO BONITO"";1;22;-;-;23"
"""330440 RIO CLARO"";-;2;-;-;2"
"""330450 RIO DAS FLORES"";-;2;-;-;2"
"""330452 RIO DAS OSTRAS"";-;16;-;-;16"
"""330455 RIO DE JANEIRO"";622;1103;-;-;1725"
"""330480 SAO FIDELIS"";-;17;-;-;17"
"""330490 SAO GONCALO"";1;217;-;-;218"
"""330500 SAO JOAO DA BARRA"";3;6;-;-;9"
"""330510 SAO JOAO DE MERITI"";-;74;-;-;74"
"""330530 SAO SEBASTIAO DO ALTO"";-;2;-;-;2"
"""330540 SAPUCAIA"";-;3;-;-;3"
"""330550 SAQUAREMA"";4;57;-;-;61"
"""330555 SEROPEDICA"";-;1;-;-;1"
"""330575 TANGUA"";-;6;-;-;6"
"""330580 TERESOPOLIS"";-;33;-;-;33"
"""330600 TRES RIOS"";-;32;-;-;32"
"""330610 VALENCA"";-;39;-;-;39"
"""330620 VASSOURAS"";2;37;-;-;39"
"""330630 VOLTA REDONDA"";65;74;-;-;139"
"""350010 ADAMANTINA"";-;27;-;-;27"
"""350050 AGUAS DE LINDOIA"";-;13;-;-;13"
"""350130 ALVARES MACHADO"";-;1;-;-;1"
"""350160 AMERICANA"";-;55;-;-;55"
"""350170 AMERICO BRASILIENSE"";13;1;-;-;14"
"""350190 AMPARO"";-;24;-;-;24"
"""350210 ANDRADINA"";-;28;-;-;28"
"""350220 ANGATUBA"";-;8;-;-;8"
"""350250 APARECIDA"";-;26;-;-;26"
"""350270 APIAI"";-;3;-;-;3"
"""350280 ARACATUBA"";6;121;-;-;127"
"""350320 ARARAQUARA"";2;92;1;-;95"
"""350330 ARARAS"";1;35;-;-;36"
"""350400 ASSIS"";1;57;-;-;58"
"""350410 ATIBAIA"";-;26;-;-;26"
"""350420 AURIFLAMA"";-;2;-;-;2"
"""350450 AVARE"";-;28;-;5;33"
"""350520 BARIRI"";-;9;-;-;9"
"""350530 BARRA BONITA"";-;10;-;-;10"
"""350550 BARRETOS"";148;61;-;-;209"
"""350570 BARUERI"";1;87;-;-;88"
"""350590 BATATAIS"";-;22;-;-;22"
"""350600 BAURU"";4;159;-;-;163"
"""350610 BEBEDOURO"";-;23;-;-;23"
"""350630 BERNARDINO DE CAMPOS"";-;4;-;-;4"
"""350640 BILAC"";-;1;-;-;1"
"""350650 BIRIGUI"";-;20;-;-;20"
"""350670 BOA ESPERANCA DO SUL"";-;1;-;-;1"
"""350700 BOITUVA"";-;7;-;-;7"
"""350710 BOM JESUS DOS PERDOES"";-;1;-;-;1"
"""350740 BORBOREMA"";-;3;-;-;3"
"""350750 BOTUCATU"";4;126;-;-;130"
"""350760 BRAGANCA PAULISTA"";2;93;-;-;95"
"""350790 BROTAS"";-;3;-;-;3"
"""350810 BURITAMA"";-;6;-;-;6"
"""350840 CABREUVA"";-;3;-;-;3"
"""350850 CACAPAVA"";-;36;-;-;36"
"""350870 CACONDE"";-;5;-;-;5"
"""350900 CAIEIRAS"";-;1;-;-;1"
"""350920 CAJAMAR"";-;13;-;-;13"
"""350930 CAJOBI"";-;1;-;-;1"
"""350940 CAJURU"";-;8;-;-;8"
"""350950 CAMPINAS"";32;316;-;-;348"
"""350960 CAMPO LIMPO PAULISTA"";-;18;-;-;18"
"""350970 CAMPOS DO JORDAO"";2;6;-;-;8"
"""351000 CANDIDO MOTA"";-;6;-;-;6"
"""351040 CAPIVARI"";-;16;-;-;16"
"""351050 CARAGUATATUBA"";-;77;-;-;77"
"""351060 CARAPICUIBA"";-;49;-;-;49"
"""351070 CARDOSO"";-;1;-;-;1"
"""351080 CASA BRANCA"";1;12;-;-;13"
"""351100 CASTILHO"";1;1;-;-;2"
"""351110 CATANDUVA"";2;86;-;-;88"
"""351140 CERQUEIRA CESAR"";-;6;-;-;6"
"""351150 CERQUILHO"";-;8;-;-;8"
"""351160 CESARIO LANGE"";1;4;-;-;5"
"""351170 CHARQUEADA"";-;3;-;-;3"
"""351190 CLEMENTINA"";-;2;-;-;2"
"""351200 COLINA"";-;3;-;-;3"
"""351220 CONCHAL"";-;2;-;-;2"
"""351280 COSMOPOLIS"";-;12;-;-;12"
"""351300 COTIA"";-;41;1;1;43"
"""351340 CRUZEIRO"";-;45;-;-;45"
"""351350 CUBATAO"";-;27;-;-;27"
"""351360 CUNHA"";-;4;-;-;4"
"""351370 DESCALVADO"";-;5;-;-;5"
"""351380 DIADEMA"";1;55;-;-;56"
"""351390 DIVINOLANDIA"";1;6;-;-;7"
"""351410 DOIS CORREGOS"";-;3;-;-;3"
"""351440 DRACENA"";-;22;-;-;22"
"""351450 DUARTINA"";-;4;-;-;4"
"""351500 EMBU DAS ARTES"";-;1;-;-;1"
"""351510 EMBU-GUACU"";-;4;-;-;4"
"""351518 ESPIRITO SANTO DO PINHAL"";-;18;-;-;18"
"""351540 FARTURA"";-;3;-;-;3"
"""351550 FERNANDOPOLIS"";-;26;-;-;26"
"""351570 FERRAZ DE VASCONCELOS"";1;32;-;-;33"
"""351620 FRANCA"";1;127;-;-;128"
"""351630 FRANCISCO MORATO"";-;59;-;-;59"
"""351640 FRANCO DA ROCHA"";-;43;-;-;43"
"""351660 GALIA"";-;1;-;-;1"
"""351670 GARCA"";-;25;-;-;25"
"""351700 GETULINA"";-;2;-;-;2"
"""351740 GUAIRA"";1;4;-;-;5"
"""351770 GUARA"";-;2;-;-;2"
"""351780 GUARACAI"";-;1;-;-;1"
"""351820 GUARARAPES"";-;12;-;-;12"
"""351840 GUARATINGUETA"";2;38;-;-;40"
"""351860 GUARIBA"";-;5;-;-;5"
"""351870 GUARUJA"";2;72;-;-;74"
"""351880 GUARULHOS"";2;307;2;4;315"
"""351900 HERCULANDIA"";-;1;-;-;1"
"""351907 HORTOLANDIA"";-;43;-;-;43"
"""351930 IBATE"";-;2;-;-;2"
"""351960 IBITINGA"";1;19;-;-;20"
"""351970 IBIUNA"";-;12;-;-;12"
"""351990 IEPE"";-;1;-;-;1"
"""352010 IGARAPAVA"";-;4;-;-;4"
"""352044 ILHA SOLTEIRA"";-;11;-;-;11"
"""352050 INDAIATUBA"";-;76;-;-;76"
"""352070 INDIAPORA"";-;1;-;-;1"
"""352090 IPAUSSU"";-;2;-;-;2"
"""352180 ITAI"";-;5;-;-;5"
"""352190 ITAJOBI"";2;1;-;-;3"
"""352210 ITANHAEM"";1;49;-;-;50"
"""352220 ITAPECERICA DA SERRA"";1;67;1;3;72"
"""352230 ITAPETININGA"";-;70;-;-;70"
"""352240 ITAPEVA"";-;43;-;-;43"
"""352250 ITAPEVI"";-;33;-;-;33"
"""352260 ITAPIRA"";2;21;-;-;23"
"""352270 ITAPOLIS"";-;13;-;-;13"
"""352280 ITAPORANGA"";-;6;-;-;6"
"""352310 ITAQUAQUECETUBA"";-;89;-;-;89"
"""352320 ITARARE"";-;13;-;-;13"
"""352340 ITATIBA"";-;33;-;-;33"
"""352390 ITU"";-;45;-;-;45"
"""352410 ITUVERAVA"";-;16;-;-;16"
"""352430 JABOTICABAL"";-;10;-;-;10"
"""352440 JACAREI"";-;61;-;-;61"
"""352450 JACI"";-;1;-;-;1"
"""352470 JAGUARIUNA"";1;17;-;-;18"
"""352480 JALES"";1;47;-;-;48"
"""352530 JAU"";9;71;-;-;80"
"""352550 JOANOPOLIS"";-;3;-;-;3"
"""352570 JOSE BONIFACIO"";-;3;-;-;3"
"""352590 JUNDIAI"";13;142;-;-;155"
"""352600 JUNQUEIROPOLIS"";-;3;-;-;3"
"""352640 LARANJAL PAULISTA"";-;11;-;-;11"
"""352670 LEME"";1;32;-;-;33"
