"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";30302,23;761932,11;792234,34"
"""110002 ARIQUEMES"";963357,98;6333251,70;7296609,68"
"""110003 CABIXI"";-;88192,58;88192,58"
"""110004 CACOAL"";814076,49;11458683,46;12272759,95"
"""110005 CEREJEIRAS"";-;512463,18;512463,18"
"""110006 COLORADO DO OESTE"";-;279924,48;279924,48"
"""110008 COSTA MARQUES"";-;26413,89;26413,89"
"""110009 ESPIGAO D'OESTE"";-;397644,70;397644,70"
"""110010 GUAJARA-MIRIM"";-;1520065,84;1520065,84"
"""110011 JARU"";147384,23;1236014,23;1383398,46"
"""110012 JI-PARANA"";421206,91;5829268,22;6250475,13"
"""110013 MACHADINHO D'OESTE"";-;908566,54;908566,54"
"""110014 NOVA BRASILANDIA D'OESTE"";32160,80;464895,65;497056,45"
"""110015 OURO PRETO DO OESTE"";-;1911134,48;1911134,48"
"""110018 PIMENTA BUENO"";32927,05;1399585,26;1432512,31"
"""110020 PORTO VELHO"";1492776,04;82785010,15;84277786,19"
"""110025 PRESIDENTE MEDICI"";68542,78;373627,94;442170,72"
"""110026 RIO CRESPO"";-;12370,85;12370,85"
"""110028 ROLIM DE MOURA"";111590,84;1529029,46;1640620,30"
"""110029 SANTA LUZIA D'OESTE"";-;184201,88;184201,88"
"""110030 VILHENA"";1012682,14;7502467,19;8515149,33"
"""110032 SAO MIGUEL DO GUAPORE"";46877,98;616676,92;663554,90"
"""110033 NOVA MAMORE"";71935,97;353156,32;425092,29"
"""110034 ALVORADA D'OESTE"";-;343875,99;343875,99"
"""110037 ALTO ALEGRE DOS PARECIS"";-;179593,27;179593,27"
"""110040 ALTO PARAISO"";-;111144,77;111144,77"
"""110045 BURITIS"";-;680475,24;680475,24"
"""110050 NOVO HORIZONTE DO OESTE"";-;142878,73;142878,73"
"""110060 CACAULANDIA"";-;30010,75;30010,75"
"""110070 CAMPO NOVO DE RONDONIA"";-;79353,00;79353,00"
"""110080 CANDEIAS DO JAMARI"";-;35762,83;35762,83"
"""110094 CUJUBIM"";-;162950,67;162950,67"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;44043,15;44043,15"
"""110120 MINISTRO ANDREAZZA"";-;101928,95;101928,95"
"""110130 MIRANTE DA SERRA"";-;235757,39;235757,39"
"""110140 MONTE NEGRO"";123282,91;330535,13;453818,04"
"""110143 NOVA UNIAO"";-;48475,14;48475,14"
"""110145 PARECIS"";-;121789,61;121789,61"
"""110146 PIMENTEIRAS DO OESTE"";-;12984,69;12984,69"
"""110148 SAO FELIPE D'OESTE"";-;3937,41;3937,41"
"""110149 SAO FRANCISCO DO GUAPORE"";-;598953,70;598953,70"
"""110150 SERINGUEIRAS"";126299,59;575604,68;701904,27"
"""110155 TEIXEIROPOLIS"";-;21706,43;21706,43"
"""110160 THEOBROMA"";-;47372,80;47372,80"
"""110170 URUPA"";107770,09;220524,58;328294,67"
"""110175 VALE DO ANARI"";-;56227,41;56227,41"
"""110180 VALE DO PARAISO"";-;100135,84;100135,84"
"""120001 ACRELANDIA"";-;83192,73;83192,73"
"""120005 ASSIS BRASIL"";-;193863,66;193863,66"
"""120010 BRASILEIA"";160966,62;1155473,59;1316440,21"
"""120020 CRUZEIRO DO SUL"";439168,96;6089899,61;6529068,57"
"""120030 FEIJO"";-;397247,23;397247,23"
"""120033 MANCIO LIMA"";-;241418,37;241418,37"
"""120034 MANOEL URBANO"";-;141965,84;141965,84"
"""120035 MARECHAL THAUMATURGO"";-;77126,30;77126,30"
"""120038 PLACIDO DE CASTRO"";42490,60;157710,80;200201,40"
"""120039 PORTO WALTER"";-;71821,08;71821,08"
"""120040 RIO BRANCO"";10419170,35;32858815,26;43277985,61"
"""120042 RODRIGUES ALVES"";-;73686,55;73686,55"
"""120043 SANTA ROSA DO PURUS"";-;63111,05;63111,05"
"""120045 SENADOR GUIOMARD"";64879,62;255816,17;320695,79"
"""120050 SENA MADUREIRA"";-;729943,00;729943,00"
"""120060 TARAUACA"";241627,91;800303,38;1041931,29"
"""120070 XAPURI"";-;233918,74;233918,74"
"""130002 ALVARAES"";-;292064,16;292064,16"
"""130006 AMATURA"";16686,41;210532,85;227219,26"
"""130008 ANAMA"";-;406886,77;406886,77"
"""130010 ANORI"";-;691222,42;691222,42"
"""130014 APUI"";-;500083,37;500083,37"
"""130020 ATALAIA DO NORTE"";-;208851,33;208851,33"
"""130030 AUTAZES"";6942,45;640946,04;647888,49"
"""130040 BARCELOS"";-;408831,94;408831,94"
"""130050 BARREIRINHA"";-;571863,54;571863,54"
"""130060 BENJAMIN CONSTANT"";226511,08;650543,30;877054,38"
"""130063 BERURI"";-;242025,27;242025,27"
"""130068 BOA VISTA DO RAMOS"";-;278930,91;278930,91"
"""130070 BOCA DO ACRE"";86203,06;750589,96;836793,02"
"""130080 BORBA"";-;891048,96;891048,96"
"""130083 CAAPIRANGA"";-;175169,22;175169,22"
"""130090 CANUTAMA"";-;191393,99;191393,99"
"""130100 CARAUARI"";8605,15;943800,85;952406,00"
"""130110 CAREIRO"";231206,88;507574,71;738781,59"
"""130115 CAREIRO DA VARZEA"";-;5626,78;5626,78"
"""130120 COARI"";-;2254468,48;2254468,48"
"""130130 CODAJAS"";-;563514,02;563514,02"
"""130140 EIRUNEPE"";7513,26;823557,54;831070,80"
"""130150 ENVIRA"";-;359514,74;359514,74"
"""130160 FONTE BOA"";22735,43;618388,06;641123,49"
"""130165 GUAJARA"";-;118751,84;118751,84"
"""130170 HUMAITA"";-;957446,07;957446,07"
"""130180 IPIXUNA"";100857,14;881062,87;981920,01"
"""130185 IRANDUBA"";142443,44;347195,52;489638,96"
"""130190 ITACOATIARA"";230173,30;2413332,31;2643505,61"
"""130195 ITAMARATI"";-;485480,49;485480,49"
"""130200 ITAPIRANGA"";707,26;182361,23;183068,49"
"""130210 JAPURA"";-;174736,22;174736,22"
"""130230 JUTAI"";-;582798,18;582798,18"
"""130240 LABREA"";-;583114,52;583114,52"
"""130250 MANACAPURU"";495075,36;2808604,25;3303679,61"
"""130255 MANAQUIRI"";18933,72;266718,49;285652,21"
"""130260 MANAUS"";18851939,57;181453948,61;200305888,18"
"""130270 MANICORE"";57016,09;927852,42;984868,51"
"""130280 MARAA"";-;182005,57;182005,57"
"""130290 MAUES"";155747,61;1477053,90;1632801,51"
"""130300 NHAMUNDA"";-;112544,21;112544,21"
"""130310 NOVA OLINDA DO NORTE"";-;587048,06;587048,06"
"""130320 NOVO AIRAO"";10558,49;529580,29;540138,78"
"""130330 NOVO ARIPUANA"";53675,29;651083,44;704758,73"
"""130340 PARINTINS"";338610,13;3230764,42;3569374,55"
"""130350 PAUINI"";-;399294,44;399294,44"
"""130353 PRESIDENTE FIGUEIREDO"";46898,73;481498,34;528397,07"
"""130356 RIO PRETO DA EVA"";19968,18;240559,88;260528,06"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;225090,36;225090,36"
"""130370 SANTO ANTONIO DO ICA"";-;605157,42;605157,42"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;589306,25;589306,25"
"""130390 SAO PAULO DE OLIVENCA"";-;1587652,55;1587652,55"
"""130395 SAO SEBASTIAO DO UATUMA"";5605,96;304555,51;310161,47"
"""130400 SILVES"";12469,77;438704,12;451173,89"
"""130406 TABATINGA"";-;712877,57;712877,57"
"""130410 TAPAUA"";159,00;368481,19;368640,19"
"""130420 TEFE"";174295,02;2738100,48;2912395,50"
"""130423 TONANTINS"";-;445527,73;445527,73"
"""130426 UARINI"";-;353369,17;353369,17"
"""130430 URUCARA"";80711,17;337038,72;417749,89"
"""130440 URUCURITUBA"";-;139363,10;139363,10"
"""140005 ALTO ALEGRE"";-;90600,83;90600,83"
"""140010 BOA VISTA"";2167796,58;41681495,25;43849291,83"
"""140015 BONFIM"";-;24300,64;24300,64"
"""140020 CARACARAI"";-;83547,22;83547,22"
"""140023 CAROEBE"";-;53975,12;53975,12"
"""140040 NORMANDIA"";-;67477,89;67477,89"
"""140045 PACARAIMA"";-;229469,48;229469,48"
"""140047 RORAINOPOLIS"";27268,69;862308,15;889576,84"
"""140050 SAO JOAO DA BALIZA"";-;46096,72;46096,72"
"""140060 SAO LUIZ"";-;16565,01;16565,01"
"""150010 ABAETETUBA"";-;7223252,55;7223252,55"
"""150013 ABEL FIGUEIREDO"";11746,49;171492,63;183239,12"
"""150020 ACARA"";43801,99;601800,60;645602,59"
"""150030 AFUA"";-;343635,72;343635,72"
"""150034 AGUA AZUL DO NORTE"";43173,82;307733,39;350907,21"
"""150040 ALENQUER"";-;1822781,76;1822781,76"
"""150050 ALMEIRIM"";36605,62;879203,09;915808,71"
"""150060 ALTAMIRA"";1245572,27;11614848,53;12860420,80"
"""150070 ANAJAS"";-;618444,74;618444,74"
