"""Munic¡pio"";""2008/Jan"";""2008/Fev"";""2008/Mar"";""2008/Abr"";""2008/Mai"";""2008/Jun"";""2008/Jul"";""2008/Ago"";""2008/Set"";""2008/Out"";""2008/Nov"";""2008/Dez"";""2009/Jan"";""2009/Fev"";""2009/Mar"";""2009/Abr"";""2009/Mai"";""2009/Jun"";""2009/Jul"";""2009/Ago"";""2009/Set"";""2009/Out"";""2009/Nov"";""2009/Dez"";""2010/Jan"";""2010/Mar"";""2010/Abr"";""2010/Mai"";""2010/Jun"";""2010/Jul"";""2010/Ago"";""2010/Set"";""2010/Out"";""2010/Nov"";""2010/Dez"";""2011/Jan"";""2011/Fev"";""2011/Mar"";""2011/Abr"";""2011/Mai"";""2011/Jun"";""2011/Jul"";""2011/Ago"";""2011/Set"";""2011/Out"";""2011/Nov"";""2011/Dez"";""2012/Jan"";""2012/Fev"";""2012/Mar"";""2012/Abr"";""2012/Mai"";""2012/Jun"";""2012/Jul"";""2012/Ago"";""2012/Set"";""2012/Out"";""2012/Nov"";""2012/Dez"";""2013/Jan"";""2013/Fev"";""2013/Mar"";""2013/Abr"";""2013/Mai"";""2013/Jun"";""2013/Jul"";""2013/Ago"";""2013/Set"";""2013/Out"";""2013/Nov"";""2013/Dez"";""2014/Jan"";""2014/Fev"";""2014/Mar"";""2014/Abr"";""2014/Mai"";""2014/Jun"";""2014/Jul"";""2014/Ago"";""2014/Set"";""2014/Out"";""2014/Nov"";""2014/Dez"";""2015/Jan"";""2015/Fev"";""2015/Mar"";""2015/Abr"";""2015/Mai"";""2015/Jun"";""2015/Jul"";""2015/Ago"";""2015/Set"";""2015/Out"";""2015/Nov"";""2015/Dez"";""2016/Jan"";""2016/Fev"";""2016/Mar"";""2016/Abr"";""2016/Mai"";""2016/Jun"";""2016/Jul"";""2016/Ago"";""2016/Set"";""2016/Out"";""2016/Nov"";""2016/Dez"";""2017/Jan"";""2017/Fev"";""2017/Mar"";""2017/Abr"";""2017/Mai"";""2017/Jun"";""2017/Jul"";""2017/Ago"";""2017/Set"";""2017/Out"";""2017/Nov"";""2017/Dez"";""2018/Jan"";""2018/Fev"";""2018/Mar"";""2018/Abr"";""2018/Mai"";""2018/Jun"";""2018/Jul"";""2018/Ago"";""2018/Set"";""2018/Out"";""2018/Nov"";""2018/Dez"";""2019/Jan"";""2019/Fev"";""2019/Mar"";""2019/Abr"";""2019/Mai"";""2019/Jun"";""2019/Jul"";""2019/Ago"";""2019/Set"";""2019/Out"";""2019/Nov"";""2019/Dez"";""2020/Jan"";""2020/Fev"";""2020/Mar"";""2020/Abr"";""2020/Mai"";""2020/Jun"";""2020/Jul"";""2020/Ago"";""2020/Set"";""2020/Out"";""2020/Nov"";""2020/Dez"";""2021/Jan"";""2021/Fev"";""2021/Mar"";""2021/Abr"";""2021/Mai"";""2021/Jun"";""2021/Jul"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""230430 FARIAS BRITO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1410,10;31287,71;15147,59;22574,08;22939,81;27120,61;27018,41;19898,15;25540,86;32437,43;25289,52;33629,92;30145,48;23754,18;17859,08;33970,76;33771,50;42880,53;21381,74;24265,37;23635,65;24640,62;32705,26;18639,60;15430,02;19937,90;21070,75;23964,94;30656,17;38750,92;27680,57;23576,41;22097,06;24830,61;20922,36;23896,93;13991,83;12538,13;17727,44;24003,35;23016,56;19453,69;30814,22;14911,59;13305,88;20194,86;24309,58;20808,41;19693,71;-;1159527,85"
"""230440 FORTALEZA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107553,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40258,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28677,64;-;28677,64;-;282560,62;-;-;5417,43;16302,02;-;-;32760,65;-;-;-;-;-;-;4075,50;28677,64;-;117118,19;-;11492,65;27633,91;46468,37;-;-;-;88440,55;88440,55;28677,64;79715,86;80703,05;218028,74;803191,27;5517000,96;13774670,46;25972122,64;31535008,25;30888329,53;37776883,03;35295007,63;37035250,53;34831693,33;34085236,48;37613149,66;36035537,85;35765365,56;34880663,83;33536273,93;36122793,62;31482246,97;38452060,75;34169826,00;38414204,78;35067384,29;35634051,90;39507502,21;35677373,84;38035013,07;36276837,47;36132699,79;38563019,37;36585051,06;36169125,96;40154236,62;39817365,20;39136144,64;41712953,08;40214962,54;40887359,46;42158820,64;39332017,82;38262519,57;42642506,36;36157502,41;39513220,26;40042866,39;44804283,29;41578905,60;46320145,03;46888737,67;46799994,79;48136153,90;38932427,35;26631187,52;11232496,01;1884353062,43"
"""230445 FORTIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582,42;413,41;7721,06;4559,44;4041,40;2278,28;4883,63;3308,12;5416,89;6042,10;4640,35;4268,50;4125,54;5553,18;3317,21;5008,10;8396,50;6579,90;5569,91;7367,97;7330,91;9857,12;6393,55;8291,17;5057,85;3595,48;6588,58;5572,29;9008,66;7597,91;10866,89;7941,93;12144,63;6886,70;8573,75;9019,12;7435,17;4257,35;7121,05;7080,32;9453,11;7300,07;15420,56;9189,85;10484,50;10887,32;8190,72;9254,35;9120,83;6998,78;9132,43;350126,86"
"""230450 FRECHEIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1121,89;1472,46;22090,95;12207,18;12642,39;18375,61;16601,19;16674,32;10089,53;11515,76;10784,63;14241,25;10458,42;9014,42;17100,07;6367,95;18505,57;16255,10;22351,62;20422,75;16190,71;18127,30;14616,80;15920,28;14019,01;9637,38;7848,08;7306,06;10894,33;8055,36;14263,68;17089,07;9097,59;10242,61;10428,58;6159,26;7496,70;8318,47;7056,44;11427,07;7854,88;12590,38;8941,66;3352,22;4462,01;5304,53;8366,10;7962,01;8971,12;6190,97;8994,49;575478,21"
"""230460 GENERAL SAMPAIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1025,82;3906,61;629,46;1158,53;801,10;5898,74;1558,87;1247,60;875,04;-;4541,00;1927,84;4440,52;1318,44;2896,66;2938,44;4808,95;-;1748,40;653,42;2585,29;292,62;1047,27;1210,77;1164,84;661,74;2049,98;626,64;4240,09;1519,96;4507,94;1543,20;1428,36;2211,53;1582,59;1964,89;3762,57;3205,23;582,42;1087,25;1429,95;1876,80;1114,26;318,28;1612,93;670,86;44,22;-;-;-;86717,92"
"""230470 GRANJA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1805,60;25234,90;37932,75;30772,83;32693,89;38146,32;44489,09;44593,04;63782,71;50266,27;80571,64;54806,92;68391,46;49019,10;44173,49;60433,83;52424,85;61078,01;61471,54;80506,00;69556,61;82251,74;83754,92;92557,67;84088,80;88510,39;90989,41;117158,39;94902,70;129412,71;146554,82;152389,67;116295,21;136778,53;118116,47;145172,76;112986,67;72701,60;47950,65;83832,75;75685,19;76110,86;30754,22;104462,07;97058,30;109878,85;101947,14;118923,43;132267,43;101243,30;90804,78;82674,20;4170366,48"
"""230480 GRANJEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2074,31;9393,89;7266,06;1929,17;594,91;5009,25;1576,50;1741,38;876,74;4067,13;6323,32;2175,63;4222,75;3530,67;3447,24;6080,64;3323,59;5510,00;3965,05;4667,99;6155,73;6155,34;4414,62;1716,07;1191,82;2771,28;3465,30;4359,77;3550,62;4789,29;4126,09;4423,15;1803,30;3343,19;4049,28;2344,24;1082,17;5115,10;5062,89;4699,30;1894,96;3104,66;8010,18;7280,34;3944,46;2710,46;6309,87;2795,78;5958,52;3080,25;197484,25"
"""230490 GROAIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9325,52;1019,63;2166,23;2042,27;5045,83;3699,63;1814,09;3970,11;1972,17;3843,85;3597,30;6247,35;6470,71;5503,39;6480,01;6670,12;6298,97;4843,40;8717,28;4315,64;2804,48;7521,96;4626,49;5424,71;3720,93;1430,97;5094,46;5227,92;4745,88;8509,66;4942,62;5884,60;4472,99;4738,30;2118,75;2976,66;4428,62;5837,93;8170,21;11131,67;11068,71;7751,72;3805,29;5973,35;5180,12;2342,34;-;-;-;233974,84"
"""230495 GUAIUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88,44;812,68;44,22;3905,28;862,41;2219,52;495,57;1577,67;1024,10;728,53;309,54;514,04;353,76;349,92;221,10;467,99;353,76;221,10;397,98;176,88;265,32;176,88;221,10;309,54;397,98;1157,28;712,58;265,32;486,42;265,32;353,76;574,86;221,10;176,88;309,54;353,76;442,20;1595,34;619,08;795,96;1033,01;1598,18;1088,39;619,08;926,20;530,64;574,86;1352,84;530,64;176,88;224,15;442,20;33921,78"
"""230500 GUARACIABA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2801,94;33350,06;37653,87;29781,18;27591,05;43123,41;30547,54;35167,63;32557,19;42905,95;43285,13;48390,21;39182,49;40108,99;47319,85;49859,88;32929,10;44751,83;56171,52;51689,58;51160,92;50612,62;47570,06;46390,71;46565,40;39660,17;39564,11;58214,99;62273,01;60060,67;68104,90;50183,39;62960,12;86345,42;36944,31;44743,30;26839,77;31527,53;38799,75;50646,18;54287,37;76142,36;86307,32;71235,04;71089,23;113882,18;70474,12;85634,63;65799,65;56615,83;2519803,46"
"""230510 GUARAMIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1045,63;360,80;479,19;1281,88;1049,46;1536,80;-;1570,68;1164,84;190,70;321,68;-;389,10;220,66;797,98;457,32;413,10;841,47;-;-;-;-;-;-;-;12121,29"
"""230520 HIDROLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292,62;2566,18;29024,12;13563,48;11683,81;18029,58;30797,74;17110,11;14579,62;20659,38;15626,98;18793,83;13948,61;10479,50;11024,61;15319,70;24293,20;27979,60;18761,02;24686,22;19501,24;23403,99;23362,66;22336,67;13714,36;13230,09;15272,28;13955,74;21944,53;15542,10;19068,92;20223,03;16095,28;18849,16;16832,26;15489,45;17590,29;11096,53;10591,20;10037,48;13924,18;21846,83;28938,14;19866,84;21996,92;11096,82;14571,57;13042,82;9706,98;9707,23;8858,31;850913,81"
"""230523 HORIZONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;983,48;7364,90;87660,78;59594,78;70794,44;66202,10;84408,83;76652,48;91471,60;85399,25;74305,27;86135,67;80407,50;72881,10;87134,83;79864,74;85793,96;77543,76;88042,82;90437,98;81079,42;101775,62;83653,15;96632,69;105520,23;103124,63;103159,11;84296,20;74545,38;84674,45;91603,09;79306,91;91047,15;98856,10;109564,93;96879,21;119829,53;95780,81;95261,61;81022,75;86031,55;106190,93;111706,92;98737,72;121000,01;101609,54;127129,25;110470,07;95251,11;88421,31;57735,19;4434976,84"
"""230526 IBARETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;332,90;794,92;3568,58;289,32;731,08;3197,20;2223,36;4128,59;2016,96;2190,44;2785,64;1852,53;1968,93;1090,78;1852,03;1396,10;2321,40;4748,59;3940,35;3446,30;3614,57;1748,02;1156,24;3399,95;4610,62;2481,94;2472,61;590,42;5923,07;4563,52;3890,36;5150,70;4910,01;3027,15;4957,42;4122,58;4883,02;4281,47;3936,46;4674,00;2201,95;3614,35;7203,06;8256,88;3935,27;3605,64;4640,88;3588,39;3251,23;1457,46;1834,26;162859,50"
"""230530 IBIAPINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2849,50;43437,37;34402,05;33582,21;33344,89;44993,58;41553,16;39557,53;33817,70;39431,41;37458,72;42598,00;35884,59;33459,74;29226,65;41815,15;39422,09;36627,39;27551,59;36131,59;29218,16;25943,63;32415,86;32078,38;43277,64;29289,31;33891,04;41858,84;45771,11;53401,95;47207,15;40068,85;41599,63;51966,09;47079,36;46541,36;43164,14;42213,50;37122,30;40684,68;48490,16;70222,47;62237,51;44941,33;50472,85;56759,41;57664,12;66353,75;57228,50;57170,38;2083478,37"
"""230540 ICO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76863,75;308411,27;419607,85;268181,10;136716,15;119255,22;158985,07;136280,50;129917,13;158089,75;183243,30;175532,20;159279,07;176411,53;167034,07;145627,18;159049,30;175781,15;158383,23;187573,90;174851,53;153405,95;123777,71;104277,76;130683,88;97784,07;125421,07;129449,70;153797,25;156830,40;151831,00;149836,81;171068,40;163931,28;169338,13;144917,98;172415,12;177047,41;173691,03;166772,62;187095,66;208477,84;220568,43;197914,65;197496,26;197115,72;192148,96;214440,02;197301,03;184924,78;149672,91;8738508,08"
"""230550 IGUATU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4639,70;38091,45;115579,79;710786,53;378847,87;470020,56;614632,58;640862,58;668812,78;490288,38;530405,59;533720,13;598371,32;481360,34;561706,42;478989,99;465400,42;466783,75;638860,58;572775,26;523729,00;505046,20;747735,51;570670,53;544298,74;503570,09;622327,05;508486,12;528867,07;600458,02;689003,75;742200,49;652678,59;644401,57;613261,53;659757,38;620992,59;571838,48;482050,33;426744,22;629302,65;680971,41;819373,40;895137,94;745127,58;812179,57;784477,32;903239,79;744079,56;839131,11;645701,72;367757,53;30085532,86"
"""230560 INDEPENDENCIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300,62;20405,44;8729,78;13977,35;16774,10;13656,31;20320,56;11602,78;15106,96;9930,61;10287,31;11602,85;14511,15;12416,27;5520,36;11675,14;15971,87;11933,89;13922,58;14460,61;11739,07;8352,29;9594,46;13533,26;9938,42;10791,08;10790,85;11659,63;20072,09;9619,02;13264,92;14873,38;13565,22;11287,62;8949,60;11812,76;11869,96;6633,67;8042,70;14733,57;14708,29;27610,94;18389,81;11878,98;10580,54;12468,67;12768,52;9911,38;12012,32;-;614559,56"
"""230565 IPAPORANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7994,13;9376,10;5031,51;12424,07;12863,36;8306,92;7489,76;8732,34;5805,38;4739,12;8602,28;11299,49;10461,28;10704,67;6936,99;15447,78;11163,15;11077,82;7648,81;6708,45;9229,92;9534,30;5458,70;7342,26;6794,43;5276,76;10214,05;12915,76;14854,38;11942,07;10565,25;11563,46;8643,05;7987,07;9569,07;8615,03;11315,54;6655,68;9761,04;10997,97;12344,30;12397,31;7857,00;9037,59;10775,49;10054,36;8319,38;-;-;442834,63"
"""230570 IPAUMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9519,40;4334,68;491,43;4767,60;7883,64;5218,76;5456,91;7702,09;7429,71;8222,78;2504,08;6723,80;7062,99;1712,43;9004,50;7494,21;11593,45;12134,55;6638,68;5286,46;7032,83;5558,13;4310,64;4321,09;3989,65;3291,62;7544,34;12157,24;7940,89;7334,46;5896,26;5356,74;8802,81;3817,22;5243,55;6101,70;3720,03;4739,03;4988,10;6210,85;6604,65;5767,10;3759,16;4720,04;-;-;-;-;-;270390,28"
