"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";150;3005;-;-;-;-;3155"
"""110002 ARIQUEMES"";734;4901;-;-;-;-;5635"
"""110003 CABIXI"";160;-;-;-;-;-;160"
"""110004 CACOAL"";6100;9580;-;-;-;-;15680"
"""110005 CEREJEIRAS"";620;306;-;-;-;-;926"
"""110006 COLORADO DO OESTE"";182;599;-;-;-;-;781"
"""110008 COSTA MARQUES"";15;29;-;-;-;-;44"
"""110009 ESPIGAO D'OESTE"";-;1518;-;-;-;-;1518"
"""110010 GUAJARA-MIRIM"";-;3680;-;-;-;-;3680"
"""110011 JARU"";432;2928;-;-;-;-;3360"
"""110012 JI-PARANA"";1274;8865;-;-;-;-;10139"
"""110013 MACHADINHO D'OESTE"";624;2405;-;-;-;-;3029"
"""110014 NOVA BRASILANDIA D'OESTE"";12;966;-;-;-;-;978"
"""110015 OURO PRETO DO OESTE"";2289;574;-;-;-;-;2863"
"""110018 PIMENTA BUENO"";1011;2610;-;-;-;-;3621"
"""110020 PORTO VELHO"";16724;30803;-;-;518;-;48045"
"""110025 PRESIDENTE MEDICI"";230;918;-;-;-;-;1148"
"""110026 RIO CRESPO"";-;56;-;-;-;-;56"
"""110028 ROLIM DE MOURA"";349;3468;-;-;-;-;3817"
"""110029 SANTA LUZIA D'OESTE"";201;319;-;-;1;-;521"
"""110030 VILHENA"";2125;9649;-;-;-;-;11774"
"""110032 SAO MIGUEL DO GUAPORE"";220;987;-;-;-;-;1207"
"""110033 NOVA MAMORE"";310;723;-;-;-;-;1033"
"""110034 ALVORADA D'OESTE"";159;560;-;-;-;-;719"
"""110037 ALTO ALEGRE DOS PARECIS"";114;364;-;-;-;-;478"
"""110040 ALTO PARAISO"";-;253;-;-;-;-;253"
"""110045 BURITIS"";156;1172;-;-;8;-;1336"
"""110050 NOVO HORIZONTE DO OESTE"";1;497;-;-;-;-;498"
"""110060 CACAULANDIA"";44;-;-;-;-;-;44"
"""110070 CAMPO NOVO DE RONDONIA"";3;135;-;-;-;-;138"
"""110080 CANDEIAS DO JAMARI"";-;148;-;-;-;-;148"
"""110094 CUJUBIM"";1011;668;-;-;-;-;1679"
"""110100 GOVERNADOR JORGE TEIXEIRA"";20;42;-;-;-;-;62"
"""110110 ITAPUA DO OESTE"";2;70;-;-;-;-;72"
"""110120 MINISTRO ANDREAZZA"";269;1;-;-;-;-;270"
"""110130 MIRANTE DA SERRA"";163;382;-;-;-;-;545"
"""110140 MONTE NEGRO"";467;471;-;-;-;1;939"
"""110143 NOVA UNIAO"";-;108;-;-;-;-;108"
"""110145 PARECIS"";-;350;-;-;-;-;350"
"""110146 PIMENTEIRAS DO OESTE"";77;4;-;-;-;-;81"
"""110148 SAO FELIPE D'OESTE"";36;11;-;-;-;-;47"
"""110149 SAO FRANCISCO DO GUAPORE"";87;1338;-;-;-;-;1425"
"""110150 SERINGUEIRAS"";1127;72;-;-;4;-;1203"
"""110155 TEIXEIROPOLIS"";-;44;-;-;-;-;44"
"""110160 THEOBROMA"";135;2;-;-;-;-;137"
"""110170 URUPA"";673;-;-;-;-;-;673"
"""110175 VALE DO ANARI"";-;106;-;-;-;-;106"
"""110180 VALE DO PARAISO"";16;203;-;-;-;-;219"
"""120001 ACRELANDIA"";257;-;-;-;-;-;257"
"""120005 ASSIS BRASIL"";-;659;-;-;-;-;659"
"""120010 BRASILEIA"";456;2285;-;-;-;-;2741"
"""120020 CRUZEIRO DO SUL"";2228;9596;-;-;-;-;11824"
"""120030 FEIJO"";-;846;-;-;-;-;846"
"""120033 MANCIO LIMA"";615;11;-;-;-;-;626"
"""120034 MANOEL URBANO"";-;512;-;-;-;-;512"
"""120035 MARECHAL THAUMATURGO"";620;-;-;-;-;-;620"
"""120038 PLACIDO DE CASTRO"";424;107;-;-;-;-;531"
"""120039 PORTO WALTER"";306;16;-;-;-;-;322"
"""120040 RIO BRANCO"";20969;10885;-;-;-;-;31854"
"""120042 RODRIGUES ALVES"";372;-;-;-;-;-;372"
"""120043 SANTA ROSA DO PURUS"";208;-;-;-;-;-;208"
"""120045 SENADOR GUIOMARD"";1446;-;-;-;-;-;1446"
"""120050 SENA MADUREIRA"";-;1456;-;-;-;-;1456"
"""120060 TARAUACA"";2358;36;-;-;-;-;2394"
"""120070 XAPURI"";-;574;-;-;-;-;574"
"""130002 ALVARAES"";90;752;-;-;-;-;842"
"""130006 AMATURA"";4;400;-;-;-;-;404"
"""130008 ANAMA"";167;1369;-;-;-;-;1536"
"""130010 ANORI"";99;1383;-;-;-;-;1482"
"""130014 APUI"";89;787;-;-;-;-;876"
"""130020 ATALAIA DO NORTE"";170;653;-;-;-;-;823"
"""130030 AUTAZES"";100;1146;-;-;-;-;1246"
"""130040 BARCELOS"";94;754;-;-;-;-;848"
"""130050 BARREIRINHA"";84;1544;-;-;-;-;1628"
"""130060 BENJAMIN CONSTANT"";477;1485;-;-;-;-;1962"
"""130063 BERURI"";118;818;-;-;-;-;936"
"""130068 BOA VISTA DO RAMOS"";58;837;-;-;-;-;895"
"""130070 BOCA DO ACRE"";456;1613;-;-;-;-;2069"
"""130080 BORBA"";51;1757;-;-;-;-;1808"
"""130083 CAAPIRANGA"";1;641;-;-;-;-;642"
"""130090 CANUTAMA"";155;578;-;-;-;-;733"
"""130100 CARAUARI"";548;1892;-;-;-;-;2440"
"""130110 CAREIRO"";1110;1156;-;-;-;-;2266"
"""130120 COARI"";618;4131;-;-;-;-;4749"
"""130130 CODAJAS"";134;1319;-;-;-;-;1453"
"""130140 EIRUNEPE"";51;1615;-;-;-;-;1666"
"""130150 ENVIRA"";116;723;-;-;-;-;839"
"""130160 FONTE BOA"";203;1273;-;-;-;-;1476"
"""130165 GUAJARA"";87;445;-;-;-;-;532"
"""130170 HUMAITA"";416;1326;-;-;-;-;1742"
"""130180 IPIXUNA"";2214;-;-;-;-;-;2214"
"""130185 IRANDUBA"";129;665;-;-;-;-;794"
"""130190 ITACOATIARA"";740;4548;-;-;-;-;5288"
"""130195 ITAMARATI"";856;105;-;-;-;-;961"
"""130200 ITAPIRANGA"";184;327;-;-;-;-;511"
"""130210 JAPURA"";11;440;-;-;-;-;451"
"""130230 JUTAI"";1573;268;-;-;-;-;1841"
"""130240 LABREA"";44;1012;-;-;-;-;1056"
"""130250 MANACAPURU"";1142;5444;-;-;1;-;6587"
"""130255 MANAQUIRI"";155;472;-;-;-;-;627"
"""130260 MANAUS"";39310;89747;-;-;-;1;129058"
"""130270 MANICORE"";247;1718;-;-;-;-;1965"
"""130280 MARAA"";19;676;-;-;-;-;695"
"""130290 MAUES"";463;2596;-;-;-;-;3059"
"""130300 NHAMUNDA"";257;876;-;-;-;-;1133"
"""130310 NOVA OLINDA DO NORTE"";96;1198;-;-;-;-;1294"
"""130320 NOVO AIRAO"";31;1007;-;-;-;-;1038"
"""130330 NOVO ARIPUANA"";311;995;-;-;-;-;1306"
"""130340 PARINTINS"";1719;8196;-;-;-;-;9915"
"""130350 PAUINI"";10;1208;-;-;-;-;1218"
"""130353 PRESIDENTE FIGUEIREDO"";359;777;-;-;-;-;1136"
"""130356 RIO PRETO DA EVA"";183;272;-;-;-;-;455"
"""130360 SANTA ISABEL DO RIO NEGRO"";106;597;-;-;-;-;703"
"""130370 SANTO ANTONIO DO ICA"";172;958;-;-;-;-;1130"
"""130380 SAO GABRIEL DA CACHOEIRA"";20;1977;-;-;-;-;1997"
"""130390 SAO PAULO DE OLIVENCA"";73;1956;-;-;-;-;2029"
"""130395 SAO SEBASTIAO DO UATUMA"";115;633;-;-;-;-;748"
"""130400 SILVES"";144;545;-;-;5;-;694"
"""130406 TABATINGA"";2;456;-;-;-;-;458"
"""130410 TAPAUA"";-;241;-;-;-;-;241"
"""130420 TEFE"";1145;4913;-;-;-;-;6058"
"""130423 TONANTINS"";34;1384;-;-;-;-;1418"
"""130426 UARINI"";54;812;-;-;-;-;866"
"""130430 URUCARA"";146;674;-;-;-;-;820"
"""130440 URUCURITUBA"";24;322;-;-;-;-;346"
"""140005 ALTO ALEGRE"";-;131;-;-;-;-;131"
"""140010 BOA VISTA"";7439;26339;-;-;-;-;33778"
"""140015 BONFIM"";-;28;-;-;-;-;28"
"""140020 CARACARAI"";-;125;-;-;-;-;125"
"""140023 CAROEBE"";-;112;-;-;-;-;112"
"""140030 MUCAJAI"";-;17;-;-;-;-;17"
"""140040 NORMANDIA"";-;162;-;-;-;-;162"
"""140045 PACARAIMA"";2;400;-;-;-;-;402"
"""140047 RORAINOPOLIS"";7;2139;-;-;-;-;2146"
"""140050 SAO JOAO DA BALIZA"";-;396;-;-;-;-;396"
"""140060 SAO LUIZ"";-;91;-;-;-;-;91"
"""150010 ABAETETUBA"";2919;9007;-;-;-;-;11926"
"""150013 ABEL FIGUEIREDO"";85;338;-;-;-;-;423"
"""150020 ACARA"";204;1552;-;-;-;-;1756"
"""150030 AFUA"";1;1038;-;-;-;-;1039"
"""150034 AGUA AZUL DO NORTE"";243;782;-;-;14;-;1039"
"""150040 ALENQUER"";-;5571;-;-;-;-;5571"
"""150050 ALMEIRIM"";146;1932;-;-;-;-;2078"
"""150060 ALTAMIRA"";2946;8665;-;-;-;-;11611"
"""150070 ANAJAS"";8;1599;-;-;-;-;1607"
"""150080 ANANINDEUA"";5564;19105;-;-;-;-;24669"
"""150085 ANAPU"";5;1306;-;-;-;-;1311"
"""150090 AUGUSTO CORREA"";79;3727;-;-;-;-;3806"
"""150095 AURORA DO PARA"";268;1254;-;-;1;-;1523"
"""150110 BAGRE"";-;425;-;-;-;-;425"
"""150120 BAIAO"";53;2273;-;-;-;-;2326"
"""150125 BANNACH"";-;196;-;-;-;-;196"
"""150130 BARCARENA"";1292;6381;-;-;-;-;7673"
"""150140 BELEM"";36536;106657;-;-;1;-;143194"
"""150145 BELTERRA"";-;407;-;-;-;-;407"
"""150157 BOM JESUS DO TOCANTINS"";74;991;-;-;-;-;1065"
"""150170 BRAGANCA"";1141;10054;-;-;-;-;11195"
"""150172 BRASIL NOVO"";188;2454;-;-;-;-;2642"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;681;-;-;-;-;681"
"""150178 BREU BRANCO"";317;911;-;-;-;-;1228"
"""150180 BREVES"";840;8889;-;-;-;-;9729"
"""150200 CACHOEIRA DO ARARI"";21;1178;-;-;-;-;1199"
"""150210 CAMETA"";1065;7102;-;-;-;-;8167"
"""150215 CANAA DOS CARAJAS"";984;4724;-;-;35;-;5743"
"""150220 CAPANEMA"";2267;7265;-;-;-;-;9532"
"""150230 CAPITAO POCO"";1185;3;-;-;-;-;1188"
"""150240 CASTANHAL"";4859;20164;-;-;-;-;25023"
"""150250 CHAVES"";-;186;-;-;-;-;186"
"""150270 CONCEICAO DO ARAGUAIA"";691;3866;-;-;-;-;4557"
"""150275 CONCORDIA DO PARA"";-;649;-;-;-;-;649"
"""150276 CUMARU DO NORTE"";85;759;-;-;-;-;844"
"""150277 CURIONOPOLIS"";20;767;-;-;-;-;787"
"""150280 CURRALINHO"";215;1658;-;-;-;-;1873"
"""150290 CURUCA"";1;1827;-;-;-;-;1828"
"""150293 DOM ELISEU"";518;1598;-;-;-;-;2116"
"""150295 ELDORADO DOS CARAJAS"";297;1169;-;-;-;-;1466"
"""150300 FARO"";-;451;-;-;-;-;451"
"""150304 FLORESTA DO ARAGUAIA"";87;1379;-;-;-;-;1466"
"""150307 GARRAFAO DO NORTE"";59;424;-;-;-;-;483"
"""150309 GOIANESIA DO PARA"";197;1244;-;-;-;-;1441"
"""150310 GURUPA"";-;1982;-;-;-;-;1982"
"""150320 IGARAPE-ACU"";-;1104;-;-;-;-;1104"
"""150330 IGARAPE-MIRI"";1323;6613;-;-;-;-;7936"
"""150340 INHANGAPI"";-;27;-;-;-;-;27"
"""150345 IPIXUNA DO PARA"";1964;3650;-;-;-;-;5614"
"""150350 IRITUIA"";-;588;-;-;-;-;588"
"""150360 ITAITUBA"";1018;8038;-;-;-;-;9056"
"""150370 ITUPIRANGA"";307;1339;-;-;-;-;1646"
"""150375 JACAREACANGA"";137;1091;-;-;-;-;1228"
"""150380 JACUNDA"";425;3346;-;-;-;-;3771"
"""150390 JURUTI"";612;1648;-;-;-;-;2260"
"""150400 LIMOEIRO DO AJURU"";-;1250;-;-;-;30;1280"
"""150405 MAE DO RIO"";116;1427;-;-;-;-;1543"
"""150420 MARABA"";4406;13460;-;-;59;-;17925"
"""150430 MARACANA"";6;457;-;-;-;-;463"
"""150440 MARAPANIM"";-;440;-;-;-;-;440"
"""150442 MARITUBA"";1571;5514;-;-;-;-;7085"
"""150445 MEDICILANDIA"";214;1334;-;-;-;-;1548"
"""150450 MELGACO"";-;838;-;-;-;-;838"
"""150460 MOCAJUBA"";-;1830;-;-;-;-;1830"
"""150470 MOJU"";174;2036;-;-;-;-;2210"
"""150480 MONTE ALEGRE"";85;3228;-;-;-;-;3313"
"""150490 MUANA"";276;1895;-;-;-;-;2171"
"""150495 NOVA ESPERANCA DO PIRIA"";18;379;-;-;-;-;397"
"""150497 NOVA IPIXUNA"";-;314;-;-;-;-;314"
"""150503 NOVO PROGRESSO"";24;2345;-;-;-;-;2369"
"""150506 NOVO REPARTIMENTO"";493;998;-;-;-;-;1491"
"""150510 OBIDOS"";-;2169;-;-;-;-;2169"
"""150520 OEIRAS DO PARA"";-;1059;-;-;-;123;1182"
"""150530 ORIXIMINA"";297;4093;-;-;-;-;4390"
"""150540 OUREM"";108;768;-;-;-;-;876"
"""150543 OURILANDIA DO NORTE"";1012;5794;-;-;-;-;6806"
"""150548 PACAJA"";456;2229;-;-;-;-;2685"
"""150549 PALESTINA DO PARA"";2;333;-;-;-;-;335"
"""150550 PARAGOMINAS"";2413;5192;-;-;5;-;7610"
"""150553 PARAUAPEBAS"";1167;9994;-;-;-;-;11161"
"""150555 PAU D'ARCO"";90;543;-;-;-;-;633"
"""150563 PICARRA"";-;741;-;-;-;-;741"
"""150565 PLACAS"";40;1567;-;-;-;-;1607"
"""150570 PONTA DE PEDRAS"";-;974;-;-;-;-;974"
"""150580 PORTEL"";197;2432;-;-;-;-;2629"
"""150590 PORTO DE MOZ"";3;2113;-;-;-;-;2116"
"""150600 PRAINHA"";220;1001;-;-;-;-;1221"
"""150613 REDENCAO"";2718;7908;-;-;175;201;11002"
"""150616 RIO MARIA"";644;2093;-;-;-;-;2737"
"""150618 RONDON DO PARA"";629;1618;-;-;-;-;2247"
"""150619 RUROPOLIS"";91;1950;-;-;-;2;2043"
"""150620 SALINOPOLIS"";82;2710;-;-;-;-;2792"
