"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""223-2 Sociedade Simples Pura"";""224-0 Sociedade Simples Limitada"";""230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empres†ria)"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""230425 CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;1095;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1095"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174"
"""230427 ERERE"";-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41"
"""230428 EUSEBIO"";-;-;-;-;-;-;-;-;-;-;-;-;4594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4594"
"""230430 FARIAS BRITO"";-;-;-;-;-;-;-;-;-;-;-;-;674;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;674"
"""230440 FORTALEZA"";-;97177;36443;6896;-;24471;-;-;-;-;-;-;-;-;-;13060;-;251;3525;-;-;26;-;-;-;-;-;-;37744;219593"
"""230445 FORTIM"";-;-;-;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234"
"""230450 FRECHEIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;370;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;370"
"""230460 GENERAL SAMPAIO"";-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58"
"""230470 GRANJA"";-;-;-;-;-;-;-;-;-;-;-;-;1545;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1545"
"""230480 GRANJEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119"
"""230490 GROAIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131"
"""230495 GUAIUBA"";-;-;-;-;-;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88"
"""230500 GUARACIABA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;1029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1029"
"""230520 HIDROLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;533;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;533"
"""230523 HORIZONTE"";-;-;1793;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1793"
"""230526 IBARETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93"
"""230530 IBIAPINA"";-;-;-;-;-;-;-;-;-;-;-;-;1265;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1265"
"""230540 ICO"";-;-;-;-;-;-;-;-;-;-;-;-;3594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3594"
"""230550 IGUATU"";-;-;-;-;-;-;-;-;5338;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1492;6830"
"""230560 INDEPENDENCIA"";-;-;-;-;-;-;-;-;-;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319"
"""230565 IPAPORANGA"";-;-;-;-;-;-;-;-;-;-;-;-;272;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;272"
"""230570 IPAUMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192"
"""230580 IPU"";-;-;-;-;-;-;-;-;-;-;-;-;2752;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2752"
"""230590 IPUEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;803;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;803"
"""230600 IRACEMA"";-;-;-;-;-;-;-;-;-;-;-;-;534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;534"
"""230610 IRAUCUBA"";-;-;-;-;-;-;-;-;-;-;-;-;368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;368"
"""230620 ITAICABA"";-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30"
"""230625 ITAITINGA"";-;-;-;-;-;-;-;-;-;-;-;-;454;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;454"
"""230630 ITAPAJE"";-;-;-;-;-;-;-;-;-;-;-;-;739;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;739"
"""230640 ITAPIPOCA"";-;-;-;-;-;-;-;-;-;-;-;-;349;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11537;11886"
"""230650 ITAPIUNA"";-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116"
"""230655 ITAREMA"";-;-;-;-;-;-;-;-;-;-;-;-;1281;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1281"
"""230670 JAGUARETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;1136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1136"
"""230680 JAGUARIBARA"";-;-;-;-;-;-;-;-;-;-;-;-;328;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328"
"""230690 JAGUARIBE"";-;-;-;-;-;-;-;-;-;-;-;-;1429;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1429"
"""230700 JAGUARUANA"";-;-;-;-;-;-;-;-;-;-;-;-;567;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;567"
"""230710 JARDIM"";-;-;-;-;-;-;-;-;-;-;-;-;466;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;466"
"""230720 JATI"";-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125"
"""230725 JIJOCA DE JERICOACOARA"";-;-;-;-;-;-;-;-;-;-;-;-;590;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;590"
"""230730 JUAZEIRO DO NORTE"";-;12302;6818;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19120"
"""230740 JUCAS"";-;-;-;-;-;-;-;-;-;-;-;-;875;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;875"
"""230750 LAVRAS DA MANGABEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1874;1874"
"""230760 LIMOEIRO DO NORTE"";-;2507;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7431;9938"
"""230763 MADALENA"";-;-;-;-;-;-;-;-;-;-;-;-;277;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;277"
"""230765 MARACANAU"";-;-;-;-;-;-;-;-;-;-;-;-;8400;-;-;-;-;975;-;-;-;-;-;-;-;-;-;-;6645;16020"
"""230770 MARANGUAPE"";-;-;2224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2224"
"""230780 MARCO"";-;-;-;-;-;-;-;-;-;-;-;-;651;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;651"
"""230790 MARTINOPOLE"";-;-;-;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;155"
"""230800 MASSAPE"";-;-;-;-;-;-;-;-;-;-;-;-;494;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;494"
"""230810 MAURITI"";-;-;-;-;-;-;-;-;-;-;-;-;2509;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2509"
"""230820 MERUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;261;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261"
"""230830 MILAGRES"";-;-;-;-;-;-;-;-;-;-;-;-;1663;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1663"
"""230835 MILHA"";-;-;-;-;-;-;-;-;-;-;-;-;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;274"
"""230840 MISSAO VELHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2189;2189"
"""230850 MOMBACA"";-;-;-;-;-;-;-;-;-;-;-;-;1991;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1991"
"""230860 MONSENHOR TABOSA"";-;-;405;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;405"
"""230870 MORADA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;2004;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2004"
"""230880 MORAUJO"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""230890 MORRINHOS"";-;-;-;-;-;-;-;-;-;-;-;-;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;279"
"""230900 MUCAMBO"";-;-;-;-;-;-;-;-;-;-;-;-;1032;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1032"
"""230910 MULUNGU"";-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149"
"""230920 NOVA OLINDA"";-;-;-;-;-;-;-;-;-;-;-;-;222;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;222"
"""230930 NOVA RUSSAS"";-;-;-;-;-;-;-;-;-;-;-;-;1477;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1477"
"""230940 NOVO ORIENTE"";-;-;-;-;-;-;-;-;-;-;-;-;775;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;775"
"""230945 OCARA"";-;-;-;-;-;-;-;-;-;-;-;-;330;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;330"
"""230950 OROS"";-;-;-;-;-;-;-;-;-;-;-;-;647;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;647"
"""230960 PACAJUS"";-;-;-;-;-;-;-;-;-;-;-;-;672;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;672"
"""230970 PACATUBA"";-;-;-;-;-;-;-;-;-;-;-;-;318;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318"
"""230980 PACOTI"";-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87"
"""231010 PALMACIA"";-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66"
"""231020 PARACURU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;745;745"
"""231025 PARAIPABA"";-;-;-;-;-;-;-;-;-;-;-;-;359;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;359"
"""231030 PARAMBU"";-;-;-;-;-;-;-;-;-;-;-;-;1800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1800"
"""231040 PARAMOTI"";-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150"
"""231050 PEDRA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;903;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;903"
"""231060 PENAFORTE"";-;-;-;-;-;-;-;-;-;-;-;-;255;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;255"
"""231070 PENTECOSTE"";-;-;-;-;-;-;-;-;-;-;-;-;780;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;780"
"""231080 PEREIRO"";-;-;-;-;-;-;-;-;-;-;-;-;492;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;492"
"""231085 PINDORETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;246;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;246"
"""231090 PIQUET CARNEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;456"
"""231100 PORANGA"";-;-;-;-;-;-;-;-;-;-;-;-;114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114"
"""231110 PORTEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;414;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;414"
"""231120 POTENGI"";-;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;152"
"""231126 QUITERIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;211"
"""231130 QUIXADA"";-;-;-;-;-;-;-;867;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5933;6800"
"""231135 QUIXELO"";-;-;-;-;-;-;-;-;-;-;-;-;582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582"
"""231140 QUIXERAMOBIM"";-;7726;-;-;-;-;-;-;-;-;-;-;4761;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1451;13938"
"""231150 QUIXERE"";-;-;-;-;-;-;-;-;-;-;-;-;477;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;477"
"""231160 REDENCAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1455;1455"
"""231170 RERIUTABA"";-;-;-;-;-;-;-;-;-;-;-;-;330;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;330"
"""231180 RUSSAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6727;6727"
"""231190 SABOEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325"
"""231195 SALITRE"";-;-;-;-;-;-;-;-;-;-;-;-;357;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;357"
"""231200 SANTANA DO ACARAU"";-;-;-;-;-;-;-;-;-;-;-;-;483;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;483"
"""231210 SANTANA DO CARIRI"";-;-;-;-;-;-;-;-;-;-;-;-;349;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349"
"""231220 SANTA QUITERIA"";-;-;-;-;-;-;-;-;-;-;-;-;952;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;952"
"""231230 SAO BENEDITO"";-;-;-;-;-;-;-;-;-;-;-;-;1632;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1632"
"""231240 SAO GONCALO DO AMARANTE"";-;-;-;-;-;-;-;-;-;-;-;-;2581;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2581"
"""231260 SAO LUIS DO CURU"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""231270 SENADOR POMPEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;508;508"
"""231290 SOBRAL"";-;13793;-;-;-;-;-;-;-;-;-;-;3258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20511;37562"
"""231300 SOLONOPOLE"";-;-;-;-;-;-;-;-;-;-;-;-;409;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;409"
"""231310 TABULEIRO DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1354;1354"
"""231320 TAMBORIL"";-;-;-;-;-;-;-;-;-;-;-;-;735;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;735"
"""231325 TARRAFAS"";-;-;-;-;-;-;-;-;-;-;-;-;175;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175"
"""231330 TAUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11514;11514"
"""231335 TEJUCUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107"
"""231340 TIANGUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8647;8647"
"""231350 TRAIRI"";-;-;-;-;-;-;-;-;-;-;-;-;880;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;880"
"""231355 TURURU"";-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84"
"""231360 UBAJARA"";-;-;-;-;-;-;-;-;-;-;-;-;1395;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1395"
"""231370 UMARI"";-;-;-;-;-;-;-;-;-;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121"
"""231375 UMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77"
"""231380 URUBURETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;214"
"""231390 URUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""231395 VARJOTA"";-;-;-;-;-;-;-;-;-;-;-;-;301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;301"
"""231400 VARZEA ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4023;4023"
"""231410 VICOSA DO CEARA"";-;-;-;-;-;-;-;-;-;-;-;-;2354;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2354"
"""240020 ACU"";-;1458;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1458"
"""240030 AFONSO BEZERRA"";-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34"
"""240050 ALEXANDRIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5343;5343"
"""240060 ALMINO AFONSO"";-;-;-;-;-;-;-;-;-;-;-;-;3403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3403"
"""240070 ALTO DO RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81"
"""240080 ANGICOS"";-;316;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;316"
"""240090 ANTONIO MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;373;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;373"
"""240100 APODI"";-;1169;-;-;-;-;-;-;-;-;-;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1303"
"""240110 AREIA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;552;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;552"
"""240145 BARAUNA"";-;-;-;-;-;-;-;-;-;-;-;-;191;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;191"
"""240180 BREJINHO"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""240200 CAICO"";-;3766;-;-;-;-;-;-;-;-;-;-;2364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6130"
"""240230 CARAUBAS"";-;570;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;570"
"""240250 CARNAUBAIS"";-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50"
"""240260 CEARA-MIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;3594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3594"
"""240270 CERRO CORA"";-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105"
"""240280 CORONEL EZEQUIEL"";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3"
"""240290 CORONEL JOAO PESSOA"";-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""240310 CURRAIS NOVOS"";-;4713;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;-;-;-;5313"
"""240320 DOUTOR SEVERIANO"";-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113"
"""240325 PARNAMIRIM"";-;4081;-;-;-;-;-;-;-;-;-;-;4718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8799"
"""240330 ENCANTO"";-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27"
"""240340 EQUADOR"";-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85"
"""240360 EXTREMOZ"";-;-;-;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;480"
"""240370 FELIPE GUERRA"";-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54"
"""240400 FRUTUOSO GOMES"";-;-;-;-;-;-;-;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197"
"""240420 GOIANINHA"";-;-;-;-;-;-;-;-;-;-;-;-;167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167"
"""240450 GUAMARE"";-;-;-;-;-;-;-;-;-;-;-;-;912;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;912"
"""240485 ITAJA"";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""240520 JANDUIS"";-;-;-;-;-;-;-;-;-;-;-;-;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;241"
"""240530 JANUARIO CICCO"";-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54"
"""240560 JARDIM DE PIRANHAS"";-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158"
"""240570 JARDIM DO SERIDO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;227;227"
"""240580 JOAO CAMARA"";-;1027;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1027"
"""240600 JOSE DA PENHA"";-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82"
"""240610 JUCURUTU"";-;-;-;-;-;-;-;-;-;-;-;-;907;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;907"
"""240650 LAGOA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87"
"""240670 LAJES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;317;317"
"""240690 LUCRECIA"";-;-;-;-;-;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248"
"""240710 MACAIBA"";-;1672;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1672"
"""240720 MACAU"";-;-;-;-;-;-;-;-;-;-;-;-;649;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;649"
"""240725 MAJOR SALES"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""240740 MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;249;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;249"
"""240760 MESSIAS TARGINO"";-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27"
"""240780 MONTE ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;388;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;388"
"""240800 MOSSORO"";-;9140;-;-;-;-;-;-;-;-;-;-;779;-;-;-;-;-;3927;-;-;-;-;-;-;-;-;-;13229;27075"
"""240810 NATAL"";-;41533;7233;7563;-;-;-;-;-;-;-;-;-;-;-;8608;-;4238;9412;-;-;-;-;509;-;-;-;-;25506;104602"
"""240830 NOVA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278"
"""240890 PARELHAS"";-;-;-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;261"
"""240910 PASSA E FICA"";-;-;-;-;-;-;-;-;-;-;-;-;261;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261"
"""240930 PATU"";-;-;-;-;-;-;-;-;-;-;-;-;193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193"
"""240940 PAU DOS FERROS"";-;4722;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1346;6068"
"""240980 PEDRO VELHO"";-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""240990 PENDENCIAS"";-;-;-;-;-;-;-;-;-;-;-;-;114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114"
