"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""223-2 Sociedade Simples Pura"";""224-0 Sociedade Simples Limitada"";""230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empres†ria)"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""110080 CANDEIAS DO JAMARI"";-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110"
"""110094 CUJUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;-;-;-;-;-;257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257"
"""110130 MIRANTE DA SERRA"";-;-;-;-;-;-;-;-;-;-;-;-;424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;424"
"""110140 MONTE NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;807;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;807"
"""110143 NOVA UNIAO"";-;-;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117"
"""110145 PARECIS"";-;-;-;-;-;-;-;-;-;-;-;-;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;500"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40"
"""110148 SAO FELIPE D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""110149 SAO FRANCISCO DO GUAPORE"";-;1287;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1287"
"""110150 SERINGUEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;1361;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1361"
"""110155 TEIXEIROPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""110160 THEOBROMA"";-;-;-;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124"
"""110170 URUPA"";-;-;-;-;-;-;-;-;-;-;-;-;579;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;579"
"""110175 VALE DO ANARI"";-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166"
"""110180 VALE DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251"
"""120001 ACRELANDIA"";-;198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198"
"""120005 ASSIS BRASIL"";-;469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;469"
"""120010 BRASILEIA"";-;2991;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2991"
"""120020 CRUZEIRO DO SUL"";-;12806;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12806"
"""120030 FEIJO"";-;1092;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1092"
"""120033 MANCIO LIMA"";-;673;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;673"
"""120034 MANOEL URBANO"";-;433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;433"
"""120035 MARECHAL THAUMATURGO"";-;427;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;427"
"""120038 PLACIDO DE CASTRO"";-;568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;568"
"""120039 PORTO WALTER"";-;277;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;277"
"""120040 RIO BRANCO"";-;18477;-;-;-;-;-;7645;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7440;33562"
"""120042 RODRIGUES ALVES"";-;278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278"
"""120043 SANTA ROSA DO PURUS"";-;182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182"
"""120045 SENADOR GUIOMARD"";-;847;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;847"
"""120050 SENA MADUREIRA"";-;1855;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1855"
"""120060 TARAUACA"";-;2393;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2393"
"""120070 XAPURI"";-;731;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;731"
"""130002 ALVARAES"";-;-;-;-;-;-;-;-;-;-;-;-;636;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;636"
"""130006 AMATURA"";-;49;-;-;-;-;-;-;-;-;-;-;443;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;492"
"""130008 ANAMA"";-;-;-;-;-;-;-;-;-;-;-;-;1250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1250"
"""130010 ANORI"";-;-;-;-;-;-;-;-;-;-;-;-;1848;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1848"
"""130014 APUI"";-;-;-;-;-;-;-;-;-;-;-;-;1113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1113"
"""130020 ATALAIA DO NORTE"";-;155;-;-;-;-;-;-;-;-;-;-;415;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;570"
"""130030 AUTAZES"";-;-;-;-;-;-;-;-;-;-;-;-;1285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1285"
"""130040 BARCELOS"";-;-;-;-;-;-;-;-;-;-;-;-;962;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;962"
"""130050 BARREIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;1419;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1419"
"""130060 BENJAMIN CONSTANT"";-;-;-;-;-;-;-;-;-;-;-;-;1702;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1702"
"""130063 BERURI"";-;-;-;-;-;-;-;-;-;-;-;-;669;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;669"
"""130068 BOA VISTA DO RAMOS"";-;-;-;-;-;-;-;-;-;-;-;-;727;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;727"
"""130070 BOCA DO ACRE"";-;-;-;-;-;-;-;-;-;-;-;-;1864;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1864"
"""130080 BORBA"";-;-;-;-;-;-;-;-;-;-;-;-;2184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2184"
"""130083 CAAPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;440"
"""130090 CANUTAMA"";-;-;-;-;-;-;-;-;-;-;-;-;495;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;495"
"""130100 CARAUARI"";-;-;-;-;-;-;-;-;-;-;-;-;1635;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1635"
"""130110 CAREIRO"";-;-;-;-;-;-;-;-;-;-;-;-;1392;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1392"
"""130115 CAREIRO DA VARZEA"";-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""130120 COARI"";-;-;-;-;-;-;-;-;-;-;-;-;4131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4131"
"""130130 CODAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;1472;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1472"
"""130140 EIRUNEPE"";-;495;-;-;-;-;-;-;-;-;-;-;1053;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1548"
"""130150 ENVIRA"";-;624;-;-;-;-;-;-;-;-;-;-;309;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;933"
"""130160 FONTE BOA"";-;-;-;-;-;-;-;-;-;-;-;-;1384;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1384"
"""130165 GUAJARA"";-;-;-;-;-;-;-;-;-;-;-;-;326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;326"
"""130170 HUMAITA"";-;-;-;-;-;-;-;-;-;-;-;-;1968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1968"
"""130180 IPIXUNA"";-;-;-;-;-;-;-;-;-;-;-;-;2160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2160"
"""130185 IRANDUBA"";-;-;-;-;-;-;-;-;-;-;-;-;870;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;870"
"""130190 ITACOATIARA"";-;-;-;-;-;-;-;-;-;-;-;-;4928;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4928"
"""130195 ITAMARATI"";-;-;-;-;-;-;-;-;-;-;-;-;1127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1127"
"""130200 ITAPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;381"
"""130210 JAPURA"";-;-;-;-;-;-;-;-;-;-;-;-;536;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;536"
"""130230 JUTAI"";-;1537;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1537"
"""130240 LABREA"";-;508;-;-;-;-;-;-;-;-;-;-;685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1193"
"""130250 MANACAPURU"";-;-;-;-;-;-;-;-;-;-;-;-;6069;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6069"
"""130255 MANAQUIRI"";-;-;-;-;-;-;-;-;-;-;-;-;691;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;691"
"""130260 MANAUS"";-;96871;4937;-;-;-;-;17068;-;-;-;-;-;-;-;5106;-;-;390;-;-;-;-;-;-;-;-;-;-;124372"
"""130270 MANICORE"";-;-;-;-;-;-;-;-;-;-;-;-;1890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1890"
"""130280 MARAA"";-;388;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429"
"""130290 MAUES"";-;-;-;-;-;-;-;-;-;-;-;-;3078;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3078"
"""130300 NHAMUNDA"";-;-;-;-;-;-;-;-;-;-;-;-;268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;268"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;1268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1268"
"""130320 NOVO AIRAO"";-;-;-;-;-;-;-;-;-;-;-;-;1009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1009"
"""130330 NOVO ARIPUANA"";-;-;-;-;-;-;-;-;-;-;-;-;1707;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1707"
"""130340 PARINTINS"";-;-;-;-;-;-;-;-;-;-;-;-;5347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3032;8379"
"""130350 PAUINI"";-;569;-;-;-;-;-;-;-;-;-;-;337;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;906"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;-;-;-;-;-;-;-;-;-;1083;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1083"
"""130356 RIO PRETO DA EVA"";-;-;-;-;-;-;-;-;-;-;-;-;469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;469"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;551;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;551"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;-;-;-;-;-;-;-;-;-;1563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1563"
