"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;578054,15;578054,15"
"""110002 ARIQUEMES"";305253,51;6437324,22;6742577,73"
"""110003 CABIXI"";-;67574,87;67574,87"
"""110004 CACOAL"";38291,52;11151033,91;11189325,43"
"""110005 CEREJEIRAS"";-;435512,87;435512,87"
"""110006 COLORADO DO OESTE"";-;272327,07;272327,07"
"""110008 COSTA MARQUES"";-;99963,43;99963,43"
"""110009 ESPIGAO D'OESTE"";-;603482,22;603482,22"
"""110010 GUAJARA-MIRIM"";-;1525656,83;1525656,83"
"""110011 JARU"";65285,21;1917258,99;1982544,20"
"""110012 JI-PARANA"";390559,67;8574420,62;8964980,29"
"""110013 MACHADINHO D'OESTE"";-;719614,40;719614,40"
"""110014 NOVA BRASILANDIA D'OESTE"";-;483250,94;483250,94"
"""110015 OURO PRETO DO OESTE"";-;1685383,03;1685383,03"
"""110018 PIMENTA BUENO"";21617,07;1517655,11;1539272,18"
"""110020 PORTO VELHO"";797862,86;72285286,26;73083149,12"
"""110025 PRESIDENTE MEDICI"";-;311744,59;311744,59"
"""110028 ROLIM DE MOURA"";25502,49;1278912,43;1304414,92"
"""110029 SANTA LUZIA D'OESTE"";-;243544,79;243544,79"
"""110030 VILHENA"";-;8047383,38;8047383,38"
"""110032 SAO MIGUEL DO GUAPORE"";-;704999,01;704999,01"
"""110033 NOVA MAMORE"";-;439341,10;439341,10"
"""110034 ALVORADA D'OESTE"";-;326459,43;326459,43"
"""110037 ALTO ALEGRE DOS PARECIS"";-;229567,01;229567,01"
"""110040 ALTO PARAISO"";-;115441,33;115441,33"
"""110045 BURITIS"";1431,54;546038,68;547470,22"
"""110050 NOVO HORIZONTE DO OESTE"";-;242781,28;242781,28"
"""110060 CACAULANDIA"";-;41492,38;41492,38"
"""110070 CAMPO NOVO DE RONDONIA"";-;34566,33;34566,33"
"""110080 CANDEIAS DO JAMARI"";-;9711,79;9711,79"
"""110094 CUJUBIM"";-;205593,32;205593,32"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;21747,38;21747,38"
"""110110 ITAPUA DO OESTE"";-;15621,23;15621,23"
"""110120 MINISTRO ANDREAZZA"";-;65463,25;65463,25"
"""110130 MIRANTE DA SERRA"";-;247749,72;247749,72"
"""110140 MONTE NEGRO"";-;154241,05;154241,05"
"""110143 NOVA UNIAO"";-;46416,60;46416,60"
"""110145 PARECIS"";-;58786,06;58786,06"
"""110146 PIMENTEIRAS DO OESTE"";-;25192,77;25192,77"
"""110149 SAO FRANCISCO DO GUAPORE"";9279,07;435846,58;445125,65"
"""110150 SERINGUEIRAS"";-;451931,05;451931,05"
"""110155 TEIXEIROPOLIS"";-;21904,88;21904,88"
"""110160 THEOBROMA"";-;39120,94;39120,94"
"""110170 URUPA"";-;279509,38;279509,38"
"""110175 VALE DO ANARI"";-;49434,90;49434,90"
"""110180 VALE DO PARAISO"";-;65511,51;65511,51"
"""120001 ACRELANDIA"";-;62368,79;62368,79"
"""120005 ASSIS BRASIL"";-;76020,17;76020,17"
"""120010 BRASILEIA"";108675,97;993873,88;1102549,85"
"""120020 CRUZEIRO DO SUL"";658,03;4712871,83;4713529,86"
"""120030 FEIJO"";-;391742,83;391742,83"
"""120033 MANCIO LIMA"";-;145199,82;145199,82"
"""120034 MANOEL URBANO"";-;123768,97;123768,97"
"""120035 MARECHAL THAUMATURGO"";-;62776,54;62776,54"
"""120038 PLACIDO DE CASTRO"";-;108550,32;108550,32"
"""120039 PORTO WALTER"";-;99499,20;99499,20"
"""120040 RIO BRANCO"";2034269,71;32253767,52;34288037,23"
"""120042 RODRIGUES ALVES"";-;80721,67;80721,67"
"""120043 SANTA ROSA DO PURUS"";-;20454,71;20454,71"
"""120045 SENADOR GUIOMARD"";-;175356,40;175356,40"
"""120050 SENA MADUREIRA"";-;776090,44;776090,44"
"""120060 TARAUACA"";44806,09;866531,78;911337,87"
"""120070 XAPURI"";-;239987,06;239987,06"
"""130002 ALVARAES"";-;63063,71;63063,71"
"""130006 AMATURA"";-;237138,24;237138,24"
"""130008 ANAMA"";426,02;252305,64;252731,66"
"""130010 ANORI"";-;228315,38;228315,38"
"""130014 APUI"";-;486206,69;486206,69"
"""130020 ATALAIA DO NORTE"";-;150561,82;150561,82"
"""130030 AUTAZES"";-;619099,57;619099,57"
"""130040 BARCELOS"";-;369234,72;369234,72"
"""130050 BARREIRINHA"";-;521489,87;521489,87"
"""130060 BENJAMIN CONSTANT"";-;293946,07;293946,07"
"""130063 BERURI"";-;298877,48;298877,48"
"""130068 BOA VISTA DO RAMOS"";-;275689,39;275689,39"
"""130070 BOCA DO ACRE"";28612,53;760866,51;789479,04"
"""130080 BORBA"";87631,41;889115,91;976747,32"
"""130083 CAAPIRANGA"";-;224778,72;224778,72"
"""130090 CANUTAMA"";-;200627,83;200627,83"
"""130100 CARAUARI"";187244,30;777463,97;964708,27"
"""130110 CAREIRO"";44275,50;556304,24;600579,74"
"""130115 CAREIRO DA VARZEA"";-;9203,06;9203,06"
"""130120 COARI"";30679,00;1999100,61;2029779,61"
"""130130 CODAJAS"";15096,29;520817,93;535914,22"
"""130140 EIRUNEPE"";23199,97;360795,61;383995,58"
"""130150 ENVIRA"";5663,32;339754,24;345417,56"
"""130160 FONTE BOA"";7791,20;557761,22;565552,42"
"""130165 GUAJARA"";-;162038,06;162038,06"
"""130170 HUMAITA"";-;1336339,73;1336339,73"
"""130180 IPIXUNA"";-;802566,83;802566,83"
"""130185 IRANDUBA"";-;373435,21;373435,21"
"""130190 ITACOATIARA"";-;2698134,89;2698134,89"
"""130195 ITAMARATI"";-;136703,32;136703,32"
"""130200 ITAPIRANGA"";-;205918,19;205918,19"
"""130210 JAPURA"";2299,55;112265,32;114564,87"
"""130220 JURUA"";-;85629,55;85629,55"
"""130230 JUTAI"";-;529743,59;529743,59"
"""130240 LABREA"";16038,89;1024179,71;1040218,60"
"""130250 MANACAPURU"";103810,67;3143043,23;3246853,90"
"""130255 MANAQUIRI"";14139,98;318960,69;333100,67"
"""130260 MANAUS"";8137473,36;188492888,26;196630361,62"
"""130270 MANICORE"";-;1021107,15;1021107,15"
"""130280 MARAA"";453,51;133539,51;133993,02"
"""130290 MAUES"";90585,80;1694353,71;1784939,51"
"""130300 NHAMUNDA"";-;156241,78;156241,78"
"""130310 NOVA OLINDA DO NORTE"";-;759837,73;759837,73"
"""130320 NOVO AIRAO"";4580,64;475640,00;480220,64"
"""130330 NOVO ARIPUANA"";-;671022,72;671022,72"
"""130340 PARINTINS"";68360,09;2915916,50;2984276,59"
"""130350 PAUINI"";-;436049,69;436049,69"
"""130353 PRESIDENTE FIGUEIREDO"";35411,08;576519,97;611931,05"
"""130356 RIO PRETO DA EVA"";-;164949,71;164949,71"
"""130360 SANTA ISABEL DO RIO NEGRO"";426,02;261411,45;261837,47"
"""130370 SANTO ANTONIO DO ICA"";-;537244,97;537244,97"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;921317,38;921317,38"
"""130390 SAO PAULO DE OLIVENCA"";-;1006935,45;1006935,45"
"""130395 SAO SEBASTIAO DO UATUMA"";-;256415,51;256415,51"
"""130400 SILVES"";18464,36;360112,23;378576,59"
"""130406 TABATINGA"";5662,63;1446153,18;1451815,81"
"""130410 TAPAUA"";-;612718,26;612718,26"
"""130420 TEFE"";127106,00;2574804,86;2701910,86"
"""130423 TONANTINS"";-;562773,37;562773,37"
"""130426 UARINI"";-;394892,05;394892,05"
"""130430 URUCARA"";434,02;258895,04;259329,06"
"""130440 URUCURITUBA"";-;59152,82;59152,82"
"""140005 ALTO ALEGRE"";-;54246,70;54246,70"
"""140010 BOA VISTA"";412619,64;41160271,25;41572890,89"
"""140015 BONFIM"";-;20290,50;20290,50"
"""140020 CARACARAI"";-;84913,09;84913,09"
"""140023 CAROEBE"";-;38800,65;38800,65"
"""140040 NORMANDIA"";-;66266,00;66266,00"
"""140045 PACARAIMA"";-;215256,52;215256,52"
"""140047 RORAINOPOLIS"";54263,33;1343474,11;1397737,44"
"""140050 SAO JOAO DA BALIZA"";-;72476,43;72476,43"
"""140060 SAO LUIZ"";-;42049,15;42049,15"
"""150010 ABAETETUBA"";-;6556724,17;6556724,17"
"""150013 ABEL FIGUEIREDO"";-;208995,25;208995,25"
"""150020 ACARA"";-;710887,28;710887,28"
"""150030 AFUA"";-;388485,14;388485,14"
"""150034 AGUA AZUL DO NORTE"";-;394801,43;394801,43"
"""150040 ALENQUER"";-;1630698,28;1630698,28"
"""150050 ALMEIRIM"";-;849676,88;849676,88"
"""150060 ALTAMIRA"";41198,21;13369445,09;13410643,30"
"""150070 ANAJAS"";-;595343,88;595343,88"
"""150080 ANANINDEUA"";33882,26;34316818,42;34350700,68"
"""150085 ANAPU"";-;1450888,29;1450888,29"
"""150090 AUGUSTO CORREA"";-;1342454,28;1342454,28"
"""150095 AURORA DO PARA"";-;573279,05;573279,05"
"""150110 BAGRE"";-;70551,23;70551,23"
