"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""150565 PLACAS"";25742,01;-;25742,01"
"""150570 PONTA DE PEDRAS"";30500,87;-;30500,87"
"""150580 PORTEL"";118860,53;-;118860,53"
"""150590 PORTO DE MOZ"";62736,38;-;62736,38"
"""150613 REDENCAO"";921722,49;189125,78;1110848,27"
"""150616 RIO MARIA"";110024,52;-;110024,52"
"""150618 RONDON DO PARA"";103880,29;-;103880,29"
"""150620 SALINOPOLIS"";121733,06;-;121733,06"
"""150640 SANTA CRUZ DO ARARI"";15998,15;-;15998,15"
"""150650 SANTA IZABEL DO PARA"";72739,74;-;72739,74"
"""150658 SANTA MARIA DAS BARREIRAS"";18556,63;-;18556,63"
"""150660 SANTA MARIA DO PARA"";106395,38;-;106395,38"
"""150670 SANTANA DO ARAGUAIA"";68825,94;-;68825,94"
"""150680 SANTAREM"";2042812,88;323585,59;2366398,47"
"""150700 SANTO ANTONIO DO TAUA"";483101,72;-;483101,72"
"""150715 SAO DOMINGOS DO ARAGUAIA"";33001,73;-;33001,73"
"""150720 SAO DOMINGOS DO CAPIM"";45130,73;-;45130,73"
"""150730 SAO FELIX DO XINGU"";160738,71;-;160738,71"
"""150747 SAO JOAO DE PIRABAS"";16449,42;-;16449,42"
"""150750 SAO JOAO DO ARAGUAIA"";1225,78;-;1225,78"
"""150760 SAO MIGUEL DO GUAMA"";77861,26;-;77861,26"
"""150780 SENADOR JOSE PORFIRIO"";64577,69;-;64577,69"
"""150795 TAILANDIA"";183288,02;-;183288,02"
"""150800 TOME-ACU"";106528,84;-;106528,84"
"""150803 TRACUATEUA"";36273,14;-;36273,14"
"""150808 TUCUMA"";68635,74;-;68635,74"
"""150810 TUCURUI"";695254,25;2085,27;697339,52"
"""150812 ULIANOPOLIS"";206793,90;-;206793,90"
"""150815 URUARA"";122510,31;-;122510,31"
"""150820 VIGIA"";85438,11;-;85438,11"
"""150840 XINGUARA"";105165,28;-;105165,28"
"""160005 SERRA DO NAVIO"";786,57;-;786,57"
"""160010 AMAPA"";2581,02;-;2581,02"
