"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""150506 NOVO REPARTIMENTO"";-;-;29578,58;29578,58"
"""150520 OEIRAS DO PARA"";-;-;43073,36;43073,36"
"""150530 ORIXIMINA"";-;-;95167,74;95167,74"
"""150540 OUREM"";-;-;32511,41;32511,41"
"""150543 OURILANDIA DO NORTE"";27126,23;-;403102,38;430228,61"
"""150549 PALESTINA DO PARA"";-;-;44665,19;44665,19"
"""150550 PARAGOMINAS"";70790,36;-;590640,12;661430,48"
"""150553 PARAUAPEBAS"";33237,02;-;729897,48;763134,50"
"""150555 PAU D'ARCO"";-;-;45742,54;45742,54"
"""150563 PICARRA"";-;-;21750,37;21750,37"
"""150565 PLACAS"";-;-;25742,01;25742,01"
"""150570 PONTA DE PEDRAS"";-;-;30500,87;30500,87"
"""150580 PORTEL"";-;-;118860,53;118860,53"
"""150590 PORTO DE MOZ"";-;-;62736,38;62736,38"
"""150613 REDENCAO"";16852,50;-;1093995,77;1110848,27"
"""150616 RIO MARIA"";-;-;110024,52;110024,52"
"""150618 RONDON DO PARA"";-;-;103880,29;103880,29"
"""150620 SALINOPOLIS"";-;-;121733,06;121733,06"
"""150640 SANTA CRUZ DO ARARI"";-;-;15998,15;15998,15"
"""150650 SANTA IZABEL DO PARA"";-;-;72739,74;72739,74"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;18556,63;18556,63"
"""150660 SANTA MARIA DO PARA"";-;-;106395,38;106395,38"
"""150670 SANTANA DO ARAGUAIA"";-;-;68825,94;68825,94"
"""150680 SANTAREM"";123152,36;-;2243246,11;2366398,47"
"""150700 SANTO ANTONIO DO TAUA"";-;-;483101,72;483101,72"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;33001,73;33001,73"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;45130,73;45130,73"
"""150730 SAO FELIX DO XINGU"";-;-;160738,71;160738,71"
"""150747 SAO JOAO DE PIRABAS"";-;-;16449,42;16449,42"
"""150750 SAO JOAO DO ARAGUAIA"";-;-;1225,78;1225,78"
"""150760 SAO MIGUEL DO GUAMA"";-;-;77861,26;77861,26"
"""150780 SENADOR JOSE PORFIRIO"";-;-;64577,69;64577,69"
"""150795 TAILANDIA"";-;-;183288,02;183288,02"
"""150800 TOME-ACU"";-;-;106528,84;106528,84"
"""150803 TRACUATEUA"";-;-;36273,14;36273,14"
"""150808 TUCUMA"";-;-;68635,74;68635,74"
"""150810 TUCURUI"";-;-;697339,52;697339,52"
"""150812 ULIANOPOLIS"";-;-;206793,90;206793,90"
"""150815 URUARA"";-;-;122510,31;122510,31"
"""150820 VIGIA"";-;-;85438,11;85438,11"
"""150840 XINGUARA"";-;-;105165,28;105165,28"
"""160005 SERRA DO NAVIO"";-;-;786,57;786,57"
"""160010 AMAPA"";-;-;2581,02;2581,02"
"""160015 PEDRA BRANCA DO AMAPARI"";-;-;3910,48;3910,48"
"""160020 CALCOENE"";-;-;3073,87;3073,87"
"""160027 LARANJAL DO JARI"";121270,47;-;126488,66;247759,13"
"""160030 MACAPA"";2346227,72;-;3497818,05;5844045,77"
"""160040 MAZAGAO"";-;-;4570,60;4570,60"
"""160050 OIAPOQUE"";-;-;52989,62;52989,62"
"""160053 PORTO GRANDE"";-;-;150292,40;150292,40"
"""160060 SANTANA"";-;-;192043,19;192043,19"
"""170100 ANANAS"";-;-;6005,32;6005,32"
"""170190 ARAGUACEMA"";-;-;15837,94;15837,94"
"""170210 ARAGUAINA"";147856,13;-;312435,49;460291,62"
"""170220 ARAGUATINS"";47174,80;-;41163,73;88338,53"
"""170550 COLINAS DO TOCANTINS"";34751,92;-;53747,60;88499,52"
"""170820 FORMOSO DO ARAGUAIA"";-;-;23143,31;23143,31"
"""170900 GOIATINS"";-;-;1908,86;1908,86"
"""171420 NATIVIDADE"";25739,47;-;1815,56;27555,03"
"""171575 PALMEIROPOLIS"";9964,85;-;1715,94;11680,79"
"""171700 PINDORAMA DO TOCANTINS"";-;-;535,07;535,07"
"""171790 PONTE ALTA DO TOCANTINS"";-;-;4804,85;4804,85"
"""172065 SILVANOPOLIS"";-;-;3624,82;3624,82"
"""172080 SITIO NOVO DO TOCANTINS"";34894,38;-;-;34894,38"
"""172090 TAGUATINGA"";21410,53;-;6014,70;27425,23"
"""172120 TOCANTINOPOLIS"";31079,00;-;22076,70;53155,70"
"""210005 ACAILANDIA"";134562,01;-;452614,77;587176,78"
"""210020 ALCANTARA"";-;-;23687,75;23687,75"
"""210030 ALDEIAS ALTAS"";-;-;14683,43;14683,43"
"""210043 ALTO ALEGRE DO MARANHAO"";-;-;167468,18;167468,18"
"""210090 ARAIOSES"";-;-;7291,54;7291,54"
"""210120 BACABAL"";70484,96;-;839038,72;909523,68"
"""210140 BALSAS"";-;-;720018,08;720018,08"
"""210160 BARRA DO CORDA"";-;-;281763,22;281763,22"
"""210170 BARREIRINHAS"";-;-;414092,23;414092,23"
"""210173 BELAGUA"";-;-;4556,47;4556,47"
"""210177 BELA VISTA DO MARANHAO"";-;-;19998,57;19998,57"
"""210190 BEQUIMAO"";-;-;19393,65;19393,65"
"""210193 BERNARDO DO MEARIM"";-;-;2368,58;2368,58"
"""210220 BURITI"";-;-;12210,97;12210,97"
"""210230 BURITI BRAVO"";6787,73;-;39743,30;46531,03"
"""210280 CAROLINA"";-;-;54788,66;54788,66"
"""210290 CARUTAPERA"";19692,65;-;135757,70;155450,35"
"""210300 CAXIAS"";320877,91;-;1527903,53;1848781,44"
"""210320 CHAPADINHA"";117618,54;-;367651,19;485269,73"
"""210325 CIDELANDIA"";-;-;24467,29;24467,29"
"""210330 CODO"";-;3647,00;279175,18;282822,18"
"""210340 COELHO NETO"";-;-;85970,37;85970,37"
"""210350 COLINAS"";-;-;331652,39;331652,39"
"""210360 COROATA"";59028,02;-;754843,00;813871,02"
"""210370 CURURUPU"";-;-;155206,66;155206,66"
"""210390 DUQUE BACELAR"";-;-;13794,41;13794,41"
"""210400 ESPERANTINOPOLIS"";-;-;32852,41;32852,41"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;-;28260,93;28260,93"
"""210480 GRAJAU"";-;-;539605,78;539605,78"
"""210530 IMPERATRIZ"";26735,41;-;4244558,80;4271294,21"
"""210540 ITAPECURU MIRIM"";1908,27;-;117307,32;119215,59"
"""210542 ITINGA DO MARANHAO"";-;-;40664,71;40664,71"
"""210545 JATOBA"";-;-;12213,81;12213,81"
"""210547 JENIPAPO DOS VIEIRAS"";-;-;15570,90;15570,90"
"""210570 LAGO DA PEDRA"";-;-;330459,53;330459,53"
"""210594 LAGO DOS RODRIGUES"";-;-;3994,86;3994,86"
"""210610 LORETO"";-;-;22796,91;22796,91"
"""210650 MATINHA"";-;-;27658,31;27658,31"
"""210660 MATOES"";-;-;46770,99;46770,99"
"""210680 MIRINZAL"";-;-;9709,27;9709,27"
"""210690 MONCAO"";-;-;150407,53;150407,53"
"""210700 MONTES ALTOS"";-;-;3704,91;3704,91"
"""210710 MORROS"";-;-;41883,16;41883,16"
"""210720 NINA RODRIGUES"";-;-;21017,90;21017,90"
