"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""221050 SAO PEDRO DO PIAUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;330;-;-;-;-;-;-;-;-;-;-;-;-;-;330"
"""221060 SAO RAIMUNDO NONATO"";-;5746;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;5779"
"""221070 SIMOES"";-;-;1079;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1079"
"""221080 SIMPLICIO MENDES"";-;846;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;846"
"""221100 TERESINA"";-;33692;-;-;-;-;-;-;46919;-;-;-;-;-;-;-;6411;-;1248;-;-;-;-;1247;-;-;5409;94926"
"""221110 UNIAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1258;-;-;-;-;-;-;-;-;-;-;-;-;-;1258"
"""221120 URUCUI"";-;1891;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1891"
"""221130 VALENCA DO PIAUI"";-;2613;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2613"
"""230020 ACARAU"";-;-;-;-;-;-;-;-;-;-;-;-;-;2482;-;-;-;-;-;-;-;-;-;-;-;-;3496;5978"
"""230030 ACOPIARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1797;-;-;-;-;-;-;-;-;-;-;-;-;-;1797"
"""230040 AIUABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;365;-;-;-;-;-;-;-;-;-;-;-;-;-;365"
"""230060 ALTANEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;141"
"""230070 ALTO SANTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;386;-;-;-;-;-;-;-;-;-;-;-;-;-;386"
"""230075 AMONTADA"";-;-;-;-;-;-;-;-;-;-;-;-;-;384;-;-;-;-;-;-;-;-;-;-;-;-;-;384"
"""230080 ANTONINA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;110"
"""230100 AQUIRAZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;2352;-;-;-;-;-;-;-;-;-;-;-;-;-;2352"
"""230110 ARACATI"";-;-;-;-;-;-;-;-;-;-;-;-;-;3292;-;-;-;-;-;-;-;-;-;-;-;-;2429;5721"
"""230120 ARACOIABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1917;-;-;-;-;-;-;-;-;-;-;-;-;-;1917"
"""230125 ARARENDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;248"
"""230130 ARARIPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;492;-;-;-;-;-;-;-;-;-;-;-;-;-;492"
"""230140 ARATUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;211;211"
"""230150 ARNEIROZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;127;-;-;-;-;-;-;-;-;-;-;-;-;-;127"
"""230160 ASSARE"";-;-;-;-;-;-;-;-;-;-;-;-;-;898;-;-;-;-;-;-;-;-;-;-;-;-;-;898"
"""230170 AURORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2695;-;-;-;2695"
"""230180 BAIXIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;72"
"""230185 BANABUIU"";-;-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;-;-;-;-;-;-;-;363"
"""230190 BARBALHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7730;-;-;9143;16873"
"""230195 BARREIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183;183"
"""230200 BARRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;386;-;-;-;-;-;-;-;-;-;-;-;-;-;386"
"""230210 BATURITE"";-;-;-;-;-;-;-;-;-;-;-;-;-;406;-;-;-;-;19;-;-;-;-;-;-;-;1150;1575"
"""230220 BEBERIBE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1240;-;-;-;-;-;-;-;-;-;-;-;-;-;1240"
"""230230 BELA CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;797;-;-;-;-;-;-;-;-;-;-;-;-;-;797"
"""230240 BOA VIAGEM"";-;-;-;-;-;-;-;-;-;-;-;-;-;2698;-;-;-;-;-;-;-;-;-;-;-;-;-;2698"
"""230250 BREJO SANTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1084;1896;-;-;7394;10374"
"""230260 CAMOCIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4124;4124"
"""230270 CAMPOS SALES"";-;-;-;-;-;-;-;-;-;-;-;-;-;776;-;-;-;-;-;-;-;-;-;-;-;-;-;776"
"""230280 CANINDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5827;5827"
"""230290 CAPISTRANO"";-;-;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;93"
"""230300 CARIDADE"";-;-;-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;91"
"""230310 CARIRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;341;-;-;-;-;-;-;-;-;-;-;-;-;-;341"
"""230320 CARIRIACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;486;-;-;-;-;-;-;-;-;-;-;-;-;-;486"
"""230330 CARIUS"";-;-;-;-;-;-;-;-;-;-;-;-;-;514;-;-;-;-;-;-;-;-;-;-;-;-;-;514"
"""230340 CARNAUBAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;893;-;-;-;-;-;-;-;-;-;-;-;-;-;893"
"""230350 CASCAVEL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2064;2064"
"""230360 CATARINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;630;-;-;-;-;-;-;-;-;-;-;-;-;-;630"
"""230365 CATUNDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;282;-;-;-;-;-;-;-;-;-;-;-;-;-;282"
"""230370 CAUCAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;9907;-;-;-;-;-;-;-;-;-;-;-;-;-;9907"
"""230380 CEDRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2381;2381"
"""230390 CHAVAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;112"
"""230393 CHORO"";-;-;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;98"
"""230395 CHOROZINHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;113"
"""230400 COREAU"";-;-;-;-;-;-;-;-;-;-;-;-;-;225;-;-;-;-;-;-;-;-;-;-;-;-;-;225"
"""230410 CRATEUS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10835;10835"
"""230420 CRATO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;217;-;-;-;-;-;5906;-;-;8642;14765"
"""230423 CROATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;904;-;-;-;-;-;-;-;-;-;-;-;-;-;904"
"""230425 CRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;1133;-;-;-;-;-;-;-;-;-;-;-;-;-;1133"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;254;-;-;-;-;-;-;-;-;-;-;-;-;-;254"
"""230427 ERERE"";-;-;-;-;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;-;-;-;-;168"
"""230428 EUSEBIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;4490;-;-;-;-;-;-;-;-;-;-;-;-;-;4490"
"""230430 FARIAS BRITO"";-;-;-;-;-;-;-;-;-;-;-;-;-;539;-;-;-;-;-;-;-;-;-;-;-;-;-;539"
"""230440 FORTALEZA"";-;102886;37221;-;-;23201;-;-;-;-;-;-;-;-;-;-;22131;307;3919;-;-;23;-;-;-;-;29809;219497"
"""230445 FORTIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;297;-;-;-;-;-;-;-;-;-;-;-;-;-;297"
"""230450 FRECHEIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;224;-;-;-;-;-;-;-;-;-;-;-;-;-;224"
"""230460 GENERAL SAMPAIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""230470 GRANJA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1533;-;-;-;-;-;-;-;-;-;-;-;-;-;1533"
"""230480 GRANJEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;96"
"""230490 GROAIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;136;-;-;-;-;-;-;-;-;-;-;-;-;-;136"
"""230495 GUAIUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;157"
"""230500 GUARACIABA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1503;-;-;-;-;-;-;-;-;-;-;-;-;-;1503"
"""230510 GUARAMIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;39"
"""230520 HIDROLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;459;-;-;-;-;-;-;-;-;-;-;-;-;-;459"
"""230523 HORIZONTE"";-;-;1891;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1891"
"""230526 IBARETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;132"
"""230530 IBIAPINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1836;-;-;-;-;-;-;-;-;-;-;-;-;-;1836"
"""230540 ICO"";-;-;-;-;-;-;-;-;-;-;-;-;-;4904;-;-;-;-;-;-;-;-;-;-;-;-;-;4904"
"""230550 IGUATU"";-;-;-;-;-;-;-;-;6736;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;1968;8773"
"""230560 INDEPENDENCIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;328;-;-;-;-;-;-;-;-;-;-;-;-;-;328"
"""230565 IPAPORANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;287;-;-;-;-;-;-;-;-;-;-;-;-;-;287"
"""230570 IPAUMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;100"
"""230580 IPU"";-;-;-;-;-;-;-;-;-;-;-;-;-;2108;-;-;-;-;-;-;-;-;-;-;-;-;-;2108"
"""230590 IPUEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1371;-;-;-;-;-;-;-;-;-;-;-;-;-;1371"
"""230600 IRACEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;494;-;-;-;-;-;-;-;-;-;-;-;-;-;494"
"""230610 IRAUCUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;422;-;-;-;-;-;-;-;-;-;-;-;-;-;422"
"""230620 ITAICABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""230625 ITAITINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;629;-;-;-;-;-;-;-;-;-;-;-;-;-;629"
"""230630 ITAPAJE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1060;-;-;-;-;-;-;-;-;-;-;-;-;-;1060"
"""230640 ITAPIPOCA"";-;96;-;-;-;-;-;-;-;-;-;-;-;684;-;-;-;-;-;-;-;-;-;-;-;-;11797;12577"
"""230650 ITAPIUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;172;-;-;-;-;-;-;-;-;-;-;-;-;-;172"
"""230655 ITAREMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1038;-;-;-;-;-;-;-;-;-;-;-;-;-;1038"
"""230670 JAGUARETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1279;-;-;-;-;-;-;-;-;-;-;-;-;-;1279"
"""230680 JAGUARIBARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;613;-;-;-;-;-;-;-;-;-;-;-;-;-;613"
"""230690 JAGUARIBE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1252;-;-;-;-;-;-;-;-;-;-;-;-;-;1252"
"""230700 JAGUARUANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;563;-;-;-;-;-;-;-;-;-;-;-;-;-;563"
"""230710 JARDIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;613;-;-;-;-;-;-;-;-;-;-;-;-;-;613"
"""230720 JATI"";-;-;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;216"
"""230725 JIJOCA DE JERICOACOARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;444;-;-;-;-;-;-;-;-;-;-;-;-;-;444"
"""230730 JUAZEIRO DO NORTE"";-;10991;8015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;19055"
"""230740 JUCAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;823;-;-;-;-;-;-;-;-;-;-;-;-;-;823"
"""230750 LAVRAS DA MANGABEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1923;1923"
"""230760 LIMOEIRO DO NORTE"";-;5198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7255;12453"
"""230763 MADALENA"";-;-;-;-;-;-;-;-;-;-;-;-;-;303;-;-;-;-;-;-;-;-;-;-;-;-;-;303"
"""230765 MARACANAU"";-;-;-;-;-;-;-;-;-;-;-;-;-;9370;-;-;-;678;-;-;-;-;-;-;-;-;6997;17045"
"""230770 MARANGUAPE"";-;-;2421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2421"
"""230780 MARCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1152;-;-;-;-;-;-;-;-;-;-;-;-;-;1152"
"""230790 MARTINOPOLE"";-;-;-;-;-;-;-;-;-;-;-;-;-;474;-;-;-;-;-;-;-;-;-;-;-;-;-;474"
"""230800 MASSAPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;356;-;-;-;-;-;-;-;-;-;-;-;-;-;356"
"""230810 MAURITI"";-;-;-;-;-;-;-;-;-;-;-;-;-;2937;-;-;-;-;-;-;-;-;-;-;-;-;-;2937"
"""230820 MERUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;-;186"
"""230830 MILAGRES"";-;-;-;-;-;-;-;-;-;-;-;-;-;3373;-;-;-;-;-;-;-;-;-;-;-;-;-;3373"
"""230835 MILHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;257;-;-;-;-;-;-;-;-;-;-;-;-;-;257"
"""230840 MISSAO VELHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2408;2408"
"""230850 MOMBACA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2004;-;-;-;-;-;-;-;-;-;-;-;-;-;2004"
"""230860 MONSENHOR TABOSA"";-;-;725;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;725"
"""230870 MORADA NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1475;-;-;-;-;-;-;-;-;-;-;-;-;-;1475"
"""230880 MORAUJO"";-;-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;94"
"""230890 MORRINHOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;-;-;-;-;-;-;-;-;190"
"""230900 MUCAMBO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1066;-;-;-;-;-;-;-;-;-;-;-;-;-;1066"
"""230910 MULUNGU"";-;-;195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;195"
"""230920 NOVA OLINDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;299;-;-;-;-;-;-;-;-;-;-;-;-;-;299"
"""230930 NOVA RUSSAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1959;-;-;-;-;-;-;-;-;-;-;-;-;-;1959"
"""230940 NOVO ORIENTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;853;-;-;-;-;-;-;-;-;-;-;-;-;-;853"
"""230945 OCARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;406;-;-;-;-;-;-;-;-;-;-;-;-;-;406"
"""230950 OROS"";-;-;-;-;-;-;-;-;-;-;-;-;-;875;-;-;-;-;-;-;-;-;-;-;-;-;-;875"
"""230960 PACAJUS"";-;-;-;-;-;-;-;-;-;-;-;-;-;725;-;-;-;-;-;-;-;-;-;-;-;-;-;725"
"""230970 PACATUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;634;-;-;-;-;-;-;-;-;-;-;-;-;-;634"
"""230980 PACOTI"";-;-;-;-;-;-;-;-;-;-;-;-;-;151;-;-;-;-;-;-;-;-;-;-;-;-;-;151"
"""231010 PALMACIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;85"
"""231020 PARACURU"";-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;-;-;-;-;-;-;-;-;-;183;723"
"""231025 PARAIPABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;788;-;-;-;-;-;-;-;-;-;-;-;-;-;788"
"""231030 PARAMBU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1376;-;-;-;-;-;-;-;-;-;-;-;-;-;1376"
"""231040 PARAMOTI"";-;-;-;-;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;-;203"
"""231050 PEDRA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1102;-;-;-;-;-;-;-;-;-;-;-;-;-;1102"
"""231060 PENAFORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;322;-;-;-;-;-;-;-;-;-;-;-;-;-;322"
"""231070 PENTECOSTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;589;-;-;-;-;-;-;-;-;-;-;-;-;-;589"
"""231080 PEREIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;473;-;-;-;-;-;-;-;-;-;-;-;-;-;473"
"""231085 PINDORETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;-;-;-;-;-;-;-;137"
"""231090 PIQUET CARNEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;540;-;-;-;-;-;-;-;-;-;-;-;-;-;540"
"""231100 PORANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;628;-;-;-;-;-;-;-;-;-;-;-;-;-;628"
"""231110 PORTEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;515;-;-;-;-;-;-;-;-;-;-;-;-;-;515"
"""231120 POTENGI"";-;-;-;-;-;-;-;-;-;-;-;-;-;284;-;-;-;-;-;-;-;-;-;-;-;-;-;284"
"""231126 QUITERIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;462;-;-;-;-;-;-;-;-;-;-;-;-;-;462"
"""231130 QUIXADA"";-;-;-;-;-;-;-;1359;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5394;6753"
"""231135 QUIXELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;726;-;-;-;-;-;-;-;-;-;-;-;-;-;726"
"""231140 QUIXERAMOBIM"";-;9612;-;-;-;-;-;-;-;-;-;-;-;4527;-;-;-;-;-;-;-;-;-;-;-;-;772;14911"
"""231150 QUIXERE"";-;-;-;-;-;-;-;-;-;-;-;-;-;432;-;-;-;-;-;-;-;-;-;-;-;-;-;432"
"""231160 REDENCAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1453;1453"
"""231170 RERIUTABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;324"
"""231180 RUSSAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6947;6947"
"""231190 SABOEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;332;-;-;-;-;-;-;-;-;-;-;-;-;-;332"
"""231195 SALITRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;419;-;-;-;-;-;-;-;-;-;-;-;-;-;419"
"""231200 SANTANA DO ACARAU"";-;-;-;-;-;-;-;-;-;-;-;-;-;670;-;-;-;-;-;-;-;-;-;-;-;-;-;670"
"""231210 SANTANA DO CARIRI"";-;-;-;-;-;-;-;-;-;-;-;-;-;274;-;-;-;-;-;-;-;-;-;-;-;-;-;274"
"""231220 SANTA QUITERIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;973;-;-;-;-;-;-;-;-;-;-;-;-;-;973"
"""231230 SAO BENEDITO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1634;-;-;-;-;-;-;-;-;-;-;-;-;-;1634"
"""231240 SAO GONCALO DO AMARANTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2879;-;-;-;-;-;-;-;-;-;-;-;-;-;2879"
"""231260 SAO LUIS DO CURU"";-;-;-;-;-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;119"
"""231270 SENADOR POMPEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;628;628"
"""231290 SOBRAL"";-;16497;-;-;-;-;-;-;-;-;-;-;-;4374;-;-;-;-;-;-;-;-;-;-;-;-;19810;40681"
"""231300 SOLONOPOLE"";-;-;-;-;-;-;-;-;-;-;-;-;-;508;-;-;-;-;-;-;-;-;-;-;-;-;-;508"
"""231310 TABULEIRO DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1632;1632"
"""231320 TAMBORIL"";-;-;-;-;-;-;-;-;-;-;-;-;-;1076;-;-;-;-;-;-;-;-;-;-;-;-;-;1076"
"""231325 TARRAFAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;-;-;-;-;-;-;133"
"""231330 TAUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14040;14040"
"""231335 TEJUCUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;260"
"""231340 TIANGUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10715;10715"
"""231350 TRAIRI"";-;-;-;-;-;-;-;-;-;-;-;-;-;909;-;-;-;-;-;-;-;-;-;-;-;-;-;909"
"""231360 UBAJARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2218;-;-;-;-;-;-;-;-;-;-;-;-;-;2218"
"""231370 UMARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;147"
"""231375 UMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;103"
"""231380 URUBURETAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;151;-;-;-;-;-;-;-;-;-;-;-;-;-;151"
"""231390 URUOCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""231395 VARJOTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;345;-;-;-;-;-;-;-;-;-;-;-;-;-;345"
"""231400 VARZEA ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4856;4856"
"""231410 VICOSA DO CEARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2407;-;-;-;-;-;-;-;-;-;-;-;-;-;2407"
"""240020 ACU"";-;2513;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2513"
"""240030 AFONSO BEZERRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86;86"
"""240050 ALEXANDRIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6317;6317"
"""240060 ALMINO AFONSO"";-;-;-;-;-;-;-;-;-;-;-;-;-;2773;-;-;-;-;-;-;-;-;-;-;-;-;-;2773"
"""240070 ALTO DO RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;-;279;-;-;-;-;-;-;-;-;-;-;-;-;-;279"
"""240080 ANGICOS"";-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216"
"""240090 ANTONIO MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;474;-;-;-;-;-;-;-;-;-;-;-;-;-;474"
"""240100 APODI"";-;1709;-;-;-;-;-;-;-;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;1852"
"""240110 AREIA BRANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;291;-;-;-;-;-;-;-;-;-;-;-;-;-;291"
"""240145 BARAUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;458;-;-;-;-;-;-;-;-;-;-;-;-;-;458"
