"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""130300 NHAMUNDA"";380546,04;276232,80;656778,84"
"""130310 NOVA OLINDA DO NORTE"";673087,31;-;673087,31"
"""130320 NOVO AIRAO"";515470,66;-;515470,66"
"""130330 NOVO ARIPUANA"";685345,76;239247,37;924593,13"
"""130340 PARINTINS"";4782791,56;57870,00;4840661,56"
"""130350 PAUINI"";543077,92;-;543077,92"
"""130353 PRESIDENTE FIGUEIREDO"";554212,38;-;554212,38"
"""130356 RIO PRETO DA EVA"";315726,21;-;315726,21"
"""130360 SANTA ISABEL DO RIO NEGRO"";248389,00;-;248389,00"
"""130370 SANTO ANTONIO DO ICA"";437263,32;-;437263,32"
"""130380 SAO GABRIEL DA CACHOEIRA"";858344,96;-;858344,96"
"""130390 SAO PAULO DE OLIVENCA"";1222124,49;-;1222124,49"
"""130395 SAO SEBASTIAO DO UATUMA"";431511,95;-;431511,95"
"""130400 SILVES"";279130,42;-;279130,42"
"""130406 TABATINGA"";301380,34;-;301380,34"
"""130410 TAPAUA"";138576,03;-;138576,03"
"""130420 TEFE"";3487524,54;150437,35;3637961,89"
"""130423 TONANTINS"";571344,70;-;571344,70"
"""130426 UARINI"";459572,11;-;459572,11"
"""130430 URUCARA"";488268,99;-;488268,99"
"""130440 URUCURITUBA"";128278,49;-;128278,49"
"""140005 ALTO ALEGRE"";46245,30;-;46245,30"
"""140010 BOA VISTA"";36300822,47;2060539,70;38361362,17"
"""140015 BONFIM"";11423,66;-;11423,66"
"""140020 CARACARAI"";50670,42;-;50670,42"
"""140023 CAROEBE"";31890,89;-;31890,89"
"""140030 MUCAJAI"";4470,98;-;4470,98"
"""140040 NORMANDIA"";56612,38;-;56612,38"
"""140045 PACARAIMA"";150702,01;-;150702,01"
"""140047 RORAINOPOLIS"";997614,76;-;997614,76"
"""140050 SAO JOAO DA BALIZA"";90694,20;-;90694,20"
"""140060 SAO LUIZ"";24753,11;-;24753,11"
"""150010 ABAETETUBA"";8065355,94;6560,38;8071916,32"
"""150013 ABEL FIGUEIREDO"";165136,09;-;165136,09"
"""150020 ACARA"";954707,54;-;954707,54"
"""150030 AFUA"";416080,44;-;416080,44"
"""150034 AGUA AZUL DO NORTE"";536887,31;-;536887,31"
"""150040 ALENQUER"";1912530,91;773,64;1913304,55"
"""150050 ALMEIRIM"";940700,56;-;940700,56"
"""150060 ALTAMIRA"";12561959,53;177360,12;12739319,65"
"""150070 ANAJAS"";635272,53;-;635272,53"
"""150080 ANANINDEUA"";35609127,52;5796702,35;41405829,87"
"""150085 ANAPU"";568371,20;-;568371,20"
"""150090 AUGUSTO CORREA"";1490764,50;-;1490764,50"
"""150095 AURORA DO PARA"";606975,76;-;606975,76"
"""150110 BAGRE"";176625,01;-;176625,01"
"""150120 BAIAO"";1145913,28;1061,88;1146975,16"
"""150125 BANNACH"";65648,96;-;65648,96"
"""150130 BARCARENA"";7016184,37;6830,64;7023015,01"
"""150140 BELEM"";193484949,42;134444149,93;327929099,35"
"""150145 BELTERRA"";184630,69;-;184630,69"
"""150157 BOM JESUS DO TOCANTINS"";414991,48;-;414991,48"
"""150170 BRAGANCA"";12211882,35;-;12211882,35"
"""150172 BRASIL NOVO"";1470539,44;-;1470539,44"
"""150175 BREJO GRANDE DO ARAGUAIA"";254807,48;-;254807,48"
