"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350740 BORBOREMA"";-;-;-;6;1;7;32;16;6;4;24;10;15;38;6;8;-;3;5;5;-;7;4;4;4;20;28;9;262"
"""350750 BOTUCATU"";-;94;1145;1224539;1177782;1192882;1229443;1195494;1219151;1321096;1072293;1318740;1381016;1343791;1200880;1405214;1419906;1372266;1420110;1448265;1428702;1472537;1519910;1301824;1224112;1025021;1325919;1300646;32542778"
"""350760 BRAGANCA PAULISTA"";-;24;83;5201;5506;6345;6450;6874;6740;6651;7353;8058;7347;6483;7663;6585;6605;7566;6849;6886;6569;7081;7252;7903;8288;7678;7882;7673;175595"
"""350810 BURITAMA"";-;-;-;64;162;165;129;166;110;84;8;28;14;12;-;6;2;10;5;-;4;10;-;22;26;14;22;-;1063"
"""350840 CABREUVA"";-;-;-;75;208;189;57;200;204;141;240;242;224;315;34;97;129;151;277;205;1;166;129;163;142;163;320;68;4140"
"""350850 CACAPAVA"";-;-;-;129;52;148;96;138;1583;187;311;469;322;318;200;255;254;434;324;379;339;327;452;326;384;359;474;-;8260"
"""350880 CAFELANDIA"";-;-;-;25;-;-;31;-;29;-;-;18;19;15;-;-;20;12;20;13;18;20;19;19;19;-;-;-;297"
"""350920 CAJAMAR"";-;-;-;88;-;241;265;255;263;248;335;275;346;283;243;242;205;289;223;574;510;620;1770;1581;1697;1160;1175;1173;14061"
"""350940 CAJURU"";-;-;-;7;119;79;56;70;58;79;81;74;71;116;99;76;59;111;69;75;116;85;61;81;111;115;102;123;2093"
"""350950 CAMPINAS"";134;6767;10246;3569906;3564576;3600630;3588919;3588856;3631062;3721635;3590419;3798350;3923859;3768828;3737925;3989769;3973919;3824767;3799301;3880574;3869010;3925222;4029916;4122836;4208751;3434254;3708747;3844004;94713182"
"""350960 CAMPO LIMPO PAULISTA"";-;-;-;2755;2687;2702;2672;2795;2589;2830;2905;2887;3086;3075;3206;3137;2961;3122;3114;3316;2633;3112;3072;3492;3603;3523;3399;3167;75840"
"""350970 CAMPOS DO JORDAO"";-;-;-;90;86;87;86;86;85;88;87;81;86;86;87;93;85;86;86;85;91;90;98;104;178;165;200;281;2677"
"""351000 CANDIDO MOTA"";-;-;-;15;11;83;-;-;-;-;-;-;-;-;-;-;-;-;190;231;211;172;148;166;138;119;84;-;1568"
"""351020 CAPAO BONITO"";-;-;-;-;-;-;-;15;46;116;264;209;176;163;261;189;200;275;250;219;260;429;240;425;491;438;503;359;5528"
"""351040 CAPIVARI"";-;-;-;189;261;391;324;357;200;358;348;300;377;321;351;346;327;403;450;373;328;568;453;507;536;322;251;228;8869"
"""351050 CARAGUATATUBA"";-;-;149;5668;5530;5838;6190;6750;6481;6948;7360;7117;7619;6725;6532;7320;6642;6598;6883;7177;6612;6875;6911;6915;6999;6060;6663;6024;166586"
