"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350170 AMERICO BRASILIENSE"";-;-;28,03;525515,44;484550,27;530462,17;611406,66;557169,87;529770,56;538019,57;563712,86;500294,65;535375,41;477392,15;384263,21;477403,57;482836,48;518903,78;420877,82;457627,14;545149,93;529845,37;426704,14;494894,63;525433,52;467549,50;411284,38;331627,57;12328098,68"
"""350180 AMERICO DE CAMPOS"";-;-;-;9480,90;11217,78;17184,91;20880,87;23577,85;20147,39;21001,53;25306,27;23974,96;21103,85;21242,10;17569,85;20663,18;23587,64;20047,29;21144,75;19339,39;22412,61;30621,28;29712,87;28858,70;28989,80;27415,30;25121,60;26374,93;556977,60"
"""350190 AMPARO"";789,12;1907,22;12313,23;1018548,78;1036710,49;1068820,00;1309096,58;1216727,68;1099441,83;1186899,12;1199574,46;1183108,77;1297301,71;1209695,61;1089105,22;1230777,44;1186750,98;1204973,80;1204046,69;1206743,81;1183067,07;1374931,27;1210746,65;1212610,69;1332117,67;1227586,06;1186509,62;1365427,73;30056329,30"
"""350200 ANALANDIA"";-;-;-;9836,46;9406,39;8903,09;12245,29;10239,11;15700,35;11408,19;13094,73;12165,48;13892,53;13037,12;16876,93;12516,09;15052,22;13534,12;11846,50;10117,44;9540,56;12425,72;-;-;-;-;-;-;231838,32"
"""350210 ANDRADINA"";-;-;-;516089,54;423649,25;584497,01;654154,59;707373,28;686355,00;535984,06;653837,89;711184,52;586911,98;705509,51;634898,67;586577,96;617796,10;672867,07;726674,80;847114,62;1032356,26;867622,87;915393,37;1007147,81;805818,96;717774,55;713539,55;480908,31;17392037,53"
"""350220 ANGATUBA"";-;-;-;151482,81;146402,51;186189,02;246508,38;224230,75;206822,17;203852,90;211408,13;223963,25;223760,82;207955,76;178321,80;188445,54;187465,88;146473,54;183021,91;235847,92;200850,26;198912,04;205591,04;211596,24;211679,12;197518,93;178955,89;200580,63;4957837,24"
"""350230 ANHEMBI"";-;-;-;18350,01;20475,61;24717,47;27952,79;30808,53;30887,66;27674,42;25575,03;28432,12;26552,39;17987,94;14594,05;18667,69;20634,09;21545,14;24183,31;24321,91;35242,62;27448,98;25776,58;30923,76;31952,31;34638,15;29226,59;28093,61;646662,76"
"""350240 ANHUMAS"";-;-;-;17112,86;21482,31;19925,90;20936,15;15508,03;22287,52;15955,99;17621,62;22245,06;19893,58;18319,31;13995,91;21182,35;22389,16;28618,83;28510,00;22829,63;29528,42;22562,18;21533,85;22518,74;24318,68;31221,19;24658,48;27369,73;552525,48"
"""350250 APARECIDA"";-;-;-;414867,53;389298,73;441651,11;523726,78;505033,93;529138,63;554212,43;565663,58;679315,37;686837,75;627949,46;579126,06;709907,72;724644,28;751959,74;805209,07;923387,11;855956,90;911741,37;974746,32;990132,90;1180365,40;900056,48;692436,34;902391,17;17819756,16"
"""350260 APARECIDA D'OESTE"";-;-;-;18063,18;36855,50;31162,27;23351,51;21115,53;16594,96;16077,63;20500,76;25438,51;20581,85;18640,44;29228,14;37080,49;23919,62;20516,05;17630,10;20047,86;34343,43;24913,89;30459,00;34850,90;20256,01;23480,42;21034,26;18951,34;605093,65"
