"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350280 ARACATUBA"";-;-;-;22432;29655;39286;40749;43320;41816;38966;41869;41721;40585;37473;39245;43389;38602;39260;38773;40337;38305;35970;39267;38748;37499;33980;32052;34086;947385"
"""350290 ARACOIABA DA SERRA"";-;-;-;9496;9255;8869;11572;11809;9310;7836;5087;8644;4157;7104;9158;10631;10663;10102;9626;8123;7010;5996;7765;7945;8830;8678;8506;7771;213943"
"""350300 ARAMINA"";-;-;-;532;1159;1128;1153;1411;1149;752;1200;991;686;964;611;636;-;-;-;-;-;-;-;-;16;20;-;-;12408"
"""350310 ARANDU"";-;-;-;2183;1918;2474;6422;3336;3148;1710;4461;2501;1453;3260;3319;2463;3692;6243;9029;3788;4488;4695;6926;4310;174972;10500;2831;4132;274254"
"""350315 ARAPEI"";-;-;-;868;1191;1481;1290;972;819;833;1069;920;846;871;849;775;805;1047;992;990;838;837;985;956;981;-;-;-;21215"
"""350320 ARARAQUARA"";-;-;-;81260;94036;100230;65889;33029;44623;71980;66277;80163;80388;79790;80656;8011;9030;97049;96499;105946;88594;83479;88199;85172;99294;91410;84319;79128;1894451"
"""350330 ARARAS"";-;-;-;45230;60361;62871;42789;25366;47359;41602;48929;40116;18844;44494;44303;42304;56042;35355;50610;63325;59034;60528;63398;66890;71088;52144;64898;45666;1253546"
"""350335 ARCO-IRIS"";-;-;-;1897;1416;1947;2122;1853;2490;2331;2274;2283;3078;2489;1983;2223;1997;2627;2450;2630;2539;1803;2979;-;2622;2905;2615;1861;55414"
"""350340 AREALVA"";-;-;-;5505;5924;6928;9254;8505;7397;7109;3182;3458;2866;2685;3029;3000;2695;2957;3099;3599;3733;3206;3576;3238;3208;3009;3187;2995;107344"
"""350350 AREIAS"";-;-;-;1101;1013;1391;1691;1485;1586;1322;1444;1362;1416;1302;987;1028;905;1339;1305;1499;1525;876;1492;1898;1333;1306;1139;1219;32964"
"""350360 AREIOPOLIS"";-;-;-;10472;17072;19917;24199;21164;18386;16263;17437;16094;15519;14887;10680;14831;15716;17617;16511;19111;23388;22332;24307;23185;27194;26044;19054;18860;470240"
"""350370 ARIRANHA"";-;-;-;13153;14647;12731;14701;12182;11339;11938;11698;12099;11007;10110;9689;10509;11467;12861;12381;13002;12072;11955;12807;11310;12283;11383;11245;8862;297431"
"""350380 ARTUR NOGUEIRA"";-;-;-;23141;26867;27036;28829;30466;32613;33533;32744;32879;33321;23984;18117;27901;28075;29956;28300;11814;26635;29963;30535;31835;33133;27326;22391;28629;700023"
"""350390 ARUJA"";-;-;-;49264;53396;71152;23938;24288;12816;21184;18318;5034;38052;13922;8980;10873;12129;43255;11477;43511;37776;48991;55199;58623;51210;51335;21870;48832;835425"
"""350400 ASSIS"";-;-;-;13641;16069;19899;21957;20927;19303;16675;17248;18863;17830;17070;15411;16399;17561;19604;15397;23188;19369;19010;20942;24673;21337;20360;215096;18729;666558"
"""350410 ATIBAIA"";-;-;-;2721;3149;3482;3445;226453;3323;2412;3467;2477;3313;2618;2191;2716;3164;3393;3856;3702;3024;2599;2312;2841;21712;3875;26188;12637;351070"
"""350420 AURIFLAMA"";-;-;-;8492;7614;7132;9031;8526;6670;4961;5620;5783;5392;4625;4985;5712;4732;4605;4668;4796;3637;3821;4710;4863;3491;4037;3698;3890;135491"
"""350430 AVAI"";-;-;-;1675;1387;2081;2648;2068;2981;3499;2814;2815;2321;2483;1626;2349;1736;1495;2205;2478;2327;3884;3772;4236;2516;1618;1266;390;58670"
"""350440 AVANHANDAVA"";-;-;-;7482;8026;8559;10022;9825;9424;7581;5002;95;-;-;-;-;-;37;-;13;14;10;15;1;63;10;18;-;66197"
"""350450 AVARE"";-;-;-;14532;15097;17665;20936;22334;18251;15364;17328;16738;15450;15478;15390;479;15944;19885;20017;19421;16322;14563;17436;22303;984;22508;20646;19603;414674"
"""350460 BADY BASSITT"";-;-;-;22069;22007;16464;19682;25408;23456;23277;21335;20978;16067;16838;19814;24523;15308;27338;32600;39001;10562;17261;18380;19610;20034;13956;12142;12269;510379"
"""350470 BALBINOS"";-;-;-;732;1303;984;1208;710;689;698;527;527;697;638;627;612;1462;517;3360;3368;3137;3432;4760;3759;4015;2755;3673;3356;47546"
"""350480 BALSAMO"";-;-;-;383;-;766;1278;765;877;737;939;890;719;548;196;237;916;14351;14557;12926;11226;15468;16353;17997;12582;13172;14377;15305;167565"
"""350490 BANANAL"";-;-;-;1012;794;1001;1051;1824;908;1170;1475;1516;1196;1293;977;1545;1635;1959;1595;2197;1932;1639;1877;2833;2198;2039;2048;1349;39063"
"""350500 BARAO DE ANTONINA"";-;-;-;31;37;77;39;34;38;35;33;21;27;25;17;38;49;26;24;45;31;43;76;53;-;-;-;-;799"
"""350510 BARBOSA"";-;-;-;7909;6159;2528;1763;861;852;276;451;879;876;932;550;680;835;882;853;976;926;814;571;1057;1029;1052;799;990;35500"
