"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350250 APARECIDA"";-;-;-;-;-;71592;67641;76653;77094;79631;80234;72751;78417;78237;82506;73322;71735;81379;74291;84571;88178;98513;86143;82960;106845;107194;109510;98672;90738;95051;2113858"
"""350260 APARECIDA D'OESTE"";-;-;-;-;-;4643;5842;112841;10623;107377;8803;7436;9593;8775;5136;4074;4651;7228;5858;4994;5774;6740;5640;6872;7015;5150;5648;6186;4967;5550;367416"
"""350270 APIAI"";-;-;-;40;118;17460;16393;15428;17887;17135;16495;14212;18490;22975;25851;25318;19802;17676;21370;19026;15618;20732;18316;19070;16036;13877;14672;27327;15109;16618;463051"
"""350275 ARACARIGUAMA"";-;-;-;-;-;64579;69425;77632;86774;85874;79046;73633;80439;78436;73928;71945;61594;67852;66984;70065;70601;68963;66325;61865;66583;65915;68396;65959;56826;-;1699639"
"""350280 ARACATUBA"";-;-;-;1;558;1384439;1373787;1409719;1469043;1392794;1449864;1516373;1518715;1570837;1576340;1502090;1453017;1599018;1560710;1570104;1563906;1570041;1577880;1679621;1713830;1781581;1762717;1437982;1536164;1527347;38498478"
"""350290 ARACOIABA DA SERRA"";-;-;-;-;-;50405;49826;56771;70032;68089;56812;56384;57090;67092;32176;84563;49580;51834;63055;65494;63704;68973;55648;58497;61674;62613;62365;41070;54455;46852;1455054"
"""350300 ARAMINA"";-;-;-;-;388;2559;3520;3650;3470;6847;6032;4208;6593;6532;5728;5958;4004;5203;51;96;145;193;144;178;5166;2581;4506;3360;3479;2932;87523"
"""350310 ARANDU"";-;-;-;-;-;2295;1978;2534;6657;3400;3185;1769;4524;2601;1508;3320;3446;5731;7317;10197;13362;8519;8714;8346;10848;7386;178523;13029;5729;5651;320569"
"""350315 ARAPEI"";-;-;-;-;-;6856;7760;9358;9259;8299;7230;7283;9045;7817;8389;8199;8057;7542;6673;7850;7660;8631;7589;7143;8401;8610;8329;-;-;-;175980"
"""350320 ARARAQUARA"";-;-;-;64;225;1367715;1359171;1366063;1356801;1266775;1284060;1354862;1340808;1396791;1422005;1366019;1532421;1468370;1488836;1628009;1709437;1773585;1760505;1736528;1792737;1786915;1836606;1704892;1575973;1585985;38262158"
"""350330 ARARAS"";-;-;4;6;14;82472;121791;129662;130044;78692;130797;99131;109462;101271;80715;144327;114381;136075;169401;164949;180343;197131;176001;172480;183243;191885;211043;174592;174074;158387;3612373"
"""350335 ARCO-IRIS"";-;-;-;-;-;1936;1437;1973;2468;1903;2515;2397;2315;2310;3117;2519;2038;2268;2036;2674;2479;2671;2566;1879;3015;-;2691;2949;2678;1934;56768"
"""350340 AREALVA"";-;-;-;-;-;14517;15101;17144;20865;19869;18151;17611;14352;14120;14618;13004;11716;14241;15371;15443;16356;15613;15058;14867;14052;16552;16480;13541;11109;8374;378125"
"""350350 AREIAS"";-;-;-;-;-;3407;2769;3617;4436;3210;3991;3644;3656;3366;3646;2985;2690;2783;2715;3602;3642;4136;3982;3005;3519;4154;3715;2644;3063;3373;85750"
"""350360 AREIOPOLIS"";-;-;-;-;-;15111;20589;24669;28869;27684;21408;18447;19812;18390;17969;18566;12920;17446;18484;20822;21878;25200;28595;28081;28900;28355;32738;30795;23733;23020;572481"
"""350370 ARIRANHA"";-;-;-;-;-;19737;21870;21676;23283;19503;16749;19805;18513;19745;18087;16005;15086;16346;18105;20485;19653;19945;19440;19942;20372;18824;20904;18595;17723;15655;476048"
"""350380 ARTUR NOGUEIRA"";-;-;-;-;-;38027;42398;31579;44500;46551;48249;49518;48161;44956;39899;29557;18117;27901;71490;74190;77606;62942;73558;74133;76334;75907;78912;69793;57686;66433;1368397"
"""350390 ARUJA"";-;-;-;-;-;120275;132070;156638;125155;108645;91377;95357;96849;57748;127182;65052;50090;52486;61903;88226;55376;78586;83243;105534;112916;120987;109588;112982;33529;109687;2351481"
"""350395 ASPASIA"";-;-;-;-;-;1079;2644;200;222;214;171;171;282425;1151;2688;1359;618;1238;930;548;1266;1382;970;1244;218;670;1013;1147;1419;209;305196"
"""350400 ASSIS"";-;-;-;212;346;706693;731176;737282;764947;762787;776088;834351;871922;853654;876285;859115;829695;843369;855647;852690;865003;933394;880617;944535;988843;1018444;1026934;869740;1027519;792085;21503373"
"""350410 ATIBAIA"";-;-;-;-;-;164352;195148;216734;219627;424067;208938;175344;208041;204539;203879;143050;208315;200076;191714;185599;200078;205248;188991;185340;200622;209267;204902;222308;163137;190192;5119508"
"""350420 AURIFLAMA"";-;-;-;-;-;26540;26394;26506;31199;30292;27171;26290;29216;29428;25532;23230;23870;29278;24683;24112;23581;24320;19402;19527;21948;22469;19967;19743;19681;19844;614223"
"""350430 AVAI"";-;-;-;-;-;3162;2538;3355;4279;3526;4744;5233;4525;4663;4091;4171;2979;3780;3589;3217;3912;4257;4198;5818;4080;6102;4576;3402;2571;475;97243"
"""350440 AVANHANDAVA"";-;-;-;-;-;9139;9507;10794;11407;11329;11802;9064;6992;1842;1844;1747;1113;1790;2081;1862;872;2317;1879;2601;1153;2393;2819;2486;1788;-;110621"
"""350450 AVARE"";-;-;-;-;-;126110;115450;127587;149820;142616;131468;121647;129886;133184;127935;121608;122768;87825;138187;141285;151876;151738;131490;138644;149817;148196;104692;151102;141269;144421;3330621"
"""350460 BADY BASSITT"";-;-;-;-;-;54900;51634;44617;51107;58726;54218;62935;50093;58765;54744;52702;49679;65154;46281;68471;66244;77207;47878;51108;54705;55649;50021;56133;47603;53671;1384245"
"""350470 BALBINOS"";-;-;-;-;-;754;1444;1278;1410;739;716;721;548;548;739;676;656;626;1489;596;3457;3498;3226;3524;4906;4805;5185;4470;5977;4709;56697"
"""350480 BALSAMO"";-;-;-;-;-;941;421;1630;3126;2213;2044;2374;2613;2442;2370;2042;1317;1918;2568;15635;14675;20712;18254;27224;26211;29482;20026;20481;21499;22781;264999"
"""350490 BANANAL"";-;-;-;-;-;12225;10814;18024;23369;15402;15596;15471;15377;15937;16256;14335;13880;15217;16618;18734;15975;18838;17273;17202;12924;20567;17303;17787;18722;17333;411179"
"""350500 BARAO DE ANTONINA"";-;-;-;-;-;46;1970;869;1078;958;1000;3005;2551;2658;2830;2088;1515;1263;3249;2744;2656;2476;3304;4090;3427;3541;-;-;-;-;47318"
"""350510 BARBOSA"";-;-;-;-;-;10369;7549;3250;2525;1532;1477;2002;455;2943;2951;937;1955;1317;1520;2812;2599;1627;2590;2547;2430;2896;3068;2660;2206;1705;67922"
"""350520 BARIRI"";-;-;-;-;-;50977;44927;56443;60213;53026;53105;50042;58878;57860;57205;48148;40365;58284;50349;54093;63511;67512;54187;64620;72805;75257;74658;65887;58121;66270;1456743"
"""350530 BARRA BONITA"";-;-;-;14;4;39435;35494;40114;46966;49004;45474;39720;46162;48649;51614;47201;38892;43124;49719;49790;54247;53989;47128;49282;54150;56153;58488;50707;48679;45556;1189755"
"""350535 BARRA DO CHAPEU"";-;-;-;-;-;264;887;674;1063;2635;1630;1991;2152;3201;2482;2600;2330;2413;2563;2109;3109;2016;1935;2950;2336;1635;2975;2925;3176;2855;54906"
"""350540 BARRA DO TURVO"";-;-;-;-;-;7649;8180;8687;9173;8145;7848;7192;8863;7967;6994;8599;8784;8556;9060;8307;8997;9394;9242;8956;9022;8686;10455;8236;8967;-;205959"
"""350550 BARRETOS"";-;-;5;80;750;1281005;1345176;1360880;1348128;1388120;1378474;1393781;1462674;1398212;1479313;1451021;1381059;1382518;1515864;1491700;1552949;1517051;1565104;1590472;1533433;1514999;1529807;1377890;1390206;1425923;36056594"
"""350560 BARRINHA"";-;-;-;-;-;16566;19025;22588;22170;24836;19607;20747;21669;22178;20643;17866;13060;20053;23730;36171;31827;38102;31955;35857;30488;30846;26484;30308;30453;33616;640845"
"""350570 BARUERI"";-;-;-;1818;18078;1065602;1113632;1253021;1503751;1405617;1224796;1148895;1241908;1226027;1273317;1081249;942055;1172389;1174936;1213269;1105343;1350203;1121334;1211091;1258713;1303265;1315754;1161100;961247;980307;29828717"
"""350580 BASTOS"";-;-;-;1;56;21590;23171;23941;26949;25930;27595;27891;29370;31032;31748;30633;28345;26204;26660;25911;27267;37729;30808;31495;23868;35490;31514;28571;29365;31878;715012"
"""350590 BATATAIS"";-;-;2;566;547;109809;111561;116485;121619;111120;113208;111917;114905;130238;124780;117539;107921;157982;125591;117566;133034;133468;129817;137370;134050;148452;151584;126649;121731;108360;3117871"
"""350600 BAURU"";-;-;-;19;612;2079727;2027177;2094870;2337481;2204756;2161075;2230068;2207394;2258458;2377567;2228114;2220157;2365065;2337184;2376637;2361648;2415179;2354662;2471391;2461630;2569356;2600651;2000485;2279973;2366329;57387665"
"""350610 BEBEDOURO"";-;-;-;-;-;122332;159095;184712;166148;132582;148154;143030;147592;160050;152121;129614;130879;127119;147031;152561;183194;168322;157448;147913;156710;168574;155910;149186;139658;140455;3770390"
"""350620 BENTO DE ABREU"";-;-;-;-;-;880;1071;1112;1556;1295;3030;1800;1441;1694;2051;1657;1276;1412;1893;330;501;632;564;484;475;770;716;480;113;336;27569"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;-;-;6214;6615;8287;8086;7418;7586;6720;6973;6440;7353;10517;10206;10794;12101;15169;12828;14162;11562;8738;9491;10380;9582;10095;10042;9420;236779"
"""350635 BERTIOGA"";-;-;-;-;87337;843035;210190;241377;233983;194207;184427;165341;184128;191449;191386;173687;148236;180159;179022;192523;197439;208185;177607;171172;178241;200152;208359;179373;174575;174494;5470084"
"""350640 BILAC"";-;-;-;-;-;13915;16290;16872;17647;16947;15973;16706;18204;17918;17525;17172;18080;20338;16019;17306;20773;21772;19397;18774;22909;21349;20861;18671;16698;16628;454744"
"""350650 BIRIGUI"";-;-;-;2;185;185996;189065;214750;248901;214023;191755;190393;216051;225943;233636;210989;195932;231674;210741;240140;250663;244453;211180;261290;263993;264806;248994;214157;186603;219539;5565854"
"""350660 BIRITIBA MIRIM"";-;-;-;3;18;28979;31916;27639;46524;53629;37735;27790;43629;51473;53522;63358;55575;51717;381036;41483;45060;49971;38572;43226;48662;50007;50401;45107;42260;-;1409292"
"""350670 BOA ESPERANCA DO SUL"";-;-;-;-;-;8669;10760;11175;14677;12390;12813;10545;12093;13418;11730;12184;12157;12707;11595;12668;19388;12522;14340;13933;16106;13990;13897;11732;13844;13134;322467"
"""350680 BOCAINA"";-;-;-;-;-;19373;13953;17056;18446;16956;22193;18978;21057;21897;23158;17326;16099;24505;22258;22176;25973;23460;20722;21682;22693;23099;20378;18479;18048;19862;509827"
"""350690 BOFETE"";-;-;-;-;-;12791;16277;18805;21059;18435;17807;15859;17863;18183;18903;15794;15528;750;16636;17607;18237;23031;15786;19569;20359;19918;19291;18234;14254;14987;425963"
"""350700 BOITUVA"";-;-;-;-;-;88651;72619;80454;88786;95385;106312;100970;103509;93912;102489;85447;52247;56266;66833;68646;77366;81605;338294;139191;140193;150359;145402;136377;124517;123975;2719805"
"""350710 BOM JESUS DOS PERDOES"";-;-;-;-;-;28926;36447;34758;40151;34529;36543;34667;34688;34481;38995;34088;20335;42144;38995;41718;40720;42525;39639;38901;43662;43901;48040;41897;39583;40990;951323"
"""350715 BOM SUCESSO DE ITARARE"";-;-;-;-;-;6416;8049;7476;7852;9151;6221;8865;8075;6388;4848;3322;1053;2046;3063;4088;9174;9056;8683;7615;9061;10041;10353;8834;8284;10006;178020"
"""350720 BORA"";-;-;-;-;-;733;-;-;-;864;887;673;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3157"
"""350730 BORACEIA"";-;-;-;-;-;9498;8654;7541;7717;9094;10432;6960;8439;7020;5842;5948;6160;7025;9176;10398;10466;8797;8411;8472;9672;9989;8652;8773;8885;7779;209800"
"""350740 BORBOREMA"";-;-;-;-;-;33415;34628;31774;41834;38498;40561;41863;49164;45743;50156;39489;33680;47689;54957;52178;58457;57892;54329;51633;53926;58313;58130;54755;48667;48274;1180005"
"""350745 BOREBI"";-;-;-;-;-;3605;4434;760;4250;4940;4631;4678;5177;4323;4136;3197;3417;3533;3848;4359;5120;5684;5593;5416;5616;6244;7357;5155;4365;3429;113267"
"""350750 BOTUCATU"";-;-;57;510;4402;1671364;1655528;1702927;1765940;1723993;1715083;1771927;1537905;1793478;1859966;1810136;1562102;1854003;1904636;1855790;1901918;1929670;1830310;1877640;1998562;1790858;1727448;1513844;1725734;1765217;44250948"
"""350760 BRAGANCA PAULISTA"";-;-;-;24;162;283886;288071;331091;315970;313993;298001;280152;303531;334443;301225;234732;192088;243406;224615;352246;380204;313522;304540;308021;326152;335185;340823;420291;281629;284973;7592976"
"""350770 BRAUNA"";-;-;-;-;-;7646;10204;13981;13950;13589;11436;10167;12474;15415;7949;9286;12515;7269;10435;10681;10557;13127;12147;9974;10746;12155;10534;10568;-;-;256805"
"""350775 BREJO ALEGRE"";-;-;-;-;-;2092;3237;4879;4496;5491;5258;4116;4688;4546;3324;3888;3824;2679;3081;3070;3478;2907;2052;-;-;-;-;-;-;-;67106"
"""350780 BRODOWSKI"";-;-;-;-;-;54253;51168;54055;51214;46745;46199;47224;42931;46741;46973;39051;36574;46207;50962;46977;49948;52831;49300;50862;50181;55647;54505;49244;44353;-;1164145"
