"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350250 APARECIDA"";-;-;-;-;-;74217;69465;82587;83721;88611;88284;88038;94694;94447;88349;78167;71735;81453;74295;84945;91654;105288;90189;96476;106845;107223;109517;98673;90738;95051;2234662"
"""350260 APARECIDA D'OESTE"";-;-;-;-;-;4643;5842;112886;11030;107406;8805;7436;9842;8925;5152;4074;5172;8425;6076;4994;5776;6740;6167;6879;7015;5158;5648;6186;4968;5550;370795"
"""350270 APIAI"";-;-;-;69;118;17460;16393;15554;17898;17135;16495;14218;18493;22988;25851;25320;19802;17694;21370;19063;15685;21138;18494;19551;16301;14386;14894;27597;15125;16622;465714"
"""350275 ARACARIGUAMA"";-;-;-;-;-;67436;70707;79281;89994;90830;81382;76470;81097;82991;76154;72078;62022;69824;68852;75410;77225;76505;68001;62899;69921;70741;75769;69259;58862;-;1773710"
"""350280 ARACATUBA"";-;-;-;1;560;1413444;1402708;1437457;1502717;1432583;1493642;1566852;1576396;1636546;1660582;1572887;1522045;1680721;1643392;1654126;1648114;1658897;1669648;1679697;1713842;1781687;1762717;1437983;1536344;1527347;39612935"
"""350290 ARACOIABA DA SERRA"";-;-;-;-;-;50405;49826;57163;72755;74448;61917;56446;57101;67092;32196;84603;49580;51909;63157;65494;63735;70041;55659;58572;61685;62641;62365;41084;54455;46915;1471244"
"""350300 ARAMINA"";-;-;-;-;411;2563;3520;3650;3479;6847;6032;4208;6593;6532;5728;5958;4004;5203;51;96;145;193;144;178;5166;2581;4506;3360;3527;2932;87607"
"""350310 ARANDU"";-;-;-;-;-;2295;1978;2534;6657;3400;3185;1769;4524;2601;1508;3320;3446;5760;7378;10266;13408;8572;8780;8429;10932;7388;178523;13029;5729;5651;321062"
"""350315 ARAPEI"";-;-;-;-;-;6856;7760;9358;9259;8299;7230;7283;9045;7817;8389;8199;8068;7542;6673;7850;7660;8631;7589;7143;8401;8610;8329;-;-;-;175991"
"""350320 ARARAQUARA"";-;-;-;215;436;1494627;1494188;1474381;1483975;1387841;1418708;1562274;1525469;1644613;1670217;1544683;1542566;1550677;1565806;1729085;1738075;1794581;1770675;1745790;1792739;1786916;1836607;1704892;1575973;1586000;40422009"
