"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350260 APARECIDA D'OESTE"";-;-;-;-;-;2466;2071;2654;2751;2778;2291;2114;2308;3082;2661;2300;2913;2830;2534;2375;2246;2570;2488;2376;2454;2822;2345;2196;2498;2068;62191"
"""350270 APIAI"";-;-;-;40;118;17139;16042;15114;17372;16523;16135;13884;18238;21573;22222;21817;18627;15755;19878;17154;13767;18648;15858;17649;14429;12135;13037;25506;13981;15598;428239"
"""350275 ARACARIGUAMA"";-;-;-;-;-;48206;51966;58257;64492;64923;58765;56053;60732;58806;55003;53680;46322;51138;49271;50395;50487;49280;48012;45493;49100;48133;50443;49740;43326;-;1262023"
"""350280 ARACATUBA"";-;-;-;-;521;190675;187260;206956;238523;234983;222547;226065;234692;239625;250539;216981;195917;237569;216821;243097;236117;229779;223617;225717;241050;267247;237155;217629;196849;213144;5631075"
"""350290 ARACOIABA DA SERRA"";-;-;-;-;-;40844;40486;47783;58346;56167;47415;48451;51918;58338;27936;77385;40331;41090;52303;55301;53993;60760;48551;52425;53809;54597;53440;32322;45839;39031;1238861"
"""350300 ARAMINA"";-;-;-;-;388;897;962;1009;986;4144;3643;3434;3762;4059;4223;3697;2338;3941;51;82;118;133;123;153;4953;2367;4293;3266;3250;2748;59020"
"""350310 ARANDU"";-;-;-;-;-;86;-;-;149;-;-;-;-;57;-;-;112;3223;3554;3931;4302;4680;4197;3585;3862;3036;3430;2483;2858;1458;45003"
"""350315 ARAPEI"";-;-;-;-;-;2991;3711;4880;4504;4015;3715;2967;4081;3728;3619;3570;3318;3378;2920;3432;3486;3731;3201;2928;3099;3357;3421;-;-;-;78052"
"""350320 ARARAQUARA"";-;-;-;-;3;249269;260350;290041;291990;234492;238660;249628;268660;285168;299355;264194;228017;205466;236482;279344;279191;304605;275783;287827;319858;337274;325108;274799;235379;283573;6804516"
"""350330 ARARAS"";-;-;4;6;14;33106;57345;62406;82363;48759;80464;53210;55304;55784;57101;95329;65874;89214;108929;124542;124902;129152;112561;107221;114628;119764;134464;117571;104170;107608;2241795"
"""350335 ARCO-IRIS"";-;-;-;-;-;33;20;25;345;49;21;65;38;22;36;25;51;41;37;46;28;40;25;75;35;-;68;43;61;70;1299"
"""350340 AREALVA"";-;-;-;-;-;8863;8944;10048;11443;11157;10579;10311;10986;10511;11569;10129;8523;11076;12510;12334;13038;11875;11169;11499;10319;13160;13074;10421;7816;5295;266649"
"""350350 AREIAS"";-;-;-;-;-;1543;1285;1531;1915;1678;1962;1715;1769;1562;1771;1506;1285;1160;1067;1608;1529;1837;1647;1480;1639;2213;1567;1338;1076;1403;39086"
"""350360 AREIOPOLIS"";-;-;-;-;-;4511;3386;4625;4520;6308;2898;2127;2296;2237;2361;3573;2176;2549;2659;3078;5238;5977;4932;5470;4384;4872;5437;4648;4430;3937;98629"
"""350370 ARIRANHA"";-;-;-;-;-;6560;7206;8919;8523;7311;5396;7857;6786;7630;7040;5843;5390;5789;6603;7601;7241;6924;5981;7004;6624;6487;7798;6579;6464;6771;172327"
"""350380 ARTUR NOGUEIRA"";-;-;-;-;-;14886;15531;4543;15671;16085;15636;15985;15417;12077;6578;5573;-;-;43415;44234;49306;51128;46923;44170;45799;44072;45779;42467;35295;37804;668374"
"""350390 ARUJA"";-;-;-;-;-;69517;77879;83647;100082;83768;78190;72794;76100;51926;87797;48887;40855;37152;43789;41811;40048;33314;43686;52107;51896;54610;53388;55608;7167;52962;1438980"
"""350395 ASPASIA"";-;-;-;-;-;309;1128;182;207;194;148;155;1027;1134;1159;620;2;1230;136;206;1230;1228;939;1236;210;657;988;1103;1361;195;16984"
"""350400 ASSIS"";-;-;-;-;2;123318;124875;136466;147364;139080;133067;144617;144534;146315;142515;137497;122724;121635;114575;147997;137439;160569;103256;120622;146398;166907;160008;132522;121187;125723;3401212"
"""350410 ATIBAIA"";-;-;-;-;-;128239;154336;191046;191035;175063;183234;150749;192747;181568;179183;133130;191549;180033;168358;162058;177709;184173;170173;166031;178219;187357;166697;200572;119349;167843;4280451"
"""350420 AURIFLAMA"";-;-;-;-;-;12931;13200;13211;15498;15609;14011;14564;17272;17846;14288;13404;14951;17721;14582;14331;13428;14788;12043;11611;13447;12819;11892;11912;12044;11341;348744"
"""350430 AVAI"";-;-;-;-;-;1464;1128;1253;1612;1439;1750;1720;1697;1834;1757;1677;1347;1393;1814;1694;1676;1735;1822;1878;239;1780;1996;1717;1264;37;37723"
"""350440 AVANHANDAVA"";-;-;-;-;-;705;563;882;862;755;922;608;890;747;995;468;236;463;704;721;872;871;613;719;936;682;790;494;356;-;16854"
"""350450 AVARE"";-;-;-;-;-;102705;91381;99610;118395;110086;104178;97511;103116;107158;102784;97257;97626;77688;113142;110684;122410;122196;105849;115248;122199;116912;94222;119678;110867;116524;2679426"
"""350460 BADY BASSITT"";-;-;-;-;-;32632;29411;28009;31180;33126;30504;39368;28476;37319;38379;35466;29613;40598;30823;40862;33142;37761;36768;33259;35554;35088;29441;41675;35190;41272;864916"
"""350470 BALBINOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79;83;83;71;73;109;83;106;515;1138;1348;3688"
"""350480 BALSAMO"";-;-;-;-;-;558;421;807;1780;1373;1117;1576;1613;1489;1594;1494;1121;1611;1593;1284;118;6097;5121;9472;8591;9723;7396;7256;7015;7434;87654"
"""350490 BANANAL"";-;-;-;-;-;7675;6971;12980;18390;10654;10440;10095;9972;10251;10386;9215;8442;8572;10198;12007;9875;11822;10996;10318;11009;12137;10764;11456;11063;10369;266057"
"""350500 BARAO DE ANTONINA"";-;-;-;-;-;-;1930;723;998;893;897;1181;817;1003;1125;358;289;18;1890;1325;1103;880;1496;1873;1577;1898;-;-;-;-;22274"
